F.H. STANDARD Elżbieta Sławińska; ;;
Dom-Service P.H.U. Andrzej Górzyński; ;;
JUREX Maszyny Szwalnicze; ;;
PREDOM Sp. z o.o.;tel./fax (22) 810 26 46;;
Whirlpool Polska Sp. z o.o. Oddział w Warszawie;infolinia 0801 900 666;;
ABC Hurtownia Części Zamiennych;kom. 507 090 585;;
AGD STYLE;tel. (22) 753 54 52;;
ARES-MEDIA Rędzikowski Łukasz;kom. 782 368 272;;
ART-DOM GASTRO Andrzej Piątek;tel. (22) 841 29 77;;
ART-GOS Serwis Zbigniew Wiśniewski;fax (85) 675 28 50;;
AWA Design Sp. z o.o.;tel. (22) 679 14 34;;
Dom Serwis Sp. z o.o.;tel. (12) 644 87 64;;
ELEKTRA Sp.j.;tel. (33) 876 49 22;;
Mardex Naprawa AGD;kom. 664 134 911;;
Naprawa Sprzętu Gospodarstwa Domowego Krzysztof Mikołajczyk i Maciej Mikołajczyk;tel. (22) 648 01 35;;
NAWA Serwis AGD;tel. (22) 863 72 82;;
P.P.U.H. BELMAG;fax (71) 316 49 11;;
PHU Elektryk;kom. 508 104 701;;
SPEEDCOOK - Zakład Rpol Polit Roman;tel. (17) 788 16 17;;
AGD SERWIS; ;;
Brolen - Sprzęt AGD;tel./fax (48) 366 99 02;;
Centrum AGD-RTV;kom. 662 258 295;;
Domgaz Sklep Części Zamiennych AGD;kom. 600 235 760;;
ELDOM RAKNO S.c.; ;;
ER-BE Piotr Brocki - Odkurzacze Wodne Rainbow Serwis Akcesoria;tel. (22) 729 03 29;;
F.H.U. MAGBOB;tel. (12) 266 58 76;;
F.H.U. YAHO; ;;
FHU DOMGAZ Barbara Przepiórka Sp.j.; ;;
FIB;tel. (61) 842 06 80;;
Firma MENTEL Wyposażenie łazienek, kuchni;tel. (33) 811 10 66;;
Hurt Detal AGA;fax (32) 227 46 63;;
Hurtownia365.eu; ;;
MAXI SERWIS Rudzki, Kokociński Sp.j.;tel. (76) 844 57 67;;
Mechart Sp.j.;tel. (61) 842 01 21;;
Naprawa i Serwis AGD Włodzimierz Wilczyński; ;;
RTVpixelAGD.pl;tel. (22) 349 98 97 - infolinia tel. kom.;;
Serwis AGD Chłodnictwo i Klimatyzacja Marek Watoła;kom. 601 446 095;;
TARACH-PLAST; ;;
TELMAR Marek Grygierzec - RTV AGD;tel. (32) 214 52 71;;
TEVE.PL;tel. (22) 115 10 75;;
TOFLESZ; ;;
Zakład Handlowo-Usługowy AGD;tel. (23) 654 83 89;;
AGDmaster.com; ;;
Zakład Usługowo-Handlowy MAJSTER Części AGD;tel. (42) 632 70 54;;
AGMA Studio Kuchenne; ;;
AXELA;kom. 662 047 405;;
BOGER;tel./fax (71) 343 96 10;;
DAKAR Iwona Rudawy;tel./fax (22) 510 30 60;;
DOBRY KLIMAT - Naprawa i Sprzedaż AGD PIĘTERKO;kom. 513 167 700;;
EM & EM Sp.j.;tel. (22) 819 01 36;;
F.H.U. Arged;tel. (59) 843 54 88;;
HOLKAP Sp. z o.o.;fax (52) 339 45 01;;
MEBICA Nova - Salon Mebli Kuchennych; ;;
P.H.U. Popularna;fax (22) 417 06 13;;
RTV-MAX;kom. 601 257 259;;
STUDIO NET Producent Mebli Kuchennych; ;;
SURMA Sp. z o.o.;kom. 509 960 286;;
Zakład Tworzyw Sztucznych ArtGos S.A.;fax (13) 434 11 26;;
ArtDOM - Serwis AGD, Klimatyzacja, Gastronomia, Chłodnictwo; ;;
ARTEKS Sklep AGD - RTV;tel./fax (59) 863 38 35;;
BIM Bujakowscy i Machnikowie; ;;
CERAGRES Kafle, meble kuchenne; ;;
Classic Meble;kom. 602 533 191;;
DOMAR S.A.;fax (81) 532 79 45;;
EKO-KLIMA Chłodnictwo & Klimatyzacja; ;;
Firma U.H.P. Eko-Elterm;fax (12) 655 19 36;;
FLINT Sp. z o.o.;tel./fax (22) 331 81 35;;
JOHN PIOTR Firma Handlowa;tel./fax (77) 453 12 52;;
KMA Promotion;tel. (22) 843 74 61;;
LIBOR - Salony Meblowe;kom. 603 151 530 Salon;;
MARGO Jacek Majcherkiewicz;tel. (41) 247 92 00;;
Myszka;kom. 668 833 799;;
P.H.U. Ekspert Andrzej Kukulla;kom. 602 384 754;;
ANMA F.W; ;;
ARDOM-SERWIS;kom. 508 165 135;;
Artykuły Elektryczne JORGA Czapscy Sp.j.;tel. (22) 836 73 30;;
Bro Studio S.c.;kom. 509 798 022;;
Ducat-Serwis Sp. z o.o.; ;;
EKOPUSTE Marcin Rola Zakład Przetwarzania Sprzętu Elektrycznego i Elektronicznego;kom. 507 240 907;;
Elektroinstalacje; ;;
Elektroniczny Zakład Innowacyjno-Wdrożeniowy HYBRES Sp. z o.o.;tel. (17) 860 00 68;;
F.H. ZBYCHPOL; ;;
F.P.H KAMI Katarzyna Mikołajewska;fax (34) 362 78 21;;
Firma HEBAN; ;;
Firma Majchrzak Sp. z o.o. Sp.komandytowa;fax (61) 810 80 89;;
FPH Galanteria Drzewna Andrzej Pabian;kom. 693 279 164;;
HEVI Henryk Itrich; ;;
Hurtownia Chemii Gospodarczej, Opakowania Gastronomiczne Paklo.pl;fax (75) 734 66 55;;
MODERN;kom. 607 772 707;;
Odkurzacze Centralne, Rekuperacja, Wentylacja, Klimatyzacja;kom. 504 449 044;;
OMEGA Klimatyzacja Chłodnictwo;kom. 502 342 031;;
P.P.H.U. Mirtex;kom. 604 693 267;;
P.U.H. TELS;tel./fax (22) 774 04 36;;
PHU PRYMUS Grygorczuk Zygmunt;tel./fax (52) 376 49 11;;
RAINBOW Jedyny Autoryzowany Dystrybutor i Serwis Odkurzaczy Rainbow w Szczecinie ATS TEAM;kom. 600 026 880;;
Serwis TV-SAT, Naprawa Urządzeń AGD Wojciech Maseli;kom. 501 489 623;;
Sklep Soft-PC.pl Tomasz Mikołajewski; ;;
SZLEM Sp. z o.o. Hurtownia Artykułów Gospodarstwa Domowego; ;;
TV COLOR SERWIS S.c.;tel./fax (52) 379 50 01;;
UNI-LUX Sp. z o.o.;tel. (22) 631 61 88;;
Usługowo-Handlowy Zakład Elektroniki TV TELMISS Zbigniew Stecko;kom. 602 212 576;;
UTV Serwis;tel. (22) 864 74 73;;
WROTEX T.A.S.K. Wrotek Sp.j.;fax (22) 735 01 78;;
Zakład Produkcji Metalowej Krzysztof Janik; ;;
Zakład Usług Elektrycznych inż. Mariusz Karbowski;tel. (91) 322 48 40;;
AVICOLD Oddział Częstochowa; ;;
Fabryczny Serwis Rainbow Aqua Star Sp. z o.o.; ;;
Galant Serwis Sp. z o.o.; ;;
HALION OZIMEK; ;;
Komis Serwis KAMELEON;kom. 791 991 307;;
STAMAL części zamienne AGD; ;;
WIZARD;kom. 517 469 414;;
1002 Drobiazgi Marzena Olejniczak;kom. 513 078 611;;
24Home.pl Barbara Mokry; ;;
2w1 Sklep Internetowy RTV i AGD Zmedia Sp. z o.o.;infolinia 0801 011 790;;
3CS - KitchenForm; ;;
4Utech S.c. A.Muchajer, M.Zalewska, J.Woch - Sklep Internetowy zaKupic.pl; ;;
5AC.PL Sklep Internetowy MANDI24;kom. 795 694 329;;
A-tech Serwis Sprzętu RTV i AGD;tel. (22) 698 07 12;;
A.Z.U. TECH-DOM;tel. (17) 854 54 63;;
A.Z.U.H. Vito - Serwis AGD;tel./fax (13) 43 624 16;;
A&A Serwis Naprawa Lodówek;kom. 512 309 309;;
AB S.A.;fax (71) 324 05 29;;
ABA-EKO-MORS Naprawa lodówek, zamrażarek i urządzeń chłodniczych - TANIO, SOLIDNIE;kom. 601 611 729;;
ABAD Naprawa Urządzeń Chłodniczych; ;;
Abc Bazyl Sp. z o.o.;tel. (22) 884 36 16;;
ABE Serwis Pralek i Zmywarek;kom. 602 102 571;;
Ablo Sp. z o.o. Salon Luksusowych Odkurzaczy;kom. 534 074 074;;
ADAMAR;kom. 501 248 748;;
ADAR; ;;
ADLER EUROPE GROUP;fax (22) 632 54 40;;
Adrian Jabłoński RESELLO; ;;
AGANDRE-Naprawa Pralek Automatycznych;kom. 600 908 975;;
AGAPOL;kom. 517 397 200;;
AGD BODEX;tel. (22) 811 73 69;;
AGD BY; ;;
AGD Eldom Partner AGD RTV;kom. 502 545 443;;
AGD Kontakt 24;kom. 513 056 613;;
AGD KUTNO Service Dom;kom. 693 548 515;;
AGD Lider Market - NORTBERG; ;;
AGD Limar Marek Sokulski;tel. (25) 759 67 68;;
AGD MARKET Sp. z o.o. mixmedia.pl;tel. (32) 727 54 34;;
