Aeroklub Pomorski;fax (56) 65 444 31;;
Aeroklub Częstochowski; ;;
Aeroklub Białostocki; ;;
Aeroklub Bielsko-Bialski;tel./fax (33) 815 18 79;;
Aeroklub DOLNOŚLĄSKI; ;;
Aeroklub Gdański; ;;
Aeroklub Gliwicki; ;;
Aeroklub Jeleniogórski;tel./fax (75) 752 37 01;;
Aeroklub Kielecki; ;;
Aeroklub Krakowski;kom. 535 549 324;;
Aeroklub Kujawski;kom. 693 353 228;;
Aeroklub Leszczyński;fax (65) 528 75 10;;
Aeroklub Lubelski; ;;
Aeroklub Łódzki im. kpt. pil. Franciszka Żwirki;fax (42) 687 09 14;;
Aeroklub Mielecki im. Braci Działowskich;fax (17) 788 77 20;;
Aeroklub Nadwiślański;fax (56) 468 18 42;;
AEROKLUB Nowy Targ; ;;
Aeroklub Opolski im. Lotników Powstania Warszawskiego; ;;
Aeroklub Ostrowski Lotnisko Michałków; ;;
Aeroklub Podkarpacki Szkoła Lotnicza;kom. 602 769 433;;
Aeroklub Polski; ;;
Aeroklub Poznański im. Wandy Modlibowskiej;fax (61) 878 07 41;;
Aeroklub Rzeszowski; ;;
AEROKLUB Słupski; ;;
Aeroklub Stalowowolski;kom. 668 095 892;;
Aeroklub Szczeciński;tel. (91) 461 55 50;;
Aeroklub Śląski w Katowicach;fax (32) 721 80 53;;
Aeroklub Warmińsko-Mazurski; ;;
AEROKLUB WARSZAWSKI;fax (22) 834 90 63;;
Aeroklub Wrocławski;tel. (71) 387 82 51;;
Aeroklub Ziemi Lubuskiej;fax (68) 321 30 11;;
Aeroklub Ziemi Pilskiej;kom. 604 414 369;;
Aeroklub Ziemi Wałbrzyskiej;kom. 604 203 332;;
Aeroklub Ziemi Zamojskiej; ;;
F3M Jakub Kowalski;kom. 601 314 614;;
