Agencja Artystyczna BAJLANDIA Katarzyna Słomska;kom. 691 177 997;;
Agencja Artystyczna WojArt; ;;
Agencja Eventowa Extomusic; ;;
MARVEL Sp. z o.o. Agencja Artystyczna Marvel Media;tel. (42) 676 34 44;;
Agencja Artystyczna Dobra Muzyka Aleksandra Kudełka; ;;
Agencja Artystyczna EMA Sp. z o.o.;kom. 515 227 788;;
Agencja Artystyczna Jazz Event; ;;
Agencja Artystyczna Kończal-Szwarc; ;;
Agencja Artystyczna PRIMA;kom. 602 376 212;;
Agencja Artystyczno Koncertowa CORAL;kom. 698 843 986;;
Agencja Artystyczno-Weselna BRUNO;kom. 667 112 821;;
AKADEMIA WOLNEGO CZASU; ;;
ANSEBA Music Agency;tel./fax (22) 679 61 57;;
CORELLI Marek Woźniak - Iluzjonista;kom. 601 226 984;;
Firma Usługowa DUO-FIX; ;;
GRUV ART Agencja Artystyczno-Reklamowa;tel. (61) 847 11 17;;
Karykaturzysta Warszawski; ;;
Krakow Event;kom. 508 326 259;;
KWARTET CAMERATA;tel./fax (22) 639 72 62;;
Iluzjonista Aleksander Dumała; ;;
ECCE HOMO XXI;kom. 500 368 411;;
Imprezy Firmowe;tel./fax (32) 423 11 32;;
Artystyczna Pracownia Upominków VINTORE; ;;
DOLINA SKRZATÓW; ;;
KREATIS; ;;
Perfect VIP Sprzedaż biletów VIP;kom. 602 271 423;;
Agencja Reklamowa FORMA-ART; ;;
Agencja VIP-art Event Marketing;kom. 506 184 248;;
GIGASOUND Technika Estradowa;kom. 698 663 689;;
REKLAMA Fullserwis;tel./fax (33) 489 14 05;;
Zespół Producencki Pro Futura Sp. z o.o.; ;;
Agencja Eventowa VITALL Events;kom. 664 935 000;;
Agencja Max Bonard Promotion;kom. 509 952 334;;
Agencja Promocji RENCOM;tel. (17) 300 03 80;;
Aratos Sp. z o. o. Agencja Fotograficzna i Reklamowa;kom. 730 048 057;;
ARI LIGHT; ;;
Biuro Podróży PERFEKT;tel. (75) 732 44 55;;
DREAM DANCE; ;;
Em Art Studio Agencja Reklamowo-Artystyczna;kom. 530 615 369;;
Fabryka Artystyczna;kom. 607 920 429;;
Galeria Sztuki Współczesnej BWA;tel./fax (32) 259 93 24;;
KLAUNI KULKI;kom. 514 980 401;;
ROY-SOUND Technika Estradowa Rafał Szafrański;kom. 601 734 122;;
Teatr Uliczny Z GŁOWĄ w CHMURACH Tomek Rodak; ;;
Akademia Urody Sabiny Jabłońskiej; ;;
Agencja Artystyczna SLY SN Project & Service; ;;
Agencja Artystyczno-Reklamowa DEJAVU ART; ;;
Agencja Eventów Historycznych Podemsky & Tusher; ;;
Agencja Muzyczna Blueled; ;;
Dominika Farbaniec Music Agency; ;;
Exodus Event; ;;
Kopalnia Kultury Agencja Artystyczna; ;;
Malko Tour Service - van and backline rental for bands; ;;
Quiz Show;kom. 606 270 477;;
Strefa Kreatywności; ;;
2P STUDIO Sp. z o.o.;kom. 502 324 068;;
4event.tv; ;;
8 Dzień Tygodnia Anna Latalska;tel. (42) 663 85 83;;
ABC Oprawa Muzyczna;kom. 604 514 680;;
Ada Music Sp. z o.o.;kom. 604 148 866;;
Adamiakjazz Sp. z o.o.;tel. (22) 890 90 90;;
ADAPTER Magdalena Falkowska;kom. 502 532 490;;
adArts - Agencja Artystyczna;kom. 518 671 352;;
ADMAL Agencja Artystyczna; ;;
AG-AGNE - Żurawina Studio - Vizartswizards; ;;
AGART Studio Sp. z o.o.;kom. 509 162 992 Agnieszka Gawron;;
Agencja - MG;kom. 668 143 400;;
Agencja 2XM;fax (61) 221 34 82;;
Agencja Aktorska ABSOLWENT; ;;
Agencja Aktorska GUDEJKO;tel. (22) 840 76 22;;
Agencja Aktorska JMC Studio;tel. (22) 487 85 55;;
Agencja Aktorska NOMINE; ;;
Agencja Aktorska OPTA S.c.;kom. 501 599 234;;
Agencja Aktorska PASSA; ;;
Agencja Aktorska PROZANO;tel./fax (22) 840 54 43;;
Agencja Aktorska Tradycja; ;;
Agencja ARTIS;kom. 668 183 075;;
Agencja Artystyczna; ;;
Agencja Artystyczna & Szkoła Tańca ARTFACTORY; ;;
Agencja Artystyczna ACORDEON;kom. 600 766 269;;
Agencja Artystyczna Adriana Miętka;kom. 603 608 091;;
Agencja Artystyczna AKRAT;kom. 605 595 059;;
Agencja Artystyczna ALFAMA; ;;
Agencja Artystyczna ALL-MUSIC;kom. 606 590 325;;
Agencja Artystyczna ALPHA; ;;
Agencja Artystyczna Andrzej Brdak; ;;
Agencja Artystyczna APPASSIONATO; ;;
Agencja Artystyczna ARENA;kom. 502 570 736;;
Agencja Artystyczna ARKADY; ;;
Agencja Artystyczna ArsVerbum, Teatr Fantazja;tel. (22) 643 90 22;;
Agencja Artystyczna Art 4 You;kom. 600 419 384;;
Agencja Artystyczna ART PROJEKT;fax (32) 270 47 13;;
