SPOT Management;tel./fax (71) 343 95 09;;
SPOT Management;kom. 604 995 985;;
Biznesshow;kom. 506 152 562;;
Biznesshow;kom. 502 941 504;;
STUDIO 1 Sp. z o.o.;tel. (22) 659 87 88;;
STUDIO 1 Sp. z o.o.;tel. (22) 668 55 05;;
Agencja Max Bonard Promotion;tel./fax (61) 812 22 57;;
Agencja Max Bonard Promotion;kom. 509 952 334;;
Agencja Promocji, Merchandisingu i Pracy Tymczasowej PRESTO Service Sp. z o.o. Sp.komandytowa;tel. (22) 874 03 06;;
Agencja Promocji, Merchandisingu i Pracy Tymczasowej PRESTO Service Sp. z o.o. Sp.komandytowa;fax (22) 874 03 07;;
DREAM DANCE;kom. 792 173 838;;
ReklaMal;tel. (91) 486 84 48;;
ReklaMal;kom. 602 306 553;;
Agencja Hostess i Modelek EMBASSY;kom. 797 127 775;;
Bellini;kom. 517 386 145;;
Instytut Kreatywności i Biznesu;kom. 536 960 440;;
Instytut Kreatywności i Biznesu;kom. 536 949 448;;
4 Group;kom. 609 702 069;;
8fi Model Management;kom. 888 800 880;;
8fi Model Management;kom. 722 222 044;;
Adeli Models-Agencja Modelek i Modeli;tel. (12) 430 18 82;;
Adeli Models-Agencja Modelek i Modeli;kom. 501 559 501;;
Agencja ESISTO;kom. 696 656 239;;
Agencja ESISTO;kom. 880 440 592;;
Agencja Eventowa Promode;kom. 512 157 093;;
Agencja Eventowa-Hostessowa EXIGENTE;kom. 503 121 060;;
Agencja Eventowa-Hostessowa EXIGENTE;kom. 508 854 839;;
Agencja GRABOWSKA MODELS;kom. 502 596 669;;
Agencja GRABOWSKA MODELS;kom. 693 230 444;;
Agencja GroupModels;kom. 693 154 515;;
Agencja Hostess BLACK;kom. 607 787 393;;
Agencja Hostess BLACK;kom. 505 090 029;;
Agencja Hostess DIAM;kom. 605 480 950;;
Agencja Hostess i Modelek MODY-FIKACJA;kom. 509 926 293;;
Agencja Hostess i Modelek MODY-FIKACJA;kom. 601 150 065;;
Agencja Hostess i Modelek SAM`S ANGELS;kom. 533 623 744;;
Agencja Hostess i Modelek SAM`S ANGELS;kom. 794 794 777;;
Agencja Hostess i Modelek VIVACE;tel. (22) 188 11 82;;
Agencja Hostess InPlus;kom. 793 104 388;;
Agencja Hostess MAX-SUN.PL;kom. 731 555 776;;
Agencja Hostessima;tel./fax (41) 340 26 28;;
Agencja Hostessima;kom. 660 235 399;;
Agencja Impresaryjna IGO-ART;tel. (42) 672 61 28;;
Agencja Impresaryjna IGO-ART;kom. 606 715 237;;
Agencja Merito;tel. (22) 851 10 75;;
Agencja Merito;kom. 508 841 949;;
Agencja Modelek ADMIS Sp. z o.o.;tel. (85) 732 02 88;;
Agencja Modelek ADMIS Sp. z o.o.;fax (85) 868 45 82;;
Agencja Modelek AP MODELS;tel. (71) 723 49 42;;
Agencja Modelek AP MODELS;kom. 609 845 174;;
Agencja Modelek BLUE MODELS;kom. 505 907 828;;
Agencja Modelek i Hostess Avocado Models;kom. 665 442 265;;
Agencja Modelek i Hostess BOŻENA oraz Wypożyczalnia Strojów;tel./fax (32) 203 33 54;;
Agencja Modelek i Hostess BOŻENA oraz Wypożyczalnia Strojów;kom. 602 221 109;;
Agencja Modelek i Hostess COCOMODELS;kom. 782 245 005;;
Agencja modelek i hostess DAMART;kom. 509 401 109;;
Agencja modelek i hostess DAMART;fax (32) 757 89 36;;
Agencja Modelek i Hostess Golden Models;kom. 606 333 307;;
Agencja Modelek i Hostess Golden Models;kom. 502 573 611;;
Agencja Modelek i Hostess LEMON TREE MODELS;kom. 607 607 274;;
Agencja Modelek i Hostess LEVEL-UP;kom. 695 723 666;;
Agencja Modelek i Hostess LEVEL-UP;kom. 606 289 111;;
Agencja Modelek i Modeli Princess,Agencja Reklamy i Promocji;kom. 601 891 999;;
Agencja Modelek i Modeli RAMA;tel. (14) 622 27 01;;
