CARGO SAD SERVICE Małgorzata Jankowska;kom. 661 480 881;;
CARGO SAD SERVICE Małgorzata Jankowska;kom. 500 550 070;;
CEL-MAR Sp.j.;tel. (41) 362 06 40 Agencja Celna;;
CEL-MAR Sp.j.;tel./fax (41) 368 72 32 Agencja Celna;;
PATERMAN POLSKA;kom. 608 089 003;;
Agencja Celna A-P Sp. z o.o.;tel. (91) 462 44 53;;
Agencja Celna A-P Sp. z o.o.;fax (91) 430 82 46;;
Agencja Celna GRAND Sp. z o.o.;tel./fax (52) 522 21 08;;
Agencja Celna GRAND Sp. z o.o.;kom. 695 981 428;;
Agencja Celna MASTER-POL;tel. (22) 606 92 91;;
Agencja Celna MASTER-POL;tel./fax (22) 606 82 91;;
Agencja Celna NUTKA S.c.;tel./fax (22) 811 57 07;;
Agencja Celna NUTKA S.c.;tel. (22) 775 38 29;;
Agencja Celna A&S;tel. (22) 679 18 66;;
Agencja Celna A&S;fax (22) 336 04 02;;
Agencja Celna ADA S.c.;tel./fax (81) 886 86 97;;
Agencja Celna ADA S.c.;kom. 508 290 106;;
Agencja Celna AR-CEL;tel./fax (44) 646 60 21;;
Agencja Celna AR-CEL;kom. 505 109 606;;
Agencja Celna ATA S.c.;fax (34) 360 22 93;;
Agencja Celna ATA S.c.;tel. (34) 360 16 41;;
Agencja Celna BRAWO;tel. (95) 759 63 87 Rzepin;;
Agencja Celna BRAWO;tel. (95) 758 57 26 Oddział w Śiwecku;;
Agencja Celna CEL-SAD;tel./fax (55) 232 67 47;;
Agencja Celna CEL-SAD;kom. 602 852 747;;
Agencja Celna INTOP SPED;tel./fax (91) 463 11 91;;
Agencja Celna INTOP SPED;kom. 502 269 570;;
Agencja Celna JolMar-SAD S.c.;tel. (85) 663 25 42;;
Agencja Celna MAGER;tel./fax (71) 358 14 73;;
Agencja Celna MAGER;kom. 600 683 006;;
Agencja Celna PERIBA Oddział Rzeszów;tel. (17) 862 20 22;;
Agencja Celna PERIBA Oddział Rzeszów;tel./fax (17) 852 60 19;;
Agencja Celna PODSTAWA Sp. z o.o.;tel./fax (42) 645 91 31;;
Agencja Celna PODSTAWA Sp. z o.o.;tel./fax (42) 645 76 22;;
Agencja Celna SAD;tel./fax (58) 623 33 38;;
Agencja Celna SAD;tel./fax (58) 663 95 97;;
Agencja Celna SAD KRAK Sp. z o.o.;tel. (12) 653 55 27;;
BRACH-POL Sp. z o.o.;tel. (84) 664 29 69;;
Celsped Sp. z o.o.;tel./fax (58) 621 93 09;;
Celsped Sp. z o.o.;tel. (58) 627 45 87;;
CERTUS Sp. z o.o. Agencja Celna i Spedycja;tel. (58) 622 38 84;;
CERTUS Sp. z o.o. Agencja Celna i Spedycja;fax (58) 622 35 82;;
CLT CELCONS;tel./fax (22) 731 81 29;;
CLT CELCONS;kom. 664 128 993;;
EURO-SPED-SERVICE Sp. z o.o.;tel. (86) 218 81 05;;
EURO-SPED-SERVICE Sp. z o.o.;kom. +48 698 666 600;;
LOGISPED Agencja Celna;tel. (42) 654 91 02;;
LOGISPED Agencja Celna;tel. (42) 650 03 66;;
Przedsiębiorstwo Krajowo-Zagraniczne PERIBA Sp. z o.o. Agencja Celna;tel. (32) 388 01 00;;
Przedsiębiorstwo Krajowo-Zagraniczne PERIBA Sp. z o.o. Agencja Celna;tel. (32) 388 01 24;;
Przedsiębiorstwo Krajowo-Zagraniczne PERIBA Sp. z o.o. Agencja Celna Oddział Mielec;kom. 608 049 765;;
Przedsiębiorstwo Krajowo-Zagraniczne PERIBA Sp. z o.o. Agencja Celna Oddział Mielec;tel. (17) 788 77 80;;
EXPOL Przedsiębiorstwo Transportowo Spedycyjne Sp. z o.o.;tel. (68) 323 97 65;;
EXPOL Przedsiębiorstwo Transportowo Spedycyjne Sp. z o.o.;tel. (68) 353 81 00;;
FASTAIR CARGO S.A.;fax (22) 576 40 91;;
FASTAIR CARGO S.A.;tel. (22) 868 21 43;;
Andrzej Stankiewicz Transport, Spedycja, Logistyka;tel./fax (32) 717 68 59;;
