ABONO;(91)4848871;;
ABONO;(91)4848887;;
KAMET S.c.;(32)3311001;;
KAMET S.c.;604287406;;
Przedsiębiorstwo Handlowe GESTOR;(71)3418474;;
Przedsiębiorstwo Handlowe GESTOR;691700139;;
S.I.A.P. Sp. z o.o.;(32)2382788;;
WAMTECHNIK Sp. z o.o.;(22)7012600;;
WAMTECHNIK Sp. z o.o.;(22)7012601;;
F.H.U. POLBAT;(74)6666630;;
F.H.U. POLBAT;(74)6666631;;
FHU ALEX;(25)7579700;;
FHU ALEX;605332231;;
GMG G.Grzelakowski;501284666;;
Maruszak-Hurt.pl Waldemar Maruszak;(94)3553628;;
NIPPON-TECH Sławomir Jopek;533343660;;
PPHU EMMA A.Grodecki;(58)3501493;;
PPHU EMMA A.Grodecki;(58)3501492;;
PPUH JÓZEF KUKLA Producent Prostowników Akumulatorowych;(33)8160413;;
PPUH JÓZEF KUKLA Producent Prostowników Akumulatorowych;668049717;;
Przedsiębiorstwo Wielobranżowe WAMPOL S.c.;(22)8315659;;
Przedsiębiorstwo Wielobranżowe WAMPOL S.c.;(22)8874241;;
TALES Sp. z o.o.;(12)4235740;;
TALES Sp. z o.o.;(12)4235782;;
VAS W.Czarnooki, S.Mikłasz Sp.j.;(32)3488888;;
VAS W.Czarnooki, S.Mikłasz Sp.j.;(32)3488889;;
VINNIC Leszek Osiński EXPORT-IMPORT Jolanta Osińska;(22)6652797;;
Z.P.U.H. TELTO;(46)8321150;;
Z.P.U.H. TELTO;(46)8332238;;
Biuro Przedstawicielskie Krzysztof Klepka;(22)6738162;;
Biuro Przedstawicielskie Krzysztof Klepka;(22)6738163;;
Centrum Akumulatorów Daniel Czajka;(61)6282103;;
Centrum Akumulatorów Daniel Czajka;506164933;;
ETA Spółdzielnia Pracy Elektroniki i Informatyki;(61)8410073;;
ETA Spółdzielnia Pracy Elektroniki i Informatyki;(61)8470161;;
ETC plus Sp. z o.o.;(41)2636811;;
ETC plus Sp. z o.o.;(41)2654443;;
VIXON-PLUS Sp.j.;(62)7362690;;
VIXON-PLUS Sp.j.;(62)7380210-sprzedaż;;
AKFON Andrzej Kapitan;(81)4465860;;
AKFON Andrzej Kapitan;(81)4465861;;
AUTOFACTOR S.c. MaxAkumulatory.pl;(41)3458500;;
AUTOFACTOR S.c. MaxAkumulatory.pl;510064271;;
Firma Elektroniczna Pixel;699403399;;
Hurtownia Elektryczna ELPORT;(32)2211569;;
Hurtownia Elektryczna ELPORT;(32)3263682;;
MERAWEX Sp. z o.o.;(32)2399400;;
MERAWEX Sp. z o.o.;(32)2399409;;
PPHU INEL S.c. Sławomir Chruściński, Zdzisław Polak;(44)6476864;;
PPHU INEL S.c. Sławomir Chruściński, Zdzisław Polak;(44)6499711;;
AM MOTO Anna Kruszyńska;(89)6452451;;
AM MOTO Anna Kruszyńska;607655112;;
BEGLI;(76)7291980;;
BEGLI;(76)7291982;;
MS-MOT Mariusz Sztabiński;(55)2460120;;
MS-MOT Mariusz Sztabiński;501665992;;
P.H. MAKRO;(58)3090075;;
P.H. MAKRO;(58)3066660;;
P.M.BUD Hurtownia Elektroniczno-Energetyczna;(32)2545106;;
P.M.BUD Hurtownia Elektroniczno-Energetyczna;(32)2053670;;
Virtus Sun Polska Sp. z o.o.;(56)6528963;;
Z.P.U.H. RAVIS S.c.;(77)4824500;;
Z.P.U.H. RAVIS S.c.;(77)4061490;;
7S - Baterie24.com;530515280;;
7S - Baterie24.com;792341404;;
A-B baterie trakcyjne;(22)7875126;;
A-B baterie trakcyjne;604336050;;
AGATER Hurt-Detal;(56)6457538;;
AGATER Hurt-Detal;602468910;;
Agencja Handlowa DŁUGOŁĘCCY Sp.j.;(42)6812277;;
AKBA Akumulatory;(22)7460535;;
AKBA Akumulatory;(46)8564595;;
AKKUPLANET.PL;(32)7558025;;
AKKUPLANET.PL;(32)7558024;;
AkumulatoryExpert.pl Dariusz Matuszak;664272595;;
AkumulatoryExpert.pl Dariusz Matuszak;694474525;;
ALTRA;(32)2979832;;
ALTRA;694355477;;
AM Electronics;(71)7142349;;
AM Electronics;505145753;;
ASSAI Sp. z o.o.;(71)3615311;;
ASSAI Sp. z o.o.;(71)7828467;;
AUTOMOTIVE EUROPE CORPORATION Sp. z o.o.;(22)7532927;;
AVER PPUH;(58)6600481;;
AVER PPUH;501447660;;
BALARE;(22)3390784;;
BALARE;(22)2169090;;
Baltrade Sp.j.;(58)5522020;;
Baltrade Sp.j.;509960425;;
BAT Sp.j.;(22)6313137;;
BATECH Sp.j.;669774784;;
BATECH Sp.j.;669774794;;
BATER Sp. z o.o.;(22)6648787;;
BATTECHNIK;(48)3602244;;
BATTECHNIK;(48)3606078;;
BeTeWu;(22)7247051;;
BeTeWu;501557377;;
BFind.pl Battery Finder;668147308;;
BPI-POLDHAM Sp. z o.o.;(22)8705225;;
BPI-POLDHAM Sp. z o.o.;(22)8705595;;
BTO Sp. z o.o.;(42)6724202;;
BTO Sp. z o.o.;(42)6724787;;
Comsystem S.c.;(94)3720609;;
Comsystem S.c.;(94)7160966;;
e-TANIX;725836770;;
ELBITECH Sp. z o.o.;(52)3533070;;
ELBITECH Sp. z o.o.;(52)3572661;;
ElectroPark Kalinowski i Wspólnicy Sp.j.;506452743;;
Elektroniczny Zakład Usługowy INVAR;790824221;;
Elektroniczny Zakład Usługowy INVAR;602779184;;
ENERGER.pl;669610660;;
EnerSys Sp. z o.o.;(33)8225381;;
EnerSys Sp. z o.o.;(33)8225200;;
EPROM;(22)6195478;;
EPROM;(22)8188437;;
F.H.U. FOTO AGA;(58)6822521;;
Firma Handlowa MIKROLITY;781030201;;
Firma Produkcyjno-Handlowa AKUAN;(33)4979489;;
Firma Produkcyjno-Handlowa AKUAN;502709590;;
fotoenergia.pl;(71)3457412;;
fotoenergia.pl;505255655;;
GP Battery (Poland) Sp. z o.o.;(22)5009500;;
GP Battery (Poland) Sp. z o.o.;(22)8467535;;
gustaf;886040786;;
Hoppecke Baterie Polska Sp. z o.o.;(61)6465000;;
Hoppecke Baterie Polska Sp. z o.o.;(61)6465001;;
Hurtownia ALMA;(89)5274775;;
Hurtownia ATUT;(89)5350561;;
Hurtownia Secco;(77)4559547;;
ICO Jacek Jaroszuk;(71)3634871;;
ICO Jacek Jaroszuk;(71)3634872;;
Justa Elektron Sp. z o.o.;(22)2184256;;
Justa Elektron Sp. z o.o.;(22)2184257;;
LERIA;509816726;;
LERIA;(94)3723139;;
Link Energy Solutions;(32)2317443;;
Link Energy Solutions;(32)2792591;;
Lupo Sp. z o.o.;501829067;;
MAXBAT Sp.j.;(75)7648353;;
MAXBAT Sp.j.;(75)7648153;;
MIX Maciej Łukasik;(42)6787582;;
MIX Maciej Łukasik;515859445;;
Mobilepower;(22)6184005;;
Motive Power baterie i prostowniki Sp.j.;605332708;;
Motive Power baterie i prostowniki Sp.j.;605332131;;
ORICOM S.c.;512360580;;
OVER IT;506660619;;
P.H. EMIX Sp.j.;(68)3254443;;
P.H. EMIX Sp.j.;(68)3254482;;
P.H.U. POLPIAST;(22)7236706;;
P.H.U. POLPIAST;(22)7538128;;
P.H.U.TECHPOL-SYSTEM;(32)7333349;;
P.H.U.TECHPOL-SYSTEM;505989937;;
P.P.H.P. ELEKTROTECH;(32)4578581;;
P.P.H.P. ELEKTROTECH;604453428;;
P.U.H. VERUS;(22)7744083;;
P.U.H. VERUS;(22)7745071;;
P.W. BATER;(32)2598215;;
P.W. BATER;(32)2538170;;
PIGAMI Sp. z o.o.;519424016;;
PPH LITEL;(58)3026250;;
PPH LITEL;500225445;;
Przedsiębiorstwo Wielobranżowe AKUBAT-SYSTEM Sp.j.;(61)8309393;;
Przedsiębiorstwo Wielobranżowe i Usług Akumulatorowych AKUSERWIS Sp. z o.o.;(61)8130922;;
Przedsiębiorstwo Wielobranżowe i Usług Akumulatorowych AKUSERWIS Sp. z o.o.;(61)8102127;;
R6 Przemysław Kasprzak;(91)4825792;;
R6 Przemysław Kasprzak;(91)4825794;;
RAMtech.pl Jarosław Żuk;(58)7321702;;
RAMtech.pl Jarosław Żuk;(58)7327398;;
RAMZES;609888668;;
REMNET Buszka Remigiusz;609247198;;
REMNET Buszka Remigiusz;(56)6904391;;
RS Components Sp. z o.o.;(22)2231111;;
RS Components Sp. z o.o.;(22)2231100;;
SEMI ELEKTRONIK mgr inż. Andrzej Pietrzak;(71)3670886;;
SEMI ELEKTRONIK mgr inż. Andrzej Pietrzak;509360178;;
SERVODATA SYSTEMS Sp. z o.o.;(22)4282620-21;;
SERVODATA SYSTEMS Sp. z o.o.;(22)6194021;;
SolTech Service - Telecom;(71)3115253;;
SolTech Service - Telecom;733306433;;
SONAR;(48)3893206;;
SONAR;793027979;;
Terjan-Miks Sp. z o.o.;(32)3020070;;
TOMCZONOK-Baterie;(32)2388879;;
TOMCZONOK-Baterie;602474844;;
WM Synergy Magolan Pawlak Sp.j.;787787809;;
Yolmar.pl Leszek Bachorz;(61)4366004;;
Yolmar.pl Leszek Bachorz;(61)4377911;;
Z.P.H.U. CEMAR S.c.;(32)3354335;;
Z.P.H.U. CEMAR S.c.;602516504;;
Zakład Usługowo Handlowy AKO-Serwis;(52)3277430;;
Zakład Usługowo Handlowy AKO-Serwis;605826290;;
ZOLAN S.A.;(46)8635027;;
ZOLAN S.A.;(46)8636177;;
AUTO BATERIA AKUMULATORY Justyna Wybraniak;721345292;;
Maurelli Poland;(32)2165990;;
Maurelli Poland;508815551;;
PHU Art-Max Artur Majewski;(22)6311688;;
PHU Art-Max Artur Majewski;601502778;;
ALLPLAY Łukasz Trojan;507777563;;
ALLPLAY Łukasz Trojan;501173777;;
Anteny ROBEX;(71)3253402;;
Anteny ROBEX;(71)3253403;;
APROVA Dystrybucja Akumulatorów;510876410;;
APROVA Dystrybucja Akumulatorów;797583890;;
Auto-Kram;(25)6330901;;
AutomaEko - Odnawialne Źródła Energii;884999456;;
Axel Electronics II;(71)3419307;;
Axel Electronics II;600438861;;
Baterie Przemysłowe Sp. z o.o.;(22)8775496;;
Baterie Przemysłowe Sp. z o.o.;(22)8771466;;
E-LAN Maciej Madejczyk;667025356;;
E-LAN Maciej Madejczyk;663387144;;
Elektro-Mobil;793976553;;
Elektro-Mobil;665976553;;
Elektronik Sprzedaż Serwis RTV;510101051;;
Elektronik Sprzedaż Serwis RTV;(86)2723254;;
ELEMAT-C Hurtownia Elektryczna Hurt-Detal;(61)8676088;;
ELEMAT-C Hurtownia Elektryczna Hurt-Detal;(61)6617360;;
ELS Partner;(71)7071402;;
ELS Partner;(71)7071493;;
ELTEK Polska Sp. z o.o.;(91)4852440;;
ELTEK Polska Sp. z o.o.;(91)4834986;;
EPS System;(32)6236688;;
EPS System;(32)6236953;;
F.H.U. ARKA;(12)2927571;;
F.H.U. ARKA;607122005;;
Firma Handlowo-Usługowa KOMEL;883442727;;
Firma Handlowo-Usługowa KOMEL;530364336;;
GAMMA Sp. z o.o.;(22)8627500;;
GAMMA Sp. z o.o.;(22)8627501;;
HERMESALFA Sp. z o.o.;601590492;;
HERMESALFA Sp. z o.o.;(83)3113218;;
HUMA Co. A.H.Oknińscy Sp.j.;(22)7740865;;
HUMA Co. A.H.Oknińscy Sp.j.;(22)7741323;;
ICOM Polska Sp. z o.o.;(58)5510484;;
ICOM Polska Sp. z o.o.;(58)5500427;;
InfoMac Sp. z o.o. Sp.komandytowa;(94)3728840;;
InfoMac Sp. z o.o. Sp.komandytowa;(94)3728848;;
INTER-HURT Sp.j.;(85)7422303;;
INTER-HURT Sp.j.;(85)7432985;;
KDWT impuls;(61)6513300-02;;
KDWT impuls;(61)6513304;;
LAMET Agnieszka Słojewska;(22)7719611;;
MBS Systems S.c.;(55)6193005;;
MBS Systems S.c.;(55)6193004;;
Modern HST M.P.Prytulak Sp.j.;(29)7645628;;
Modern HST M.P.Prytulak Sp.j.;(29)7600233;;
NOWIMEX S.c.;(22)8168579;;
NOWIMEX S.c.;(22)8946464;;
OGNIK Hurtownia Elektrotechniczna;(61)8681505;;
P.H.U. KOMAN;(22)4094527;;
Prolimit Sp. z o.o.;(32)2549050;;
Prolimit Sp. z o.o.;601553818;;
Przedsiębiorstwo TMD Sp. z o.o.;(48)3606504;;
Przedsiębiorstwo TMD Sp. z o.o.;(48)3606557;;
PTHU TOKAREX;(82)5631212;;
PTHU TOKAREX;(82)5661113;;
SCALAK S.c.;(22)8131006;;
SCALAK S.c.;(22)8704971;;
TELZAS Sp. z o.o.;(94)3729750;;
TELZAS Sp. z o.o.;(94)3729800;;
Usługowy Warsztat Elektryczny Kościelski Czesław;607089964;;
www.akumulatoryzelowe.pl;(58)7322183;;
www.akumulatoryzelowe.pl;(58)7322261;;
Zakład Produkcyjno-Handlowy DORIS;(23)6553180;;
Zakład Remontu i Dozoru Akumulatorów AKU-ZRIDA;(22)6128968;;
Zakład Remontu i Dozoru Akumulatorów AKU-ZRIDA;608118566;;
ZHU TELMAR;(52)3974818;;
ZHU TELMAR;602782750;;
