ANTYKI skup sprzedaż komis Marta Laskowska;(58)5551464;;
ANTYKI skup sprzedaż komis Marta Laskowska;602375241;;
Akant Renowacja Mebli i Stolarki Budowlanej;(71)3443783;;
Akant Renowacja Mebli i Stolarki Budowlanej;(71)3448836;;
ANTIKSAWA Sawa Sawaszkiewicz;512352331;;
ANTIKSAWA Sawa Sawaszkiewicz;505098426;;
ArtSakr;(24)2771322;;
ArtSakr;(24)2775494;;
Decoris Recreo;506511326;;
Felipe Aranżacje Sławomir Jahns;504202345;;
Firma Roka;(56)6635402;;
Firma Roka;509725538;;
Galeria Dynasy;606200668;;
Konserwacja Obrazów i Dzieł Sztuki Grażyna Hattowska;889591156;;
Renowacja Mebli Antycznych Robert Kudełko;(12)2852185;;
Renowacja Mebli Antycznych Robert Kudełko;609515588;;
Zakład Renowacji Antyków i Stolarstwa Artystycznego Retro-Paweł Dereń;502462163;;
Zakład Renowacji Antyków i Stolarstwa Artystycznego Retro-Paweł Dereń;(77)4356533;;
GEM-ART Aukcje Sp. z o.o.;(61)8518810;;
GEM-ART Aukcje Sp. z o.o.;727590500;;
NAUTILUS Galeria i Dom Aukcyjny Sp. z o.o. Sp.komandytowa;(12)4229160;;
NAUTILUS Galeria i Dom Aukcyjny Sp. z o.o. Sp.komandytowa;(12)4329440;;
Usługi Grawerskie Jacek Preiss;(91)5732723;;
Usługi Grawerskie Jacek Preiss;600677551;;
Antique&Art;(22)8284545;;
Antyki Kozłowski;600236362;;
AR Projekt Pracownia Witraży i Szkła Artystycznego;725007247;;
AR Projekt Pracownia Witraży i Szkła Artystycznego;(58)5548724;;
ARGENTUM Renowacje;(24)2771832;;
ARGENTUM Renowacje;(24)2772943-45;;
ARMA - CCS Silesia sp. z o.o.;(32)2824866;;
ART STYL Jerzy Tomkowiak;508171699;;
ART STYL Jerzy Tomkowiak;512225101;;
FHUP New Art;(32)6776916;;
FHUP New Art;503790811;;
FORM STUDIO Pracownia Rzeźbiarska Marek Stankiewicz;602112166;;
FORM STUDIO Pracownia Rzeźbiarska Marek Stankiewicz;(12)3935383;;
Galeria Edyty Wittchen;601991991;;
Galeria Edyty Wittchen;601886886;;
Galeria Sztuki Współczesnej BWA;(32)2599040;;
Galeria Sztuki Współczesnej BWA;(32)2599324;;
Konserwacja Dzieł Sztuki;600896308;;
Krakowski Gabinet Numizmatyczny Piotr Skawiński, Andrzej Fischer Sklep Numizmatyczny, Skup Sprzedaż i Wycena;(12)4219788;;
Krakowski Gabinet Numizmatyczny Piotr Skawiński, Andrzej Fischer Sklep Numizmatyczny, Skup Sprzedaż i Wycena;609674606;;
Muzeum im. Jerzego Dunin-Borkowskiego;(24)2523347;;
Muzeum im. Jerzego Dunin-Borkowskiego;(24)2524496;;
PHU Tapicerstwo;(46)8339076;;
PHU Tapicerstwo;509934534;;
PIMAX Introligatornia Artystyczna;(94)3416983;;
PIMAX Introligatornia Artystyczna;509177782;;
Pracownia Architektury Wnętrz i Mebli Barbara Siwczyńska;601546654;;
Pracownie Konserwacji Dzieł Sztuki S.c. K.Białkiewicz, K.Dzienniak;(32)2632991;;
Pracownie Konserwacji Dzieł Sztuki S.c. K.Białkiewicz, K.Dzienniak;609181058;;
ANTIQUE BEAUTY;600644555;;
Antyki, Meble z Holandii i Belgii;661850526;;
Galeria Srebra i Światła R&R;730600553;;
Galeria Srebra i Światła R&R;(42)2073472;;
MALARSTWO Sylwia Cybulska-Wilkoń;506838770;;
Odessa Meble;513610310;;
AB Antyki i Sztuka;(52)3461133;;
AB Antyki i Sztuka;(52)3485229;;
AKON Galeria Antyków;(22)6352080;;
AKON Galeria Antyków;508136468;;
ALICJA Alicja Śmiarowska;601611076;;
ALICJA Alicja Śmiarowska;(58)5731600;;
An24is;(22)4733728;;
ANTIK;605060662;;
Antik Mobel Kała Zbigniew Kała;(34)3524377;;
Antik Mobel Kała Zbigniew Kała;602616370;;
ANTIK-BAZAR Meble Antyczne Stanisław Wojtachnio;(22)6224070;;
ANTIK-BAZAR Meble Antyczne Stanisław Wojtachnio;601237827;;
ANTIQUES;(32)2814653;;
ANTIQUES;602270277;;
ANTIQUES A& B Matłosz;508153223;;
Antiques Galeria Antyki;(91)4336009;;
Antiques Handel Dziełami Sztuki;(61)8532875;;
Antiques&Art Jan Leszczyłowski;(058)5517855;;
Antiquo;795400097;;
Antoni Zapała Renowacja mebli i antyków;(41)3622362;;
Antoni Zapała Renowacja mebli i antyków;515848779;;
Antyczne Klimaty;(89)5276105;;
Antyczne Klimaty;607611000;;
ANTYCZNY SALONIK;609362331;;
ANTYCZNY SALONIK;(62)7366844;;
ANTYK Andrzej Malewicki;(85)7433844;;
ANTYK Andrzej Malewicki;602308065;;
ANTYK DECO;(77)4420200;;
Antyk Mebel Przemysław Ćwiek;(68)3554723;;
Antyk Mebel Przemysław Ćwiek;698658037;;
Antyk-Styl Jan Kaczmarek;606812658;;
Antyki;(32)2493203;;
Antyki;502670037;;
ANTYKI;(42)6406960;;
ANTYKI - Kopalnia Marzeń S.c.;(22)6797728;;
ANTYKI - Kopalnia Marzeń S.c.;607606400;;
ANTYKI - Renowacja Mebli Władysław Pleśniak;(75)7646051;;
ANTYKI - Renowacja Mebli Władysław Pleśniak;692426572;;
Antyki - Starocie - Porcelana ANTIKS;663855567;;
Antyki & Retro Zegarmistrz Krystian Macegoniuk;607590081;;
ANTYKI + Cięcie ploterem CNC;(32)4470929;;
ANTYKI + Cięcie ploterem CNC;500088085;;
Antyki Angielskie;601356265;;
Antyki AR;(71)3410297;;
ANTYKI ARLO;(22)6200872;;
ANTYKI ARLO;601379535;;
Antyki Bolesław Duraj;504078966;;
Antyki d`Raculi;(68)3275214;;
Antyki d`Raculi;(68)3275127;;
Antyki Dąbrowa Górnicza Sp.komandytowa;(32)2624788;;
Antyki Dąbrowa Górnicza Sp.komandytowa;501411605;;
Antyki GABI;668423304;;
Antyki GABI;601769829;;
Antyki GALERIA Stanisław Łojniewski;604377610;;
ANTYKI Galeria-Pracownia;(22)8397174;;
ANTYKI Galeria-Pracownia;606607449;;
ANTYKI Gniezno Jerzy Kaźmierczak;(61)4258202;;
ANTYKI Gniezno Jerzy Kaźmierczak;602799723;;
Antyki Gostyń Wielkopolski;(65)5722417;;
Antyki Gostyń Wielkopolski;695201517;;
Antyki Halka;694725209;;
Antyki Hermes Maria Cichowska;668183679;;
Antyki Home Decor Katarzyna Sosenko;(12)4232246;;
ANTYKI I DZIEŁA SZTUKI Grażyna Niezgoda;(16)6785479;;
Antyki i Militaria;(12)4212802;;
ANTYKI i STAROCIE;602342769;;
Antyki Jacek Przymęcki;602641779;;
ANTYKI Jan Komecki;(91)4850345;;
ANTYKI Jan Komecki;604513610;;
Antyki Koneser;(32)2454683;;
Antyki Kupno Sprzedaż Art-Retro Andrzej Godecki;(042)6748546;;
Antyki Kupno Sprzedaż Art-Retro Andrzej Godecki;695296668;;
Antyki L.S. Sijka;(52)3988833;;
Antyki L.S. Sijka;602186938;;
ANTYKI Marta Łozowska, Anna Ramm;(85)7447851;;
Antyki Niemcza;503137620;;
ANTYKI POD WIEŻĄ;663897054;;
ANTYKI POD WIEŻĄ;602450071;;
Antyki Przy Świętojańskiej;(52)3225858;;
Antyki Renowacja i Sprzedaż;(22)6119833;;
Antyki Renowacja i Sprzedaż;(22)6119852;;
Antyki Renowacja Mebli Zabytkowych Marian Ulfik;(34)3576258;;
