Excor Sp. z o.o.;(42)6335373;;
BARWA;887722002;;
BUD-KOR Sp. z o.o.;507059353;;
BUD-KOR Sp. z o.o.;(77)4060173;;
IMPUREX;(22)5602666;;
IMPUREX;(22)6634312;;
J.W-SYSTEM Konstrukcje i Antykorozja;600326786;;
MAR-TOM Sp. z o.o.;(58)3071189;;
MAR-TOM Sp. z o.o.;(58)3071837;;
MARINE COATING Sp. z o.o.;(91)3262935;;
MARINE COATING Sp. z o.o.;(91)3262936;;
Plasma SYSTEM S.A.;(32)3511320;;
Plasma SYSTEM S.A.;(32)3511329;;
Przedsiębiorstwo Wielobranżowe KORBUDEX;(32)7716059;;
Przedsiębiorstwo Wielobranżowe KORBUDEX;502321038;;
SZATKOWSKI S.c.;(52)3223161;;
SZATKOWSKI S.c.;(52)5524260;;
TMC Poland;(12)4192833;;
WICH-PIACH;(34)3905741;;
WICH-PIACH;607084026;;
DARPOŻ Dariusz Wesołowski;(22)8446557;;
DARPOŻ Dariusz Wesołowski;(22)8442592;;
Galwanizeria Sosnowiec;(32)2666304;;
Galwanizeria Sosnowiec;728466117;;
GREJSPOL-WEST Sp. z o.o.;(77)4060170;;
GREJSPOL-WEST Sp. z o.o.;(77)4060173;;
KLUTHE POLAND Sp. z o.o.;(48)6635552;;
KLUTHE POLAND Sp. z o.o.;(48)6635305;;
P.P.H.U. BLUE FLAME;504252362;;
Piaskowanie Henryk Cichy;785331957;;
Piaskowanie Henryk Cichy;669616444;;
Piaskowanie Malowanie Zabezpieczenia Antykorozyjne Stanisław Żelasko;(18)4417922;;
Piaskowanie Malowanie Zabezpieczenia Antykorozyjne Stanisław Żelasko;502146617;;
RUST CHECK POLAND Sp. z o.o.;661615106;;
RUST CHECK POLAND Sp. z o.o.;(22)8396705;;
TRAKON Zdzisław Kowalewski;886887986;;
TRAKON Zdzisław Kowalewski;511511788;;
Renospol Sp. z o.o. Sp.komandytowa;723238108;;
DAMAR Przedsiębiorstwo Usług Specjalistycznych;(58)6991222;;
DAMAR Przedsiębiorstwo Usług Specjalistycznych;(58)6991223;;
ALPINA Sp. z o.o.;(81)7489111;;
ALPINA Sp. z o.o.;(81)7489110;;
AVIS Anna Wiśniewska;509682949;;
AVIS Anna Wiśniewska;(58)3249916;;
BATO Jelenia Góra;691898102;;
BATO Jelenia Góra;601791983;;
CIS Sp. z o.o Spółka Komandytowa;(34)3680956;;
CIS Sp. z o.o Spółka Komandytowa;608376636;;
EMBER;(24)3620081;;
EMBER;(24)3620632;;
Firma EL-MAX;661730840;;
Firma EL-MAX;501969227;;
MULTIMETAL;(34)3664477;;
MULTIMETAL;(34)3683458;;
P.W. SALUS Bartłomiej Borówka;796771009;;
P.W. SALUS Bartłomiej Borówka;888247817;;
TECHNICOAT Sp. z o.o.;(32)2149015;;
TECHNICOAT Sp. z o.o.;(32)2149014;;
Agencja Anticorr Wrocław Sp. z o.o.;(71)3527930;;
Alpin-Art Przemysław Adamczyk;503690189;;
ANCORA Sp. z o.o.;(58)3420331-32;;
ANCORA Sp. z o.o.;(58)3420333;;
ANTICOR PPH Sp. z o.o.;(12)2883333;;
ANTICOR PPH Sp. z o.o.;(12)2891800;;
BELSE Sp. z o.o.;(33)8100718;;
BELSE Sp. z o.o.;(33)8100720;;
Centrum Antykorozji RESIN;(12)2751727;;
Centrum Antykorozji RESIN;(12)2751746;;
EL-PRE-SERWIS S.c.;508234601;;
EL-PRE-SERWIS S.c.;508234597;;
Prowet Pokrycia Techniczne Sp. z o.o.;(71)7187402;;
Przedsiębiorstwo Handlowo-Usługowe PIASKON Sp. z o.o.;(32)7541320;;
Przedsiębiorstwo Handlowo-Usługowe PIASKON Sp. z o.o.;(32)7330553;;
Przedsiębiorstwo Remontowo-Budowlane ERBUD Sp. z o.o.;(32)7391796;;
Przedsiębiorstwo Remontowo-Budowlane ERBUD Sp. z o.o.;(32)7391800;;
SPEC-BUD Przedsiębiorstwo Renowacji i Konserwacji Budowli;(81)4735440;;
SPEC-BUD Przedsiębiorstwo Renowacji i Konserwacji Budowli;535181605;;
VEHICLE CARE SYSTEM Sp. z o.o.;(58)3432666;;
Centrum Lakiernictwa Przemysłowego Ślązok;512183777;;
Centrum Lakiernictwa Przemysłowego Ślązok;691856243;;
CLIMBEX S.A.;(77)4236257-58;;
Firma TSC Powłoki ochronne antykorozyjne;502235001;;
Firma TSC Powłoki ochronne antykorozyjne;(32)2257950;;
GOREM Sp. z o.o.;(58)3474752;;
HTH-Novotech Sp. z o.o.;(32)2554071;;
HTH-Novotech Sp. z o.o.;(32)2555483;;
MEKROL Przedsiębiorstwo Produkcyjno-Wdrożeniowe Sp. z o.o.;(12)4115045;;
Otis-TD;(58)6612313ul.Śląska;;
Otis-TD;(58)6632023ul.Krzywoustego;;
P.P.H. REWA Tomasz Reszka;(44)7143703;;
P.P.H. REWA Tomasz Reszka;(44)7104809;;
P.U.H. De facto;602626202;;
P.U.H. De facto;(62)7331495;;
P.U.H. IZOLARZ S.c.;502648649;;
TATRA Janusz Szczepański;602640414;;
Warsztat Samochodowy PPUH Marek Flis;(22)6185802;;
Warsztat Samochodowy PPUH Marek Flis;606980529;;
Zakład Usługowy TERWAL;601245526;;
Zakład Usługowy TERWAL;(24)3647674;;
ALPIN-TERM Prace Wysokościowe, Analiza Termiczna;572877957;;
Regeneracja Turbosprężarek TurboOne;539799799;;
Dom-Kon;(25)7922682;;
Dom-Kon;(25)6917288;;
SPRAY Adam Borodo - GRACO;601613550;;
SPRAY Adam Borodo - GRACO;530613550;;
ANTYKOR Zakład Usługowo-Handlowy Mirosław Wiśniewski;502625057;;
BAKI HydroSystem Bartłomiej Dworczyński;792343791;;
BAKI HydroSystem Bartłomiej Dworczyński;790390628;;
Bres-Bud Michał Jarek;660404838;;
Bres-Bud Michał Jarek;662189174;;
Krown Polska Sp. z o.o.;782221220;;
A.B.P. Piaskowanie;692484627;;
AD SYSTEMS;726752773;;
ALCHEM;(52)3321581;;
ALCHEM;(52)3324003;;
Algan Sp. z o.o.;603614178;;
Algan Sp. z o.o.;(91)5613721;;
AMK;601302511;;
ANBUD;(18)4429698;;
ANBUD;601505178;;
ANTIKOR Sp. z o.o.;(74)8513380;;
ANTIKOR Sp. z o.o.;(74)8575167;;
Antykor Sp. z o.o.;(58)3072463;;
Antykor Sp. z o.o.;(58)3072467;;
antykorozja DOMIKOR;(58)6828654;;
antykorozja DOMIKOR;697626551;;
Antykorozja Józef Piwowarczyk;(12)4140550;;
Antykorozja Józef Piwowarczyk;(12)4142037;;
AROR Sp. z o.o.;(12)6861311;;
ARTO-Artur Bober;503074554;;
ATP SERVICE;725771285;;
ATP SERVICE;723206254;;
AUTO SANETRA;(22)6118359;;
AWERS;721743953;;
AWERS;(44)7873821;;
BEMAKOR Sp. z o.o.;(58)7620696;;
BEMAKOR Sp. z o.o.;(58)7620695;;
BENVOLIO Sp. z o.o.;(58)3443942biuroGdańsk;;
BENVOLIO Sp. z o.o.;(58)7284274;;
Blaskor;502141462;;
Blaskor;505027535;;
BOR-POL Sp. z o.o.;(32)7153926;;
BOR-POL Sp. z o.o.;(32)7153509;;
BOST Sp. z o.o.;(22)8261246;;
BOST Sp. z o.o.;501279403;;
BUDOMAT-1;(32)2685754;;
C.C. Montage Sp. z o.o.;(54)2325144;;
C.C. Montage Sp. z o.o.;(54)2314272;;
Carboline Polska Sp. z o.o.;(58)3420784;;
Carboline Polska Sp. z o.o.;(58)3023680;;
Centrum Antykorozji;606625507;;
Centrum Zabezpieczeń Antykorozyjnych;(013)4934720;;
CES dr inż.Jacek Bordziłowski;501505529;;
CES dr inż.Jacek Bordziłowski;(58)5520226;;
Clean-Technik Kamil Basta;510435526;;
COVER EUROENGINEERING Sp. z o.o.;(24)2685005;;
COVER EUROENGINEERING Sp. z o.o.;(24)2642054;;
CZYŚCIOCH Konserwacja i Czyszczenie Zbiorników po Produktach Płynnych;(91)4623334;;
DEKOR-SERVICE F.P.U.H.;(48)6680318;;
DEKOR-SERVICE F.P.U.H.;604426743;;
ENERGON Sp. z o.o.;(56)6588306;;
ERKOR Zabezpieczenia Antykorozyjne i Ogniochronne;(52)3711595;;
ERKOR Zabezpieczenia Antykorozyjne i Ogniochronne;601795019;;
EURO-BUD;(24)3665160;;
F.H.U POMPEX;509478805;;
F.H.U. AGMA;518652058;;
F.H.U. ARO;886455037;;
F.H.U. KUBUS;600246979;;
F.H.U. KUBUS;692446630;;
F.H.U. Magor;692294136;;
F.H.U. Magor;602853648;;
F.U. CARS;799201391;;
F.U.H. SANDBLAST;663762792;;
FELGOM.PL - PIASKERS;666600721;;
FIGO-PIACH;660315198;;
Firma ANKOR;(61)6516904;;
Firma ANKOR;601757075;;
Firma Handlowa BARWA;(41)3022570;;
Firma Handlowa BARWA;(41)3022571;;
Firma Prac Malarskich ARTAN Anna Bargiel;(32)7974957;;
Firma Prac Malarskich ARTAN Anna Bargiel;795449916;;
Firma PRAMAX;(17)8544009;;
Firma PRAMAX;608298348;;
Firma RENOVATIO;727272816;;
Firma RENOVATIO;727272817;;
Firma Skośkiewicz Kazimierz;(22)7826360;;
Firma Skośkiewicz Kazimierz;605403096;;
Firma Wielobranżowa Tomasz Grabus;667773033;;
FLOOR-SYSTEM Sławomir Leduchowski;(22)4997762;;
FLOOR-SYSTEM Sławomir Leduchowski;601218730;;
FLUID FILM POLSKA Zabezpieczenia Antykorozyjne;503515075;;
FPUH JAMAR;501219041;;
FRYKAR Zakład Robót Antykorozyjnych;(32)2811267;;
GESTIMMO Sp. z o.o.;(61)6707889;;
GESTIMMO Sp. z o.o.;(61)6469668;;
GMG-SERWIS;510042801;;
GMG-SERWIS;503101651;;
Grupa Kapitałowa BALTIC INVESTMENT Sp. z o.o.;(32)2793214;;
Henryk Kuśnierz Usługi Porządkowe;693066651;;
HYDROTECH Przedsiębiorstwo Usługowe-Handlowe;(91)4489021;;
INTERKORR Sp. z o.o.;(12)6433305;;
Intrapol II Sp. z o.o.;(33)8611105;;
Jamalex Sp. z o.o.;515237007;;
Jamalex Sp. z o.o.;(65)6194326;;
JANTAR S.c.;(74)8406106;;
JANTAR S.c.;(74)8406107;;
KATO Sp. z o.o.;(32)2858879;;
KLINER Jarosław Pirowski;(58)6793167;;
KLINER Jarosław Pirowski;(58)6212189;;
