Antykwariat Zubrzyckich;(75)7719983;;
Antykwariat Zubrzyckich;889512453;;
Bielski Antykwariat Naukowy Małgorzata Malczewska;(33)8228494;;
CoinArt Sklep Numizmatyczny;(22)6200688;;
CoinArt Sklep Numizmatyczny;887877287;;
ANTIKSAWA Sawa Sawaszkiewicz;512352331;;
ANTIKSAWA Sawa Sawaszkiewicz;505098426;;
Antique&Art;(22)8284545;;
BOOKER Aleksandr Owramko - Księgarnia Rosyjska;(22)8261736;;
BOOKER Aleksandr Owramko - Księgarnia Rosyjska;504015457;;
Księgarnia Friendly Books-Antykwariat;(58)7750899;;
Księgarnia Friendly Books-Antykwariat;(58)7753115;;
LITERADO;500520238;;
LITERADO;(32)3004360;;
NewCraft.eu;(32)3330022;;
NewCraft.eu;505015264;;
Zakład Renowacji Antyków i Stolarstwa Artystycznego Retro-Paweł Dereń;502462163;;
Zakład Renowacji Antyków i Stolarstwa Artystycznego Retro-Paweł Dereń;(77)4356533;;
Antykwariat Książkowo-Muzyczny Amicus;514092499;;
Antykwariat Saski Allcollect Sp. z o.o.;668131619;;
Antykwariat Saski Allcollect Sp. z o.o.;602302624;;
@ntykwariat;(42)2581323;;
@ntykwariat;691553538;;
1 A Tradovium Antykwariat;694132364;;
ANTOLOGIA Antykwariat i Skład Książek;(22)4035201;;
ANTOLOGIA Antykwariat i Skład Książek;696684467;;
ANTYKWARIAT;503549272;;
Antykwariat;792334086;;
Antykwariat;501561620;;
ANTYKWARIAT - sklep z antykami, skup antyków;504147004;;
Antykwariat Abecadło;(12)4310060;;
Antykwariat Anna i Waldemar Furs;(75)7525797;;
Antykwariat Anna i Waldemar Furs;(75)7621836;;
Antykwariat ANTYKI BUKOWSKI;(91)4337761;;
Antykwariat ANTYKI BUKOWSKI;601704578;;
Antykwariat Archiwum Emilia Kulczycka;536206577;;
Antykwariat Archiwum Emilia Kulczycka;792711133;;
Antykwariat ATTICUS;(022)8282056;;
Antykwariat DAES Dariusz Stoces;(71)3437280;;
Antykwariat Defanti;601098999;;
Antykwariat ELIBRI;(52)3238109;;
Antykwariat Exlibris Elżbieta Figiel;(74)6406052;;
Antykwariat Exlibris Elżbieta Figiel;608068297;;
Antykwariat GALICJA;(12)4226660;;
Antykwariat Górski FILAR;(41)3456219;;
Antykwariat Górski FILAR;502397162;;
Antykwariat HISTORICON;(22)3021756;;
Antykwariat i Księgarnia Tezeusz;(18)3313613;;
Antykwariat i Księgarnia Tezeusz;604331847;;
Antykwariat i Pracownia BAROK;(61)8227305;;
Antykwariat im. Andrzeja Jaworskiego;(71)7806659;;
Antykwariat im. Jana Konstantego Żupańskiego;(61)8526312;;
Antykwariat Internetowy MINERWA;519652145;;
Antykwariat Internetowy NIE TYLKO DLA MOLI;784088234;;
Antykwariat językowy booklooker.pl;502339731;;
Antykwariat JULIA;(52)3222344;;
Antykwariat Kresowy Krzysztof Kołtun;(82)5647299;;
Antykwariat Krzysztof Dydyna;500228239;;
Antykwariat Książka Dla Każdego;(022)6633919;;
Antykwariat Książki e-antykwariat.net;(12)3984151;;
Antykwariat Książki e-antykwariat.net;(12)3984152;;
Antykwariat Książki ROSA;(61)8643303;;
Antykwariat Księgarski;(95)7221404;;
Antykwariat Księgarski Józef Nowosielski;(12)4226288;;
Antykwariat Księgarski K&K Ujma;501557578;;
Antykwariat Księgarski MISCELLANEA;(12)4226421;;
Antykwariat Kwadryga;(22)6221154;;
Antykwariat Librarium;(44)7150844;;
Antykwariat LIBRARIUS Krzysztof Tomczyk;603966464;;
Antykwariat Literacki LITERACKI.COM;(32)2200561;;
ANTYKWARIAT Maciej Bakuła bakula.pl;505122673;;
ANTYKWARIAT Maciej Bakuła bakula.pl;502260912;;
Antykwariat Margo;607956707;;
Antykwariat MIT;(42)6310711;;
Antykwariat MIT;514113128;;
Antykwariat MUNERA;570970725;;
Antykwariat Naukowy im. Aleksandra Krawczyńskiego;(58)3058850;;
Antykwariat Naukowy Małgorzata Chabińska;(71)3437239;;
Antykwariat Naukowy Wydawnictwo Antykwaryczne im. Andrzeja Metzgera Igor Metzger;(41)3432544;;
Antykwariat Nicolaus;(058)3063375;;
Antykwariat OMNIBUS;(32)3604202;;
Antykwariat P.H.U. Calinotheca;(22)4034983;;
Antykwariat P.H.U. Calinotheca;509297348;;
Antykwariat PIOTRUŚ PAN Piotr Filipek;501897921;;
Antykwariat Podkarpacki;(13)4366598;;
Antykwariat POLIART;(32)2857439;;
Antykwariat POLIART;(32)2846936;;
Antykwariat Polski;(22)1006650;;
Antykwariat Polski;(22)1006478;;
Antykwariat Pomorski II;(91)4344481;;
Antykwariat Pomorski II;501355308;;
Antykwariat RARA AVIS s.c.;(12)4220390;;
Antykwariat RARA AVIS s.c.;(12)4291648;;
Antykwariat RECYKLINGPAPIERU;(22)8952775;;
Antykwariat Skrypt;(12)4301029;;
ANTYKWARIAT SOBIESKI Paweł Kołata;609772993;;
Antykwariat SYNOPSIS;516411314;;
Antykwariat Szkolny i nie tylko;600422415;;
Antykwariat Szkolny-Księgarnia z Podręcznikami MARMAG;604135100;;
Antykwariat Taniej Książki BIBLIOMANIA;(22)6253321;;
Antykwariat Toruński;667663320;;
Antykwariat Troszkiewiczów;(22)6257222;;
Antykwariat Troszkiewiczów;(22)6268909;;
Antykwariat Vivarium;668452208;;
Antykwariat Vivarium;605995223;;
Antykwariat WOLUMEN;(34)3248811;;
Antykwariat WOLUMEN;602466237;;
Antykwariat Wójtowicz S.c.;(12)4296326;;
Antykwariat Wójtowicz S.c.;(12)4227326;;
Antykwariat WU-EL;(91)4888697;;
Antykwariat WU-EL;516173489;;
Antykwariat Zakładka Marcin Gałązka;501285268;;
Antykwariat Zapomniana Książka Daniel Popiołek;664457746;;
Antykwariat-Książki Jan i Grażyna Mazurek;(91)4229318;;
Antykwariat-Księgarnia;(32)2317038;;
Antykwariat-Księgarnia;530830008;;
Bydgoski Antykwariat Naukowy;(52)3221977;;
e-księgarnia i antykwariat PARALALA;606692520;;
e-księgarnia i antykwariat PARALALA;(56)6484085;;
FHU Katrina;(62)5903205;;
FHU Katrina;534057607;;
Gabinet Książek i Rycin Antykwariat;(42)6331891;;
Gabinet Książek i Rycin Antykwariat;606675531;;
Galeria Ars Antiqua;(12)2945815;;
Galeria Ars Antiqua;602628984;;
Galeria Pod Iglicą Sp. z o.o.;600919711;;
Galeria Pod Iglicą Sp. z o.o.;602222825;;
Galeria Porcelany POMPADOUR;500135400;;
Galeria-Antykwariat Connaisseur;(22)6541989;;
Galeria-Antykwariat Connaisseur;601224422;;
Internetowy i Stacjonary Antykwariat-M.Jaśniewicz monetyiantyki. pl;508271958;;
Komis Różności-Antykwariat Krystyna Kowalke;(58)6868436;;
Krakowski Antykwariat Naukowy Anna Stecka, Edward Edwin Śmiłek;(12)4212143;;
Krakowski Antykwariat Naukowy Anna Stecka, Edward Edwin Śmiłek;(12)4326560;;
LIBRARIUM;722222077;;
LNP Antyki Antykwariat;782022502;;
Lubelski Antykwariat Naukowo-Kulturowy;(81)4669291;;
Lubelski Antykwariat Naukowo-Kulturowy;697176337;;
Media-Mix Sklep Internetowy Antykwariat na Kazimierza;794661641;;
Media-Mix Sklep Internetowy Antykwariat na Kazimierza;885616940;;
Nowy Wspaniały Świat;667968020;;
NUTY Antykwariat Maria Skrzyńska;(58)5569258;;
NUTY Antykwariat Maria Skrzyńska;502066758;;
Oldskul.com.pl - Antykwariat Internetowy;783305803;;
Oldskul.com.pl - Antykwariat Internetowy;721690280;;
Pod Gryfami;(71)3444193wew.11;;
PPHU NIKA;(85)6620505;;
R&R Inwestycje - Antykwariat Szkolny;500205637;;
R&R Inwestycje - Antykwariat Szkolny;508399443;;
RHYTMOS Wilgocki Jerzy, Loba-Wilgocka Urszula;(61)8257840;;
Salonik Antykwaryczny;(91)3270135;;
Salonik Antykwaryczny;607637531;;
sklep-komiksowy.pl;691178936;;
Sub Rosa Tomasz Banasiak;516568913;;
Szarlatan;606675207;;
Toruński Antykwariat Księgarski;607768375;;
Verbum;(12)4210007;;
Warszawski Antykwariat Naukowy KOSMOS;(22)6286582;;
Agencja Wydawnicza PROMOCJA;(017)5831498;;
Agencja Wydawnicza PROMOCJA;602739362;;
Antrakt Cafe;(22)8276411;;
Antykwariat Antyczek;(71)3169194;;
Antykwariat Kalita Andrzej Dolińczyk;(44)7864556;;
Antykwariat Kalita Andrzej Dolińczyk;603660456;;
Antykwariat MEBLERETRO Marcin Dereń;(77)4333028wew.306;;
Antykwariat MEBLERETRO Marcin Dereń;502462162;;
Antykwariat Numizmatyczno-Filatelistyczny;(22)6295111;;
Antykwariat Numizmatyczny Michał Niemczyk;(22)6204574;;
Antykwariat Numizmatyczny Michał Niemczyk;(22)6200348;;
ANTYKWARNIA-Księgarnia Niezależna;(34)3249467;;
ARTCONS DELIMAT;601991176;;
ARTCONS DELIMAT;(71)3526609;;
Centrum Edukacyjno-Językowe eStudiante;(76)7222054;;
Centrum Edukacyjno-Językowe eStudiante;509779886;;
DESA Dzieła Sztuki i Antyki Sp. z o.o.;(32)2537045;;
DESA Dzieła Sztuki i Antyki Sp. z o.o.;(32)2539922;;
FELIS - Sklep Internetowy ANTYK-WARIAT;790470550;;
