EuroVend Poland;667755499;;
As Vending Sp. z o.o. Sp.komandytowa;(32)4747044;;
As Vending Sp. z o.o. Sp.komandytowa;(32)4747044w.25;;
JACKPOL Autoryzowany Operator Vendingowy;601980796;;
KAWOMAT Sp. z o.o.;608424544;;
KAWOMAT Sp. z o.o.;(61)8460630;;
ARGENTA Polska Sp. z o.o.;(77)4372700;;
DELCO Perspective & Business;(22)4908418;;
DELCO Perspective & Business;(22)4908417;;
FUH LESPOL Leszek Trusiło;(94)3462390;;
FUH LESPOL Leszek Trusiło;501711070;;
SAT-VEND s.c.;(81)7285149;;
SAT-VEND s.c.;501115149;;
VEMAT Automaty Żywnościowe;(61)8103346;;
VEMAT Automaty Żywnościowe;601702123;;
VendoCafe;601505105;;
VendoCafe;509895525;;
FLINT Sp. z o.o.;(22)3318134;;
FLINT Sp. z o.o.;(22)3318135;;
MK Marine;(91)4624693;;
MK Marine;(91)4624660;;
ABI;501018527;;
Advanced Vending Technologies;667970690;;
Advanced Vending Technologies;(68)4114366;;
AG FOODS Sp. z o.o.;(33)8158040;;
AG FOODS Sp. z o.o.;(33)8158047;;
AGARICUS;602354305;;
AGNEX;605226579;;
AGNEX;511446884;;
ALL4VENDING S.c.;(48)3893215;;
ALL4VENDING S.c.;664213872;;
AROMA CAFE;(56)6550201;;
AROMA CAFE;602745003;;
ART-KLIMA Sp.j.;(22)2435248;;
ART-KLIMA Sp.j.;784680338;;
AS Lotus;(68)4594477;;
AS Lotus;508151205;;
ASMB Automaty Sprzedające Marcin Boborowski;(34)3720739;;
ASMB Automaty Sprzedające Marcin Boborowski;602114232;;
AUTOMAT-SPEC Sp. z o.o. Sp.komandytowa;(12)2806541;;
AUTOMAT-SPEC Sp. z o.o. Sp.komandytowa;609110887;;
Automaty Samosprzedające Żoczek Janusz;609330929;;
AVG VENDING;793350333;;
BATEX;(22)8633816;;
BATEX;502057450;;
BiCafe Sp. z o.o.;(61)8174341;;
Black Coffee;(22)7833874;;
Black Coffee;501599977;;
CAFE BLUE;604411344;;
cafe+co DELIKOMAT Sp. z o.o.;(33)4850500;;
cafe+co DELIKOMAT Sp. z o.o.;(33)4850555;;
CityVending;502291392;;
Coffee Break Sp.j.;500476475;;
COFFEE PARTNER;668467737;;
CONCEPT AUTOMATIC;(32)7220549;;
DAISY VENDING;(61)8194906;;
DAISY VENDING;502673405;;
Dallmayr Vending & Office Sp. z o.o. Sp.komandytowa;(71)7275500;;
Dallmayr Vending & Office Sp. z o.o. Sp.komandytowa;(71)7275502;;
DCI Vending;516169680;;
DCI Vending;516169670;;
DomKawy.pl Metro Automat;664961293;;
DomKawy.pl Metro Automat;(77)5571151;;
DTS Vending;(71)7913111;;
DTS Vending;603997557;;
EDDEX-VENDING Edyta Ochocińska;(22)8350201;;
EDDEX-VENDING Edyta Ochocińska;502057302;;
EKSPERT Marketing Promocja;(59)8471990;;
EKSPERT Marketing Promocja;602664858;;
ELVEMA S.c.;(52)5519588;;
ELVEMA S.c.;601268580;;
ENDURANCE S.c.;(34)3878688;;
ENDURANCE S.c.;537777757;;
ENJOY CAFE;666309666;;
ESADA CAFE Błażej Martuszewski;500255255;;
ESADA CAFE Błażej Martuszewski;513106776;;
Euro Vending Group Sp. z o.o.;509151578;;
Expreso Vending;(91)4833021;;
Expreso Vending;601526257;;
EXPRESSO;(58)6622220;;
EXPRESSO;(58)6685990;;
F.H. LEKO Maciej Kołowrotkiewicz;502501705;;
F.H.U. ZORZA;(12)4218471;;
Firma Wielobranżowa VIMA Marek Grzybek;605831328;;
GalexVending;(32)7003710;;
GalexVending;507178768;;
GASTROM Dariusz Szybiński;602762663;;
Golden Fruit;(32)4485549;;
Golden Fruit;508369397;;
GREEN-FIELD PPHU;(68)3280962-63;;
GREEN-FIELD PPHU;(68)3280965-66;;
ICE COKE SERVICE;(22)7236694;;
ICE COKE SERVICE;(22)7230100;;
Ideal Group Sp z o.o.;(85)6712555;;
Ideal Group Sp z o.o.;(85)7421408;;
IMPERIAL;502605238;;
JULIA CAFE;(71)3174582;;
JULIA CAFE;600852457;;
KAPELA Cafe;607456541;;
KAPELA Cafe;607456542;;
kawowe.com.pl;(34)3709185;;
kawowe.com.pl;(34)3709368;;
KLIO Automaty Sprzedające;(71)3878819;;
KLIO Automaty Sprzedające;605960709;;
KOWIK S.c.;883552263;;
KOWIK S.c.;501121197;;
MALKAR Automaty Sprzedające;603601391;;
MARBOX automaty sprzedające;(13)4356729;;
MARBOX automaty sprzedające;607166166;;
MARKO-CAFE Dystrybutory Do Napojów;(71)7815792;;
MARVEN VENDING;732616161;;
MARVEN VENDING;511766687;;
MATECO Automaty Vendingow Anna Słupska;(32)2585858;;
MATECO Automaty Vendingow Anna Słupska;500100395;;
Modulo System;607639373;;
MultiCafe;600903925;;
N&W Global Vending Sp. z o.o.;(22)8631884;;
N&W Global Vending Sp. z o.o.;(22)8631885;;
ORION;(91)4881163;;
P.H.U. VENKOR;(89)5131616;;
P.H.U. VENKOR;(89)5131824;;
P.U.H. IKWA S.c.;(61)8689305;;
P.U.H. IKWA S.c.;(61)8630237;;
PERFECTA TRADE Sp. z o.o.;665412411;;
PERFECTA TRADE Sp. z o.o.;(12)6650088;;
PHU ASS S.c.;(68)3750558;;
PJP Vending;786291113;;
PLOH Sp. z o.o.;(22)7330693;;
Pol-Vending S.c.;(71)3510150;;
Pol-Vending S.c.;602102419;;
POLEN-PRO;(32)7218535;;
POLMAR;(17)8636832;;
POLMAR;695102623;;
Polska Grupa Vendingowa Sp. z o.o.;(24)2545512;;
PRO-CAFE Vending Systems;(87)6217849;;
PRO-CAFE Vending Systems;604468012;;
PROTEIN MACHINE;502540771;;
PROTEIN MACHINE;506790070;;
RAFAGO;(32)2037578;;
Rheavendors Polska Sp. z o.o.;(61)8429833;;
SG Complex Tech;(41)3456417;;
SG Complex Tech;505097678;;
SPARTAN Urządzenia Vendingowe;501544937;;
SPECTRUM automaty do napojów;502172010;;
SPECTRUM automaty do napojów;509206421;;
STATOR Sp. z o.o.;(71)3392002;;
STATOR Sp. z o.o.;(71)3392006;;
TVS Automaty Vendingowe;503797877;;
United Vending Polska Sp. z o.o.;(22)7220802;;
United Vending Polska Sp. z o.o.;507175520;;
VEND PROJECT;786817381;;
VENDER Polska S.c.;691427821;;
VENDI-MAR;(17)2299001;;
Vending Style;(91)4330476;;
Vending Style;503022320;;
VENDSERWIS Dariusz Maliszewski;(22)6142891;;
VENDSERWIS Dariusz Maliszewski;608354248;;
VENDY;888725400;;
VIVA S.c.;(42)6544309;;
X-Line Sp. z o.o.;663400444;;
Zniczomaty Dawid Cyprowski;792335959;;
ARM LEPSZA WODA i AUTOMATY Robert Andrejczuk;793240331;;
ARM LEPSZA WODA i AUTOMATY Robert Andrejczuk;509034225;;
CAROL Karol Orzełek;728338217;;
