ABR SESTA Sp. z o.o.;(22)3226500;;
ABR SESTA Sp. z o.o.;(22)3226501;;
Studio Focus;(22)6285116;;
Studio Focus;(22)7730029;;
MEDIA-TOR Badania Rynku;(42)6308831;;
Pracownia Badań Społecznych i Marketingowych SOMA;(56)6521572;;
Fokus Studio Badania Marketingowe Kowalski Robert;601593544;;
Fokus Studio Badania Marketingowe Kowalski Robert;663593544;;
LMK Studio Badań Jakościowych;502104207;;
PBS Sp. z o.o.;(58)5506070;;
4 Business & People Sp. z o.o.;(22)8321516;;
ATW Doradztwo Biznesowe Sp. z o.o.;601407806;;
ATW Doradztwo Biznesowe Sp. z o.o.;(32)2443668;;
ConQuest Consulting;(22)8255645;;
ConQuest Consulting;(22)8753765;;
FAAS Trading Sp. z o.o.;784006620;;
FAAS Trading Sp. z o.o.;507427377;;
Delta Contact Sp. z o.o.;(22)5749300;;
Delta Contact Sp. z o.o.;728980865DziałSprzedaży;;
Agencja Reklamy i Marketingu ARTUR KURKIEWICZ S.c.;(32)2583350;;
Agencja Reklamy i Marketingu ARTUR KURKIEWICZ S.c.;601525693;;
CERTUS Sp. z o.o. Sp.komandytowa;(17)8522623;;
CERTUS Sp. z o.o. Sp.komandytowa;(17)8621187;;
Directan Sp. z o.o.;504009812DziałHandlowy;;
Directan Sp. z o.o.;(61)8439880;;
Holding Profit;(12)2949292;;
Holding Profit;(12)2663163;;
INDALO Sp. z o.o.;(22)6987078;;
INDALO Sp. z o.o.;(22)6987024;;
Katedra Polityki Europejskiej, Finansów Publicznych i Marketingu Wydział Nauk Ekonomicznych SGGW w Warszawie;(22)5934060;;
Katedra Polityki Europejskiej, Finansów Publicznych i Marketingu Wydział Nauk Ekonomicznych SGGW w Warszawie;(22)5934077;;
Omikron dr Karol Chrabański;(32)2551550;;
Omikron dr Karol Chrabański;(32)2561231;;
Realexperts.pl Sp. z o.o.;501472169;;
Realexperts.pl Sp. z o.o.;(22)4120323;;
Contact&Research Center Poland Sp. z o.o.;508327832;;
reScope - badania marketingowe;501761705;;
4P Research Mix Sp. z o.o.;(22)5652750;;
4P Research Mix Sp. z o.o.;(22)5652760;;
ABC Software Sp. z o.o.;(22)8783192;;
ABC Software Sp. z o.o.;694046025;;
ABM Agencja Badań Marketingowych Sp. z o.o.;60027255;;
ABM Agencja Badań Marketingowych Sp. z o.o.;602589095;;
Adviser Sp. z o.o.;(22)6404984;;
Adviser Sp. z o.o.;(22)6404983;;
AEKJ - Niezależne Biuro Komunikacji Marketingowej;509157003;;
AEKJ - Niezależne Biuro Komunikacji Marketingowej;500497360;;
AGB Nielsen Media Research Sp. z o.o.;(22)8643190;;
AGB Nielsen Media Research Sp. z o.o.;(22)8642390;;
Agencja Ad Hoc Sp. z o.o.;(22)8266736;;
Agencja Ad Hoc Sp. z o.o.;(22)8266343;;
Agencja Badania Opinii Publicznej Rynku i Reklamy REOPINION;660667991;;
Agencja Badania Rynku CeBRiS Sp. z o.o.;(71)7382279;;
Agencja Badania Rynku CeBRiS Sp. z o.o.;535771217;;
Agencja Badań Marketingowych Syntetos. New Market Research;(061)6708234;;
Agencja Badawcza SAKKADA S.c.;(58)6982165;;
Agencja Badawcza SAKKADA S.c.;(58)7351165;;
Agencja Badawczo-Marketingowa Fast Solutions;536180387;;
Agencja Badawczo-Marketingowa Fast Solutions;(17)7852296;;
Agencja Promocji i Badań Rynku PRC SERVICES;506758386;;
Agencja Remark It;502577937;;
Agencja Remark It;697061511;;
AMPS Agencja Marketingowa Sp. z o.o.;(22)6216965;;
AMPS Agencja Marketingowa Sp. z o.o.;602589095;;
AMR Consulting;600100315;;
AMR Consulting;(71)7245859;;
ankietaplus.pl;509129883;;
ARC Rynek i Opinia Sp. z o.o.;(22)5848500;;
ARC Rynek i Opinia Sp. z o.o.;(22)5848501;;
ASM Centrum Badań i Analiz Rynku Sp. z o.o.;(24)3557700;;
ASM Centrum Badań i Analiz Rynku Sp. z o.o.;(24)3557703;;
AT Research Sp. z o.o.;(61)8261905;;
AT Research Sp. z o.o.;(61)8261911;;
ATENA Research & Consulting;(22)4008610;;
ATENA Research & Consulting;605053685;;
BADANIA MARKETINGOWE Joanna Kuncer-Zajączkowska;(89)5420703;;
BADANIA MARKETINGOWE Joanna Kuncer-Zajączkowska;606902905;;
BBM Biuro Badań Marketingowych;(65)5204035;;
BCMM-Badania Marketingowe Sp. z o.o.;(32)2513986;;
BCMM-Badania Marketingowe Sp. z o.o.;(32)2515300;;
BD Center;(17)8552029;;
BD Center;(17)8581294;;
BEELINE Research & Consulting;603850305;;
BIOSTAT Statystyka & Projektowanie Badań;(32)4221707;;
BIOSTAT Statystyka & Projektowanie Badań;(32)2032275;;
Biuro Badań i Analiz Statystycznych;698311284;;
Biuro Badań i Analiz Statystycznych;(17)2500517;;
Biuro Badań Społecznych OBSERWATOR;(12)2926535;;
Biuro Badań Społecznych OBSERWATOR;(12)3983810;;
Biuro Badań Społecznych Question Mark;(42)2073300;;
Biuro Badań Społecznych Question Mark;602771879;;
Biuro Badawczo-Analityczne DiS;604278364;;
Biuro Badawczo-Analityczne DiS;602705408;;
BOSQO;(17)8628242;;
BOSQO;605170592;;
CEBARYD;(22)6162709;;
CEBARYD;502736998;;
CEM Instytut Badań Rynku i Opinii Publicznej Sp. z o.o.;(12)6375438;;
CEM Instytut Badań Rynku i Opinii Publicznej Sp. z o.o.;(12)6386913;;
Centrum Badań Marketingowych INDICATOR Sp. z o.o.;(22)5951595;;
Centrum Badań Marketingowych INDICATOR Sp. z o.o.;(22)5951596;;
Centrum Badań Marketingowych TEST;(58)6632121;;
Centrum Badań Marketingowych TEST;(58)6662255;;
Centrum Badań Stosowanych Ultex Ankieter Sp. z o.o.;(61)8621797;;
Centrum Badań Stosowanych Ultex Ankieter Sp. z o.o.;(61)8621798;;
Centrum Monitorowania Opinii Internautów Sp. z o.o.;881609010;;
Centrum Monitorowania Opinii Internautów Sp. z o.o.;726337141;;
Centrum Monitorowania Rynku Sp. z o.o.;(22)4013420;;
Centrum Monitorowania Rynku Sp. z o.o.;600204179;;
Centrum Prawa Bankowego i Informacji Sp. z o.o.;(022)4868400;;
Centrum Prawa Bankowego i Informacji Sp. z o.o.;(022)4868403;;
DNM Solutions Mystery Clients;(58)7112217;;
DNM Solutions Mystery Clients;510777323;;
Doradztwo Społeczne i Gospodarcze;609499230;;
EEI Market Research;(22)6352170;;
EEI Market Research;694477801;;
ESTYMATOR Badanie Rynku i Opinii;(22)8274762;;
ESTYMATOR Badanie Rynku i Opinii;605440839;;
Eurodoradca Sp. z o.o.;(32)7784214;;
Eurodoradca Sp. z o.o.;(32)2374742;;
Europejski Instytut Jakości Sp. z o.o.;(22)4389364;;
Exploreo Sp. z o.o.;(71)7180001;;
Firma Handlowo-Usługowa FOCOMP-service;(12)3975251;;
Firma Handlowo-Usługowa FOCOMP-service;602884411;;
Firma P.P.H.U.;(42)6542913;;
Firma P.P.H.U.;606989666;;
Fitch Polska S.A.;(22)3386280;;
Fitch Polska S.A.;(22)3386230;;
Fokus Studio;601383623;;
Fokus Studio;601184528;;
FPL Sp. z o.o.;(42)6300900;;
FPL Sp. z o.o.;(42)6303993;;
FSK Fokus Studio Kielce;(41)2630644;;
FSK Fokus Studio Kielce;697833133;;
Fundacja Centrum Badania Opinii Społecznej - CBOS;(22)6934725;;
Fundacja Centrum Badania Opinii Społecznej - CBOS;(22)6934693;;
GfK Polonia Sp. z o.o.;(22)4341000;;
GfK Polonia Sp. z o.o.;(22)4341010;;
GLOBAL-METODI;513961808;;
Grupa Badawcza DSC Sp. z o.o.;793913202;;
Grupa Badawcza DSC Sp. z o.o.;795713303;;
GRUPA IQS Sp z. o.o.;(22)5926300;;
GRUPA IQS Sp z. o.o.;(22)8254870;;
H-consulting;(77)4039207;;
H-consulting;513093354;;
HGM;(22)6679964;;
HGM;602731598;;
HIGH KNIGHTS CONSULTING;694540841;;
Human Marketing Research;790790318;;
Human Marketing Research;723457340;;
HumanGraph Sp. z o.o.;(22)4033069;;
HumanGraph Sp. z o.o.;(22)4033079;;
IBP Research;(12)4229025;;
IMAS International Sp. z o.o.;(71)7710800;;
IMAS International Sp. z o.o.;(71)7710801;;
Incognito;(12)4281040;;
Incognito;501471777;;
INDEKS Ośrodek Badań Społecznych i Marketingowych;502625176;;
INFOGET;606759144;;
INNY FORMAT Sp. z o.o.;696471104;;
INNY FORMAT Sp. z o.o.;696471111;;
Inquiry Sp. z o.o.;(22)8325150;;
INSE Research;(42)6300140;;
Instytut Badań i Rozwoju;609594043;;
Instytut Badań Konsumenckich i Sensorycznych Sp. z o.o.;882027770;;
