Bank Spółdzielczy w Aleksandrowie Łódzkim;(42)7122112;;
Bank Spółdzielczy w Aleksandrowie Łódzkim;(42)2763905;;
Bank Spółdzielczy w Czarnym Dunajcu;(18)2657196;;
Bank Spółdzielczy w Czarnym Dunajcu;(18)2613089;;
Bank Spółdzielczy w Oleśnicy;(71)3980060;;
Bank Spółdzielczy w Oleśnicy;(71)3144081;;
Bank Spółdzielczy w Ostrowcu Świętokrzyskim;(41)2661210;;
Bank Spółdzielczy w Ostrowcu Świętokrzyskim;(41)2661211;;
Bank Spółdzielczy w Przemkowie;(76)8319315;;
Bank Spółdzielczy w Przemkowie;(76)8319398;;
Bank Spółdzielczy w Rzeszowie;(17)8523184;;
Bank Spółdzielczy w Rzeszowie;(17)8623067;;
Bank Spółdzielczy w Strzyżowie;(17)2760060;;
Bank Spółdzielczy w Strzyżowie;(17)2761010;;
Bank Spółdzielczy Ziemi Kraśnickiej w Kraśniku;(81)8840600;;
Bank Spółdzielczy Ziemi Kraśnickiej w Kraśniku;(81)8840444;;
Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie;(85)6760007;;
Podlasko-Mazurski Bank Spółdzielczy w Zabłudowie;(85)6647170;;
Polski Bank Spółdzielczy w Wyszkowie;(29)7435200;;
Polski Bank Spółdzielczy w Wyszkowie;(29)7435219;;
Bank Polskiej Spółdzielczości S.A.;(22)5395100;;
Bank Polskiej Spółdzielczości S.A.;(22)5395222;;
Bank Spółdzielczy;(24)2617072;;
Bank Spółdzielczy;(24)2617004;;
Bank Spółdzielczy w Brańsku;(85)7319500;;
Bank Spółdzielczy w Brańsku;(85)7319501;;
Bank Spółdzielczy w Gryficach;(91)3842546;;
Bank Spółdzielczy w Gryficach;(91)3845079;;
Bank Spółdzielczy w Oławie;(71)3818300;;
Bank Spółdzielczy w Oławie;(71)3818303;;
Bank Spółdzielczy w Płońsku;(23)6630900;;
Bank Spółdzielczy w Płońsku;(23)6630901;;
Bank Spółdzielczy w Wolbromiu;(32)6472060;;
Bank Spółdzielczy w Wolbromiu;(32)6442310;;
Deutsche Bank Polska S.A.;0801118118;;
Deutsche Bank Polska S.A.;(12)6258118;;
Bank Spółdzielczy;(25)6824799;;
Bank Spółdzielczy;(25)6822797;;
Bank Spółdzielczy w Andrespolu;(42)2132043;;
Bank Spółdzielczy w Andrespolu;(42)2134633;;
Bank Spółdzielczy w Brzesku;(14)6862010-12;;
Bank Spółdzielczy w Gogolinie;(77)4666404;;
Bank Spółdzielczy w Gogolinie;(77)4666387;;
Bank Spółdzielczy w Księżpolu;(84)6877411;;
Bank Spółdzielczy w Księżpolu;(84)6877330;;
Bank Spółdzielczy w Łęcznej;(81)7527310;;
Bank Spółdzielczy w Łęcznej;(81)7527318;;
Bank Spółdzielczy w Łubnianach;(77)4215001;;
Bank Spółdzielczy w Łubnianach;(77)4215036;;
Bank Spółdzielczy w Piotrkowie Kujawskim;(54)2654030;;
Bank Spółdzielczy w Piotrkowie Kujawskim;(54)2654963;;
Bank Spółdzielczy w Sejnach;(87)5173472Kredyty;;
Bank Spółdzielczy w Sejnach;(87)5173521Depozyty;;
Bank Spółdzielczy w Smętowie Granicznym;(58)5619090;;
Bank Spółdzielczy w Smętowie Granicznym;(58)5619103;;
Bank Spółdzielczy w Sztumie;(55)2671300;;
Bank Spółdzielczy w Sztumie;(55)2772935;;
Bank Spółdzielczy w Tarnobrzegu;(15)8223300;;
Bank Spółdzielczy w Tarnobrzegu;(15)8239223;;
Bank Spółdzielczy w Wielopolu Skrzyńskim;(17)2214866;;
Nadwiślański Bank Spółdzielczy w Solcu-Zdroju;(41)3776031;;
Nadwiślański Bank Spółdzielczy w Solcu-Zdroju;(41)3776032;;
SGB-Bank S.A.;(61)6472846;;
SGB-Bank S.A.;0800888888;;
Centrum Finansów PAMA;(58)7367666;;
Centrum Finansów PAMA;794044444;;
Centrum Kredytowe Nowy Sącz;664421719;;
Centrum Kredytowe Nowy Sącz;(18)4413305;;
SKOK Rafineria;0801508085;;
SKOK Rafineria;(58)3406990;;
ABS Bank Spółdzielczy;(33)8753577;;
ABS Bank Spółdzielczy;(33)8704165;;
Agencja PKO 3631;(95)7817022;;
Agencja PKO 3631;796740422;;
Agencja PKO Bank Polski S.A.;(67)2580474;;
Alior Bank S.A.;(22)5552323;;
Alior Bank S.A. Placówka Partnerska w Brzesku;(14)6864620;;
Bałtycki Bank Spółdzielczy;(94)3143641;;
Bałtycki Bank Spółdzielczy;(94)3143922;;
Bank BPH;666614669;;
Bank BPH;666614662;;
Bank Gospodarki Żywnościowej S.A.;(22)8604000;;
Bank Gospodarki Żywnościowej S.A.;(22)8605000;;
Bank Gospodarstwa Krajowego;(22)5229112;;
Bank Gospodarstwa Krajowego;(22)6270378;;
Bank Handlowy w Warszawie S.A.;(22)6577200;;
Bank Handlowy w Warszawie S.A.;(22)6925023;;
Bank Millennium S.A.;(022)5984040;;
Bank Millennium S.A.;0801331331;;
Bank Ochrony Środowiska S.A.;(22)8508720;;
Bank Ochrony Środowiska S.A.;(22)8508891;;
Bank Ochrony Środowiska S.A. Oddział w Szczecinie;(91)4800602;;
Bank Ochrony Środowiska S.A. Oddział w Szczecinie;(91)4800601;;
Bank Pekao S.A.;(22)6560000;;
Bank Pekao S.A.;(22)6560004;;
Bank Pocztowy S.A.;(52)3499100;;
Bank Pocztowy S.A.;(52)3270407;;
Bank Rumia Spółdzielczy;(58)6710038;;
Bank Rumia Spółdzielczy;(58)6712639;;
Bank Spółdzielczy;(55)2722544;;
Bank Spółdzielczy;(55)2722462;;
Bank Spółdzielczy;(75)7787306;;
Bank Spółdzielczy;(75)7787312;;
Bank Spółdzielczy;(33)8152221;;
Bank Spółdzielczy;(33)8153792;;
Bank Spółdzielczy;(32)3020100;;
Bank Spółdzielczy;(18)4448024;;
Bank Spółdzielczy;(82)5761718;;
Bank Spółdzielczy;(82)5763167;;
Bank Spółdzielczy;(55)2722544;;
Bank Spółdzielczy;(55)2722462;;
Bank Spółdzielczy;(33)8152221;;
Bank Spółdzielczy;(33)8153792;;
Bank Spółdzielczy BANK ROLNIKÓW w Opolu;(77)4021442;;
Bank Spółdzielczy BANK ROLNIKÓW w Opolu;(77)4021445;;
Bank Spółdzielczy Biecz;(13)4471281;;
Bank Spółdzielczy Biecz;(13)4471022;;
Bank Spółdzielczy Czechowice-Dziedzice;(32)2144400-08;;
Bank Spółdzielczy Daleszyce-Górno;(41)3490100;;
Bank Spółdzielczy Daleszyce-Górno;(41)3490144;;
Bank Spółdzielczy Duszniki;(061)2929830;;
Bank Spółdzielczy Duszniki;(061)2919147;;
Bank Spółdzielczy Mazowsze;(24)2648307;;
Bank Spółdzielczy Mazowsze;(24)2648771;;
Bank Spółdzielczy Muszyna-Krynica Zdrój;(18)4408380;;
Bank Spółdzielczy Muszyna-Krynica Zdrój;(18)4408381;;
Bank Spółdzielczy Pojezierza Międzychodzko-Sierakowskiego;(61)2955900;;
Bank Spółdzielczy Pojezierza Międzychodzko-Sierakowskiego;(61)2955924;;
Bank Spółdzielczy Rymanów;(13)4355010;;
Bank Spółdzielczy Rymanów;(13)4355018;;
Bank Spółdzielczy Rzemiosła;(12)4211800;;
Bank Spółdzielczy Rzemiosła;(12)4211145;;
Bank Spółdzielczy Rzemiosła Oddział w Żabnie;(14)6456190;;
Bank Spółdzielczy Rzemiosła Oddział w Żabnie;(14)6456728;;
Bank Spółdzielczy Rzemiosła w Łodzi;(42)6391300;;
Bank Spółdzielczy Rzemiosła w Łodzi;(42)6391313;;
Bank Spółdzielczy Rzemiosła w Radomiu;(48)3626653;;
Bank Spółdzielczy Rzemiosła w Szczecinie;(91)4322231-39;;
Bank Spółdzielczy Rzemiosła w Szczecinie;(91)4882836;;
Bank Spółdzielczy Towarzystwo Oszczędnościowo Pożyczkowe PA-CO-BANK;(42)2250900;;
Bank Spółdzielczy Towarzystwo Oszczędnościowo Pożyczkowe PA-CO-BANK;(42)2250901;;
Bank Spółdzielczy w Bełchatowie;(44)6357250;;
Bank Spółdzielczy w Bełchatowie;(44)6322513;;
BANK SPÓŁDZIELCZY w Będzinie;(32)2673905;;
BANK SPÓŁDZIELCZY w Będzinie;(32)2672004;;
Bank Spółdzielczy w Białej Podlaskiej;(83)3447100;;
Bank Spółdzielczy w Białej Podlaskiej;(83)3447101;;
Bank Spółdzielczy w Białej Rawskiej;(46)8131430;;
