Firma Wielobranżowa BURNAT S.c. Andrzej, Waldemar, Grzegorz Burnat;(14)6514265;;
Firma Wielobranżowa BURNAT S.c. Andrzej, Waldemar, Grzegorz Burnat;(14)6511107;;
FUH BOR-TRANS Grzegorz Borkowski;(15)6465121;;
FUH BOR-TRANS Grzegorz Borkowski;603607308;;
LOMAR;(81)8808835;;
LOMAR;509957788;;
P.H.U. BUDPOL;668468422;;
P.H.U. BUDPOL;(52)3525364;;
P.W. WIKRUSZ Adam Witkowski;608277444;;
P.W. WIKRUSZ Adam Witkowski;600379900;;
PPHU Polak;(34)3134867;;
PPHU Polak;(34)3132854;;
PRECON Polska Sp. z o.o.;(22)6222209;;
PRECON Polska Sp. z o.o.;(22)6289803;;
Prodbet Sp. z o.o.;(22)7576542;;
Prodbet Sp. z o.o.;(22)7501717;;
Zakład Produkcyjno-Usługowy Teresa KRZYWONOS;(17)8520524;;
Zakład Produkcyjno-Usługowy Teresa KRZYWONOS;691939772;;
AK-BET Beton Towarowy;730303053;;
BASERO;(24)2689363;;
BASERO;(24)2645784;;
Bet-Exim S.A.;(61)8132751;;
Bet-Exim S.A.;(61)8197418;;
BET-TRANS Sp.j. Lewczuk;(25)6440361;;
BET-TRANS Sp.j. Lewczuk;(25)6330272;;
BETMIX Sp.j.;(91)3922020-Nowogard;;
BETMIX Sp.j.;(91)5792026-Nowogard;;
BETONEX Sp.j.;(41)2663667;;
BETONEX Sp.j.;(41)2621140;;
BETRONIKA Zakład Produkcji Betonu;723050505-CentralaZbiroża;;
BETRONIKA Zakład Produkcji Betonu;723010203-FiliaSkierniewice;;
DAN-INWEST Sp. z o.o.;(33)8184081;;
KAPRIN Sp. z o.o.;(12)6556070;;
Prefrow Sp. z o.o.;(32)4390200;;
Prefrow Sp. z o.o.;(32)4222167;;
Przedsiębiorstwo Budowlane Max-Bud Sp. z o.o.;(89)6254873;;
Przedsiębiorstwo Budowlane Max-Bud Sp. z o.o.;501664650;;
Przedsiębiorstwo Wielobranżowe TWARDY Anna, Gabriel Twardy Sp.j.;(65)5454665;;
Przedsiębiorstwo Wielobranżowe TWARDY Anna, Gabriel Twardy Sp.j.;607520666;;
Skład Materiałów Budowlanych BASIS;(52)3848168;;
Skład Materiałów Budowlanych BASIS;(52)3910410;;
Śródmieście Beton Sp. z o.o.;(22)8431949;;
Śródmieście Beton Sp. z o.o.;601380828;;
Zakład Betoniarsko-Murarski Marian Nowik;(91)3971643;;
Zakład Betoniarsko-Murarski Marian Nowik;(91)3971561;;
Zakład Wyrobów Betonowych Wojciech Trykacz;(81)8552185;;
Zakład Wyrobów Betonowych Wojciech Trykacz;(81)8545176;;
BAN-KOR-BET Bania Korga Sp.j.;(14)6811898;;
BAN-KOR-BET Bania Korga Sp.j.;505041825;;
Barbet S.c. B.M.M. Jeziorski;(32)4302365;;
Barbet S.c. B.M.M. Jeziorski;663321224;;
BETON PROJEKT;792793030;;
BETON PROJEKT;721603010;;
Betoniarnia JP-TRANS;(12)2743530;;
Betoniarnia JP-TRANS;505081405;;
BETONIARSTWO Kazimierz Korzeniak;(22)7832568;;
BETONIARSTWO-DĘBOWSKI.PL;506903351;;
BETONIARSTWO-DĘBOWSKI.PL;667900330;;
ConcreAte S.A.;126280595;;
ConcreAte S.A.;664384534;;
DURABET Sp. z o.o.;532312138;;
ECOL-UNICON Sp. z o.o.;(58)3404830;;
ECOL-UNICON Sp. z o.o.;(58)3065702;;
Elementy Budowlane Frysztak Sp. z o.o.;(17)2777909;;
Elementy Budowlane Frysztak Sp. z o.o.;504214169;;
F.B.P.U. Bruk-Bud Jan Chmura;(17)5812216;;
F.B.P.U. Bruk-Bud Jan Chmura;(17)5814633;;
Hydrobudowa-1 Betoniarnia-Laboratorium Sp. z o.o.;(22)8114611;;
Hydrobudowa-1 Betoniarnia-Laboratorium Sp. z o.o.;(22)8117805;;
P.P.H. BART-BET;(33)8703155;;
P.P.U.H. ELEKTROBET W.Wyrostek;(81)4467085;;
P.P.U.H. ELEKTROBET W.Wyrostek;604981077;;
PPUH BE-TRA;(32)6430703;;
PPUH BE-TRA;(32)7887310;;
Produkt-Beton Marcin Siwik;(89)5129224;;
Produkt-Beton Marcin Siwik;(89)5129221;;
Przedsiębiorstwo EWIKA Sp. z o.o.;607136669;;
Przedsiębiorstwo EWIKA Sp. z o.o.;(16)6224766;;
Przedsiębiorstwo Produkcji Betonów PUBR Sp. z o.o.;(95)7411881;;
Przedsiębiorstwo Produkcji Betonów SIBET S.A.;(41)3465211-13;;
Przedsiębiorstwo Produkcji Betonów SIBET S.A.;(41)3465041;;
Przedsiębiorstwo Robót Inżynieryjnych PRInż Cieszyn Sp. z o.o.;(33)8577070;;
Przedsiębiorstwo Usług Technicznych i Realizacji Inwestycji RABA Sp. z o.o.;(12)2743600;;
Przedsiębiorstwo Usług Technicznych i Realizacji Inwestycji RABA Sp. z o.o.;601464044;;
Przedsiębiorstwo Usługowe OLIMP Honorata Majkusiak;506506421;;
Przedsiębiorstwo Usługowe OLIMP Honorata Majkusiak;506506427;;
Przedsiębiorstwo Wielobranżowe REJMAN;(13)4930588;;
Przedsiębiorstwo Wielobranżowe REJMAN;(13)4640007;;
SAWINA Sp. z o.o.;(22)7920514;;
SAWINA Sp. z o.o.;(22)3578605;;
SMOLBET;(33)8233871;;
SMOLBET;697777912;;
TRALBET Zakład Betoniarski Wiesław Śniegowski;(17)2217973;;
TRALBET Zakład Betoniarski Wiesław Śniegowski;602376028;;
TRANSBET BETONIARNIE Sp. z o.o. Sp.komandytowa;(16)6780899;;
TRANSBET BETONIARNIE Sp. z o.o. Sp.komandytowa;(16)6780819;;
WOL-MAT Producent Wyrobów Betonowych;(81)8554214;;
WOL-MAT Producent Wyrobów Betonowych;(81)8544684;;
Wyrób i Handel Materiałów Budowlanych STELMACH S.c. Betoniarnia CIENIAWA;(18)4451715;;
Wyrób i Handel Materiałów Budowlanych STELMACH S.c. Betoniarnia CIENIAWA;(18)4452015;;
ZAKAR Sp. z o.o.;(22)6769641;;
ZAKAR Sp. z o.o.;(22)8114481;;
Zakład Betoniarski Lech Trzos;(22)7321036;;
Zakład Betoniarski Lech Trzos;(22)7513890;;
Zakład Produkcji Prefabrykatów PROBET Sp. z o.o.;(76)8584570;;
Zakład Produkcji Prefabrykatów PROBET Sp. z o.o.;691906106;;
Zakłady Eksploatacji Kruszywa Władysław Durał;600805475;;
Zakłady Eksploatacji Kruszywa Władysław Durał;(94)3519490;;
MARBET Brzostek;(14)6830900;;
MARBET Brzostek;(14)6813902;;
DAMAR Przedsiębiorstwo Usług Specjalistycznych;(58)6991222;;
DAMAR Przedsiębiorstwo Usług Specjalistycznych;(58)6991223;;
TBW Technika Betonu Wodoszczelnego Sp. z o.o.;(12)3971241;;
TBW Technika Betonu Wodoszczelnego Sp. z o.o.;(12)3971242;;
Alibana Grzegorz Koperski;601357006;;
BIELBET Sp. z o.o. Sp.komandytowa;(33)8223444;;
BIELBET Sp. z o.o. Sp.komandytowa;(33)8223443;;
Budopap Sp. z o.o.;(77)4662065;;
Budopap Sp. z o.o.;(77)4662577;;
Centrum Materiałów Budowlanych;(32)2715554;;
Centrum Materiałów Budowlanych;(32)2785554;;
DARJAN Sp. z o.o. Materiały Budowlane, Betoniarnia;(13)4694277Sprzedaż;;
DARJAN Sp. z o.o. Materiały Budowlane, Betoniarnia;(13)4694440Sekretariat;;
Firma Handlowo Usługowa Szymon Walentynowicz;(87)4280243;;
Firma Handlowo Usługowa Szymon Walentynowicz;(87)4280330;;
Firma PUBiI EKOL;(91)3811315;;
Firma PUBiI EKOL;603072953;;
HDMB Maszewski;(61)6531322;;
HDMB Maszewski;(61)8771902;;
Hurtownia KOBA;(33)8216480;;
Hurtownia KOBA;501183259;;
INTER TECH L.K. Leszek Kowanek;(12)4151891;;
INTER TECH L.K. Leszek Kowanek;601959174;;
Mat-Bud;(56)6780330;;
Mat-Bud;(56)6743620-21;;
MATBET Producent Elementów Betonowych i Żelbetowych;(61)8146146;;
MATBET Producent Elementów Betonowych i Żelbetowych;(61)8147167;;
P.W. MATEX Sp.j. Zbigniew, Maciej, Piotr Rogozinski;(68)3473887;;
P.W. MATEX Sp.j. Zbigniew, Maciej, Piotr Rogozinski;(68)3474208;;
PARATI Sp. z o.o.;(58)3414854;;
