JAW Akcesoria Dachowe S.c. J.Przyborowski & A.Gierasimow & W.Karpiński;(63)2205279;;
JAW Akcesoria Dachowe S.c. J.Przyborowski & A.Gierasimow & W.Karpiński;501608862;;
PPHU DORPLAST;(42)6520809;;
RHEINZINK Polska Sp. z o.o.;(22)7899191;;
RHEINZINK Polska Sp. z o.o.;(22)7899199;;
SŁOWINEX;(59)8400900;;
SŁOWINEX;(59)8400407;;
AB S.c. Alicja Frejno, Bogusława Nowakowska;601462187;;
AB S.c. Alicja Frejno, Bogusława Nowakowska;(32)2382946;;
AKOL Przedsiębiorstwo Usług Wysokościowych i Budowlanych;512763680;;
BAU-TECH Dachy, Okna;(14)6230246;;
BAU-TECH Dachy, Okna;(14)6201395;;
Big Sack Sokołowscy Sp.j. - Dachy, Pokrycia Dachowe;(22)7237816;;
Big Sack Sokołowscy Sp.j. - Dachy, Pokrycia Dachowe;(22)7539040;;
BLACHDOM PLUS Głuc Jan - Blachodachówka, Pokrycia Dachowe;(33)8176717;;
BLACHDOM PLUS Głuc Jan - Blachodachówka, Pokrycia Dachowe;(33)8176716;;
BLACHY DACHOWE - Regamet Sp.j.;(17)7730808;;
BLACHY DACHOWE - Regamet Sp.j.;(17)5853390;;
BUDMAT Bogdan Więcek;(24)2680279;;
CENTRUM STALOWE Rzeszów Sp. z o.o.;(17)8625600;;
Dach-Mix Niemieckie Blachy Dachowe;(12)2746552;;
Dach-Mix Niemieckie Blachy Dachowe;513139396;;
Dach-Styl Oddział Kraków;(12)4130595;;
Dach-Styl Oddział Kraków;(12)4124207;;
Dachy Dawid Abramczyk;(22)7417438;;
Dachy Dawid Abramczyk;664036429;;
Dalux Dach;(58)3440408;;
Dalux Dach;(58)5202935;;
DEKAR S.c. - Dachy przemysłowe;600807463;;
DEKAR S.c. - Dachy przemysłowe;600010463;;
E-DACH24 Karolina Niemyjska;(22)4980838;;
E-DACH24 Karolina Niemyjska;500065996;;
Firma ROJAN Sp. z o.o.;(12)4228202;;
Firma ROJAN Sp. z o.o.;(12)4210877;;
FLORIAN CENTRUM S.A.;(24)3551463-65;;
FLORIAN CENTRUM S.A.;(24)3551466;;
Grupa Dekarska MAR-BUD Maria Boguszewska;(22)7248147;;
Grupa Dekarska MAR-BUD Maria Boguszewska;602336889;;
GUTTA Polska Sp. z o.o.;(61)4282064-66;;
GUTTA Polska Sp. z o.o.;(61)4282067;;
Integro Dach System Sp. z o.o. Sp.komandytowa;(59)8634304;;
Integro Dach System Sp. z o.o. Sp.komandytowa;(59)8634305;;
Koltar S.c.;(14)6331718;;
Koltar S.c.;600462119;;
LEMAR Sp. z o.o. Przedsiębiorstwo Produkcyjno-Handlowe;(61)8120631;;
LEMAR Sp. z o.o. Przedsiębiorstwo Produkcyjno-Handlowe;(61)8120141;;
MARVIS Przedsiębiorstwo Handlowo Usługowe Waldemar Benedyczak;500217901;;
MARVIS Przedsiębiorstwo Handlowo Usługowe Waldemar Benedyczak;(58)6821560;;
MR Dach i Wnętrza Monika Strzelecka;607993289;;
MURA GTM Sp. z o.o.;(32)4218844;;
MURA GTM Sp. z o.o.;(32)4218866;;
Nexmar Sp. z o.o.;(85)6545579;;
Nexmar Sp. z o.o.;(85)7323524;;
P.P.H.U. NIKI;(65)5555010;;
P.P.H.U. NIKI;726727797;;
Piedra Land;662021557;;
Piedra Land;698732016;;
PLASTMO Polska Sp. z o.o.;(22)7203793;;
PLASTMO Polska Sp. z o.o.;(22)7203795;;
Przedsiębiorstwo Budowlano-Usługowo-Handlowe EURO DACHY;(14)6118709;;
Przedsiębiorstwo Budowlano-Usługowo-Handlowe EURO DACHY;888226586;;
Przedsiębiorstwo Wielobranżowe Wojciech Czajka;(62)7210082;;
Przedsiębiorstwo Wielobranżowe Wojciech Czajka;(62)7216868;;
ROBELIT Sp. z o.o.;(34)3774298;;
TERMODACH;(48)3851295;;
TERMODACH;501490878;;
TOPDACH Ceramika Budowlana S.c.;(58)7834630;;
TOPDACH Ceramika Budowlana S.c.;(58)7834631;;
ABITO J.Dereń, M.Dereń Sp.j.;(12)3565538;;
ABITO J.Dereń, M.Dereń Sp.j.;(12)2882442;;
AIRONE S.c.;(68)4533433;;
AIRONE S.c.;(68)3264150;;
Antbud Antoni Piotr Uliszewski;(87)4239659;;
Antbud Antoni Piotr Uliszewski;607651676;;
Balkar Technology Sp. z o.o.;(15)8642379;;
Balkar Technology Sp. z o.o.;509680312;;
BAUEN Piotr Porębski;535447557;;
BAUEN Piotr Porębski;668467320;;
BISBUD Sp.j.;(17)8527907;;
BISBUD Sp.j.;(17)8527948;;
BLACHOTRAPEZ Sp. z o.o.;(18)2685200;;
BLACHOTRAPEZ Sp. z o.o.;(18)2685215;;
CREATON Polska sp. z o.o.;(32)6249500;;
CREATON Polska sp. z o.o.;(32)6249599;;
DACHBUD Józef Zwara;(58)6862124;;
DACHBUD Józef Zwara;604258128;;
Dachland;(89)5338731;;
Dachy Pokrycia Usługi Hurtownia Eugeniusz Zieliński;603922569;;
Decker-M;(12)6337283;;
Decker-M;602682678;;
F.H.U. DACHÓWKA;(18)2001272;;
F.H.U. DACHÓWKA;604074416;;
F.U.H. MARKS Marek Jaworski;(33)4985069;;
F.U.H. MARKS Marek Jaworski;606741264;;
FB DACHBUD;(32)2645445;;
FB DACHBUD;502634054;;
FHU NOWAX;(15)8667014;;
Firma Dekarska DEKAR-LUX;600989680;;
Firma Handlowo-Usługowa INSTALATOR Sp.j.;(16)6490400;;
Firma Handlowo-Usługowa INSTALATOR Sp.j.;(16)6489568;;
Grupa Dekarska Sp. z o.o.;(22)7209637;;
Grupa Dekarska Sp. z o.o.;(22)7247810;;
HydroMax Dachy;535552295;;
JARKOM Usługi Budowlane;609722532;;
JARKOM Usługi Budowlane;(43)8430559;;
Ka-spel;(17)8730037;;
Ka-spel;503013611;;
Kolbis Tarnów - dachy, pokrycia dachowe;(14)6299566;;
Kolbis Tarnów - dachy, pokrycia dachowe;603939308;;
MACH-DACH;601158537;;
MACH-DACH;(67)2837816;;
P.H KETZ S.c.;(12)6534045;;
P.P.U.H. KOGRO Sp. z o.o.;(56)4664647;;
P.P.U.H. KOGRO Sp. z o.o.;603922808;;
PHU DACHY Andrzeja Kamzola;(62)7396572;;
PHU DACHY Andrzeja Kamzola;604712681;;
PHU DEK-POL Sp.j.;(75)7556975;;
PHU DEK-POL Sp.j.;(75)7556925;;
PHU Perfect Dach;(41)3464325;;
PHU Perfect Dach;515186100;;
PPHU KOLMAX;(61)8181319;;
PPHU KOLMAX;606309274;;
Przedsiębiorstwo Budowlane MAWI Wincenty Świergała;(033)8116295;;
Przedsiębiorstwo Budowlane MAWI Wincenty Świergała;501547616;;
Przedsiębiorstwo Produkcyjno Handlowo Usługowe DACH-MET;(46)8159256;;
Przedsiębiorstwo Produkcyjno Handlowo Usługowe DACH-MET;(46)8150327;;
Przedsiębiorstwo Usługowo-Handlowe NASZ-DACH;(58)6843405;;
Przedsiębiorstwo Usługowo-Handlowe NASZ-DACH;603908764;;
STAL-HART Sp. z o.o.;(32)2156002-03;;
STAL-HART Sp. z o.o.;(32)2156004;;
Trzcinowe Pokrycia Dachowe i Produkcja Karmników dla Ptaków Lech Bułczyński;696167167;;
Trzcinowe Pokrycia Dachowe i Produkcja Karmników dla Ptaków Lech Bułczyński;603275041;;
WENA Sp. z o.o.;(61)8681053;;
WENA Sp. z o.o.;(61)8479720;;
Wulkan Tomasz Czuba;601208126;;
Wulkan Tomasz Czuba;601222763;;
Zakład Budowlano-Dekarski Marek Plechowski;(58)3050142;;
Zakład Budowlano-Dekarski Marek Plechowski;509384181;;
ALU-DACH Aleksander Siuda;(32)2415732;;
BAG-DACH Dariusz Bagdziun;505158864;;
Blacharstwo-Dekarstwo DOBRY DACH Leszek Krempa;(12)4162323;;
Blacharstwo-Dekarstwo DOBRY DACH Leszek Krempa;603946249;;
BLACHDACH;(22)7512430;;
BLACHDACH;(22)7514851;;
BLACHODACHY;507537812;;
BOCIAN DACHY Grażyna Widomska;507382725;;
BOCIAN DACHY Grażyna Widomska;510538527;;
CDD Polska Mirosław Sadowski;(85)8732020;;
CDD Polska Mirosław Sadowski;(85)8732070;;
Centrum Budowlane;(91)5770915;;
Centrum Budowlane DEKOR-TYNK;(32)2600020;;
Centrum Budowlane DEKOR-TYNK;512338465;;
Centrum Pokryć Dachowych TRAPEZ-CARBO II Sp. z o.o. S.K.A.;(12)2692724;;
Centrum Pokryć Dachowych TRAPEZ-CARBO II Sp. z o.o. S.K.A.;(12)2693250;;
DACHEXPERT;536868686;;
DACHPOL Ryszard Duć;(74)8535591Świdnica;;
DACHPOL Ryszard Duć;(74)8655345Kłodzko;;
DACHPOLL Sp. z o.o.;(41)3943688;;
DACHPOLL Sp. z o.o.;(41)3941201;;
Dachy - Szmigiel Mariusz Handel i Usługi Remontowo-Budowlane;(29)7613128;;
Dachy - Szmigiel Mariusz Handel i Usługi Remontowo-Budowlane;509844684;;
DACHY ŻUŁAWY Sp. z o.o.;(58)6920893;;
DACHY ŻUŁAWY Sp. z o.o.;(58)6920892;;
Dekarstwo SABART;(77)4212996;;
Dekarstwo SABART;667202662;;
Eco-Bud PHU Rafał Gąsior;505790353;;
Eco-Bud PHU Rafał Gąsior;(81)7567805;;
EKO-DACH Profesjonalne Usługi Dekarskie;(42)2723994;;
EKO-DACH Profesjonalne Usługi Dekarskie;602701201;;
ELDACH Firma Budowlana;696424075;;
EXPRES DACH;508788400;;
F.H.U. Andrzej Semik, Halina Semik Sp.j.;601077292;;
F.H.U. Andrzej Semik, Halina Semik Sp.j.;(32)2162627;;
F.U.H. Waldemar Cegliński;503843349;;
Fabryka Blach Dachowych P.W. WAT Sp. z o.o.;(81)7519884;;
Fabryka Blach Dachowych P.W. WAT Sp. z o.o.;(81)7518664;;
Firma Handlowo Usługowa GONTAR;882184173;;
Firma Handlowo Usługowa GONTAR;604236828;;
FPHU Janosik Import-Export Marian Ślazyk;509235087;;
FPHU Janosik Import-Export Marian Ślazyk;(18)3327633;;
Green Roofing Systems;605455246;;
Hurtownia Pokryć Dachowych Safanów i S-ka Sp.j.;(91)4820496;;
HUTMET P.P.H.U. Małgorzata Kokot;(77)4573779;;
IMPROBUD S.c.;(52)5256713;;
IMPROBUD S.c.;500118666;;
INTERDACH;(84)6775451;;
INTERDACH;(84)6775441;;
IWBIS Iwona Potrzuska;(89)5320074;;
Jan Bryzgiel Producent Blachodachówki i Trapezu;(85)7121704;;
KALENICA Mirosław Kałużny;505814955;;
Lindtech Sp. z o.o.;(52)3814099;;
Lindtech Sp. z o.o.;(52)3494580;;
MARBUD;(44)6826578;;
MARBUD;(44)6826060;;
MEGA DACH Centrum Pokryć Dachowych;(62)7687296;;
MEGA DACH Centrum Pokryć Dachowych;(62)7535825;;
Miś Zakład Usługowo Produkcyjno Handlowy S.c.;(34)3148685;;
Miś Zakład Usługowo Produkcyjno Handlowy S.c.;691941994;;
P.P.H. SYRNIK Michał Syrnik;(71)3126370;;
P.P.H. SYRNIK Michał Syrnik;601892817;;
P.W. MAR-JOLA;(81)8254448;;
P.W. MAR-JOLA;(81)4587555;;
PAP-BUD Zakład Robót Dekarsko-Blacharskich i Remontowo-Budowlanych;601550152;;
Piotr Lisek Zarządzanie;696415560;;
Piotr Lisek Zarządzanie;(58)3418858;;
POL-PŁOT;669065894;;
PPH ROOF-REED Krzysztof Łukaszewski;605617222;;
PPH ROOF-REED Krzysztof Łukaszewski;(63)2682073;;
PROFIL-DACH Sp.j.;(22)7224047;;
PROFIL-DACH Sp.j.;501616808;;
RENOMAL B.H. Krzysztof Kordus;(71)3255681;;
RENOMAL B.H. Krzysztof Kordus;(71)3259642;;
ROOF Sp. z o.o.;(32)2097722;;
ROOF Sp. z o.o.;(32)7186803;;
STANBUD Sp. z o.o.;601212069;;
STRZECHPOL Tomasz Włochowicz;721722700;;
STRZECHPOL Tomasz Włochowicz;663854365;;
TECH-SERWIS Firma Usługowa Krzysztof Oleszkiewicz;605560092;;
TEN-DACH Pokrycia Dachowe;(48)3857935;;
TEN-DACH Pokrycia Dachowe;507101835;;
Usługi Dekarskie Remigiusz Chodkowski;601869987;;
Usługi Remontowo-Budowlane Mariusz Plaskota;609459127;;
Zakład Blacharsko-Dekarsko-Murarski Jerzy Wyczyński;(56)6229357;;
Zakład Blacharsko-Dekarsko-Murarski Jerzy Wyczyński;602629331;;
Zakład Ogólnobudowlany Waldemar Makurat;508327372;;
Zakład Ogólnobudowlany Waldemar Makurat;504129079;;
Matelbud Sp. z o.o.;(58)6674242;;
Matelbud Sp. z o.o.;(58)6674224;;
P.H.U. FASTERM;(56)6786693;;
P.H.U. FASTERM;(56)6786612;;
Warsztat Blacharsko-Dekarski Damian Korduła;(32)4220325;;
Warsztat Blacharsko-Dekarski Damian Korduła;602397661;;
BUD-MASZ Maciej Stachlewski;(43)6776021;;
BUD-MASZ Maciej Stachlewski;(43)6776417;;
FOLIAREX Sp. z o.o.;(95)7588468w.10;;
FOLIAREX Sp. z o.o.;(95)7580549;;
Metkol Pruszyński Sp. z o.o.;(22)7532572Warszawa;;
Metkol Pruszyński Sp. z o.o.;(22)7230991Warszawa;;
Amaro Firma Handlowo-Usługowa;(85)6525305;;
Armat;(48)6147910;;
Armat;(48)6147919;;
ARMET Hurtownia Artykułów Złącznych;(61)8321825;;
ARMET Hurtownia Artykułów Złącznych;(61)8321804;;
AXIOM Sp. z o.o. Przedsiębiorstwo Produkcyjne Handlowe i Usługowe;(33)8149798;;
AXIOM Sp. z o.o. Przedsiębiorstwo Produkcyjne Handlowe i Usługowe;(33)8142959;;
BLACH-MET Sp. z o.o.;(77)4032520-22;;
BLACH-MET Sp. z o.o.;(77)4695237;;
BONA S.c.;(48)3847866;;
BONA S.c.;(48)3600744;;
Budopap Sp. z o.o.;(77)4662065;;
Budopap Sp. z o.o.;(77)4662577;;
Centrum Budowlane DORBUD;(12)2813652;;
Centrum Budowlane DORBUD;(12)2813717;;
Centrum Budownictwa i Ogrodnictwa EREM;(16)6786002;;
Centrum Budownictwa i Ogrodnictwa EREM;(16)6760750;;
Complexbud Tomasz Matuszewski - Budowa Obiektów Przemysłowych, Budowa Domów;505046317;;
EKODACH;(22)6765612;;
EKODACH;602708356;;
ESKAPOL „STUDIO DEKORAL PREMIUM”;(42)6746994;;
ESKAPOL „STUDIO DEKORAL PREMIUM”;504005909;;
FALLKLANDY Stanisław i Edward Fal Sp.j.;(13)4644164;;
FALLKLANDY Stanisław i Edward Fal Sp.j.;695402140;;
Firma Budowlano-Handlowa IGMAR Robert Kadłubicki;(33)8451231;;
Firma Budowlano-Handlowa IGMAR Robert Kadłubicki;606143646;;
Firma Doradczo Usługowo Handlowa OBIEKT;(81)7465524;;
Firma EL-MAX;661730840;;
Firma EL-MAX;501969227;;
Gbo Fastening Systems Sp. z o.o.;(55)2422926;;
HARP Materiały Budowlane Sp.j.;(12)2859189;;
HARP Materiały Budowlane Sp.j.;502666622;;
Hat-Bud Domy Drewniane, Szkieletowe i Rekreacyjne;(13)4353994;;
Hat-Bud Domy Drewniane, Szkieletowe i Rekreacyjne;603205518DyrektorDziałuSprzedaży;;
KM Tani Dom;(71)3990103;;
KM Tani Dom;607167029;;
MACIEJUK;(83)3573256;;
MACIEJUK;(83)3573259;;
MALIEROSE;508249901;;
MALIEROSE;533050003;;
Mat-Bud;(56)6780330;;
Mat-Bud;(56)6743620-21;;
MP-Alamentti Sp. z o.o.;(34)3621832;;
MP-Alamentti Sp. z o.o.;(34)3621765;;
