DDD-HIGIENA Beata Tarapata;505825915;;
DDD-HIGIENA Beata Tarapata;888425763;;
Dezynfekcja Dezynsekcja Deratyzacja Fumigacja Zakład DDD Kikulski;(13)4352512;;
Dezynfekcja Dezynsekcja Deratyzacja Fumigacja Zakład DDD Kikulski;(13)4380580;;
ANTYINSEKT Specjalistyczny Zakład DDD;(24)2654252;;
ANTYINSEKT Specjalistyczny Zakład DDD;601250669;;
DDD MISI;602645157;;
F.U. Ekodeded;(12)4174079;;
F.U. Ekodeded;606207786;;
P.H.U. DERTOX Zakład Zwalczania Szkodników;606692860;;
P.H.U. DERTOX Zakład Zwalczania Szkodników;(22)7557903;;
SCORPIONS I;(32)2631710;;
SCORPIONS I;601490946;;
Z.P.U.H. BEST PEST M.J.Świętosławscy Sp.j.;(32)6177571;;
Z.P.U.H. BEST PEST M.J.Świętosławscy Sp.j.;(32)6177562;;
Zakład Dezynfekcji, Dezynsekcji i Deratyzacji Teresa Jeszka;(56)6236277;;
Zakład Zwalczania Szkodników RATTUS;(54)2331034;;
Zakład Zwalczania Szkodników RATTUS;(54)2326259;;
"Specjalistyczny Zakład Dezynsekcji, Deratyzacji, Dezynfekcji Grażyny Żołądkowskiej";226653028;;
"Specjalistyczny Zakład Dezynsekcji, Deratyzacji, Dezynfekcji Grażyny Żołądkowskiej";600060752;;
ATH Agencja Techniczno Handlowa K.Szmidt i S-ka;(71)3644892;;
ATH Agencja Techniczno Handlowa K.Szmidt i S-ka;602115601;;
Autoryzowany Zakład Dezynsekcji, Dezynfekcji i Deratyzacji;(77)4746844;;
Autoryzowany Zakład Dezynsekcji, Dezynfekcji i Deratyzacji;605225131;;
BIMAR Specjalistyczny Zakład Dezynfekcji, Dezynsekcji i Deratyzacji;(32)6451009;;
BIMAR Specjalistyczny Zakład Dezynfekcji, Dezynsekcji i Deratyzacji;608396338;;
BIMAR Specjalistyczny Zakład Dezynfekcji, Dezynsekcji i Deratyzacji;608396338;;
BIMAR Specjalistyczny Zakład Dezynfekcji, Dezynsekcji i Deratyzacji;666834123;;
COPEST Specjalistyczny Zakład Dezynsekcji, Dezynfekcji, Deratyzacji S.c.;(22)4090924;;
COPEST Specjalistyczny Zakład Dezynsekcji, Dezynfekcji, Deratyzacji S.c.;(22)4093624;;
DDD - Specjalistyczny Zakład Dezynsekcji, Dezynfekcji i Deratyzacji;(58)5516308;;
DDD - Specjalistyczny Zakład Dezynsekcji, Dezynfekcji i Deratyzacji;(58)5551173;;
DDD Action Ochrona Przed Szkodnikami;(12)4210287;;
DDD Action Ochrona Przed Szkodnikami;501380985;;
DDD INSEKTPOL Jarosław Ryms;505502749;;
DDD INSEKTPOL Jarosław Ryms;665639278;;
DDD Koszal;509996815;;
DDD Koszal;(94)3425860;;
DDD RATTUS Dezynfekcja, Dezynsekcja, Deratyzacja, Fumigacja;(17)8642293;;
DDD RATTUS Dezynfekcja, Dezynsekcja, Deratyzacja, Fumigacja;503015269;;
DDD Stanisław Łaszek;606925639;;
DDD Tadeusz Skutecki;(94)3516117;;
DDD Tadeusz Skutecki;602535612;;
DDD Zakład Zwalczania Szkodników Żywności Jan Francuz;(71)3254400;;
DDD Zakład Zwalczania Szkodników Żywności Jan Francuz;502109909;;
DDD-OWADY Zieliński Eugeniusz;603218292;;
DDD-OWADY Zieliński Eugeniusz;665587243;;
DERPOL - DDD;(89)7418899;;
DERPOL - DDD;601645988;;
DEZ-CHEM S.c. Świtkowie;(44)7322551;;
DEZ-CHEM S.c. Świtkowie;(44)6462153;;
Dezynfekcja Dezynsekcja Deratyzacja;880061830;;
Dezynfekcja Dezynsekcja Deratyzacja;886667650;;
Dezynfekcja, Dezynsekcja, Deratyzacja - Biolog Terenowy;(15)8440732;;
Dezynfekcja, Dezynsekcja, Deratyzacja - Biolog Terenowy;669200580;;
DHU Sławomir Borkowski;(46)8552751;;
DHU Sławomir Borkowski;509358695;;
Dyplomowany Zakład Dezynfekcji Dezynsekcji i Deratyzacji Zygfryd Siałkowski;(56)6486305;;
Dyplomowany Zakład Dezynfekcji Dezynsekcji i Deratyzacji Zygfryd Siałkowski;603660983;;
ELAG;507088123;;
ELAG;506345300;;
FESTUCA;530520612;;
Firma Usługowa FELIS;501124248;;
Firma Usługowa FELIS;602632091;;
FRODO;601710694;;
FRODO;(61)8777091;;
INSECT S.c.;(44)6348745;;
INSECT S.c.;607700994;;
INSERAT;(33)4886974;;
INSERAT;602743758;;
KARAKON S.c.;(12)6376622;;
KARAKON S.c.;604950022;;
KOESTA Stanisław Kowalczyk;(58)3410874;;
KOESTA Stanisław Kowalczyk;601629526;;
MARTOX Zakład Zwalczania Szkodników;(22)8240394;;
P.U.H. INSEKTserwis Mateusz Jura;512322215;;
P.U.H. INSEKTserwis Mateusz Jura;513853642;;
Proeko Serwis Sp. z o.o.;(62)5983595;;
Proeko Serwis Sp. z o.o.;(62)7603871;;
Specjalistyczny Zakład Dezynfekcji Dezynsekcji i Deratyzacji, Technik Ochrony Środowiska Wojciech Szeklicki;(23)6979922;;
Specjalistyczny Zakład Dezynfekcji Dezynsekcji i Deratyzacji, Technik Ochrony Środowiska Wojciech Szeklicki;601082250;;
Specjalistyczny Zakład Usługowy RADIX Janusz Wenek;(22)6797949;;
Specjalistyczny Zakład Usługowy RADIX Janusz Wenek;605325849;;
STOP-INSEKTOM Dezynfekcja, Dezynsekcja, Deratyzacja;508143366;;
THEMAR IMPORT-EKSPORT Sp. z o.o.;(22)8946000;;
THEMAR IMPORT-EKSPORT Sp. z o.o.;(22)4256743;;
Zakład D.D.D. FAT-RAT Robert Sierotko;(87)6102482;;
Zakład D.D.D. FAT-RAT Robert Sierotko;603753870;;
Zakład DDD Jan Bogucki;509614228;;
Zakład DDD Jan Bogucki;602686175;;
Zakład Dezynfekcji i Zwalczania Szkodników Edward Bajtek;602310514;;
Zakład Dezynsekcji, Dezynfekcji i Deratyzacji Tomasz Groński;(59)8420827;;
Zakład Dezynsekcji, Dezynfekcji i Deratyzacji Tomasz Groński;601665054;;
Zakład Specjalistyczny Dezynfekcji Dezynsekcji i Deratyzacji Marian Matusiak;(24)2542955;;
Zakład Specjalistyczny Dezynfekcji Dezynsekcji i Deratyzacji Marian Matusiak;601981938;;
Zakład Specjalistyczny Dezynsekcji, Dezynfekcji, Deratyzacji Roman Piętka;502911913;;
Zakład Usług Dezynfekcji, Dezynsekcji i Deratyzacji DERAT;(33)8147758;;
Zakład Usług Dezynfekcji, Dezynsekcji i Deratyzacji DERAT;502270937;;
ZPHU LEADER Wrocławski Zakład Dezynfekcji, Dezynsekcji i Deratyzacji S.c.;(71)3292242;;
ZPHU LEADER Wrocławski Zakład Dezynfekcji, Dezynsekcji i Deratyzacji S.c.;601710821;;
DDD INSE-K-TION;(91)4832905;;
DDD INSE-K-TION;601705190;;
Blue Planet;604403562;;
F.H. OGRODNIK Beata Słaby;(18)4410270;;
F.H.U. RAAN-UV SYSTEMS;(56)6556751;;
F.H.U. RAAN-UV SYSTEMS;604890504DziałLED;;
Instruktor Ośrodek Szkolenia Usługi BHP, HACCP, DDD Leszek Misala;609540075;;
Instruktor Ośrodek Szkolenia Usługi BHP, HACCP, DDD Leszek Misala;609540079;;
P.U.P.H. Solfum Sp. z o.o.;(42)7125100;;
P.U.P.H. Solfum Sp. z o.o.;(42)7125150;;
POMEL Sp. z o.o.;(29)7425011-13;;
POMEL Sp. z o.o.;(29)7424328;;
PPH ELTOM - BestAirTech;(81)8203767;;
PPH ELTOM - BestAirTech;606383632;;
REMARK Renowacje, Remonty, Kamieniarstwo;(22)8950504;;
REMARK Renowacje, Remonty, Kamieniarstwo;531554023;;
DanMar S.c.;(91)4837951;;
DanMar S.c.;(91)4328355;;
DEZCHEM Aleksander Chwieralski;(61)8193147;;
DEZCHEM Aleksander Chwieralski;(61)8983902;;
Firma KiM S.c. Józef Klinowski;(33)8652210;;
Firma KiM S.c. Józef Klinowski;601437687;;
Polskie Centrum Czystości Sp. z o.o. Sp.komandytowa;(71)3346540Biuro;;
Polskie Centrum Czystości Sp. z o.o. Sp.komandytowa;509857772Karol;;
Bird Control S.c.;(52)3222040;;
Bird Control S.c.;(52)3224115;;
F.U.H. STROLUX;(22)8774023;;
F.U.H. STROLUX;(22)8774026;;
GMG G.Grzelakowski;501284666;;
GRUPA SMOLEŃ;(58)3011176;;
GRUPA SMOLEŃ;(58)3010525;;
Serwis Klimatyzacji Boss Napełnienie Naprawa OZON Odgrzybianie;(32)2957804;;
Serwis Klimatyzacji Boss Napełnienie Naprawa OZON Odgrzybianie;501411601;;
TUCHERS Marek Paciejewski;731478488;;
PON-PRAN Karol Poneta;600213709;;
PON-PRAN Karol Poneta;791813709;;
BIOASECO;726700111;;
BIOASECO;504136815;;
DDD serwis dezynfekcja deratyzacja dezynsekcja;506117711;;
INSEKTOR;692909958;;
Midan Usługi DDD;506270305;;
Molomit;(22)8590921;;
RÓJ SERWIS - usuwanie rojów i gniazd owadów błonkoskrzydłych Mateusz Biernacki;781654630;;
Zakład DDD RATTUS;602150949;;
Zakład Higieny Sanitarnej;606500495;;
Zakład Higieny Sanitarnej;(82)5658507;;
Zielińscy Sp. z o.o.;722106941;;
Zielińscy Sp. z o.o.;669868484;;
ABA Zakład Specjalistyczny DDD;601751468;;
ABA Zakład Specjalistyczny DDD;798349416;;
ABA-SANIMAX DDD Marcin Piskorek;(81)7498889;;
ABA-SANIMAX DDD Marcin Piskorek;504626188;;
ABAPEST Zakład Deratyzacji, Dezynsekcji i Dezynfekcji;502210661;;
ABAPEST Zakład Deratyzacji, Dezynsekcji i Dezynfekcji;(25)6316231;;
ABC INSEKT;664769061;;
ABIS środki do DERATYZACJI i DEZYNSEKCJI;(62)7680153;;
ABIS środki do DERATYZACJI i DEZYNSEKCJI;669498549;;
ABLEGAT;(22)6696041;;
ABLEGAT;601626123;;
ADAMOWY.PL Sklep Internetowy Trioxygen Ozonowanie;600096101;;
ADAMOWY.PL Sklep Internetowy Trioxygen Ozonowanie;601767775;;
ADDERO PEST CONTROL;533010705;;
ADDERO PEST CONTROL;602644048;;
AGRO-BUD Deratyzacja, Dezynsekcja, Fumigacja;600469784;;
AGRO-HIGIENA Maciej Niedzielski;604464449;;
AGRO-HIGIENA Maciej Niedzielski;793424449;;
AGROPEST-ALFA S.c.;(58)6203646;;
AGROPEST-ALFA S.c.;(58)6200036;;
AGROS Zakład Zwalczania Szkodników Żywności;(77)4111589;;
AGROS Zakład Zwalczania Szkodników Żywności;601952680;;
Alergo ECO Danuta Czarnecka;601628599;;
ALFATOX;511311844;;
ALFATOX;(32)4709966;;
ANTICULEX;502527801;;
ANTIPEST-SOLINEX Dolnośląskie Centrum Zwalczania Zagrożeń Sanitarnych i Ochrony przed Szkodnikami;(71)3510807;;
ANTIPEST-SOLINEX Dolnośląskie Centrum Zwalczania Zagrożeń Sanitarnych i Ochrony przed Szkodnikami;(71)3567959;;
Anty-Szkodnik Pest Control;514714491;;
ANTYINSEKT Specjalistyczny Zakład Dezynfekcji, Dezynsekcji, Deratyzacji;(61)8661374;;
ANTYINSEKT Specjalistyczny Zakład Dezynfekcji, Dezynsekcji, Deratyzacji;(61)8436584;;
ANTYSEKT;517914559;;
Antyszkodnik.pl;(81)5329642;;
Antyszkodnik.pl;533329642;;
Aqua Perfekt Grzegorz Michalak;(22)8113404;;
Aqua Perfekt Grzegorz Michalak;(22)6757501;;
Aqua-Tox Dezynsekcja, Dezynfekcja, Deratyzacja G.Wisełka;660585140;;
Aqua-Tox Dezynsekcja, Dezynfekcja, Deratyzacja G.Wisełka;(32)4705601;;
Arefa Ardis;(42)6404084;;
Arefa Ardis;601398325;;
Argo-DDD;663117224;;
ARRAS;(76)8550052;;
ARRAS;604793372;;
ARTEC;(22)5442700;;
ARTEC;(22)8423116;;
Białostocki Zakład Dezynfekcji, Dezynsekcji i Deratyzacji Sp. z o.o.;(85)6521160;;
Białostocki Zakład Dezynfekcji, Dezynsekcji i Deratyzacji Sp. z o.o.;(85)6523571;;
BLATELLA Usługi DDD;(22)8381421;;
BLATTARIA Polska Sp. z o.o.;(22)8707573;;
BLATTARIA Polska Sp. z o.o.;601218609;;
BŁYSK DDD Piotr Skorupiński;(65)655261606;;
BŁYSK DDD Piotr Skorupiński;605271707;;
BOGEL;(71)3282194;;
BOGEL;601535894;;
BUGSTOP;517778798;;
CARGOFUM Sp. z o.o.;(058)3432236;;
CARGOFUM Sp. z o.o.;501508118;;
Carpet Complex;508464838;;
CARSEKT;(24)2354498;;
CARSEKT;608587205;;
Centrum Ozonowania;512505510;;
Centrum Ozonowania;(63)2416285;;
Centrum Usług Sanitarnych CENTRUS;(81)5325484;;
Centrum Usług Sanitarnych CENTRUS;(81)5345221;;
Centrum Zwalczania Szkodników INSECTA S.c. D.Bielecki, T.Piasecki;668809730;;
Centrum Zwalczania Szkodników INSECTA S.c. D.Bielecki, T.Piasecki;600554135;;
CHEMITOKS;(89)5343629;;
CHEMITOKS;697990687;;
CIMEX Specjalistyczny Zakład Dezynfekcji, Dezynsekcji i Deratyzacji;(67)2153787;;
CIMEX Specjalistyczny Zakład Dezynfekcji, Dezynsekcji i Deratyzacji;(67)2126845;;
CleanSpot;512398924;;
COMAREX Katarzyna Rydzanicz;501788385;;
COMAREX Katarzyna Rydzanicz;609608005;;
CORNECO.PL;(22)2994410;;
CZYSTY OZON;535135959;;
CzystyOzon;796072972;;
D.D.D. Matys;602341427;;
DALMYT;(22)8423182;;
DDD Agro-Pakiet S.c.;728943823;;
DDD Agro-Pakiet S.c.;787221022;;
DDD Ekipa Dezynfekcyjna Bogdan Wierzbicki;604702951;;
DDD EKO;502994993;;
DDD FOLTYN;698800600;;
DDD FOLTYN;600262454;;
DDD Green Clean S.c. Maciej Zdanowski, Witold Plesiński;504005185;;
DDD Green Clean S.c. Maciej Zdanowski, Witold Plesiński;663744592;;
DDD Hanna Skowronek;(22)8376451;;
DDD Hanna Skowronek;602783274;;
DDD Insecto;510263944;;
DDD Lider - Dezynsekcja, Dezynfekcja, Deratyzacja;791212002;;
DDD Maciej Grzonkowski;693522733;;
DDD Marek Sadowski;(71)3217965;;
DDD Marek Sadowski;601703596;;
DDD MIRADEX;501011539;;
DDD MIRADEX;505597671;;
DDD Professional;504323666;;
DDD Robak - Dezynsekcja Mińsk Mazowiecki;690015854;;
DDD Robak - Dezynsekcja, Deratyzacja, Dezynfekcja, Odkomarzanie;504924348;;
DDD Śmigielski Specjalistyczny Zakład Usługowy Dezynfekcja Dezynsekcja Deratyzacja;(91)3224006;;
DDD Śmigielski Specjalistyczny Zakład Usługowy Dezynfekcja Dezynsekcja Deratyzacja;609719956;;
DDD Terminator;603666648;;
DDD Terminator;723106855;;
DDD Usługi Maciej Szurmak;(22)8637132;;
DDD Usługi Maciej Szurmak;602224353;;
DDD Wojciech Goławski;(22)7591107;;
DDD Wojciech Goławski;602332239;;
DDD-1;(33)8213421;;
DDD-1;696062184;;
DDD-Malowanie Joanna Kolasa;(63)2184002;;
DDD-Malowanie Joanna Kolasa;607058523;;
DDDEXPERT.PL;504773434;;
DE-RAT Specjalistyczny Zakład Dezynfekcji, Dezynsekcji, Deratyzacji Marcin Pieńkowski;(86)2186992;;
DE-RAT Specjalistyczny Zakład Dezynfekcji, Dezynsekcji, Deratyzacji Marcin Pieńkowski;608301582;;
DER FUM Systemy Zabezpieczeń Przed Szkodnikami;691435050;;
DER FUM Systemy Zabezpieczeń Przed Szkodnikami;691432050;;
DER-PEST;504151065;;
DERATEX Zakład Dezynfekcji, Dezynsekcji i Deratyzacji Grażyna Kukla;660906327;;
DERATEX Zakład Dezynfekcji, Dezynsekcji i Deratyzacji Grażyna Kukla;660826121;;
DERATINS P.P.H.U.;(85)7302719;;
DERATINS P.P.H.U.;(85)7306200;;
DERATTEAM;502035038;;
DERATTEAM;509661514;;
Deratyzacja, Dezynfekcja, Dezynsekcja Helena Przeklasa Firma Usługowa;668738354;;
Deratyzacja, Dezynfekcja, Dezynsekcja Helena Przeklasa Firma Usługowa;519193290;;
DEXA SP. Z O.O.;(33)8146033;;
DEXA SP. Z O.O.;(33)8143144;;
DEZ & DER;504604054;;
DEZ-TUR;781446988;;
DEZYDERAT - Deratyzacja, Dezynfekcja, Dezynsekcja;601414133;;
Dezynfekcja Dezynsekcja Deratyzacja;692219874;;
Dezynfekcja Dezynsekcja Deratyzacja S.c.;(81)5320505;;
Dezynfekcja Dezynsekcja Deratyzacja S.c.;(81)5324835;;
Dezynfekcja, Dezynsekcja i Deratyzacja Andrzej Tarczyluk;(22)6489831;;
Dezynfekcja, Dezynsekcja i Deratyzacja Andrzej Tarczyluk;602291878;;
Dezynfekcja, Dezynsekcja, Deratyzacja BIOTOOM;665037333;;
Dezynfekcja, Dezynsekcja, Deratyzacja Renata Jaworek;(074)8418239;;
Dezynfekcja, Dezynsekcja, Deratyzacja Renata Jaworek;603938688;;
DEZYNFEUSZ;514583200;;
Dezynfeusz Sosnowiec;799355552;;
Dezynsekcja Dezynfekcja Deratyzacja Kostusiewicz Edyta;515131669;;
Dezynsekcja Dezynfekcja i Deratyzacja Adam Szulwic;603341806;;
Dezynsekcja i Deratyzacja PRO;513726796;;
Dezynsekcja24 Maciej Woźniak;514046749;;
Dezynsekt Daniel Wiciak;693861146;;
Dezynsekt Daniel Wiciak;(61)8423137;;
DOMESTICA Piotr Buj;(068)3472986;;
DOMESTICA Piotr Buj;(068)3472986;;
EFEKT DDD Dawid Markowski;600443462;;
EFEKT DDD Dawid Markowski;(33)8705681;;
EKES DDD Pest Control;(95)7558150;;
EKES DDD Pest Control;601741342;;
Eko Atrium;668859307;;
EKORAT Usługi Dezynfekcji, Dezynsekcji i Deratyzacji S.c.;514664826;;
EKORAT Usługi Dezynfekcji, Dezynsekcji i Deratyzacji S.c.;514664811;;
EKOSTERYL Irena Kostrzewa;505080485;;
EKOSTERYL Irena Kostrzewa;510671147;;
EKOSYNERGIA Adam Kucyniak;604258095;;
EKSPERTER PPHU;(61)6659500;;
EKSPERTER PPHU;(61)6659501;;
EMRAT;502330112;;
EPEX Firma Inżynierska;(91)4535330;;
EPEX Firma Inżynierska;604905220;;
ERPOL Eryk Połeć;(22)8461583;;
ERPOL Eryk Połeć;(22)4038484;;
Estetyka-Serwis DDD - Dezynfekcja, Dezynsekcja, Deratyzacja;(16)6780679;;
Estetyka-Serwis DDD - Dezynfekcja, Dezynsekcja, Deratyzacja;606713917;;
EVANDER;(22)7286937;;
EVANDER;501218867;;
Exichem Sp. z o.o.;794181191;;
F.U. DERA-DEZ;526895855;;
F.U. OWADEK DDD;730934329;;
F.U. OWADEK DDD;501246824;;
F.U. Spec;(61)6658571;;
F.U. Spec;(61)6706912;;
F.U.H. INSEKT;(22)6106009;;
F.U.H. INSEKT;602715055;;
F.U.H. PEST-MAX;(33)8105565;;
F.U.H. PEST-MAX;(33)8105665;;
F.U.H.P. SZKODNIK;604701127;;
F.U.H.P. SZKODNIK;(12)4110504;;
FAL S.c. Danuta i Krzysztof Jakubowscy;(022)6632914;;
FAL S.c. Danuta i Krzysztof Jakubowscy;602557529;;
FALCOR Edyta Taras;(25)6755177;;
FALCOR Edyta Taras;691661463;;
FAST Dezynsekcja, Dezynfekcja, Deratyzacja;(68)3238299;;
FAST Dezynsekcja, Dezynfekcja, Deratyzacja;603500698;;
FAST PROTEKTOR;(95)7225293;;
FAST PROTEKTOR;602251105;;
FHU ADI TRADE;512977240;;
FHU MARLON;792020001;;
FHU MIMAR;(014)6551739;;
FHU MIMAR;602746039;;
FHU NASTA Sławomir Nawój;(71)3732788;;
FHU NASTA Sławomir Nawój;603927490;;
Firma Andrzej Rajewski;603764971;;
Firma Andrzej Rajewski;(89)5425218;;
Firma Handlowo-Usługowa AL-SŁAW;604923930;;
Firma Handlowo-Usługowa AL-SŁAW;(89)7574474;;
Firma Handlowo-Usługowa MALPEST;694922821;;
Firma Handlowo-Usługowa Wesołek;667672739;;
Firma Handlowo-Usługowa Wesołek;663779737;;
