ARCHIV CUT;(22)7815950;;
ARCHIV CUT;(22)6799951;;
PHU UTAL-MAK;(22)8110852;;
PHU UTAL-MAK;692192393;;
Przedsiębiorstwo Projektowo Wykonawcze EKOTECHNIKA-NORD Sp. z o.o.;(94)3430309;;
Przedsiębiorstwo Projektowo Wykonawcze EKOTECHNIKA-NORD Sp. z o.o.;(94)3416033;;
DISONI Trade House Sp. z o.o.;(22)7752392;;
DISONI Trade House Sp. z o.o.;(22)7757975;;
ARCH-INFO Zakład Usług Archiwalnych Roszuk;(22)6183721;;
ARCH-INFO Zakład Usług Archiwalnych Roszuk;608425348;;
Iron Mountain Polska Sp. z o.o.;0801800802;;
Iron Mountain Polska Sp. z o.o.;(22)7536141;;
KING-Trans S.c. Przeprowadzki;(12)4117301;;
KING-Trans S.c. Przeprowadzki;724821262;;
Archiwum-Digitalizacja TERRA Sp. z o.o.;(61)8106673;;
Archiwum-Digitalizacja TERRA Sp. z o.o.;(61)8105920;;
DataBank Sp. z o.o.;(22)7599660;;
DataBank Sp. z o.o.;(22)7289342;;
Eko-Partner Bogusław Popko;(85)7402131;;
Eko-Partner Bogusław Popko;725724725(wymianakontenera);;
FAMMA Archiwizacja;(12)2691048;;
FAMMA Archiwizacja;(12)2691048;;
P.H. HALIM Sp.j. A.Bakir, I. i G.Słabosz;(34)3681727;;
P.H. HALIM Sp.j. A.Bakir, I. i G.Słabosz;(34)3614579;;
Przedsiębiorstwo Usługowe ARCHIWUM JP;(61)8528389;;
Przedsiębiorstwo Usługowe ARCHIWUM JP;(61)8522171;;
ARCHEON Składnica Akt Pracowniczych Sp. z o.o.;(61)8150761;;
ARCHEON Składnica Akt Pracowniczych Sp. z o.o.;(61)8789755;;
DOKARCH Usługi Archiwizacyjne Paweł Szymonik;(34)3680954;;
DOKARCH Usługi Archiwizacyjne Paweł Szymonik;605548455;;
KOM-PAP Office Partners;(42)6898079;;
KOM-PAP Office Partners;533533023;;
Medien Partner Recykling Dariusz Bogdański;(22)7256256;;
Medien Partner Recykling Dariusz Bogdański;885858884;;
Pika Sp. z o.o.;0801080890;;
Pika Sp. z o.o.;0801080890;;
Pika Sp. z o.o.;0801080890;;
Pika Sp. z o.o.;0801080890;;
Pika Sp. z o.o.;(58)7326715;;
Pika Sp. z o.o.;(58)7326709;;
Primet;(56)6785120;;
Primet;(56)6785343;;
Usługi Archiwistyczne POK-KOM;601717046;;
Usługi Archiwistyczne POK-KOM;(32)2182790;;
AKTAPLUS Sp. z o.o.;(12)2939099;;
AKTAPLUS Sp. z o.o.;(12)2939090;;
Data Fox Sp. z o.o.;(32)7205111;;
Data Fox Sp. z o.o.;(32)7205112;;
DATA Professional Grzegorz Wrona;(12)2650033;;
DATA Professional Grzegorz Wrona;668887752;;
DELEO PPHU Tomasz Chlastawa NISZCZENIE DOKUMENTÓW;506145376;;
Destroy & Recycling Niszczenie Dokumentów;(71)3493755;;
Destroy & Recycling Niszczenie Dokumentów;511101011;;
DESTRUKT;(41)3629287;;
DESTRUKT;603935715;;
Eco-nord Recykling;(55)2370990;;
EKO-DOK Consulting;(17)7712750;;
EKO-DOK Consulting;603600240;;
