Łódzki Dom Kultury;(42)6339800;;
Łódzki Dom Kultury;(42)6337096;;
Dom Kultury SMB IMIELIN;(22)6411915(DomKultury);;
Dom Kultury SMB IMIELIN;(22)6415991(Spółdzienia);;
Konstanciński Dom Kultury;(22)4842020;;
Młodzieżowy Dom Kultury Fabryczna;(71)7850920-21;;
Ośrodek Kultury;(52)3984740;;
Ośrodek Kultury;(52)3953196;;
Białostocki Ośrodek Kultury;(85)7461311;;
Białostocki Ośrodek Kultury;(85)7461312;;
Centrum Edukacji Kulturalnej Dzieci i Młodzieży, Młodzieżowy Dom Kultury im. Mikołaja Kopernika, Szkolne Schronisko Młodzieżowe;(71)7986881;;
Centrum Edukacji Kulturalnej Dzieci i Młodzieży, Młodzieżowy Dom Kultury im. Mikołaja Kopernika, Szkolne Schronisko Młodzieżowe;(71)7984381;;
Centrum Kultury RONDO;(61)4445234;;
Chojnickie Centrum Kultury;(52)3972215;;
Chojnickie Centrum Kultury;(52)3950150;;
Dom Kultury ŚRÓDMIEŚCIE;(85)7416517;;
Dom Kultury ŚRÓDMIEŚCIE;500136195;;
Dom Kultury w Pilźnie;(14)6721027;;
Dom Kultury w Pilźnie;(14)6723114;;
DOM PACHNĄCY CHLEBEM;(75)7447424;;
DOM PACHNĄCY CHLEBEM;691476410;;
MGOK Miejsko Gminny Ośrodek Kultury;(74)8110591;;
Miejski Dom Kultury im. Aleksandra Sas-Bandrowskiego;(16)6329635;;
Miejski Dom Kultury im. Aleksandra Sas-Bandrowskiego;(16)6321497;;
Młodzieżowy Dom Kultury im. Konstantego Ildefonsa Gałczyńskiego;(12)6550719;;
Młodzieżowy Dom Kultury im. Konstantego Ildefonsa Gałczyńskiego;(12)4255223;;
Ośrodek Kultury w Brzeszczach;(32)2111490;;
Ośrodek Kultury w Brzeszczach;(32)2111391;;
Pałac Młodzieży w Katowicach;(32)2516431;;
Pałac Młodzieży w Katowicach;(32)2510402;;
Starochorzowski Dom Kultury;(32)2473953;;
Starochorzowski Dom Kultury;(32)2473956-58;;
Spółdzielnia Mieszkaniowa Dąbrowa;(42)2536430;;
Spółdzielnia Mieszkaniowa Dąbrowa;(42)2536431;;
Kino Sokół;(14)6559214;;
Kino Sokół;(14)6565002;;
Akademicki Ośrodek Inicjatyw Artystycznych;(42)6332641;;
Akademicki Ośrodek Inicjatyw Artystycznych;(42)6334368;;
Artystyczna Pracownia Plastyczna PRACOWNIA-ART;698053841;;
Augustowskie Placówki Kultury;(087)6433659;;
Augustowskie Placówki Kultury;(087)6431233;;
Balet Dworski Cracovia Danza;(12)4210836;;
Balet Dworski Cracovia Danza;(12)4295880;;
Bartoszycki Dom Kultury;(89)7622389;;
Bemowskie Centrum Kultury w dzielnicy Bemowo m.st. Warszawy;(022)5320400;;
Bemowskie Centrum Kultury w dzielnicy Bemowo m.st. Warszawy;(022)5320401;;
Białołęcki Ośrodek Kultury;(22)8844625-26;;
Białołęcki Ośrodek Kultury;(22)6146656;;
Bielski Dom Kultury;(85)7303414;;
Bielski Dom Kultury;(85)7308588;;
Bieruński Ośrodek Kultury;(32)2164016;;
Bieruński Ośrodek Kultury;(32)2164693;;
