AFJ Sp. z o.o.;691617036;;
AFJ Sp. z o.o.;(71)7160435;;
Archeton Sp. z o.o. Dom na Miarę;(12)2950571;;
Archeton Sp. z o.o. Dom na Miarę;695210497;;
DREW-DOM;781769244;;
EBO Domki Drewniane;(89)5260908;;
EBO Domki Drewniane;602760701;;
Findrewno Sp. z o.o.;(43)8238307;;
Findrewno Sp. z o.o.;601394934;;
Hat-Bud Domy Drewniane, Szkieletowe i Rekreacyjne;(13)4353994;;
Hat-Bud Domy Drewniane, Szkieletowe i Rekreacyjne;603205518DyrektorDziałuSprzedaży;;
P.P.H.U. DOM-HURT;(33)8631486;;
P.P.H.U. DOM-HURT;(33)8631471;;
WIKPOL Sp. z o.o.;+48795376591;;
WIKPOL Sp. z o.o.;607603247;;
Brzechwa Sp.j.;(61)6464600;;
Brzechwa Sp.j.;(61)6464601;;
Centrum Wyrobów Ogrodowych PPHU Import-Eksport;(75)7240650;;
Centrum Wyrobów Ogrodowych PPHU Import-Eksport;(75)7221542;;
DomLux;664443074;;
DREMEX;(22)7245522;;
DREMEX;505124524;;
ECO-HOUSE S.c. Małgorzata i Piotr Marek;609622450;;
ECO-HOUSE S.c. Małgorzata i Piotr Marek;(58)6848640;;
F.P.H.U. ODNOVA;(18)2688970-73;;
F.P.H.U. ODNOVA;(18)2688974;;
Firma Produkcyjno-Usługowo-Handlowa MALORZ;607092504;;
Firma Produkcyjno-Usługowo-Handlowa MALORZ;501229280;;
Mazurskie Domy - domy drewniane z bali;502085849;;
P.P.H.U. FEDDE;507183867;;
P.P.H.U. FEDDE;512090434;;
PUH IRBIS Grzegorz Dużyński;505017869;;
A2 Domki Grillowe;501225994;;
A2 Domki Grillowe;(41)2421310;;
AT.Drewbud Sp. z o.o.;696771856;;
AT.Drewbud Sp. z o.o.;725608829;;
BALIGÓWKA Marek Bartyzel;535455012;;
DOMPOL Zakład Konstrukcji Drewnianych;(33)8170997;;
DOMPOL Zakład Konstrukcji Drewnianych;604231835;;
DREW-DOM - Drewniane Budownictwo Szkieletowe;604228192;;
DREW-DOM Bieszczady S.c.;(13)4677060;;
DREW-DOM Bieszczady S.c.;(13)4678127;;
Drew-Hat Domy Drewniane;(13)4347094;;
Drew-Hat Domy Drewniane;609201243;;
DREWMAR Jacek Przybylski;604949398;;
DREWNIANE ZIELONE DOMY S.c.;884990884;;
EKO-BUD Usługi Stolarsko-Ciesielskie Mariusz Deminiak;696499377;;
EKODOM Domy Drewniane;(58)3012854;;
EKODOM Domy Drewniane;504860309;;
F.H.U. BASIA A.Stachowicz;601705206;;
F.H.U. BASIA A.Stachowicz;601705207;;
Firma Produkcyjno-Usługowo-Handlowa STBud;510231542;;
Hanlo-Dom Polska Sp. z o.o.;(58)3523484;;
Hanlo-Dom Polska Sp. z o.o.;790709330;;
JAGRAM S.A.;(22)6289772;;
JAGRAM S.A.;505055472;;
MAREK - Drewniane domy, altany, wiaty;509831844;;
MAREK - Drewniane domy, altany, wiaty;(22)7522716;;
Mefra Bau System Sp. z o.o.;(61)2921338;;
Mefra Bau System Sp. z o.o.;609203494;;
NaturDom;691354605;;
P.P.H.U. OLIMP Piotr Mielczarek;509437499Właściciel;;
P.P.H.U. OLIMP Piotr Mielczarek;502401154Sprzedaż;;
P.W. Taxlas Sp.j.;(56)6544299;;
P.W. Taxlas Sp.j.;(56)6596534;;
PHU Kormal;(59)5720122;;
PHU Kormal;600873734;;
PLASTAL Producent Domów z Drewna;(65)5299148;;
PLASTAL Producent Domów z Drewna;(65)5121210;;
PPH Foder;603708037;;
PPH Foder;(32)2381871;;
PPH LIMBA;(71)3107115;;
PPHU Naw-Mar Nawrot Marzena;504168246;;
PPHU Naw-Mar Nawrot Marzena;603555314;;
RUFKON;601719061;;
Stolarstwo Borucki;695657220;;
Stolarstwo Borucki;727930711;;
SŁOWINEX;(59)8400900;;
SŁOWINEX;(59)8400407;;
BATPOL;(18)4447288;;
BATPOL;(18)4447200;;
Domy i Domki SUMMARUM Sp. z o.o.;(22)7544099;;
Domy i Domki SUMMARUM Sp. z o.o.;501471601;;
Domy z Bali PROEKO Sp. z o.o. Sp.komandytowa;(12)2571095;;
Domy z Bali PROEKO Sp. z o.o. Sp.komandytowa;604292045;;
Gospodarstwo Agroturystyczne POPIELÓWKA;(18)4468221;;
Gospodarstwo Agroturystyczne POPIELÓWKA;660745071;;
INTER BUD DOM Mirosław Szafczyk;604622166;;
NORDICA-VILLAN Sp. z o.o.;606999505;;
PPUH DOMEX Sp.j.;(84)6867201;;
PPUH DOMEX Sp.j.;(84)6880819;;
WMS BUDOWNICTWO;(56)4711399;;
WMS BUDOWNICTWO;(56)4711398;;
Dom-Let;506034882;;
GINES SYSTEM - Tartak Wydminy;(87)4210016;;
P.W. PRONAT Roman Bochniarz;(81)7520895;;
P.W. PRONAT Roman Bochniarz;(81)7520894;;
PH PODHALE Sp. z o.o.;(18)4431762;;
PH PODHALE Sp. z o.o.;(18)4404741;;
PPUH PINEA DOMEX Stanisław Sułocha;(18)2673087;;
PPUH PINEA DOMEX Stanisław Sułocha;663706070;;
PROFI-CAN mgr inż.Jerzy Kuźmiński;(32)2876659;;
PROFI-CAN mgr inż.Jerzy Kuźmiński;601506591;;
Reisser-Pol Sp. z o.o.;500456786;;
RODEO Dariusz Rewers;668646566;;
STOLARKA ZAPERT Stylowe Kuchnie i Meble Drewniane;503836887;;
Zarządzanie Nieruchomościami ATTYKA Mirosława Stanulewicz;(58)3013639;;
Zarządzanie Nieruchomościami ATTYKA Mirosława Stanulewicz;(58)3015883;;
ARCHITEKTURA OGRODOWA Jan Tomys;517089180;;
ARCHITEKTURA OGRODOWA Jan Tomys;783711214;;
Drew-Max;(18)3516028;;
Drew-Max;507131514;;
Drewniana Chata;502276835;;
ELMET Maciocha Paweł;605545544;;
HB Studio;(71)7843936;;
HB Studio;502133157;;
JACHMAX;(14)6825320;;
JACHMAX;606718881;;
MEBLO-DREW Piotr Kożak;609821863;;
OGRODY ROSZAK Domki Drewniane;604249096;;
P.P.U. DREWAR Jan Wardyn;(58)6873305;;
PLUSART architekci;501594622;;
POL-DREWNO;605032005;;
POL-DREWNO;733160686;;
POL-PŁOT;669065894;;
Pracownia Projektowa Iwanek Łukasz;(33)4797971;;
Pracownia Projektowa Iwanek Łukasz;(33)4797972;;
Przedsiębiorstwo Produkcji Drzewnej POLTRAK Sp. z o.o.;(44)7560891;;
Przedsiębiorstwo Produkcji Drzewnej POLTRAK Sp. z o.o.;(44)7560809tartak;;
STRZECHPOL Tomasz Włochowicz;721722700;;
STRZECHPOL Tomasz Włochowicz;663854365;;
Tartak-Stolarnia, Domy z Litych Bali Ryszard Stasiak;(87)4218370;;
Tartak-Stolarnia, Domy z Litych Bali Ryszard Stasiak;603067481;;
TERMAX - Schody Drewniane Jerzy Krzyżewski;604121848;;
TRAKDREW;(77)4644605;;
TRAKDREW;516125089;;
Woda Redox;(51)6355162;;
Zakład Stolarski Krysiak;(89)7226142;;
Zakład Stolarski Krysiak;695240605;;
ZPD Drewno Do Ogrodu Edmund Marczak;(25)7575110;;
ZPD Drewno Do Ogrodu Edmund Marczak;693936066;;
AltanyOstrowski;796120875;;
MARAS.DACH.BUD.;883707246;;
MARAS.DACH.BUD.;501137834;;
ADAVIC;(56)4681368;;
ADAVIC;698135327;;
Adavic Bolesław Tarczykowski;667331208;;
ADRUG;(58)6920734;;
ADRUG;(58)6920774;;
AGBUD domy z drewna;792538007;;
AGBUD domy z drewna;501769649;;
ALBERTO Sp. z o.o.;725550440;;
ALBERTO Sp. z o.o.;(65)5442509;;
AleDomyDrewniane.pl;(12)6563541;;
AleDomyDrewniane.pl;(12)3973115;;
ALTANY Z BALA;601567747;;
ALTANY Z BALA;502779187;;
AMAR Sp. z o.o.;(32)4558896;;
AMHouse;884999224;;
AN-POL RABSKI;601917631;;
Apartamenty Zakopane - Chileccy S.c.;(18)2011303;;
Apartamenty Zakopane - Chileccy S.c.;502511818;;
APIS S.A.;(15)8791003;;
APIS S.A.;(15)8791529;;
ARBOL S.c. Woźniak;(25)6854802;;
ARBOL S.c. Woźniak;601954007;;
ARDOM-Arkadiusz Zuchniak;(25)6831390;;
ARDOM-Arkadiusz Zuchniak;604344032;;
ART-DOM CONSTRUKTION;(91)5626115;;
ART-DOM CONSTRUKTION;785193091;;
Arte Marmi;(91)4898915;;
Arte Marmi;(91)4898916;;
AskorpDomy;535566755;;
AskorpDomy;792865144;;
ATLASDOMKOW.PL;505057570;;
Balik Kamil Biernacki;506745298;;
BALO-WOOD;(63)2765848;;
BALO-WOOD;508860899;;
Baltic House Sp. z o.o.;608678736;;
BARTEK Fabryka Domów Drewnianych;(83)3527686;;
BARTEK Fabryka Domów Drewnianych;501511888;;
Baston;(41)3431330;;
Beskidzie Domy z Bali;513012789;;
BIALDOM;(85)7111919;;
BIALDOM;692725233;;
BIOIKOS Sp. z o.o.;(51)2121599;;
BIOIKOS Sp. z o.o.;601217373;;
BonusDomBud;606994711;;
BOX HAUS;606330011;;
BRONKA Domy z Bala;606390782;;
BUDIMEX DANWOOD Sp. z o.o.;(85)7300033;;
BUDOMEX-DOM;(22)7835628;;
BUDOMEX-DOM;607052203;;
Budostol;(22)7590085;;
Budostol;604112308;;
BudoTech;(75)7751555;;
BudoTech;509663630;;
Budowa Domków Letniskowych i Całorocznych - Stolarstwo i Ciesielstwo Władysław Kędzior;501628955;;
Budowa Domów Drewnianych STYLBUD;664332772;;
Budowa Domów Drewnianych STYLBUD;662108013;;
Budowa Góralskich Domów od A do Z!;796413305;;
Budownictwo Drewniane SEGURI;790890508;;
Budownictwo Ogólne EKO-DOM Piotr Lipowczan;502168773;;
BUDOWNICTWO W DREWNIE Krzysztof Lasiak;602123612;;
BuDrev domy z drewna;(33)8638068;;
BuDrev domy z drewna;607117677;;
Bukowinka-Domek w Krempnej;694666817;;
BYDDREW Domy Drewniane i Szkieletowe;516170994;;
BYDDREW Domy Drewniane i Szkieletowe;667266094;;
BZ BACÓWKA Barbara Zielińska;502052214;;
BZ BACÓWKA Barbara Zielińska;(12)3591507;;
CEDREW Krzysztof Piotrowski;603300419;;
CEDREW Krzysztof Piotrowski;(81)7501500;;
CELIN Eksport-Import;602739787;;
CELIN Eksport-Import;(68)4579312;;
Centrum Budownictwa Drewnianego;(058)3016851;;
Centrum Budownictwa Drewnianego;(058)3055722;;
Centrum Budownictwa Drewnianego;(58)3016851;;
Centrum Ogrodnicze PARK;513091678;;
Centrum Ogrodniczo-Budowlane DOMATOR;(25)7575110;;
Chalupki pod Giewontem;600302607;;
Ciesielstwo Roboty Ogólnobudowlane BRACHA Jan Obyrtacz;(18)2757910;;
Ciesielstwo Roboty Ogólnobudowlane BRACHA Jan Obyrtacz;608060906;;
Ciesielstwo Roboty Ogólnobudowlane Kukulak Władysław;(18)2072598;;
Ciesielstwo Roboty Ogólnobudowlane Kukulak Władysław;693361518-19;;
CIESIELSTWO-STOLARSTWO Jerzy Morawski;(48)3441077;;
CIESIELSTWO-STOLARSTWO Jerzy Morawski;502348940;;
ComfortHome Sp. z o.o.;519513217;;
ComfortHome Sp. z o.o.;519513210;;
Complex-Partner Pośrednictwo Handlowe Wojciech Żelechowski;505096765;;
