CLASSEN-POL S.A.;(32)4292000;;
CLASSEN-POL S.A.;(32)4292200;;
PPHU STARE DREWNO Marek Barczak;509198509;;
PPHU STARE DREWNO Marek Barczak;(81)5020896;;
BATPOL;(18)4447288;;
BATPOL;(18)4447200;;
Deski Tarasowe i Elewacyjne GLOBAL-BIZNES;791279312;;
Deski Tarasowe i Elewacyjne GLOBAL-BIZNES;790578979;;
EKO-DREW;(14)6518358;;
FALLKLANDY Stanisław i Edward Fal Sp.j.;(13)4644164;;
FALLKLANDY Stanisław i Edward Fal Sp.j.;695402140;;
FOREST PPHU Natalia Rjabin;(58)7106767;;
FOREST PPHU Natalia Rjabin;(58)7106868;;
GLAZUREX Sp. z o.o.;(71)3645034;;
GLAZUREX Sp. z o.o.;(71)3643725;;
Glob-Star Sp. z o.o.;(62)7691508;;
Glob-Star Sp. z o.o.;(62)7691509;;
NABAGLO Leokadia Nabagło;693271345;;
NABAGLO Leokadia Nabagło;(12)3895061;;
OKLEINY I TARCICA;(61)6516620;;
OKLEINY I TARCICA;603241010;;
Podex - BIS Podex;(62)7533928;;
Podex - BIS Podex;(62)7664690;;
Przedsiębiorstwo JAWID Janusz Wideński;(33)8155755;;
Przedsiębiorstwo Przemysłu Drzewnego POLTAREX Sp. z o.o.;(59)8635700;;
Przedsiębiorstwo Przemysłu Drzewnego POLTAREX Sp. z o.o.;(59)8622139;;
Stolarka Dyluś;609846738;;
Stolarka Dyluś;511014224;;
Stolarnia ADAM Halina Kozłowska;(15)8453713;;
Stolarnia ADAM Halina Kozłowska;(15)8453942;;
Usługi Artystyczne w Drewnie Leszek Pestka;608427510;;
Wyroby z Drewna Józefa Błachut;(18)2681208;;
Wyroby z Drewna Józefa Błachut;697700998;;
Z.P.H.U. DREWEX Józef Kucharski;(13)4621175;;
Z.P.H.U. DREWEX Józef Kucharski;(13)4621095;;
BEAN Sp. z o.o.;(44)7381634;;
BEAN Sp. z o.o.;(44)7381633;;
Bydgoskie Zakłady Sklejek SKLEJKA-MULTI S.A.;(52)3420500;;
Bydgoskie Zakłady Sklejek SKLEJKA-MULTI S.A.;(52)3425061w.203;;
DESTRAL Sp.j. W.Szyporta, M.Łabędzki, W.Łabędzki;(77)4196012;;
DESTRAL Sp.j. W.Szyporta, M.Łabędzki, W.Łabędzki;600887328;;
DREWEX;(41)2737440;;
DREWEX;(41)2737110;;
Drewnleś Andrzej Leśniak;(12)2747198;;
Drewnleś Andrzej Leśniak;601211573;;
Drewno Hurt-Detal Sp. z o.o.;(32)2415546;;
Drewno Hurt-Detal Sp. z o.o.;(32)2412073;;
DREWNOPARK S.c.;(33)8532981-82;;
DREWNOPARK S.c.;(33)8532983;;
DREWNOSTYL F.H.U.;(33)8532981;;
DREWNOSTYL F.H.U.;(33)8532983;;
DREWUP Sp. z o.o.;(48)3840060;;
DREWUP Sp. z o.o.;(48)3852617;;
F.H. AS TEAK;509288630;;
F.H. DREWNO Sp. z o.o.;(42)6327332;;
F.H. DREWNO Sp. z o.o.;(42)6334804;;
F.U. INTER-KUK Janusz Kosno;604919706;;
F.W. Agnieszka Pyrek;501459838;;
F.W. Agnieszka Pyrek;504125398;;
IRCHA Sp. z o.o.;(95)7691352-53;;
IRCHA Sp. z o.o.;(95)7604890;;
MGJ Sp. z o.o.;(58)6739000;;
MGJ Sp. z o.o.;(58)6739015;;
MONERO Architektura Ogrodowa;880945579;;
MONERO Architektura Ogrodowa;790883180;;
P.H.U. JĘDRYSEK Stanisław Jędrysek;(12)2748765;;
P.H.U. JĘDRYSEK Stanisław Jędrysek;(12)2728205;;
Peplinski & Banaszewski Sp. z o.o.;(62)7471815;;
Peplinski & Banaszewski Sp. z o.o.;(62)7479550;;
Pfleiderer Grajewo S.A.;(86)2729600;;
Pfleiderer Grajewo S.A.;(86)2723983;;
Pfleiderer Prospan S.A.;(62)7833100;;
Pfleiderer Prospan S.A.;(62)7833105;;
PiPH FIBERWAYS;(16)6780707;;
PiPH FIBERWAYS;794409394;;
Poli Trade Polska Sp. z o.o.;(32)2921041;;
Poli Trade Polska Sp. z o.o.;(32)3530127;;
PPUH PINEA DOMEX Stanisław Sułocha;(18)2673087;;
PPUH PINEA DOMEX Stanisław Sułocha;663706070;;
PRO-DREWEX Sp. z o.o.;(33)8641540;;
PRO-DREWEX Sp. z o.o.;(33)8642860;;
PTH DRAWA Listwy Przypodłogowe Władysław Drab;(48)3835588Siedziba(magazyn);;
PTH DRAWA Listwy Przypodłogowe Władysław Drab;604452430;;
Sklejka Orzechowo S.A.;(61)4351100;;
Sklejka Orzechowo S.A.;(61)4371071;;
Skład Drewna P.P.U.H. Ryszard Jacyno;(59)8103761;;
Skład Drewna P.P.U.H. Ryszard Jacyno;502535818;;
WIĄZAR-SYSTEM Sp.j.;(77)4141468;;
WOjDREW Wojciech Jamro;(13)4495041;;
WOjDREW Wojciech Jamro;781747688;;
Zakład Produkcji i Usług Drzewnych Ireneusz Daszczyński;509728401;;
ACER Przedsiębiorstwo Produkcyjno Handlowo Usługowe Sp. z o.o.;(65)5727927;;
ACER Przedsiębiorstwo Produkcyjno Handlowo Usługowe Sp. z o.o.;(65)5727126;;
ARAN;604482815;;
AREX Producent Wieszaków;(18)3537570;;
AREX Producent Wieszaków;(18)3540712;;
Daniel Lamot F.U.H. FASTPAL;516082024;;
Daniel Lamot F.U.H. FASTPAL;(76)7442374;;
DEKOMAT;603073088;;
Drew-Max;(18)3516028;;
Drew-Max;507131514;;
DREW-STYL;795110103;;
DREW-TRANS II Zenon Wrzeszcz i Wspólnicy Sp. z o.o.;(52)3976295;;
DREW-TRANS II Zenon Wrzeszcz i Wspólnicy Sp. z o.o.;(52)3976549;;
DREWAN Jan Majchrzak;(46)8627799;;
DREWAN Jan Majchrzak;508552696;;
DrewAR Arkadiusz Rynkiewicz;(58)7389901;;
DrewAR Arkadiusz Rynkiewicz;(58)7389902;;
DREWEKS;(33)8773050;;
DREWKO Zakład Drzewny Maria Myślak;(89)6221212;;
DREWKO Zakład Drzewny Maria Myślak;602703754;;
DREWMAX;(41)3110616;;
DREWMAX;605660696;;
DREWMET;(22)7372332;;
DREWSPAN Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Skorupski-Wójcik Sp.j.;(17)2214880;;
DREWSPAN Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Skorupski-Wójcik Sp.j.;(17)2214445;;
EKO DREWNO;(71)3887860;;
EKO DREWNO;(71)3878285;;
EKO-PARKIET S.c.;(85)6629446;;
EKO-PARKIET S.c.;(85)6629439;;
F.H.U. OPDREW Jarosław Opozda;(12)6811515;;
F.H.U. OPDREW Jarosław Opozda;(12)6811444;;
FAGUS Materiały Drzewne;508342756;;
FAGUS Materiały Drzewne;728878100;;
FILIPIAK S.c.;(33)8766251;;
FILIPIAK S.c.;(33)8764295;;
Firma AGMAR Agnieszka Pacholska;506047693;;
Firma AGMAR Agnieszka Pacholska;695505101;;
FIRMA HANDLOWA FACHOWIEC K. KACZMAREK - H. STACHOWSKI SPÓŁKA JAWNA;(61)8203252;;
FIRMA HANDLOWA FACHOWIEC K. KACZMAREK - H. STACHOWSKI SPÓŁKA JAWNA;(61)8238247;;
Firma HEBAN;512152271;;
Firma KOCZY Michał Koczy;(32)2384461;;
Firma KOCZY Michał Koczy;(32)2384162;;
FIRMA PRODUKCYJNO-HANDLOWA Wojciech Pikusa;(14)6518385;;
FIRMA PRODUKCYJNO-HANDLOWA Wojciech Pikusa;605243020;;
FPH Galanteria Drzewna Andrzej Pabian;(014)6510618;;
FPH Galanteria Drzewna Andrzej Pabian;693279164;;
Handel i Usługi DREWCHEM;695799600;;
Handel i Usługi DREWCHEM;(14)6822178;;
Internetowe Centrum Mebli Sosnowych ICMS KORONA;(12)2750707;;
Internetowe Centrum Mebli Sosnowych ICMS KORONA;603969894;;
JANPOL;608625015;;
K. Schroeder Polska Sp. z o.o.;(68)3760300;;
K. Schroeder Polska Sp. z o.o.;(68)3760333;;
KALWARIANKA Spółdzielnia Rzemieślnicza Wielobranżowa;(33)8766113;;
KALWARIANKA Spółdzielnia Rzemieślnicza Wielobranżowa;(33)8766566;;
KIZMET Zbigniew Kaźmierczak;(61)8178633;;
KIZMET Zbigniew Kaźmierczak;606371303;;
Kompan Tomasz Radliński;(89)5235728;;
Kompan Tomasz Radliński;604451222;;
KORONA Wyroby z Drewna;(12)2701328;;
KORONA Wyroby z Drewna;603969894;;
LASEK S.c.;(13)4341385;;
LASEK S.c.;502247756;;
P.H.U. DREWPŁYT;(22)7590181;;
P.H.U. DREWPŁYT;(22)7590089;;
P.H.U. HANDUS;501664272;;
P.H.U. HANDUS;503108969;;
P.P.H.U. HABSTOL;606349585;;
P.P.H.U. HABUDA;(15)8431404;;
P.P.H.U. HABUDA;508382682;;
P.P.H.U. STOLGAL Włodzimierz Krystkowiak;(61)2828588;;
P.P.H.U. STOLGAL Włodzimierz Krystkowiak;(61)2828562;;
P.U.P.H. MONROL Sp. z o.o.;(85)7162256;;
P.U.P.H. MONROL Sp. z o.o.;(85)7162472;;
PRO-DREX;(16)6313456;;
PRO-DREX;607350066;;
Przedsiębiorstwo Euroholz;(22)6204765;;
Przedsiębiorstwo Euroholz;(22)6522767;;
Przedsiębiorstwo Handlowo Usługowe KAJ Jarosław Stakuć;606901151;;
Przedsiębiorstwo Handlowo Usługowe KAJ Jarosław Stakuć;600637949;;
Przedsiębiorstwo Handlowo-Produkcyjne Eksport-Import Jan Sibiński;(62)7311257;;
Przedsiębiorstwo Handlowo-Produkcyjne Eksport-Import Jan Sibiński;(62)7311257;;
Przedsiębiorstwo Handlowo-Usługowe Krzysztof Goncz;516466192;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe FRYZ Krzysztof Wryszcz;502140352;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe FRYZ Krzysztof Wryszcz;(84)6851160;;
Przedsiębiorstwo Produkcyjno-Usługowe KOPGARD Sp. z o.o.;(77)4622505;;
Przedsiębiorstwo Produkcyjno-Usługowe KOPGARD Sp. z o.o.;(77)4622510;;
Przedsiębiorstwo Przetwórstwa Drzewnego GRÓDKÓW Sp. z o.o.;(32)2672239;;
Przedsiębiorstwo Przetwórstwa Drzewnego GRÓDKÓW Sp. z o.o.;(32)3634050;;
Przedsiębiorstwo Wielobranżowe MONDALCO Sp. z o.o.;(95)7240606;;
Przedsiębiorstwo Wielobranżowe MONDALCO Sp. z o.o.;(95)7240607;;
RIS Tartak;604175312;;
RIS Tartak;(75)7413242;;
Skład Drzewny JAWOR Sp.j. Mierzwicki i Wilczyński;(61)8480027;;
Skład Drzewny JAWOR Sp.j. Mierzwicki i Wilczyński;(61)8101508;;
SPALENIAK Usługi Stolarskie;(62)7617580;;
SPALENIAK Usługi Stolarskie;504261865;;
STAMADREW Podłogi i Tarasy z Drewna;(33)4889880;;
