Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe VEGA;(95)7460024;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe VEGA;(95)7463141;;
ArtLin Producent Lin i Sznurów;(67)2622046;;
ArtLin Producent Lin i Sznurów;(67)2685850;;
D.G.M. Sp. z o.o.;(12)6561790;;
D.G.M. Sp. z o.o.;(12)6565114;;
METRA Sp. z o.o.;(91)8147404;;
METRA Sp. z o.o.;608204852;;
P.W. EKOMET J.Traczyk i A.Kawecki Sp.j.;(42)7186745;;
P.W. EKOMET J.Traczyk i A.Kawecki Sp.j.;(42)7186729;;
Przedsiębiorstwo Wielobranżowe DRUTPOL;(48)6186009;;
Przedsiębiorstwo Wielobranżowe DRUTPOL;(48)6186057;;
Zakład Zawiesi Linowych SILNO;(56)6489549;;
Zakład Zawiesi Linowych SILNO;(56)6489730;;
ALEX Józef Wasong;(84)6875012;;
ALEX Józef Wasong;(84)6875017;;
EFMETAL Sp. z o.o.;(54)2308888;;
EFMETAL Sp. z o.o.;(54)2308899;;
FoKa Sp. z o.o.;(75)7213070;;
FoKa Sp. z o.o.;(75)7221838;;
KORNET F.H.U.;793274384;;
Metal-BOX;(22)7895141;;
Metal-BOX;606377931;;
WOLCO Sp. z o.o.;(81)7476933;;
WOLCO Sp. z o.o.;(81)7477202;;
BK SIATMET Bogdan Koper;(84)6870474;;
BK SIATMET Bogdan Koper;(84)6870632;;
KABEX ZPH Damian Dąbrowski;(83)3551340;;
KABEX ZPH Damian Dąbrowski;(83)3551341;;
KRYMAX Sp. z o.o.;(32)2157620;;
KRYMAX Sp. z o.o.;(32)2142077;;
MARLESZ Sp. z o.o. - Producent Gwoździ;(32)2931327;;
MARLESZ Sp. z o.o. - Producent Gwoździ;(32)2931880;;
METALURGIA S.A.;(44)6854166;;
METALURGIA S.A.;(44)6854161;;
P.H.U. MET-BUD;(33)8218481;;
P.H.U. MET-BUD;606119769;;
PPHU SIATPOL Kazimierz Szcząchor;(84)6851110;;
PPHU SIATPOL Kazimierz Szcząchor;(84)6851705;;
Szczecin Technik Serwis;(91)4623897;;
Szczecin Technik Serwis;601799295;;
BHH MIKROHUTA Sp. z o.o.;(32)2625843;;
BHH MIKROHUTA Sp. z o.o.;(32)2625051;;
PPHU Sitotech Krzysztof Jasiński;(32)7255493;;
