INVEST MICHEL Mariola Michelis, Marek Michelis Sp.j.;(25)7577638;;
INVEST MICHEL Mariola Michelis, Marek Michelis Sp.j.;(25)7524826;;
Ferma Drobiu Zasole;(32)2110129;;
Ferma Drobiu Zasole;601928797;;
GHP DUBLET Bis;(63)2795011;;
GHP DUBLET Bis;(63)2795009;;
Zakład Wylęgu Drobiu;(59)8631734;;
Zakład Wylęgu Drobiu;(59)8622056;;
Inwestpol-Monter;(23)6723748;;
Inwestpol-Monter;604291574;;
P.P.P.H. Masdrob Marian Chojnicki;(54)2720271;;
Drobgen - POLSKIE GĘSI;(58)6819377;;
Drobgen - POLSKIE GĘSI;600901709;;
Ferma OLDAR Jaja z Sokołowa;(22)7390739;;
Ferma OLDAR Jaja z Sokołowa;(22)7200503;;
Gospodarstwo Rolne DOMINANT;(91)4187480;;
Gospodarstwo Rolne DOMINANT;512371373;;
Przetwórstwo Mięsa KONKOL Sp. z o.o.;(58)7783707;;
Przetwórstwo Mięsa KONKOL Sp. z o.o.;(58)6722769;;
UBOJNIA DROBIU Górni i Synowie Sp.j.;(87)4282422;;
UBOJNIA DROBIU Górni i Synowie Sp.j.;(87)4283946;;
Agro Borek Ferma Drobiu;(32)2672140;;
Agro Borek Ferma Drobiu;601992692;;
AGROFERM Zakład Wylęgu Drobiu;(32)6722775;;
AGROFERM Zakład Wylęgu Drobiu;(32)6722743;;
Aktiw Sp. z o.o.;(74)8452225;;
Aktiw Sp. z o.o.;(74)8804560;;
Astro Drób Sp.j.;(032)2875343wgodz9.00-15.00;;
Astro Drób Sp.j.;(032)2875229wgodz5.00rano-9.00;;
BIOS Ferma Drobiu;(34)3561729;;
BIOS Ferma Drobiu;(34)3563488;;
BPS Michał Czajkowski;(71)3116499;;
BroMargo Sp. z o.o.;(67)2835152;;
BroMargo Sp. z o.o.;(67)2835159;;
Can Agri Marzanna Rydzińska;(22)2570270;;
Can Agri Marzanna Rydzińska;(22)2570271;;
Drobek 2000 Sp. z o.o.;(33)8155106;;
Drobiarstwo Opolskie Sp. z o.o.;(77)4606426;;
Drobiarstwo Opolskie Sp. z o.o.;(77)4606427;;
DROBMAT;(59)8103350;;
DROBMAT;(59)8106218;;
DUET Ryszard Roszkowski, Grzegorz Roszkowski;601765121;;
Ecopig Sp. z o.o.;(32)6742061-63;;
EKO DRÓB w Lubomierzu Sp.j.;(12)4236398;;
EKO DRÓB w Lubomierzu Sp.j.;(12)6531546;;
EKOFARMER;(32)4318174;;
EKOFARMER;792344330;;
EKOFERMA Zdzisław Tarka;504064148;;
F.H.U. TOM-POL;(32)2760028;;
F.H.U. TOM-POL;502319047;;
FERMA DROBIU Adam Jabłoński;(77)4311182;;
FERMA DROBIU Adam Jabłoński;603708772;;
Ferma Drobiu Adaszak;(61)2859118;;
Ferma Drobiu Bogusław Kutek;694962362;;
Ferma Drobiu Butryn Grzegorz;(15)8716064;;
Ferma Drobiu Butryn Grzegorz;503087408;;
Ferma Drobiu CHLEBOWO;(56)4948745;;
Ferma Drobiu CHLEBOWO;510606096;;
Ferma Drobiu Chrobrów 7a;603333507;;
Ferma Drobiu Chrobrów 7a;505097222;;
Ferma Drobiu CICHOCCY;(58)5528111;;
Ferma Drobiu CICHOCCY;601657077;;
Ferma Drobiu Daniel Pachura;(61)2857875;;
Ferma Drobiu Daniel Pachura;(61)2857523;;
Ferma Drobiu Grażyna i Adam Feliks;(12)2519161;;
Ferma Drobiu Grażyna i Adam Feliks;604875092;;
Ferma Drobiu Grzegorz Wronka;609601293;;
Ferma Drobiu Grzegorz Wronka;693030232;;
Ferma Drobiu Hodowla Kurek Odchówek Witold Kowalski;(23)6578203;;
Ferma Drobiu Hodowla Kurek Odchówek Witold Kowalski;504340342;;
FERMA DROBIU Hubert Wylężek;(29)7722107;;
FERMA DROBIU Hubert Wylężek;606428624;;
Ferma Drobiu JAJOLUX Żyszkiewicz i Kozłowski;(71)3148877;;
Ferma Drobiu JAJOLUX Żyszkiewicz i Kozłowski;(71)3148851;;
Ferma Drobiu Jan Jaśkowiec;502369830;;
Ferma Drobiu Jan Jaśkowiec;601997421;;
Ferma Drobiu Jerzy Janiczek;(32)4544060;;
Ferma Drobiu Kałużny;(65)5401503;;
Ferma Drobiu Kałużny;606399681;;
Ferma Drobiu Marcinkowska;502790076;;
