Dworzec Autobusowy Katowice;(32)2589465;;
Dworzec Autobusowy Katowice;0703403315;;
Dworzec Autobusowy Lubin;(76)8442508;;
Dworzec Autobusowy Lubin;(76)8441100;;
Dworzec Autobusowy MDA w Krakowie;0703403340;;
Dworzec Autobusowy MDA w Nowym Sączu;0703403340;;
Małopolskie Dworce Autobusowe S.A.;0703403340;;
PKS Dworzec Autobusowy Augustów;(87)6432812;;
PKS Dworzec Autobusowy Augustów;(87)6432811;;
PKS Dworzec Autobusowy Bartoszyce;(89)7622060;;
PKS Dworzec Autobusowy Bielsko-Biała;(33)8168116;;
PKS Dworzec Autobusowy Bielsko-Biała;(33)8169644;;
PKS Dworzec Autobusowy Bolesławiec;(75)6442337;;
PKS Dworzec Autobusowy Bolesławiec;(75)6442340;;
PKS Dworzec Autobusowy Bystrzyca Kłodzka;(74)8111550;;
PKS Dworzec Autobusowy Chełm;(82)5642239;;
PKS Dworzec Autobusowy Chełm;514600665;;
PKS Dworzec Autobusowy Chodzież;(67)2827037;;
PKS Dworzec Autobusowy Chodzież;(67)2827805;;
PKS Dworzec Autobusowy Ciechanów;(23)6724746;;
PKS Dworzec Autobusowy Ciechanów;(23)6722572;;
PKS Dworzec Autobusowy Częstochowa;(34)3791149;;
PKS Dworzec Autobusowy Częstochowa;0703403299;;
PKS Dworzec Autobusowy Elbląg;(55)2396203;;
PKS Dworzec Autobusowy Elbląg;(55)2396249;;
PKS Dworzec Autobusowy Ełk;(87)6104494;;
PKS Dworzec Autobusowy Ełk;(87)6103621;;
PKS Dworzec Autobusowy Gdańsk;(58)3020048;;
PKS Dworzec Autobusowy Giżycko;(87)4285087;;
PKS Dworzec Autobusowy Gniezno;(61)4282653;;
PKS Dworzec Autobusowy Gołdap;(87)6150221;;
PKS Dworzec Autobusowy Gołdap;(87)6152496;;
PKS Dworzec Autobusowy Gorzów Wielkopolski;(95)7279348;;
PKS Dworzec Autobusowy Gorzów Wielkopolski;(95)7279401;;
PKS Dworzec Autobusowy Kalisz;(62)7680080;;
PKS Dworzec Autobusowy Kluczbork;(77)4181939;;
PKS Dworzec Autobusowy Kluczbork;0703302500;;
PKS Dworzec Autobusowy Kłodzko;(74)8673261;;
PKS Dworzec Autobusowy Kolbuszowa;(17)2271212;;
PKS Dworzec Autobusowy Leszno;(65)5260783;;
PKS Dworzec Autobusowy Leszno;(65)5260784;;
PKS Dworzec Autobusowy Lidzbark Warmiński;(89)7673397;;
PKS Dworzec Autobusowy Lubliniec;(34)3532046;;
PKS Dworzec Autobusowy Lubliniec;602255774;;
PKS Dworzec Autobusowy Łódź Kaliska;(42)6302231;;
PKS Dworzec Autobusowy Łódź Kaliska;(42)6319706;;
PKS Dworzec Autobusowy Maków Mazowiecki;(29)7171361;;
PKS Dworzec Autobusowy Mińsk Mazowiecki;(25)7584005;;
PKS Dworzec Autobusowy Mińsk Mazowiecki;728445964;;
PKS Dworzec Autobusowy Mława;(23)6543556;;
PKS Dworzec Autobusowy Mrągowo;(89)7412406;;
PKS Dworzec Autobusowy Nakło n/Notecią;(52)3852850;;
PKS Dworzec Autobusowy Nakło n/Notecią;(52)3853741;;
PKS Dworzec Autobusowy Olecko;(87)5203065;;
PKS Dworzec Autobusowy Olecko;(87)5203066;;
PKS Dworzec Autobusowy Olesno;(34)3582851;;
PKS Dworzec Autobusowy Olsztyn;(89)5377011;;
PKS Dworzec Autobusowy Olsztyn;(89)5377006;;
PKS Dworzec Autobusowy Oława;(71)3037539;;
PKS Dworzec Autobusowy Oława;(71)3137232;;
PKS Dworzec Autobusowy Ostrołęka;(29)7642887;;
PKS Dworzec Autobusowy Ostrołęka;0703403341;;
PKS Dworzec Autobusowy Ostrów Mazowiecka;(29)6441474;;
PKS Dworzec Autobusowy Ostrów Mazowiecka;(29)6441480;;
PKS Dworzec Autobusowy Piła;(67)2123578;;
PKS Dworzec Autobusowy Piła;(67)2122024;;
PKS Dworzec Autobusowy Piotrków Trybunalski;(44)7132010;;
PKS Dworzec Autobusowy Piotrków Trybunalski;0703403791;;
PKS Dworzec Autobusowy Płock;0703403314;;
PKS Dworzec Autobusowy Poznań;(61)6642551;;
PKS Dworzec Autobusowy Poznań;(61)6642505;;
PKS Dworzec Autobusowy Przemyśl;(16)6785435;;
PKS Dworzec Autobusowy Puck;(58)6732713;;
PKS Dworzec Autobusowy Radom;(48)3632771;;
PKS Dworzec Autobusowy Radom;607323929;;
PKS Dworzec Autobusowy Radzyń Podlaski;(83)3529265;;
PKS Dworzec Autobusowy Siedlce;0703302501;;
PKS Dworzec Autobusowy Siedlce;(25)6323739;;
PKS Dworzec Autobusowy Sierpc;0703403314;;
PKS Dworzec Autobusowy Słupsk;(59)8424256;;
PKS Dworzec Autobusowy Słupsk;(59)8424490;;
PKS Dworzec Autobusowy Starachowice Zach.;(41)2746277;;
PKS Dworzec Autobusowy Starachowice Zach.;0703403797;;
PKS Dworzec Autobusowy Starogard Gdański;(58)5624041;;
PKS Dworzec Autobusowy Starogard Gdański;(58)5623663;;
PKS Dworzec Autobusowy Strzyżów;(17)2761306;;
PKS Dworzec Autobusowy Szczecin;(91)4346427;;
PKS Dworzec Autobusowy Szczecin;(91)4480228;;
PKS Dworzec Autobusowy Szprotawa;(68)3762201;;
PKS Dworzec Autobusowy Szprotawa;(68)3762625;;
PKS Dworzec Autobusowy Świecie n/Wisłą;(52)3312637;;
PKS Dworzec Autobusowy Świecie n/Wisłą;(52)3311532;;
PKS Dworzec Autobusowy Wągrowiec;(67)2628346;;
PKS Dworzec Autobusowy Wągrowiec;(67)2620403;;
PKS Dworzec Autobusowy Wejherowo;(58)6722914;;
PKS Dworzec Autobusowy Władysławowo;(58)6744277;;
PKS Dworzec Autobusowy Władysławowo;(58)6744278;;
PKS Dworzec Autobusowy Września;(61)4370066;;
PKS Dworzec Autobusowy Wyszków;(29)7423319;;
PKS Dworzec Autobusowy Żuromin;(23)6573041;;
PKS Dworzec Główny Rzeszów;(17)8523435;;
PKS Dworzec Główny Rzeszów;(17)8524398;;
PKS Dworzec Podmiejski Rzeszów;(17)8535914;;
PKS POLONUS Dworzec Autobusowy Warszawa Zachodnia;(22)8236392;;
PKS POLONUS Dworzec Autobusowy Warszawa Zachodnia;(22)8236389;;
PKS Północny Dworzec Autobusowy Łódź;(42)6385991;;
PKS Północny Dworzec Autobusowy Łódź;(42)6319706;;
