Dworzec Kolejowy PKP Białystok;19757;;
Dworzec Kolejowy PKP Gdańsk Główny;(58)7213197;;
Dworzec Kolejowy PKP Gdańsk Główny;(58)7213198;;
Dworzec Kolejowy PKP Gdynia Główna;(58)7213199;;
Dworzec Kolejowy PKP Gdynia Główna;(58)7211644;;
Dworzec Kolejowy PKP Katowice;(32)7101379;;
Dworzec Kolejowy PKP Katowice;19757;;
Dworzec Kolejowy PKP Kraków Nowy Główny;(12)3931234;;
Dworzec Kolejowy PKP Kraków Nowy Główny;19757;;
Dworzec Kolejowy PKP Łódź Kaliska;(42)2054102;;
Dworzec Kolejowy PKP Łódź Kaliska;19757;;
Dworzec Kolejowy PKP Poznań Główny;(61)6331659;;
Dworzec Kolejowy PKP Poznań Główny;19757;;
Dworzec Kolejowy PKP Szczecin Główny;(91)4711394;;
Dworzec Kolejowy PKP Szczecin Główny;19757;;
Dworzec Kolejowy PKP Warszawa Centralna;(22)4744086;;
Dworzec Kolejowy PKP Warszawa Centralna;19757;;
Dworzec Kolejowy PKP Warszawa Gdańska;19757;;
Dworzec Kolejowy PKP Warszawa Wschodnia;(22)4737120;;
Dworzec Kolejowy PKP Warszawa Wschodnia;19757;;
Dworzec Kolejowy PKP Warszawa Zachodnia;19757;;
Dworzec Kolejowy PKP Wrocław Główny;(71)7172107;;
Dworzec Kolejowy PKP Wrocław Główny;19757;;
