DREAM CLUB;605500800;;
Opera Club;(22)8287075;;
Opera Club;605899999;;
ALIBI CLUB;501535536;;
CLUB 77;602805699;;
CLUB 77;(42)6337670;;
Klub BORABORA;509511361;;
Klub Muzyczny & Restauracja MIASTO ANIOŁÓW;(58)7685831;;
Klub Muzyczny & Restauracja MIASTO ANIOŁÓW;(58)7685833;;
Klub Muzyczny Forty Kleparz;606388313;;
Klub Studencki Żaczek;(12)6221167;;
Stara Kotłownia;(44)7239108;;
Stara Kotłownia;502369538;;
KLUB KLIMAT Atmo.sfera Sp. z o.o.;784660175;;
AUDIOFAN PRO Sp. z o.o.;(22)6677888;;
AUDIOFAN PRO Sp. z o.o.;(22)6677333;;
Bowling Rodło;(67)3516555;;
Bowling Rodło;(67)3517963;;
Klub Bilardowy, Pizzeria, Klub Muzyczny ZEBRA;(77)4581234;;
Klub Bilardowy, Pizzeria, Klub Muzyczny ZEBRA;(77)4581444;;
NOVA MASKA Piano Art Club & Restaurant;(22)8280852;;
NOVA MASKA Piano Art Club & Restaurant;515049162;;
Restauracja-Klub Muzyczny STARY BROWAR;(32)3314075-76;;
Restauracja-Klub Muzyczny STARY BROWAR;510168891;;
Exclusive;(85)6524117;;
Exclusive;606367004;;
Night Club Capitol;690450412;;
Night Club Euphoria;500400382;;
Night Club Ibiza;515144133;;
Night Club Royal;690450411;;
2FACE MUSIC CLUB;(14)6277302;;
2FACE MUSIC CLUB;530909135;;
3 SIOSTRY;(58)5550000;;
3CLUB;(22)7347941;;
3CLUB;660416900;;
6 Dzielnica;792749355;;
9 FALA - Klub Muzyczny;602174610;;
9 FALA - Klub Muzyczny;508113633;;
A&P Sp. z o.o. Aneta Willrich;602467662;;
Alchemia Sp.j. Aleksander Wityński, Jacek Żakowski;(12)4212200;;
ALFA CLUB;515262674;;
Alibi Klub;(48)3617373;;
Alibi Klub;604946616;;
Ambasada Club;(32)4350595;;
Ambasada Club;(32)4345317;;
AMSTERDAM CLUB;513513414;;
ANGEL Night Club;(71)7245569;;
ANGEL Night Club;(71)3493013;;
ANTRAKT Sp. z o.o. Klub Muzyczny Scena;601208435;;
APSTERS;(22)6288094;;
APSTERS;694458708;;
Aqaruim Music Club;(77)4410872;;
AUTSAJDER Klub Studencki;(58)3417657;;
AUTSAJDER Klub Studencki;501441314;;
AZYL S.c. Tomasz Roter, Rafał Jasinski Klub Studencki MEDYK;534709040;;
AZYL S.c. Tomasz Roter, Rafał Jasinski Klub Studencki MEDYK;(58)3417657;;
