NAUTILUS Galeria i Dom Aukcyjny Sp. z o.o. Sp.komandytowa;(12)4229160;;
NAUTILUS Galeria i Dom Aukcyjny Sp. z o.o. Sp.komandytowa;(12)4329440;;
Ars Nova Galeria;(42)6540044;;
Ars Nova Galeria;504023242;;
Galeria Bielska BWA;(33)8125861;;
Galeria Bielska BWA;(33)8124119;;
Galeria Edyty Wittchen;601991991;;
Galeria Edyty Wittchen;601886886;;
Galeria NA PIĘTRZE Jadwiga Kabacińska-Słowik;(94)3422998;;
Galeria Rękodzieła Artystycznego U TESI;(13)4642530;;
Galeria Rękodzieła Artystycznego U TESI;692412605;;
Galeria Sztuki FOX;(32)6086371;;
Galeria Sztuki FOX;600087721;;
Galeria Sztuki GLAZA EXPO DESIGN;(58)3014765;;
Galeria Sztuki Współczesnej ARTGALLE;(91)4881701;;
Galeria Sztuki Współczesnej ARTGALLE;501090968;;
Galeria Sztuki Współczesnej BWA;(32)2599040;;
Galeria Sztuki Współczesnej BWA;(32)2599324;;
Caffe Anioł;(58)6257444;;
Prime Art - internetowa galeria obrazów i sztuki;507588341;;
Prime Art - internetowa galeria obrazów i sztuki;(42)2039464;;
ABC Gallery;(61)8483145;;
ABC Gallery;(61)8483129;;
AKWARIUM Galeria Sztuki;601526111;;
AMARISTO Galeria Przy Teatrze;512606440;;
ANDZELM GALLERY;(81)5324865;;
ANDZELM GALLERY;601305003;;
ANTART Galeria Obrazów;798974345;;
ARCHE-Galeria Sztuki;604992184;;
ARCHE-Galeria Sztuki;(34)3286315;;
ARGONAUTA;501060884;;
ART AGENDA NOVA;(12)3972398;;
ART AGENDA NOVA;(12)3972381;;
ARTE MODERNA;602216097;;
Artemis Galeria Sztuki Współczesnej;(12)4220394;;
ARTYKWARIAT;(61)8551016;;
ARTYKWARIAT;(61)8531188;;
Atrium - Touch of Art;600700628;;
Atrium - Touch of Art;(74)8805778;;
BE-ART exclusive;511765656;;
BE-ART exclusive;601243673;;
Beskidzka Galeria Sztuki;(33)8178716;;
Beskidzka Galeria Sztuki;608575671;;
Bieszczadzka Galeria BARAK;(13)4619322;;
Bieszczadzka Galeria BARAK;605055454;;
Biuro Wystaw Artystycznych;(17)8533811;;
Biuro Wystaw Artystycznych GALERIA SZTUKI;(13)4326187;;
Biuro Wystaw Artystycznych Galeria Zamojska;(84)6385782;;
Biuro Wystaw Artystycznych Galeria Zamojska;(84)6392688;;
Biuro Wystaw Artystycznych w Kielcach;(41)3676447;;
Biuro Wystaw Artystycznych w Kielcach;(41)3676983;;
Bocheńska Gallery;601511713;;
BWA Biuro Wystaw Artystycznych;(75)7526669;;
BWA Biuro Wystaw Artystycznych;(75)7675132;;
BWA Galeria Sztuki Współczesnej;(89)5279466;;
BWA Galeria Sztuki Współczesnej;(89)5335108;;
BWA Wrocław Galerie Sztuki Współczesnej;(71)7902582;;
CeGie - FRESZ Gallery;503148040;;
CeGie - FRESZ Gallery;501088298;;
Centrum Rzeźby Polskiej w Orońsku;(48)6184516;;
Centrum Rzeźby Polskiej w Orońsku;(48)6184027;;
Centrum Sztuki Galeria EL;(55)2325386;;
Centrum Sztuki Współczesnej Łaźnia;(58)3054050;;
Centrum Sztuki Współczesnej Łaźnia;(58)3202976;;
Centrum Sztuki Współczesnej Zamek Ujazdowski;(22)6281271-73;;
Centrum Sztuki Współczesnej Zamek Ujazdowski;(22)6287683;;
DOM KONCEPCJI - Galeria Sztuki;601322435;;
DOMUS AUREA;(81)4445830;;
DOMUS AUREA;721107107;;
ELITE GALERIE MYŚLIWSKIE Izabela Malec;(22)8245969;;
ELITE GALERIE MYŚLIWSKIE Izabela Malec;(22)6584902;;
Galeria 2 Światy;(12)4295452;;
Galeria 26;665956709;;
Galeria ADI ART;(42)6368055;;
Galeria AG;(12)4295178;;
Galeria AG;602686622;;
Galeria Antikon;603207903;;
Galeria Apteka Sztuki;(22)6220421;;
Galeria ARS;(55)2728575;;
Galeria ARS;609090616;;
Galeria ARSENAŁ;(85)7420353;;
Galeria Art;(22)8285170;;
Galeria Art;(22)6517729;;
Galeria ART DECO;(89)5417688;;
Galeria ART-KRESY;601845928;;
Galeria AT art;601227473;;
Galeria Autorska Elżbiety i Lecha Ledeckich;(34)3619001;;
Galeria Autorska Elżbiety i Lecha Ledeckich;604437126;;
Galeria Autorska Katarzyna Nowak, Krzysztof Kłapkowski;660852835;;
Galeria Autorska Katarzyna Nowak, Krzysztof Kłapkowski;668433398;;
Galeria Autorska POD STRACHEM POLNYM;(33)8152310;;
Galeria Autorska POD STRACHEM POLNYM;606839473;;
GALERIA BASZTA;(75)7676117;;
GALERIA BB;(12)4306151;;
GALERIA BB;(12)4220710;;
Galeria BELLOTTO;(22)8268592;;
Galeria Bez Nazwy;501451947;;
Galeria Bez Nazwy;(22)8260852;;
GALERIA BLIK;507705970;;
Galeria BUNKIER SZTUKI;(12)4221052;;
Galeria CAFE MILIŃSKI;793794638;;
Galeria CAFE MILIŃSKI;(75)7890348;;
Galeria Ciasna;(32)4716456;;
Galeria DA VINCI;(58)6829368;;
Galeria DA VINCI;660427387;;
Galeria DNA;790225790;;
Galeria Działań;(22)6436537;;
Galeria EGO;(061)8531581;;
Galeria ENTROPIA;(71)3444634;;
Galeria ESTA;698614050;;
Galeria Etnograficzna ZAPOLE;(15)6445455;;
GALERIA FIBAK;(22)3200254;;
GALERIA FIBAK;(22)3200297;;
Galeria Foksal MCKiS;(022)8276243;;
Galeria Fotografii FOTOPLASTYKON;(61)8529502;;
Galeria FS;(61)8537986;;
Galeria FS;500213045;;
Galeria Grafiki i Plakatu S.c.;(22)6214077;;
Galeria Grafiki i Plakatu S.c.;(22)6224328;;
Galeria GUSOO Sztuka Użytkowa;(29)7604596;;
GALERIA Hanna Żebrowska;606882807;;
GALERIA JACKIEWICZ;(58)3019278;;
GALERIA K Krzysztof Baran;601207730;;
Galeria KLUCZNIK;(58)3016176;;
Galeria Krakowska;(12)4289900;;
Galeria Krakowska;(12)4289920;;
Galeria Kukuczka Jan Kukuczka;(33)8557105;;
Galeria Kukuczka Jan Kukuczka;(33)8556027;;
Galeria Le Guern;(22)6906969;;
GALERIA LINDENAU;509357062;;
GALERIA LINDENAU;503164503;;
Galeria M;(71)3417282;;
Galeria Malarska Kamila Białkowska-Ismaił;(22)7197711;;
Galeria Malarska Kamila Białkowska-Ismaił;600855431;;
Galeria Malarstwa ATELIER;697444039;;
Galeria MARZENIE;(17)2258625;;
Galeria MARZENIE;509964405;;
Galeria Miejska bwa;(52)3393050;;
Galeria Miejska bwa;(52)3393060;;
Galeria Miejska we Wrocławiu;(71)3446720;;
Galeria MILANO;(22)6175403;;
Galeria Mito Sp. z o.o.;(22)6290815;;
Galeria Mito Sp. z o.o.;509464757;;
Galeria Modernatti;(62)7309050;;
Galeria Modernatti;(62)7304637;;
Galeria na Nowym Mieście;(33)8580248;;
Galeria na Nowym Mieście;884229400;;
Galeria Obrazów Teresa Kopańska;507150690;;
Galeria OLYMPIA;603223008;;
GALERIA OTWARTA;(15)8327828;;
Galeria Parkowa;(18)3536052;;
Galeria PIONOVA;519427947;;
Galeria Piotra Uznańskiego;(42)6307113;;
Galeria Piotra Uznańskiego;(42)6324474;;
Galeria Plakatu;(12)4212640;;
Galeria Plakatu POLPLAKAT;(22)6253791;;
Galeria Plakatu POLPLAKAT;603387737;;
Galeria PLATER Antyki;(22)6215364;;
Galeria pod Aniołami - Maria Radecka;757715907;;
Galeria pod Aniołami - Maria Radecka;503036508;;
Galeria Pod Rejentem;(12)4233686;;
Galeria Pod Rejentem;501413564;;
Galeria Polskiego Plakatu;(22)8319306;;
Galeria PROARTE;(58)3477064;;
Galeria PROARTE;501491195;;
Galeria Przedmiotu;(16)6233454;;
Galeria QUANTUM;501734883;;
Galeria R;663786333;;
Galeria Ramzes;(68)4532504;;
Galeria Ramzes;(68)4532500;;
Galeria REJAN;692487463;;
Galeria SCHODY;(22)8288943;;
Galeria SD - Szucha 8;(22)4092951;;
Galeria SD - Szucha 8;783407770;;
Galeria Siedem;(91)3862554;;
Galeria Siedem;(91)3862664;;
Galeria SIWIEC-ART;601290841;;
Galeria SKOWRON S.c.;(61)8530197;;
Galeria SKOWRON S.c.;601734059;;
Galeria STANKO;(71)3417758;;
Galeria Starmach;(12)6564915;;
Galeria Starmach;(12)6565516;;
Galeria Starych Zabawek;695995363;;
Galeria Szara w Cieszynie;502764146;;
Galeria Szara w Cieszynie;502317887;;
Galeria Sztuki Agart;668303284;;
Galeria Sztuki AKWARELA;(71)7806892;;
Galeria Sztuki AKWARELA;607896201;;
Galeria Sztuki ATTIS;(12)4218190;;
Galeria Sztuki ATTIS;502428276;;
Galeria Sztuki BAŁYSÓWKA;606998332;;
Galeria Sztuki BATKO;(12)2704296;;
Galeria Sztuki BATKO;782811323;;
Galeria Sztuki BellArt;(17)8534986;;
Galeria Sztuki BellArt;600420011;;
Galeria Sztuki BP (galeria internetowa);602247099;;
Galeria Sztuki BP (galeria internetowa);(22)6651953;;
Galeria Sztuki DCuber;(77)4373633;;
Galeria Sztuki FARBIARNIA na Pięknej;(22)6217235;;
Galeria Sztuki FARBIARNIA na Pięknej;(22)7546124;;
Galeria Sztuki i Designu KAPRYSY;509615318;;
Galeria Sztuki i Designu KAPRYSY;514303542;;
Galeria Sztuki im. Jana Tarasina;(62)7674081;;
Galeria Sztuki KAMELEON;502538951;;
Galeria Sztuki KAMELEON;691887680;;
Galeria Sztuki Katarzyny Napiórkowskiej;(22)6521177;;
Galeria Sztuki Katarzyny Napiórkowskiej;(22)6521939;;
Galeria Sztuki kazina.pl;696469246;;
Galeria Sztuki Kookaburra Studio;535660219;;
Galeria Sztuki KRUKART Małgorzata Kruk;502630483;;
Galeria Sztuki Łaźnia;691555520;;
Galeria Sztuki MAESTRO;695730391;;
Galeria Sztuki MOK;(14)6702351;;
Galeria Sztuki NAD NIPREM;(33)8229534;;
Galeria Sztuki NAD NIPREM;502050564;;
Galeria Sztuki NAPORA;667470509;;
Galeria Sztuki NAPORA;691735593;;
Galeria Sztuki NORLAND;(22)6173461;;
Galeria Sztuki NORLAND;601201881;;
Galeria Sztuki Oficyna;(24)2624053;;
Galeria Sztuki Pepiniera;796636996;;
Galeria Sztuki Rodziny Holesz w Świerklanach;(32)4304507;;
Galeria Sztuki Rowerowej - Jan Strumiłło & Mateusz Czelej;508615001;;
Galeria Sztuki Rowerowej - Jan Strumiłło & Mateusz Czelej;660028645;;
Galeria Sztuki RYNEK 7;502840347;;
Galeria Sztuki SAP Salwiczek;(42)6374462;;
Galeria Sztuki SAS;(58)3058128;;
Galeria Sztuki SCHOWEK;513031552;;
Galeria Sztuki TAB Teresa Pomykała;693804403;;
Galeria Sztuki Użytkowej ARTIS;(22)6205930;;
Galeria Sztuki w Legnicy;(76)8620694;;
Galeria Sztuki w Legnicy;(76)8620910;;
GALERIA SZTUKI W STAREJ FABRYCE Marii Idzikowskiej;507759773;;
Galeria Sztuki WOZOWNIA;(56)6226339;;
Galeria Sztuki WOZOWNIA;(56)6210929;;
Galeria Sztuki Współczesnej;(62)7354954;;
Galeria Sztuki Współczesnej;(77)4025134;;
Galeria Sztuki Współczesnej;(77)4076137;;
Galeria Sztuki Współczesnej;(16)6783881;;
Galeria Sztuki Współczesnej ATU;(81)4423555;;
Galeria Sztuki Współczesnej BWA;(15)8321042;;
Galeria Sztuki Współczesnej BWA;(15)6446020;;
Galeria Sztuki Współczesnej ELEKTROWNIA;606635899;;
Galeria Sztuki Współczesnej GALERIA PRASKA;(22)4258248;;
Galeria Sztuki Współczesnej GALERIA PRASKA;696077211;;
Galeria Sztuki Współczesnej i Antyki Ewa Majewska;(81)5327846;;
Galeria Sztuki Współczesnej Jarek Cechmanowicz;(61)8551058;;
Galeria Sztuki Współczesnej Jarek Cechmanowicz;505370600;;
Galeria Sztuki Współczesnej Krystyny Kowalskiej;600587862;;
Galeria Sztuki Współczesnej LABIRYNT;(12)2926080;;
Galeria Sztuki Współczesnej PARNAS;(32)2570300;;
Galeria Sztuki Współczesnej TRZY KOLORY;504393890;;
Galeria Sztuki Współczesnej we Włocławku;(54)4112120;;
Galeria Sztuki Złote Grabie;(32)4577527;;
Galeria Sztuki Złote Grabie;691146871;;
Galeria Szyb WILSON;(32)7303220;;
Galeria Szyb WILSON;(32)7303225;;
Galeria ŚWIATŁOCIEŃ;501864506;;
Galeria ŚWIATŁOCIEŃ;601051132;;
Galeria Techne;(61)8518543;;
Galeria U JAKSY;(41)3830795;;
Galeria van Rij;604442703;;
GALERIA W PIWNICY Autorska Galeria Sztuki Zdzisław Pękalski;(13)4694287;;
Galeria WAREHOUSEMagazyn Sztuki;(22)4652468;;
Galeria Wnętrz DECO HOME & ART Gdynia-Orłowo;(58)6248289;;
Galeria Wolimierz 58;508246644;;
Galeria Wrocławska;(71)3417191;;
