Gastronomiczny Salon UNIGASTRO;(71)3373322;;
Gastronomiczny Salon UNIGASTRO;(71)3373323;;
Bistro Serwis;(17)8733095;;
Bistro Serwis;(17)8733971;;
GAMA Plawgo & Zawisza Sp.j.;(94)3460322;;
GAMA Plawgo & Zawisza Sp.j.;609102700;;
GROS Sprzęt Gastronomiczny;(32)2114999;;
GROS Sprzęt Gastronomiczny;691465888;;
H.E.I.U. MASA Marcin Śliżewski;509234604;;
H.E.I.U. MASA Marcin Śliżewski;(85)6670575;;
IGUANA-GASTRO-POLSKA;(18)5454545;;
IGUANA-GASTRO-POLSKA;(18)5424671;;
Komat Mieczysław Kozłowski;(67)2559820;;
Komat Mieczysław Kozłowski;(67)2559821;;
ORACLE Polska Sp. z o.o.;(22)5324700;;
ORACLE Polska Sp. z o.o.;(22)5324701;;
PHU FIRN Urządzenia Chłodnicze i Gastronomiczne;(71)7173710;;
PHU FIRN Urządzenia Chłodnicze i Gastronomiczne;(71)7923303;;
PLASTMET Sp. z o.o. S.k.;(67)2556032;;
PLASTMET Sp. z o.o. S.k.;(67)2557480;;
PRIM GASTRO S.c. Natalia Dołgowska, Stanisław Jerzy Dołgowski;(18)2011367;;
PROFITON S.c. Jacek Olczyk, Anna Zabawska;(42)6556193;;
PROFITON S.c. Jacek Olczyk, Anna Zabawska;513088165;;
PUCH SPOMASZ-POL;(22)8350525;;
PUCH SPOMASZ-POL;602298680;;
Shopcenter S.c. Wyposażenie Sklepów i Gastronomii;(12)4138413;;
Shopcenter S.c. Wyposażenie Sklepów i Gastronomii;601765432;;
STALLAS Urządzenia Gastronomiczne;(65)5262845;;
STALLAS Urządzenia Gastronomiczne;693482700;;
Subiekt Serwis Sławomir Brożek;(14)6277635;;
WOMETAL Wojciech Gładyszewski;(32)2818917;;
WOMETAL Wojciech Gładyszewski;(32)2801187;;
ART SYSTEM Artur Michałowski;(71)3329024;;
ART SYSTEM Artur Michałowski;(71)3631937;;
GASTRO-MARINEX;(75)7531692;;
GASTRO-MARINEX;(75)7643038;;
GASTRONET;(87)4241004;;
GASTRONET;(87)4241003;;
IBIS A.Z;517911007;;
IBIS A.Z;(52)3810200;;
Inspira;(22)8583490;;
Inspira;602376342;;
Invest Horeca Bistro;(18)5471195;;
Invest Horeca Bistro;503138383;;
KAJUSZ;502740912;;
KAJUSZ;511234223;;
MERX TEAM - Polska Sp. z o.o.;(22)8112068;;
MERX TEAM - Polska Sp. z o.o.;(22)8113908;;
PHU ZIPex;(89)6755112;;
PHU ZIPex;(89)6755007;;
ROSSLER Polska Import-Export;666323228;;
Stal-Gastro Producent Wyposażenia Gastronomii;509195592;;
SUMA SERVICE Rafał Smelkowski;(94)3435226;;
SUMA SERVICE Rafał Smelkowski;(94)3415332;;
Urządzenia Chłodnicze i Gastronomiczne DOM-LUX;(95)7288190;;
Urządzenia Chłodnicze i Gastronomiczne DOM-LUX;(95)7288192;;
VENDA profesjonalne urządzenia dla gastronomii;(81)4417110;;
VENDA profesjonalne urządzenia dla gastronomii;(81)4417211;;
Wypożyczalnia Gastronomiczna Gastro4RENT;(22)2250074;;
Wypożyczalnia Gastronomiczna Gastro4RENT;501621831;;
AKADEMIK Spółdzielnia Usługowo-Handlowa;(61)8528001;;
AKADEMIK Spółdzielnia Usługowo-Handlowa;(61)8351073;;
ALFAPLAST;(32)7473023;;
ALFAPLAST;509876616;;
BBQ SMOKER;(58)3547305;;
BBQ SMOKER;607221623;;
Bydgoskie Zakłady Maszyn Gastronomicznych Ma-Ga Sp. z o.o.;(52)3712650;;
Bydgoskie Zakłady Maszyn Gastronomicznych Ma-Ga Sp. z o.o.;(52)3704500;;
Dom Towarowy Zborowski Wojciech - CENTRAKO BHZ;(71)3984850;;
Dom Towarowy Zborowski Wojciech - CENTRAKO BHZ;(71)3984851;;
ES SYSTEM K Sp. z o.o.;(32)6440400;;
ES SYSTEM K Sp. z o.o.;(32)6440420;;
F.H.U. Progast;501769212;;
F.P.H.U. WALWID;603997634;;
Firma Handlowo-Usługowo-Produkcyjna EXTREMUM;601207567;;
Firma Handlowo-Usługowo-Produkcyjna EXTREMUM;603751915;;
Gastro Gal;(17)8602590;;
Gastro Gal;(17)8632341;;
Gastro System Marcin Pawłowski;(52)3489155;;
Gastro System Marcin Pawłowski;(52)3422616;;
GASTRO-NORD Dariusz Gęsicki;660704291;;
GASTRO-NORD Dariusz Gęsicki;660704287;;
GASTROMAX Mariusz Konstanciuk;(68)4517541;;
GASTROMAX Mariusz Konstanciuk;531575636;;
GASTROMEDIA Sp. z o.o.;(22)8338707;;
GASTROMEDIA Sp. z o.o.;(22)8338722;;
GROKSERWIS Serwis Urządzeń Gastronomicznych;606752764;;
HEVI Henryk Itrich;660904616;;
Hurtownia Artykułów Przemysłowych ANDRZEJ;(18)5474813;;
Hurtownia Artykułów Przemysłowych ANDRZEJ;(18)5474812;;
J&J STALCO Sp. z o.o.;(17)8539989;;
J&J STALCO Sp. z o.o.;(17)8539984;;
MEGAR Urządzenia Chłodnicze i Gastronomiczne;(22)8438671;;
