GazTank Sp. z o.o.;(22)7239428;;
GazTank Sp. z o.o.;(22)7239384;;
HIL-GAZ;(61)4254853;;
HIL-GAZ;607607406;;
Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.;(85)7422011-12;;
Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.;(85)7424165;;
BAŁTYKGAZ Sp. z o.o.;(58)6777777;;
CANDIA Sp.j.;(32)6155010;;
CANDIA Sp.j.;(32)6156279;;
EURO-HEL;(62)7332997;;
EURO-HEL;(62)7332671;;
Firma Handlowo-Usługowa BARKOM;(32)2631811;;
Firma Handlowo-Usługowa BARKOM;(32)2629941-42;;
GAZ PETROL Sp. z o.o.;(71)3166172;;
GAZ PETROL Sp. z o.o.;515204799;;
MAR-ROM Marian Janiszek i Wspólnicy Sp.j.;(48)6184191Sekretariat;;
MAR-ROM Marian Janiszek i Wspólnicy Sp.j.;(48)6184255;;
P.W. MAX-GAZ Janusz Abucki;(76)8332988;;
PPHU TAMIR;(42)7108360;;
PPHU TAMIR;602427001;;
Przedsiębiorstwo Komunalno-Budowlane KOMBUD Sp. z o.o.;(14)6510215;;
Przedsiębiorstwo Komunalno-Budowlane KOMBUD Sp. z o.o.;(14)6510595;;
PRZEGLĄDY PIECÓW GAZOWYCH. NAPRAWA I SERWIS SPRZĘTU AGD. WESOŁA – STARA MIŁOSNA. JAN STACHYRA;500322255;;
PRZEGLĄDY PIECÓW GAZOWYCH. NAPRAWA I SERWIS SPRZĘTU AGD. WESOŁA – STARA MIŁOSNA. JAN STACHYRA;507130389;;
But-Gaz Sp. z o.o.;(32)2813441;;
But-Gaz Sp. z o.o.;(32)2813442;;
GAZ PETROL Sp. z o.o.;(32)2142978;;
GAZ PETROL Sp. z o.o.;602438608;;
GAZ PETROL Sp. z o.o.;515204775;;
GAZ PETROL Sp. z o.o.;(77)4022500;;
EWE Energia Sp. z o.o.;(95)7426102;;
EWE Energia Sp. z o.o.;(95)7426109;;
EWE Polska Sp. z o.o.;(61)8857102;;
EWE Polska Sp. z o.o.;(61)8857109;;
GAS-ELECTRONIC Samulski;(61)8280006;;
GAS-ELECTRONIC Samulski;(61)8280070;;
Przedsiębiorstwo Handlowo-Usługowe Grzegorz Lodowski;(22)7893515;;
Przedsiębiorstwo Handlowo-Usługowe Grzegorz Lodowski;(22)7896653;;
EKOFER - Azbest usuwanie, neutralizacja;(75)7647222;;
EKOFER - Azbest usuwanie, neutralizacja;509949957;;
Hadex-Gaz Sp. z o.o.;(61)8411317;;
Hadex-Gaz Sp. z o.o.;0801011118;;
ImtechGaz;(22)7285204;;
ImtechGaz;600391222;;
P.H.U.P. DREW-MAT-BUD A.Wierzbiński;(32)2226929;;
P.H.U.P. DREW-MAT-BUD A.Wierzbiński;884882448;;
PETROL Sp. z o.o.;(77)4022500;;
PETROL Sp. z o.o.;(77)4022506;;
PKS - Przedsiębiorstwo Komunikacji Samochodowej Sp. z o.o. w Wałczu;(67)2583271;;
PKS - Przedsiębiorstwo Komunikacji Samochodowej Sp. z o.o. w Wałczu;(67)2583046;;
PROINSTAL;509941505;;
PROINSTAL;512385033;;
AR-STAN Kowalski, Ćwikliński Sp.j. Stacja Benzynowa;(22)7243079;;
AR-STAN Kowalski, Ćwikliński Sp.j. Stacja Benzynowa;(22)7243223;;
Bet-Pol - naprawa felg;607400445;;
Bet-Pol - naprawa felg;(12)2882550;;
betagaz sp.z.o.o;504225712;;
ENESTA Sp. z o.o.;(15)8135050;;
ENESTA Sp. z o.o.;(15)8134443;;
INSTAL-MARK Marcin Marek;(33)8450201;;
INSTAL-MARK Marcin Marek;516865230;;
MAGMA;(32)6110779;;
MAGMA;668891378;;
MK-GAZY;(61)8770793;;
MK-GAZY;(61)8770794;;
Przedsiębiorstwo Robót Drogowo-Mostowych MIKST Sp. z o.o.;(25)7922322;;
Przedsiębiorstwo Robót Drogowo-Mostowych MIKST Sp. z o.o.;(25)7923035;;
PETROL Sp. z o.o.;(32)2142978;;
PETROL Sp. z o.o.;602438608;;
PETROL Sp. z o.o.;(71)3166172;;
PETROL Sp. z o.o.;(71)3167086;;
ADA Hurtownia Techniczna;(77)4575352;;
ADA Hurtownia Techniczna;(77)4530983;;
AG GAZ Centrum Dystrybucji Gazu;(22)3650026;;
AGA-GAZ S.c.;(77)4568785;;
AGA-GAZ S.c.;603569768;;
ANTRA-GAZ Zakład Dystrybucji Gazu Plynnego;(71)3032739;;
ANTRA-GAZ Zakład Dystrybucji Gazu Plynnego;(71)3135884;;
ARC-GAS Sp. z o.o.;(48)3782307;;
ARC-GAS Sp. z o.o.;(48)3781345;;
ASPOL-GAZ Gazy Techniczne;(34)3430024;;
ASPOL-GAZ Gazy Techniczne;(34)3430018;;
AUTO-DOM-GAZ;(32)3314368;;
AUTO-GAZ Mirosław Sakwa;605226900;;
AUTO-GAZ Mirosław Sakwa;(63)2788380;;
Axan Sp. z o.o.;(25)7878786;;
BAMAZ SYSTEM;(74)8332370;;
BAMAZ SYSTEM;504207105;;
BARTER S.A.;(85)7485300;;
BARTER S.A.;(85)7485299;;
BETA-PRIM Sp. z o.o.;(82)5654243;;
BETA-PRIM Sp. z o.o.;601412412;;
BGAZ;(52)3357870;;
BGAZ;609746476;;
BO-GAZ stacja LPG;(32)2054435;;
BO-GAZ stacja LPG;509557151;;
Centrum Dystrybucji Gazu Sp. z o.o.;600065880;;
Centrum Gazu HOL-TRANS;(77)5431970;;
Centrum Gazu HOL-TRANS;515063168;;
Centrumgaz Sp. z o.o.;(46)8572310;;
Centrumgaz Sp. z o.o.;509443555;;
CHEM-GAZ Sp. z o.o.;500190106;;
CHEM-GAZ Sp. z o.o.;(24)3668080;;
Cryogas M&T Poland S.A.;(22)4390100;;
Del Asta Sp. z o.o.;(12)655-44-30;;
Del Asta Sp. z o.o.;(12)655-44-31;;
DRAGONGAZ Sp. z o.o.;(71)3349000;;
DRAGONGAZ Sp. z o.o.;(71)3349001;;
DYSTRYBUCJA GAZU Jan Mirkiewicz;(63)2445372;;
DYSTRYBUCJA GAZU Jan Mirkiewicz;603038758;;
Dystrybucja Gazu Płynnego Bracia Maliszewscy;(48)6150934;;
Dystrybucja Gazu Płynnego Bracia Maliszewscy;(48)6150933;;
Dystrybucja Gazu Propan-Butan;(32)2110051;;
Dystrybucja Gazu Propan-Butan ROMGAZ Roman Szultka;(59)8331027;;
Dystrybucja Gazu Propan-Butan S.c.;(86)2727400;;
Dystrybucja Gazu Propan-Butan S.c.;(86)2728600;;
Dystrybucja Gazu PW SIGAS;(82)5723330;;
Dystrybucja Gazu PW SIGAS;(82)5721545;;
DZWONNIK Gaz Dystrybucja Gazu Propan-Butan;(52)3815029;;
DZWONNIK Gaz Dystrybucja Gazu Propan-Butan;500398901;;
EDGAZ;(56)4681370;;
EDMAR-GAZ Edward Raudner;(32)7797279;;
EDMAR-GAZ Edward Raudner;(32)7797959;;
EGESA Grupa Energetyczna S.A.;(22)4142215;;
EGESA Grupa Energetyczna S.A.;(22)4141215;;
EKO-GAS Dystrybucja Gazu Propan-Butan M.Mesjasz, Z.Taranek, S.Płuciennik Sp.j.;(34)3219633;;
EKO-GAS Dystrybucja Gazu Propan-Butan M.Mesjasz, Z.Taranek, S.Płuciennik Sp.j.;(34)3463212;;
Eko-Gaz;(52)3021772;;
Eko-Gaz;608340072;;
EKO-TRANS Sp.j.;(32)4739054;;
EKO-TRANS Sp.j.;(32)4751650;;
EKOIDEA;(48)3811100-03;;
EKOIDEA;(48)3669985;;
EKOLOGIA LPG Sp.j. Dariusz Kozłowski, Ireneusz Dziurdzia;(74)8502485;;
ELKOM-GAZ Zygmunt Sobieralski;(34)3592165;;
ELKOM-GAZ Zygmunt Sobieralski;(34)3592166;;
Emgas S.c.;(62)7366777;;
