Echo Dnia - Polska Press Sp. z o.o.;(41)3495350;;
Echo Dnia - Polska Press Sp. z o.o.;(41)3495329;;
Health and Beauty Media Sp. z o.o.;(22)8587955;;
Health and Beauty Media Sp. z o.o.;(22)8587956;;
ICAN Sp. z o.o. Sp.komandytowa;(22)2065900;;
ICAN Sp. z o.o. Sp.komandytowa;(22)2501144;;
Panorama Sp. z o.o.;(65)5295550Sekretariat;;
Panorama Sp. z o.o.;(65)5295646BiuroOgłoszeń;;
ROZRYWKA Sp. z o.o.;(22)6220066;;
Kwartalnik Artystyczny;(52)5851506;;
Kwartalnik Artystyczny;(52)5851500;;
Dwutygodniki Lokalne Wieści Wolbromskie, Wieści Miechowskie;(32)6441153;;
Dwutygodniki Lokalne Wieści Wolbromskie, Wieści Miechowskie;604336826;;
E!stilo Magazine-ProHumaNature Sp. z o.o.;(22)8701140;;
E!stilo Magazine-ProHumaNature Sp. z o.o.;532829712;;
ECHO Tygodnik Regionalny;601059916;;
EXPRESS KASZUBSKI;(58)6854548;;
Fundacja Zeszytów Literackich;(22)8263822;;
Gazeta Powiatowa - Wiadomości Oławskie, Wydawca RYZA Sp. z o.o.;(71)3133557BiuroOgłoszeń;;
Gazeta Powiatowa - Wiadomości Oławskie, Wydawca RYZA Sp. z o.o.;(71)3137078Redakcja;;
Informacja i Wiedza Sp. z o.o. Wiadomości Świętokrzyskie;(41)2631001;;
INTERNEWS Sp.j. Grzegorz Stępień, Aleksandra Stępień;(22)6326612;;
INTERNEWS Sp.j. Grzegorz Stępień, Aleksandra Stępień;(22)6325521;;
Kurier Lokalny;(65)5114037;;
Kurier Lokalny;691644706;;
SAGIER PR;(17)8622221;;
Tygodnik Siedlecki;(25)6402411;;
Tygodnik Siedlecki;(25)6330505;;
TYLKO GORZÓW Kwartalnik Bezpłatny;(95)7366222;;
TYLKO GORZÓW Kwartalnik Bezpłatny;501936975;;
Warsztat.pl;(58)7770125;;
Wiadomości Świdnickie;(74)8568888;;
Wiadomości Świdnickie;(74)8568877;;
Nowe Wiadomości Wałbrzyskie;(74)8401281;;
Nowe Wiadomości Wałbrzyskie;(74)8401289;;
Tygodnik Dzierżoniowski;(74)8320800;;
Tygodnik Dzierżoniowski;(74)6332085;;
Tygodnik Wałbrzyski;(74)8422660;;
Tygodnik Wałbrzyski;(74)8422123;;
walbrzyski.pl;608398385;;
walbrzyski.pl;(74)8401289;;
Custom Publishing Aude;(22)8434883;;
Custom Publishing Aude;(22)8444788;;
Przegląd Odlewnictwa;(12)2618574;;
Przegląd Odlewnictwa;(12)2618576;;
Zakład Poligraficzno-Wydawniczy PLIK;(32)2879337;;
Zakład Poligraficzno-Wydawniczy PLIK;601461540;;
Zespół Producencki Pro Futura Sp. z o.o.;(77)4546556;;
Drukarnia Fresh Visual;(32)2781616;;
Drukarnia Fresh Visual;509854688;;
KARLEN Mariusz Jarząb;508305577;;
KARLEN Mariusz Jarząb;696095934;;
Mirage Hobby;(22)6468414;;
Wydawnictwo Koinonia;(33)8541814;;
Wydawnictwo Koinonia;(33)8544522w.20;;
3S Media Sp. z o.o. Tygodnik NAJWYŻSZY CZAS;(22)8316238;;
7 dni Tygodnik Regionalny;(34)3740502;;
7 dni Tygodnik Regionalny;(34)3651669;;
ABW Media Art - Tygodnik Nasza Telewizja;(61)6613100;;
ABW Media Art - Tygodnik Nasza Telewizja;(61)6613106;;
ACTA ICHTHYOLOGICA ET PISCATORIA;(91)4496690;;
ACTA ICHTHYOLOGICA ET PISCATORIA;(91)4496657;;
Agencja ETNA Redakcja Miasto Kobiet;(12)2941180;;
Agencja ETNA Redakcja Miasto Kobiet;(12)2940883;;
Agencja Promocji Rolnictwa i Agrobiznesu APRA Sp. z o.o.;(52)5841740;;
Agencja Promocji Rolnictwa i Agrobiznesu APRA Sp. z o.o.;(52)5841751;;
Agencja Promocji Turystyki Anna Olszewska;(22)7211015;;
Agencja Promocji Turystyki Anna Olszewska;605726122;;
Agencja Reklamowa IMAKO;(022)6484400;;
Agencja Reklamowa IMAKO;(022)6497165;;
Agencja Reklamowo-Wydawnicza DK MEDIA POLAND Sp. z o.o;690887342;;
Agencja Wydawnicza Pro-Min;(25)7588913;;
Agencja Wydawniczo-Reklamowa KORSO Sp. z o.o.;(17)7884180;;
Agencja Wydawniczo-Reklamowa SKARPA WARSZAWSKA Sp. z o.o.;(22)4161581;;
Agencja Wydawniczo-Reklamowa SKARPA WARSZAWSKA Sp. z o.o.;(22)1157759;;
Agencja Wydawniczo-Reklamowa WPROST;(22)3475000;;
Agencja Wydawniczo-Reklamowa WPROST;(22)4299101;;
Akant;(52)3213371;;
ALTERGLOBAL Pismo Społeczno-Polityczne;609310665;;
ALTERGLOBAL Pismo Społeczno-Polityczne;508646222;;
Amber Media;506180062;;
ANTER - Poligrafia;(22)8287819;;
ART PRESS;(22)7263424;;
ART PRESS;604195841;;
Audio-Video;539032662;;
Audio-Video;508868568;;
AURA Ochrona Środowiska;(12)4226376;;
AURA Ochrona Środowiska;(12)4210502;;
AutoElektro Sp. z o.o.;(022)4992663;;
AutoElektro Sp. z o.o.;(022)3539064;;
Automobilista Sp. z o.o.;(22)8102449;;
Automobilista Sp. z o.o.;(22)8701943;;
Autoportret;(12)4221884;;
Autoportret;(12)4225562;;
AWART - Kwartalnik Techniczny OBRÓBKA METALU;(52)5243580;;
AWART - Kwartalnik Techniczny OBRÓBKA METALU;608188255;;
B-DIRECT;792868052;;
Bezpłatny Magazyn Filiżanka Smaków;(71)3488185;;
bikeBoard-Magazyn Rowerowy;(12)4270565;;
bikeBoard-Magazyn Rowerowy;(12)4270753;;
Biuletyn Migracyjny;(22)6597411;;
Biuletyn Migracyjny;(22)8227405;;
Bonnier Business (Polska) Sp. z o.o.;(22)3339777;;
Bonnier Business (Polska) Sp. z o.o.;(22)3339778;;
BOOMGAARDEN MEDIEN Sp. z o.o.;(63)2616083;;
BOOMGAARDEN MEDIEN Sp. z o.o.;(63)2725417;;
BUDUJEMY DOM Informator Rynkowy Budownictwa Jednorodzinnego;(22)5689970;;
BUDUJEMY DOM Informator Rynkowy Budownictwa Jednorodzinnego;(22)5689988;;
Builder - Wydawnictwo PWB MEDIA;(22)8530687;;
Builder - Wydawnictwo PWB MEDIA;(22)8530686;;
Burda Publishing Polska Sp. z o.o. Spółka Komandytowa;(22)3603800;;
Burda Publishing Polska Sp. z o.o. Spółka Komandytowa;(22)3603645;;
Business&Beauty;(22)5210658;;
Capital Partnership Sp. z o.o.;(22)4362050;;
Capital Partnership Sp. z o.o.;667774333;;
Cement Wapno Beton;(12)4233355;;
Cement Wapno Beton;(12)4233345;;
Centrala Handlu Zagranicznego ARS POLONA S.A.;(22)5098609;;
Centrala Handlu Zagranicznego ARS POLONA S.A.;(22)5098600;;
Centrum Kultury i Sztuki im.Ady Sari Kurier Starosądecki;(18)4461641;;
Chojeńska Gazeta Skrzynkowa;792818975;;
CIĘŻARÓWKI Miesięcznik Ogólnopolski;784545960;;
CIĘŻARÓWKI Miesięcznik Ogólnopolski;784529361;;
CIRE.pl Centrum Informacji o Rynku Energii;(71)7804500-01;;
CIRE.pl Centrum Informacji o Rynku Energii;(71)7804501;;
CityDystrybucje;(61)8430670;;
CityDystrybucje;(61)8430672;;
Com-Media;(71)3032316;;
Com-Media;(71)7503364;;
Concept Publishing Polska Sp. z o.o.;(22)6272660;;
Concept Publishing Polska Sp. z o.o.;(22)6272670;;
Czas Kultury;(61)8321239;;
Czas Ostrzeszowski Sp. z o.o.;(62)7301490;;
Czasopismo Aptekarskie;(22)8799869;;
Czasopismo Aptekarskie;(22)8799232;;
Czasopismo BYDŁO Wielkopolskie Wydawnictwo Rolnicze Sp. z o.o.;(61)8434427;;
Czasopismo BYDŁO Wielkopolskie Wydawnictwo Rolnicze Sp. z o.o.;603112667;;
Czasopismo Internetowe ŚWIAT MARKETINGU;(61)6226922;;
Czasopismo PATOS;(12)4225785;;
Czasopismo POD WIATR;(52)3429310;;
Czasopismo Społeczno-Samorządowe MIESZKANIEC;(22)8106412;;
Czasopismo Społeczno-Samorządowe MIESZKANIEC;(22)8134383;;
Czasopismo Spotkania z Zabytkami;(22)6224663;;
Czasopismo ZABEZPIECZENIA;(22)5460951;;
Czasopismo ZABEZPIECZENIA;(22)5460959;;
Czasu Brodnicy Janusz Wojtarowicz;(056)6974740;;
Daniel Skotnicki;(22)4063145;;
DECYDENT & DECISION MAKER;(22)8324530;;
Dental And Medical Problems;(71)7841135;;
Dental And Medical Problems;(71)7840032;;
Drewno w Budownictwie & Wyposażeniu Wnętrz;513973783;;
Drop Life Sp. z o.o.;(61)2240044;;
DRUKARNIA AKCYDENSOWA KAROL GĄSIOR;(33)8612054;;
DRUKONOSZ Marcin Kryński;506999848;;
DRUKONOSZ Marcin Kryński;793414144;;
Dwumiesięcznik Tworzywa Sztuczne i Chemia;(032)4151654;;
Dwutygodnik Informacyjno-Reklamowy Prawobrzeże;(91)4629505;;
Dwutygodnik Informacyjno-Reklamowy Prawobrzeże;(91)4313649;;
DZIENNIK BAŁTYCKI Polska Press Sp. z o.o. Oddział Prasa Bałtycka;(58)3003100;;
DZIENNIK BAŁTYCKI Polska Press Sp. z o.o. Oddział Prasa Bałtycka;(58)3003103;;
Dziennik Elbląski;(55)6114600w.22;;
Dziennik Elbląski;(55)2361699;;
Dziennik Stargardzki;(91)5778671;;
Dziennik Stargardzki;(91)5778672;;
Dziennik Wschodni;(81)4626800;;
Dziennik Wschodni;(81)4626801;;
Dziennik Zachodni;(32)6342161;;
Dziennikarska Agencja Wydawnicza MAXPRESS;(22)6624368;;
Dziennikarska Agencja Wydawnicza MAXPRESS;(22)7503031;;
Dziennikarsko Wydawnicza Spółdzielnia Pracy Akapit TYGODNIK PŁOCKI;(24)2625588;;
Echo Barlinka;(95)7461058;;
Echo Barlinka;601496750;;
EDYTOR Sp. z o.o.;(89)5397700;;
Elawet Sp. z o.o. Magazyn Kocie Sprawy;(22)8441984;;
Elawet Sp. z o.o. Magazyn Kocie Sprawy;(22)8448077;;
ELEKTROSYSTEMY;(22)8407710;;
ELEKTROSYSTEMY;(22)8407530;;
Endokrynologia Polska Dwumiesięcznik;(032)2786126;;
etransport.pl;(52)3272116;;
etransport.pl;(52)3209820;;
EuroPress Polska Sp. z o.o.;(22)8772080;;
EuroPress Polska Sp. z o.o.;(22)8772070;;
EUROREGION BUG Gospodarka Rynek Promocja;(82)5628710;;
EUROREGION BUG Gospodarka Rynek Promocja;(82)5628711;;
Express Wieczorny;(46)8621582;;
Express Wieczorny;(46)8623353;;
EXTRA MEDIA;(22)2414168;;
EXTRA MEDIA;(22)4041221;;
Extreme-Travel;(32)7885174;;
Extreme-Travel;(32)2039356;;
Fachowy Dekarz&Cieśla;(22)8938095;;
Fahrenheit;509075750;;
Fakt Gazeta Codzienna;(022)2320200;;
Fakt Gazeta Codzienna;(022)2325511;;
Fakty Oświęcim;603113314;;
Fakty Oświęcim;609106703;;
Fine Grain;501372560;;
Fine Grain;(41)3617478;;
Firma Wydawniczo-Handlowo-Usługowa BBZ;(12)2811462;;
Firma Wydawniczo-Handlowo-Usługowa BBZ;(12)6442137;;
FITNESS DUCHOWY Wydawnictwo Ozon Media Sp. z o.o.;(22)4404500;;
FITNESS DUCHOWY Wydawnictwo Ozon Media Sp. z o.o.;(22)4404502;;
Focus Nierdzewne Sp. z o.o.;(32)7350371;;
Focus Nierdzewne Sp. z o.o.;(32)7350372;;
Forestor Communication;609192635;;
Forestor Communication;880100682;;
Foto Kurier;(22)6640411;;
Foto Kurier;601202570;;
Franpress Sp. z o.o.;(71)3439400;;
Franpress Sp. z o.o.;(71)3724743;;
Fresh & Cool Market Czasopismo o Żywności;608676886;;
Fundacja Instytut Wydawniczy KSIĄŻKA i PRASA;(22)6241727;;
Fundacja Instytut Wydawniczy KSIĄŻKA i PRASA;(22)6253626;;
Fundusze Europejskie;(61)8253047;;
Fundusze Europejskie;(61)8253022;;
G.L.M. Sp. z o.o.;(022)6494080;;
G.L.M. Sp. z o.o.;(022)6494161;;
Garmond Press-Katowice;(032)2057006;;
Garmond Press-Katowice;(032)2057009;;
Gazeta ABC Leszczyńska Oficyna Wydawnicza Sp. z o.o.;(65)5292540;;
Gazeta ABC Leszczyńska Oficyna Wydawnicza Sp. z o.o.;(65)5294881;;
Gazeta Bankowa;(58)7683300;;
Gazeta Bankowa;(58)7683302;;
Gazeta Bezpłatna ECHO;(22)6145803;;
Gazeta Bezpłatna ECHO;(22)6145787;;
Gazeta Chojeńska S.c.;(91)4141544;;
Gazeta Kartuska - Spółka Wydawnicza REMUS Sp. z o.o.;(58)6853369;;
Gazeta Kartuska - Spółka Wydawnicza REMUS Sp. z o.o.;(58)6813486;;
Gazeta Kościańska;(65)5121615;;
Gazeta Kościańska;(65)5119844;;
Gazeta Lekarska;(22)5590262;;
Gazeta Lekarska;(22)5590261;;
Gazeta Małych i Średnich Przedsiębiorstw;(22)6787983;;
Gazeta Małych i Średnich Przedsiębiorstw;(22)6780167;;
Gazeta Mikołajek;(087)4216081;;
Gazeta Mikołajek;502097965;;
Gazeta Mosińsko-Puszczykowska;(61)8981059;;
Gazeta Mosińsko-Puszczykowska;660031893;;
Gazeta Myślenicka;(12)2741753;;
Gazeta Myślenicka;(12)6392324;;
Gazeta Nowego Żoliborza;604995863;;
Gazeta Ostrowska Sp. z o.o.;(62)7356222;;
Gazeta Ostrowska Sp. z o.o.;(62)7356211;;
Gazeta Podwarszawska NAD WISŁĄ;(22)7177101;;
Gazeta Podwarszawska NAD WISŁĄ;(22)7177102;;
Gazeta Pojezierze Drawskie P.H.U. IW-MAG PRESS Mariusz Nagórski;512353223;;
Gazeta Radomszczańska;(44)7381180;;
Gazeta Radomszczańska;(44)7381181;;
Gazeta Rumska;(58)7109611;;
Gazeta Rycerska;(071)3297171;;
Gazeta Rycerska;(071)3297186;;
Gazeta Sokołowska;(25)7813032;;
Gazeta Starachowicka;(41)2745512;;
Gazeta Starachowicka;(41)2743287;;
Gazeta Średzka;(61)2853769;;
Gazeta Średzka;606500170;;
Gazeta Tygodniowa R-PRESS;(068)3596050;;
Gazeta Współczesna;(85)7487442;;
Gazeta Współczesna;(85)7489607;;
Gazeta Wyborcza Oddział Poznań;(061)8552233;;
Gdańskie Wydawnictwo Prasowe - Twój Wieczór;(58)3089545;;
Gdańskie Wydawnictwo Prasowe - Twój Wieczór;698666709;;
Geodeta Sp. z o.o.;(22)6468744;;
Geodeta Sp. z o.o.;(22)8494163;;
GLISSANDO;506082098;;
GLISSANDO;500070610;;
Głos Bocheński;(12)2699030;;
Głos Bocheński;602155804;;
GŁOS SZCZECIŃSKI;(91)4813300;;
GŁOS SZCZECIŃSKI;(91)4334864;;
GŁOS UCZELNI Czasopismo Uniwersytetu Przyrodniczego we Wrocławiu;(71)3205499;;
Głos Wielicki;(012)2629556;;
Głos Wielicki;604877768;;
GOFIN Wydawnictwo Podatkowe Sp. z o.o.;(95)7208540Prenumerata;;
GOFIN Wydawnictwo Podatkowe Sp. z o.o.;(95)7208550Reklama;;
Golf & Life;(22)8656741;;
Golf & Life;(22)8347685;;
Grupa Wydawnicza OFTAL Sp. z o.o.;(22)5116200w.62-45;;
Grupa Wydawnicza OFTAL Sp. z o.o.;(22)6704740;;
Grupa Wydawnicza SŁOWO Sp. z o.o.;(83)3447554;;
Grupa Wydawnicza SŁOWO Sp. z o.o.;(83)3447552;;
Grupa ZPR Media;(22)5905001-02;;
GWIAZDY MÓWIĄ;(22)8541438;;
GWIAZDY MÓWIĄ;(22)8541422;;
Hafty Polskie - MEGAT Dariusz Branny;(33)8585855;;
Hafty Polskie - MEGAT Dariusz Branny;(33)8578913;;
HAIR TRENDY;(22)8582695;;
HAIR TRENDY;(22)8853217;;
HDS Polska Sp. z o.o.;(22)5723200;;
HDS Polska Sp. z o.o.;(22)5723205;;
HI-FI i MUZYKA Sp. z o.o.;(22)6795642;;
HI-FI i MUZYKA Sp. z o.o.;(22)6795217;;
HIP Osiedlowe Gazety Informacyjne;(12)2965435;;
HIP Osiedlowe Gazety Informacyjne;666086479;;
Hydraulika i Pneumatyka;(71)3448126;;
IBC Vision;(55)6417920;;
IBC Vision;500055043;;
IDG Poland S.A.;(22)3217800;;
IDG Poland S.A.;(22)3217888;;
image Piotr Król;797325915;;
image Piotr Król;501629560;;
INDYGO Zahir Media;(71)7964159;;
INDYGO Zahir Media;(71)3361102;;
Info Swarzędz;504512779;;
InfoKomes Gazeta Nieruchomości Bezpośrednio;(22)6522002;;
Informator Rynkowy - Wydawnictwo Prasowe Marcin Fabrykowski;(32)2308451;;
Informator Rynkowy - Wydawnictwo Prasowe Marcin Fabrykowski;503106019;;
Informator Żoliborza;604132673;;
Instalator Polski Sp. z o.o.;(22)6783164;;
Instalator Polski Sp. z o.o.;(22)6783205;;
INSTALpress S.c.;600211999;;
Instytut Politologii UMK;(056)6112155;;
Instytut Politologii UMK;(056)6112119;;
Internetowy Magazyn Studencki StudentCafe.pl;(17)8661413;;
Internetowy Magazyn Studencki StudentCafe.pl;(17)8661274;;
Interteam S.c. Poradnik Budowlany MÓJ DOM;(32)7302365-66;;
Interteam S.c. Poradnik Budowlany MÓJ DOM;(32)7303150-51;;
IVV Media Sp. z o.o.;(22)3124030-31;;
IVV Media Sp. z o.o.;(22)3124001;;
Jednota;(022)8310827;;
Jednota;(022)6369913;;
KAPRINT Redakcja Rynek Energii;(081)5268418;;
Karp Max;604783106;;
