HenDuKol P.P.H.U. Henryk Dulęba;(42)6402295;;
VITKOVICE MILMET S.A.;(32)2914319;;
VITKOVICE MILMET S.A.;(32)2914358;;
Air Liquide Polska Sp. z o.o.;(12)6279300;;
Air Liquide Polska Sp. z o.o.;(12)6279333;;
Air Products Sp. z o.o.;(22)4403200;;
Air Products Sp. z o.o.;(22)4403205;;
FENIX Rafalski Łukasz;(12)3575341;;
FENIX Rafalski Łukasz;602554242;;
GAZY TECHNICZNE Krzysztof Miszkurka;(22)8434669;;
GAZY TECHNICZNE Krzysztof Miszkurka;(22)8473960;;
Hadex-Gaz Sp. z o.o.;(61)8411317;;
Hadex-Gaz Sp. z o.o.;0801011118;;
ImtechGaz;(22)7285204;;
ImtechGaz;600391222;;
P.H.U.P. DREW-MAT-BUD A.Wierzbiński;(32)2226929;;
P.H.U.P. DREW-MAT-BUD A.Wierzbiński;884882448;;
PROFEREM Sp. z o.o.;(32)6411048;;
PROFEREM Sp. z o.o.;(32)6430614;;
BartCO2wiak Paweł Bartkowiak;601786407;;
betagaz sp.z.o.o;504225712;;
Center-Gaz;(34)3618319;;
Center-Gaz;(34)3618293;;
F.H.U. Spaw-System Krzysztof Kasprzyk;(41)3144137;;
F.H.U. Spaw-System Krzysztof Kasprzyk;(41)3144130;;
MK-GAZY;(61)8770793;;
MK-GAZY;(61)8770794;;
International Technology & Transfer GmbH Sp. z o.o.;(32)2307757;;
International Technology & Transfer GmbH Sp. z o.o.;(32)2315162;;
PHU AIR-TECH Jarosław Krzemiński;(91)4210650;;
PHU AIR-TECH Jarosław Krzemiński;(91)4210291;;
Przedsiębiorstwo Handlowo-Usługowe Grzegorz Lodowski;(22)7893515;;
Przedsiębiorstwo Handlowo-Usługowe Grzegorz Lodowski;(22)7896653;;
Przedsiębiorstwo Techniczno-Handlowe WI-POŻ;(56)6974131;;
Przedsiębiorstwo Techniczno-Handlowe WI-POŻ;882037515;;
EKOFER - Azbest usuwanie, neutralizacja;(75)7647222;;
EKOFER - Azbest usuwanie, neutralizacja;509949957;;
Elhurt Mariusz Przybyłko;(77)4566118GazyTechniczne;;
Elhurt Mariusz Przybyłko;(77)4532194SklepSpawalniczy;;
GUSPOL;(75)7348133;;
Ferrodo Poznań Sp. z o.o.;(61)8239751;;
Ferrodo Poznań Sp. z o.o.;(61)8233931;;
INMED-KARCZEWSCY Sp. z o.o. Sp.komandytowa;(71)3980210;;
INMED-KARCZEWSCY Sp. z o.o. Sp.komandytowa;(71)3610704;;
INSTAL-MARK Marcin Marek;(33)8450201;;
INSTAL-MARK Marcin Marek;516865230;;
KAMINO Spółka z ograniczoną odpowiedzialnością Sp.K.;(22)6684554;;
KAMINO Spółka z ograniczoną odpowiedzialnością Sp.K.;(22)6670026;;
LECH-BHP Anna Miziniak;602182240;;
MS-MOT Mariusz Sztabiński;(55)2460120;;
MS-MOT Mariusz Sztabiński;501665992;;
P.W. MAX-GAZ Janusz Abucki;(76)8332988;;
Systema Instalacje;797022016;;
ZIOBRO S.c. Danuta Ziobro, Ryszard Ziobro, Marzena Ziobro-Wróbel, Sylwia Caputa;(32)4471812;;
ZIOBRO S.c. Danuta Ziobro, Ryszard Ziobro, Marzena Ziobro-Wróbel, Sylwia Caputa;608612574;;
CENTRUMGAZOW.PL;510256371;;
GAZY TECHNICZNE wymiana;508622862;;
ABART DEVELOPMENT;(42)6740556;;
ABART DEVELOPMENT;(42)6767266;;
Air Complex Sp. z o.o.;(77)7070532;;
Air Complex Sp. z o.o.;(77)7070533;;
AllCar Sp. z o.o.;(32)2704971;;
AllCar Sp. z o.o.;607716671;;
AMCO-GAZ Wytwórnia Gazów Technicznych;(85)8770600;;
AMGAZ;(58)7621735;;
AMGAZ;603954488;;
ATP System Sp. z o.o.;696444855;;
BR-GAZ Gazy Techniczne Technika spawalnicza;(14)6704367;;
BR-GAZ Gazy Techniczne Technika spawalnicza;509255382;;
COMPACT GAZ Aleksander Jagodziński;(61)6708792;;
COMPACT GAZ Aleksander Jagodziński;(61)8120859;;
Dar Jan Orzeszko;(85)7402402;;
Dar Jan Orzeszko;508060608;;
DL Service;(32)2677496;;
DL Service;608514195;;
Drwęca Sp. z o.o.;730230063;;
EURO-GAZ;(42)7128750;;
EURO-GAZ;(42)7128780;;
EUROGAZ-BOMBI H.Choroszucha Z.Choroszucha Sp.j.;(89)5135414;;
EUROGAZ-BOMBI H.Choroszucha Z.Choroszucha Sp.j.;(89)5135367;;
F.H.U. GAZIK Robert Czopek;722130980;;
F.H.U. MAR-MUT Mariusz Czmut;(056)6598108;;
F.H.U. MAR-MUT Mariusz Czmut;605660120;;
F.H.U. PRO-PLAST;(22)8434669;;
F.H.U. PRO-PLAST;604247167;;
F.U.H. Mar-co2;696467908;;
F.U.H. Mar-co2;603904666;;
FHU Gazy Techniczne Krzysztof Satro;797437284;;
Firma Wielobranżowa TAJM;(52)3629424;;
Firma Wielobranżowa TAJM;663739090;;
GAS-TRADING S.A.;(22)8456210;;
GAS-TRADING S.A.;(22)8456208;;
GAZ-TECH;(52)3530330;;
GAZ-TRANS D. i T.Lazurek;(22)7731921;;
GAZ-TRANS D. i T.Lazurek;601207264;;
GAZBUT;(58)5361494;;
GAZELA Andrzej Cichy;(71)3971717;;
GAZELA Andrzej Cichy;(71)3971718;;
GazPrim;(22)8424026;;
GazPrim;601236575;;
Gazy Techniczne Dominik Stępień;(74)8314272;;
Gazy Techniczne Dominik Stępień;501162017;;
GILGAZ Gazy Techniczne - Serwis Gaśnic;(84)5303450;;
GILGAZ Gazy Techniczne - Serwis Gaśnic;600795800;;
Hurtownia Gazów Technicznych TOR-GAZ;601639718;;
Hurtownia Gazów Technicznych TOR-GAZ;885245015;;
Instal-leon Instalacja gazów medycznych C.O , Wod-kan, Gaz;508382745;;
Instal-leon Instalacja gazów medycznych C.O , Wod-kan, Gaz;(61)8749129;;
IT GAS Inter Tech Gas;509062346;;
IT GAS Inter Tech Gas;509474373;;
KED-MAR Gazy Techniczne;(18)5475687;;
KED-MAR Gazy Techniczne;608349163;;
KOLGAZ Sprzedaż Gazów Technicznych;(48)3819190;;
KOLGAZ Sprzedaż Gazów Technicznych;501506629;;
KrakGas;(12)6380736;;
KrakGas;(12)6265628;;
Linde Gaz Polska;(12)6439200;;
Linde Gaz Polska;(12)6439300;;
LUGAS Gazy Techniczne;694634648;;
LUGAS Gazy Techniczne;602675584;;
MADAKS Gazy Techniczne;730701100;;
MAZPOŻ Autoryzowany Zakład Konserwacji i Naprawy Sprzętu Ppoż.;605279340;;
Messer Polska Sp. z o.o.;(32)7726000;;
Messer Polska Sp. z o.o.;(32)7726115;;
Nord Gaz S.c. A.Imienionek, Z.Ziółkowski;(22)8770160;;
Nord Gaz S.c. A.Imienionek, Z.Ziółkowski;500191096;;
ORFEMET;(12)4150206;;
ORFEMET;(12)4158541;;
OXYGEN Krosno;(13)4367760;;
P.H.U. CHP Lach Grzegorz;(32)2276462;;
P.H.U. CHP Lach Grzegorz;512196279;;
P.P.H.U. Bogdan Madej;515069537;;
P.U.H. SANGAZ Piotr Gawinecki;(54)4121810;;
P.U.H. SANGAZ Piotr Gawinecki;(54)4121811;;
P.W. A.K.A. Adam Petryszak;(81)4418606;;
P.W. A.K.A. Adam Petryszak;(81)4418608;;
PHU Mar-Mic;(77)4813849;;
PIONIERGAS;500192996;;
PIONIERGAS;600272546;;
Pneumatech-GAZ TECHNIKA Sp. z o.o.;(32)3520635;;
Pneumatech-GAZ TECHNIKA Sp. z o.o.;603525306;;
POLGAZ Dystrybucja Gazu;(52)3319363;;
PPHU CELMAR;603229050;;
PPHU Drwęca Sp. z o.o.;(56)4987004;;
PPHU Drwęca Sp. z o.o.;604276913;;
PPHU ZARTEX;(81)7518704;;
PPUH TRUCK-IT!;519118942;;
PRO CHEMIKA Sp. z o.o.;(12)6327230;;
Przedsiębiorstwo Wielobranżowe MARABEX Sp.j.;(42)7140257;;
Przedsiębiorstwo Wielobranżowe MARABEX Sp.j.;(42)7162242;;
Przedsiębiorstwo Wielobranżowe SUFRANEK;(61)4257213;;
PUH TRANS GAZ;(61)4264437w.34;;
PUH TRANS GAZ;(61)4244727;;
RADKO;(48)3847120;;
RADKO;(48)3605593;;
SA-PPOŻ;(32)2101158;;
SA-PPOŻ;509914711;;
STAGU-POŻARNIK Firma Handlowo-Usługowa Zabezpieczeń i Ochrony Przeciwpożarowej;(94)3642426;;
STAGU-POŻARNIK Firma Handlowo-Usługowa Zabezpieczeń i Ochrony Przeciwpożarowej;604774675;;
Sterylgaz Sp. z o.o.;(024)2640381;;
Sterylgaz Sp. z o.o.;(024)2640394;;
STP & DIN CHEMICALS Sp. z o.o. Sp.komandytowa;(32)4482861;;
STP & DIN CHEMICALS Sp. z o.o. Sp.komandytowa;(32)4757174-75;;
System Gazociągów Tranzytowych EuRoPol GAZ S.A.;(22)5174000;;
System Gazociągów Tranzytowych EuRoPol GAZ S.A.;(22)5174040;;
Szczepaniak Gazy Techniczne-Sprzęt Spawalniczy;(32)2306674;;
Szczepaniak Gazy Techniczne-Sprzęt Spawalniczy;(32)3381580;;
SZWED Rzeszów;(17)8625025;;
TEChnogas Sp. z o.o.;(32)7711666;;
TEChnogas Sp. z o.o.;(32)7711650;;
Trans Gaz;603304290;;
TRANS-GAZ;(13)4645582;;
TRANS-GAZ;(13)4645581;;
