ARCHGEO Geodezja, Projekty Przemysław Grzelak;501100763;;
Biuro Geodezyjne GEOMETR;(33)8152960;;
Biuro Geodezyjne GEOMETR;502172607;;
BKR Sp. z o.o. Geodezja i Planowanie;(22)8694584;;
BKR Sp. z o.o. Geodezja i Planowanie;601285844;;
F.H.U. Mariusz Malewski;(85)6564024;;
F.H.U. Mariusz Malewski;500077110;;
Firma Geodezyjna STINGEO Jacek Żądło;(18)3319005;;
Firma Geodezyjna STINGEO Jacek Żądło;(18)5417373;;
GEO-PARTNER Kancelaria Geodezyjno-Kartograficzna;(22)8231007;;
GEO-PARTNER Kancelaria Geodezyjno-Kartograficzna;605824240;;
GEO-SKALA Paweł Zalewski;(22)7251879;;
GEO-SKALA Paweł Zalewski;692109910;;
Geodezja ARCHEO;507055800;;
Geodezja ARCHEO;668468993;;
Geodezja GEOCAD;603945350;;
Geomax Maciej Radczyc;501444823;;
Geomax Maciej Radczyc;510067147;;
GEOMIAR Pracownia Geodezyjna;(42)2155055;;
GEOMIAR Pracownia Geodezyjna;(42)2131177;;
GEONUM S.c. - usługi geodezyjne, aplikacje MicroStation;(71)7345389;;
GEONUM S.c. - usługi geodezyjne, aplikacje MicroStation;(71)7345379;;
GEOPOMIAR S.c. Usługi Geodezyjne E.Majka & A.Wójcik;(32)7620456;;
GEOPOMIAR S.c. Usługi Geodezyjne E.Majka & A.Wójcik;505084848;;
GLOBIKON Leszek Konopka;601215687;;
HEWA Przedsiębiorstwo Geodezyjno-Kartograficzne;(22)8153081;;
HEWA Przedsiębiorstwo Geodezyjno-Kartograficzne;601225843;;
KALIBRA Anna Doberska Usługi Geodezyjno-Kartograficzne;602738067;;
KALIBRA Anna Doberska Usługi Geodezyjno-Kartograficzne;606619428;;
M-GEO Usługi Geodezyjne Mateusz Wójcik;(32)2641163;;
M-GEO Usługi Geodezyjne Mateusz Wójcik;692477328;;
MK GEO S.c. M.Wierzchoń, J.Kwerko;607156380;;
MK GEO S.c. M.Wierzchoń, J.Kwerko;601812084;;
Pracownia Geodezyjno-Kartograficzna Adam Jarosz;(32)6235034;;
Pracownia Geodezyjno-Kartograficzna Adam Jarosz;(32)7539045;;
Przedsiębiorstwo Usług Projektowo-Budowlanych i Geodezyjnych GEOBUD;(44)6328060;;
Słubickie Biuro Geodezji i Kartografii;(95)7586545;;
Słubickie Biuro Geodezji i Kartografii;603870478;;
Unigeo Prace Geodezyjne mgr inż. Mateusz Kapusta;602505390;;
ABC INWESTYCJE;505852301;;
ABC INWESTYCJE;513707797;;
Antoni Buczek Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych;(76)8441133;;
Antoni Buczek Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych;501780861;;
Art-Geo inż. Artur Siedlarek;506603606;;
ART-MEDIA Przedsiębiorstwo Handlowo-Usługowe;(76)8702289;;
ART-MEDIA Przedsiębiorstwo Handlowo-Usługowe;600837102;;
Biuro Geodezji ARGEO Marek Kruczyński;504343293;;
Biuro Usług Geodezyjno-Kartograficznych GEOPOM Bogusław Rybarczyk;(61)2922100;;
GEO CENTRUM;504246852;;
Geo-Serwis;(58)3221167;;
Geo-Serwis;601652651;;
Geodeta Wojciech Bednarczyk;509778402;;
Geodezja EMCGEO Maciej Ćwiertnia;605493519;;
Geodezja EMCGEO Maciej Ćwiertnia;601061899;;
GEOINWEST;(33)8103056;;
GEOINWEST;668899017;;
GEOMAR Usługi Geodezyjne;(22)7210541;;
GEOMAR Usługi Geodezyjne;602715720;;
GEOPOL Usługi Geodezyjne;609765554;;
GEOPOL Usługi Geodezyjne;503020359;;
GEOPROJEKT-ŁÓDŹ Przedsiębiorstwo Geodezyjne Sp. z o.o.;(42)6334536;;
GEOPROJEKT-ŁÓDŹ Przedsiębiorstwo Geodezyjne Sp. z o.o.;(42)6368647;;
GiK Geodezja i Kartografia Nowy Sącz Jacek Matuszewski Geodeta;668302968;;
GLOB K&Z;(22)4251940;;
GLOB K&Z;(22)4251941;;
Przedsiębiorstwo Geodezyjne ASTRA Sp. z o.o.;(58)6299177;;
Przedsiębiorstwo Geodezyjne ASTRA Sp. z o.o.;601690290;;
Przedsiębiorstwo Usług Geodezyjnych INTERGEO D.Dadak, M.Staszkiewicz;(33)8100344;;
