EKOID;(32)3533214;;
EKOID;(32)2552823;;
GEOLEH Pracownia Projektów i Realizacji Inwestycji Geologicznych, Ekologicznych i Górniczych Leon Helwak;(58)6207017;;
GEOLEH Pracownia Projektów i Realizacji Inwestycji Geologicznych, Ekologicznych i Górniczych Leon Helwak;607914933;;
Georadar;502404805;;
Georadar;(71)3990399;;
GEOTECH Sp. z o.o.;(17)2302023;;
GEOTECH Sp. z o.o.;(17)2293364;;
N-GEO Michał Niedziółka;(91)4843840;;
N-GEO Michał Niedziółka;500810500;;
Przedsiębiorstwo Badań Geologicznych GEOPROFIL Irena Józefko, Marcin Kukuła S.c.;(12)6321115;;
Zakład Inżynieryjny GEOREM Sp. z o.o.;(32)2662026;;
Zakład Inżynieryjny GEOREM Sp. z o.o.;(32)2662027;;
Andrzej Załuski Biuro Geologii i Sozologii GEOTECHNIKA;(46)8378788;;
Andrzej Załuski Biuro Geologii i Sozologii GEOTECHNIKA;508174460;;
ARCH-TECH Sp. z o.o.;603664176;;
ARCH-TECH Sp. z o.o.;691124343;;
BAARS;604218377;;
BAARS;662117804;;
Firma Hydrogeologiczna Pangea;(32)6233809;;
Firma Hydrogeologiczna Pangea;513499583;;
GEO2000;(71)7382334;;
GEO2000;(43)8714116;;
GEO2000;607076603;;
GeoEkoBud - Geologia i Geotechnika;664007316;;
Geomorr Sp.j.;(32)4248523;;
Geomorr Sp.j.;603356888;;
GEOSET S.c. A.Kuzora, A.Kryczałło, P.Kozak;501892133;;
GEOSET S.c. A.Kuzora, A.Kryczałło, P.Kozak;501892144;;
GEOTEKO Projekty i Konsultacje Geotechniczne Sp. z o.o.;(22)8531465;;
GEOTEKO Projekty i Konsultacje Geotechniczne Sp. z o.o.;(22)8531582;;
GEOTEST Sp. z o.o.;(22)8443966;;
GEOTEST Sp. z o.o.;601254941;;
HydroGeoStudio;(22)8568215;;
HydroGeoStudio;(22)8568216;;
APIS GEO;509634949;;
APIS GEO;512261468;;
Biuro Doradztwa Hydrogeologicznego;692255712;;
Consoil Project Sp. z o.o.;(61)8399645;;
Consoil Project Sp. z o.o.;(61)8399640;;
DOMA-WIERT Usługi Wiertnicze Grzegorz Mikoda;604665879;;
GEOKARTA Pracownia Geologiczna;609086118;;
GEOKRAK Sp. z o.o.;(12)6320900;;
GEOKRAK Sp. z o.o.;(12)6338110;;
Geologia Krzysztof Marian Sobol;601818864;;
Geologia Krzysztof Marian Sobol;(33)8143733;;
GEOSERVICE Marcin Grabiec;697980220;;
HYDROCONSULT Sp. z o.o.;(61)8630013;;
HYDROCONSULT Sp. z o.o.;(61)8630263-64;;
PIGEOLOGIA.PL;728149783;;
Pracownia Geologiczna GEOTECHNIKA;(84)6270298;;
Pracownia Geologiczna GEOTECHNIKA;602510780;;
Przedsiębiorstwo Geologiczne POLGEOL S.A.;(22)6173031;;
Przedsiębiorstwo Geologiczne POLGEOL S.A.;(22)6174221;;
Przedsiębiorstwo Geologiczno Wiertnicze PAWLAK;(22)6781871;;
Przedsiębiorstwo Geologiczno Wiertnicze PAWLAK;601991098;;
Przedsiębiorstwo Usług Geologiczno-Laboratoryjnych CHEMKOP-LABORGEO Sp. z o.o.;(12)6327804;;
Przedsiębiorstwo Usług Geologiczno-Laboratoryjnych CHEMKOP-LABORGEO Sp. z o.o.;(12)6343631;;
Przedsiębiorstwo Usługowo-Geologiczne Kronos Sp. z o.o.;(58)3034293;;
Przedsiębiorstwo Usługowo-Geologiczne Kronos Sp. z o.o.;604953250;;
Przedsiębiorstwo Usługowo-Produkcyjne SIGMA BP Sp. z o.o.;(15)8229767;;
Przedsiębiorstwo Usługowo-Produkcyjne SIGMA BP Sp. z o.o.;604105867;;
Transprojekt Geotechnika Sp. z o.o.;(61)6394903;;
Transprojekt Geotechnika Sp. z o.o.;(61)6690051;;
Wielkopolskie Przedsiębiorstwo Geologiczne Roman Kinas;(61)8213433;;
Wielkopolskie Przedsiębiorstwo Geologiczne Roman Kinas;602763255;;
geomtech;(61)8181814;;
geomtech;513041601;;
HYDROSERVIS Zakład Geologiczno-Wiertniczy Sp.j.;(61)8630033;;
HYDROSERVIS Zakład Geologiczno-Wiertniczy Sp.j.;(61)8630262;;
INGEO Sp. z o.o.;(58)6221100;;
INGEO Sp. z o.o.;(58)6221107;;
Państwowy Instytut Geologiczny - Państwowy Instytut Badawczy, Oddział Górnośląski im. St.Doktorowicza-Hrebnickiego;(32)2662036-37;;
Państwowy Instytut Geologiczny - Państwowy Instytut Badawczy, Oddział Górnośląski im. St.Doktorowicza-Hrebnickiego;(32)2663040;;
Przedsiębiorstwo Geologiczne TRAP;(85)6510113;;
Przedsiębiorstwo Geologiczne TRAP;601071390;;
AQUAGEO MF dr Michał Fic;(22)7205426;;
AQUAGEO MF dr Michał Fic;602766884;;
GEOROTAR;608190290;;
Geotrade Sp. z o.o.;(71)7921503;;
Geotrade Sp. z o.o.;(71)7921505;;
POLBUD-POMORZE Sp. z o.o.;(52)3518526;;
POLBUD-POMORZE Sp. z o.o.;(52)3518933;;
Pomiar-GIG Przedstawiciel Głównego Instytutu Górnictwa Sp. z o.o.;(81)7421068;;
Pomiar-GIG Przedstawiciel Głównego Instytutu Górnictwa Sp. z o.o.;(81)7412280;;
Przedsiębiorstwo Usług Geodezyjno-Geologicznych A-Z GEOMETR s.c.;(74)8467007;;
Przedsiębiorstwo Usług Geodezyjno-Geologicznych A-Z GEOMETR s.c.;(74)8467092;;
Przedsiębiorstwo Usługowo-Handlowe GRUNTJOL Jolanta Kurek-Nowak;(61)6521300;;
Przedsiębiorstwo Usługowo-Handlowe GRUNTJOL Jolanta Kurek-Nowak;601774706;;
PRZEWIERTEX;606727343;;
Studnie i Geologia Leszek Włodarczyk;(52)3612055;;
Studnie i Geologia Leszek Włodarczyk;(52)3610446;;
HYDROGEOPOL Sp. z o.o.;(14)6813135;;
HYDROGEOPOL Sp. z o.o.;(14)6813656;;
ABW PROJEKT;606458610;;
GEO ART INVEST Centrum Badań Geologicznych;507061244;;
GEO ART INVEST Centrum Badań Geologicznych;570278213;;
GEOEFEKT usługi geologiczne;513619196;;
TERRAGEO;605572226;;
Agencja Techniczna ERDEX;(32)2172900;;
Agencja Techniczna ERDEX;601520037;;
AGRO-TRADE Grzegorz Bujak;666297608;;
AGRO-TRADE Grzegorz Bujak;(41)2421915;;
Aplan Studio;605497111;;
Aplan Studio;601256264;;
Apogeum Sp. z o.o.;609001680;;
AQUAMETR S.c. Bartosz Owczarczak, Michał Krzyżanowski;501101601;;
AQUAMETR S.c. Bartosz Owczarczak, Michał Krzyżanowski;507065300;;
ATRAK Stanisław Sobański;727908070;;
AVAGEO;530444586;;
Badania Geologiczne Gruntów GeoSoilTest;698579369;;
Badania Geologiczne Gruntów GeoSoilTest;696099563;;
BIKORET;510518753;;
BIO-GEO;607935222;;
Biuro Badawczo-Projektowe Geologii i Ochrony Środowiska GEOBIOS Sp. z o.o.;(034)3257260;;
Biuro Geodezyjno-Geologiczne GEOSERVICE;(12)6340046;;
Biuro Geodezyjno-Geologiczne GEOSERVICE;602744600;;
Biuro Geologiczne BUGEO;(22)7818513;;
Biuro Geologiczne mgr Przemysław Szuba;600248608;;
Biuro Usług Geologicznych PROGEO;(58)3424347;;
Biuro Usług Geologicznych PROGEO;501148183;;
Biuro Usług Geologiczych GEOPROFIL Zygmunt Kola;601680726;;
Biuro Usług Geologiczych GEOPROFIL Zygmunt Kola;(58)3033888;;
Coneco-BCE Sp. z o.o.;(58)6249600;;
DALBIS Śląskie Towarzystwo Wiertnicze Sp. z o.o.;(32)2896739;;
DALBIS Śląskie Towarzystwo Wiertnicze Sp. z o.o.;(32)2898215;;
DRILLING ACTIVITY SYSTEM Sp. z o.o.;(13)4647327;;
DRILLING ACTIVITY SYSTEM Sp. z o.o.;607526968;;
DZGEO-Technika;(52)3816384;;
DZGEO-Technika;606262333;;
E C Katowickie Przedsiębiorstwo Geologiczne Sp. z o.o.;(32)2580471;;
E C Katowickie Przedsiębiorstwo Geologiczne Sp. z o.o.;(32)2582145;;
ECO-GEO Robert Chmielewski;(71)7980178;;
ECO-GEO Robert Chmielewski;692115909;;
Eco.Geo.Invest mgr inż. Krzysztof Ligęza;507023816;;
Eco.Geo.Invest mgr inż. Krzysztof Ligęza;(18)2626034;;
EKO-GEO S.c. Usługi Geologiczno-Inżynierskie;(68)3204827;;
EKO-GEO-SERWIS;603865047;;
Ekodrom Sp. z o.o.;697092313;;
EL JOT S.c.;(59)8423917;;
EL JOT S.c.;604577832;;
Elbląskie Przedsiębiorstwo Geologiczne mgr inż. Daniel Kochanowski;603483575;;
EN-GEO Geologia;696022640;;
EN-GEO Geologia;600045077;;
Euro Eko Projekt Centrum Inwestycyjno-Budowlane Tchórzewski Zbigniew;606108884;;
EUROGEOTECHNIKA Badania Geologiczne i Geotechniczne Maciej Pabich;502141987;;
F.P.U.H. GeoGut;(74)8148562;;
Firma Geologiczna CONVEST;508187877;;
Firma Geologiczna CONVEST;(68)4143014;;
Firma Geologiczna Felkel & Guś Sp. z o.o.;604444894;;
Firma Geologiczna Felkel & Guś Sp. z o.o.;607564453;;
Firma Geologiczna GEOTAR;(14)6743371;;
Firma Geologiczna GEOTAR;601084060;;
