Tor Sportowy CZYŻORING;604497926;;
Tor Sportowy CZYŻORING;791450740;;
ALKART;600936906;;
AUTODROM tor kartingowy;507810058;;
AUTODROM tor kartingowy;507810062;;
AWIX Racing Arena;510990775;;
F1 KARTING;(22)2903388;;
F1 KARTING;506639121;;
FUN CENTER;795651616;;
GOKART ARENA;515515715;;
Hala Kartingowa MOTODROM;501274608;;
Halowy Tor Kartingowy KART ACTION;(48)3810410;;
Halowy Tor Kartingowy KART ACTION;511999440;;
Halowy Tor Kartingowy WRC Wrocław Racing Center;662701300;;
ICF KARTING;888444557;;
INDOORKARTING.pl;601532280;;
INDOORKARTING.pl;794521241;;
Kart Arena;(22)7501652;;
Kart Arena;(22)7501726;;
KCR Kartingowe Centrum Radol;880300444;;
KF1-KARTING;608708640;;
P.H. KORDON;691133107;;
P.H. KORDON;603551038;;
PITSTOP-GDAŃSK;731383838;;
Poznań Indoor Karting Sp. z o.o.;(61)8720197;;
RESKART Tor Kartingowy;690994226;;
Tor Gokartowy ADRENALINA;883357205;;
Tor Gokartowy ADRENALINA;883357206;;
Tor Gokartowy ELIKART M;535005467;;
Tor Gokartowy w Tyliczu;500725750;;
Tor Kartingowy CARTMAX OLIMP;511100610;;
Tor Kartingowy DAYTONA;(14)6296262;;
Tor Kartingowy DAYTONA;516141600;;
Tor Kartingowy Opole;602658351;;
Tor Kartingowy Opole;603972439;;
Tor Kartingowy POLE-POSITION;512597587;;
Tor Kartingowy SADKARTING;602444972;;
Tor Kartingowy SPEED RACE;604640023;;
Tor Kartingowy TECHMAN KART;600044612;;
Tor Kartingowy TECHMAN KART;606972233;;
WRT Karting;511407247;;
WRT Karting;509437061;;
WRT Karting;(32)7801217;;
WRT Karting;509437061;;
ZygZak Karting;(33)4862960;;
Centrum Kartingowo-Biznesowe GRAND PRIX Sp. z o.o.;(22)3117333;;
Centrum Kartingowo-Biznesowe GRAND PRIX Sp. z o.o.;505833679;;
Centrum Rozrywki i Eventów STREFA MOCY KARTROCK;(22)7832530;;
F.T.U.H Grzegorz Suwała;(91)4623014;;
F.T.U.H Grzegorz Suwała;601972076;;
Malutkie Resort;(44)6811188;;
POWER PARK ŁEBA;603555285;;
POWER PARK ŁEBA;607177037;;
SILVER Hotel & Gokart Center;(91)4412500;;
SILVER Hotel & Gokart Center;(91)8171200;;
ZINTEGRA;504062511;;
ZINTEGRA;790503509;;
