BATERPOL S.A.;(32)7792000;;
BATERPOL S.A.;(32)7792009;;
DISONI Trade House Sp. z o.o.;(22)7752392;;
DISONI Trade House Sp. z o.o.;(22)7757975;;
P.H.U. KRYGIER;501286176;;
P.H.U. KRYGIER;(33)8119144;;
ADAMS S.c.;(29)7647980;;
ADAMS S.c.;(29)7647057;;
CLIF Sp. z o.o.;(12)6801440;;
CLIF Sp. z o.o.;(12)6430056;;
Energozłom;(76)7237810;;
Energozłom;600361570;;
EURO-EKO Sp. z o.o.;(17)7737850;;
IGO Sp. z o.o. Instytut Gospodarowania Odpadami;(32)2091241;;
IGO Sp. z o.o. Instytut Gospodarowania Odpadami;664063175;;
POSW Złompol Jończyk, Nowak Sp.j.;(34)3699253;;
POSW Złompol Jończyk, Nowak Sp.j.;(34)3697141;;
Przedsiębiorstwo Komunalne w Tucholi Sp. z o.o.;(52)3365730;;
Przedsiębiorstwo Komunalne w Tucholi Sp. z o.o.;(52)3365752;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe KOMART Sp. z o.o.;(32)2351183;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe KOMART Sp. z o.o.;(32)2352201;;
Przedsiębiorstwo Składowania i Utylizacji Odpadów Sp. z o.o.;(32)3053058;;
Przedsiębiorstwo Składowania i Utylizacji Odpadów Sp. z o.o.;(32)3324019;;
RAF-EKOLOGIA Sp. z o.o.;(13)4384665;;
RAF-EKOLOGIA Sp. z o.o.;(13)4384165;;
Rec Sp. z o.o.;(12)6445496;;
Rec Sp. z o.o.;(12)3986640;;
Rekopol Organizacja Odzysku S.A.;(22)4367830-33;;
Rekopol Organizacja Odzysku S.A.;(22)4367834;;
REMONDIS Electrorecycling Sp. z o.o.;(22)7556224;;
REMONDIS Electrorecycling Sp. z o.o.;(22)2050406;;
Sanit-Trans Sp. z o.o.;(33)8157974;;
Sanit-Trans Sp. z o.o.;(33)8145912;;
Scholz Polska Sp. z o.o.;(32)3687700;;
Scholz Polska Sp. z o.o.;(32)2673340;;
Sutco-Polska Sp. z o.o.;(32)7303800;;
Sutco-Polska Sp. z o.o.;(32)7303801;;
Zakład Gospodarowania Odpadami GAĆ Sp. z o.o.;(71)3014444;;
Zakład Gospodarowania Odpadami GAĆ Sp. z o.o.;(71)3131500;;
EKO-JUMIR Sp. z o.o.;(32)7637454;;
EKO-JUMIR Sp. z o.o.;784918685;;
EKO-MYŚL Sp. z o.o.;(95)7475653-54;;
EKO-MYŚL Sp. z o.o.;(95)747563322;;
Eko-Partner Bogusław Popko;(85)7402131;;
Eko-Partner Bogusław Popko;725724725(wymianakontenera);;
Eko-Wtór Sp. z o.o.;(33)8457271;;
Eko-Wtór Sp. z o.o.;(33)8459018;;
ENERGO-EKO I S.A.;(32)4752645;;
ENERGO-EKO I S.A.;(32)4752646;;
geomtech;(61)8181814;;
geomtech;513041601;;
GPK-SITA Głogów Sp. z o.o.;(76)7265656;;
GPK-SITA Głogów Sp. z o.o.;(76)7265666;;
HAK Zakład Usług Komunalnych Stanisław Burczyński;(44)6493484;;
HAK Zakład Usług Komunalnych Stanisław Burczyński;(44)6499684;;
Instytut Mechanizacji Budownictwa i Górnictwa Skalnego;(22)8430201;;
Instytut Mechanizacji Budownictwa i Górnictwa Skalnego;(22)8435981;;
Lidmann & Megger;(52)5836155;;
Lidmann & Megger;(52)5836154;;
PHU MAKSUR;(42)6484150;;
PHU MAKSUR;(42)6488577;;
PPUH VIG Sp. z o.o.;(32)2623685;;
PPUH VIG Sp. z o.o.;(32)2623856;;
RECYKL Organizacja Odzysku S.A.;(61)2810611;;
RECYKL Organizacja Odzysku S.A.;(61)2810041;;
REMONDIS Tarnowskie Góry Sp. z o.o.;(32)2854618;;
REMONDIS Tarnowskie Góry Sp. z o.o.;(32)2852056;;
SUEZ Bielsko-Biała S.A.;(33)4992000;;
SUEZ Bielsko-Biała S.A.;(33)4992020;;
Surowce Wtórne MENESIAK Sp.j.;(61)8473082;;
Tonsmeier Zachód Sp. z o.o.;(68)4563000;;
Tonsmeier Zachód Sp. z o.o.;(68)4563002;;
Utyl-service bis Joanna Sochaczewska;(56)4940548;;
Utyl-service bis Joanna Sochaczewska;(56)4940582;;
Zakład Gospodarki i Usług Komunalnych Sp. z o.o. Lubań;(75)6711220;;
Zakład Gospodarki i Usług Komunalnych Sp. z o.o. Lubań;(75)6711222;;
AMEBA RECYKLING Przedsiębiorstwo Obrotu Surowcami Wtórnymi;(62)7854458;;
AMEBA RECYKLING Przedsiębiorstwo Obrotu Surowcami Wtórnymi;604476055;;
BSC Ekopal Sp.j.;(91)3122160;;
DTJ Sp. z o.o.;(61)6731148;;
DTJ Sp. z o.o.;(61)4448425;;
ECO-SERVICE S.c. Oddział Bytom;(32)7202889;;
ECO-SERVICE S.c. Oddział Bytom;(32)7206531;;
ECOSYSTEM Sp. z o.o.;(84)6641562;;
Eko Świat Organizacja Odzysku Opakowań S.A;(17)6466740;;
Eko Świat Organizacja Odzysku Opakowań S.A;(17)6466771;;
EKO-GWAJM Sp. z o.o.;(32)6732150;;
EKO-REGION Sp. z o.o.;(44)6330815;;
EKO-REGION Sp. z o.o.;(44)6330819;;
EKO-SAM BIS Sp. z o.o.;(25)7579093;;
EKO-SAM BIS Sp. z o.o.;(25)7579073;;
F.P.H.U. ALMET;(33)8544037;;
F.P.H.U. ALMET;600872849;;
FHU NATURA;(52)3402918;;
Firma Handlowa KORMET Włodzimierz Korkosiński;(42)6116537;;
Firma Handlowa KORMET Włodzimierz Korkosiński;502531550;;
Firma Transportowo-Usługowa Eko S.c. Zuzanna Andruczyk, Marek Andruczyk;(87)5683016;;
Firma Transportowo-Usługowa Eko S.c. Zuzanna Andruczyk, Marek Andruczyk;(87)5683107;;
Firma Usługowo-Handlowa EKO-TOP Sp. z o.o.;(17)7735560;;
Firma Usługowo-Handlowa EKO-TOP Sp. z o.o.;(17)7735570;;
Gospodarka Komunalna w Błażowej Sp. z o.o.;(17)2301444;;
Gospodarka Komunalna w Błażowej Sp. z o.o.;(17)2301450;;
