Specjalistyczne Gospodarstwo Ogrodnicze B.M.Szymanowscy;(61)8143252;;
Gospodarstwo JĘDRZEJEWSKI Ireneusz Jędrzejewski;(54)2863199;;
Gospodarstwo JĘDRZEJEWSKI Ireneusz Jędrzejewski;(54)2862051;;
Gospodarstwo Ogrodnicze Marek Mielewczyk;604515494;;
Gospodarstwo Ogrodnicze Marek Mielewczyk;600320900;;
Centrum Ogrodnicze BAJEK Cezary Bajek;(77)4647474;;
Gospodarstwo Ogrodnicze Kwiaty Grabowscy;(91)5776362;;
Gospodarstwo Ogrodnicze Teresa i Paweł Kloch;696049227;;
Gospodarstwo Ogrodnicze Wojciech i Małgorzata Chmiel;502251286;;
OGRODNICTWO Hirsch;(52)3813626;;
OGRODNICTWO Hirsch;667639882;;
Ogrodnictwo Aniela i Andrzej Kłak;(61)8798668;;
Ogrodnictwo Aniela i Andrzej Kłak;(61)8798019;;
Centrum Ogrodnicze BODNAR;(74)8559220;;
Centrum Ogrodnicze BODNAR;(74)8559221;;
DIANT-POL POLSKA Ogrodnictwo Produkcyjne;502355964;;
DIANT-POL POLSKA Ogrodnictwo Produkcyjne;503149323;;
Ogrodnictwo Specjalistyczne W.W.Barcikowscy;509126636;;
Ogrodnictwo Specjalistyczne W.W.Barcikowscy;798142505;;
BUCHOLC Gospodarstwo Ogrodnicze;(22)7222020;;
BUCHOLC Gospodarstwo Ogrodnicze;(22)7222021;;
Centrum Ogrodnicze OGRÓD KASZUBSKI;739200209;;
Ekologiczne Gospodarstwo Danuta, Zbigniew, Aleksander Pilarscy;(52)3848110;;
Ekologiczne Gospodarstwo Danuta, Zbigniew, Aleksander Pilarscy;602128985;;
Ekologiczne Gospodarstwo Ogrodnicze BARWY ZDROWIA Tomasz Obszański;(84)6897603;;
Ekologiczne Gospodarstwo Ogrodnicze BARWY ZDROWIA Tomasz Obszański;791444070;;
FLORITA Gospodarstwo Ogrodnicze;(52)3420315;;
FLORITA Gospodarstwo Ogrodnicze;(52)5848255;;
Gospodarstwo Ogrodnicze;(14)6795685;;
Gospodarstwo Ogrodnicze;661408360;;
Gospodarstwo Ogrodnicze A.Biniek;(42)6819607;;
