EKO Sątyrz Jolanta Woźnicka;501496097;;
Gospodarstwo Rolne Józef Oleksy;(18)3327047;;
Gospodarstwo Rolne Józef Oleksy;(18)3327016;;
Gospodarstwo Rolne Uprawa Grzybów i Grzybni M.P.RUSIECCY;(43)6753515;;
Gospodarstwo Rolne Uprawa Grzybów i Grzybni M.P.RUSIECCY;507152803;;
P.P.H. i U. GRUNTPOL Sp. z o.o.;(62)7687127;;
BIOMAX Gospodarstwo Agroenergetyczne OLKOWSCY;606402100;;
BIOMAX Gospodarstwo Agroenergetyczne OLKOWSCY;600605307;;
DECOPOL Sp. z o.o.;(71)3923945;;
DECOPOL Sp. z o.o.;(71)3920237;;
Gospodarstwo Rolne Andrzej Ranachowski;(58)6791373;;
Gospodarstwo Rolne DOMINANT;(91)4187480;;
Gospodarstwo Rolne DOMINANT;512371373;;
Gospodarstwo Rolno-Leśne Wojciech Kuryło;793703660;;
Gospodarstwo Rolno-Leśne Wojciech Kuryło;502419167;;
Producent Fasoli Szparagowej Witold Tadeusiak;721744824;;
Rolnicza Spółdzielnia Produkcyjna w Zagrodzie;(82)5757293;;
Rolnicza Spółdzielnia Produkcyjna w Zagrodzie;(82)5757274;;
VIVA NATURA Gospodarstwo Rolne;(91)4662093;;
VIVA NATURA Gospodarstwo Rolne;(91)3954240;;
Agropartner Sp. z o.o.;(89)5332160;;
Gospodarstwo Rolne Marek Bocianowski;669022063;;
AGRO-LASOŃ Gospodarstwo Rolne;693883395;;
AGRO-MERKURY Sp. z o.o.;(61)4278919;;
AGRO-MERKURY Sp. z o.o.;609762427;;
AGROPOL;(33)4861647;;
AGROPOL;693299811;;
ANBOVIS Andrzej Stępień;605595800;;
Ceres International Sp. z o.o.;(63)2768310;;
Ceres International Sp. z o.o.;(63)2768412;;
EKO-ROL Sp. z o.o.;(41)3154104;;
EKO-ROL Sp. z o.o.;(41)3154105;;
Ekologiczne Gospodarstwo Rolne Beata i Andrzej Stępień;(43)8866825;;
Ekologiczne Gospodarstwo Rolne Maria i Andrzej Ciastoń;(65)5431378;;
Ekologiczne Gospodarstwo Rolne Stefan Bednarek;(43)8713034;;
Ekologiczne Gospodarstwo Rolne Stefan Bednarek;511606768;;
EKON;(61)8124278;;
Farma Kucharskiego Gospodarstwo Rolne Maciej Kucharski;600859273;;
Farma Kucharskiego Gospodarstwo Rolne Maciej Kucharski;660066401;;
G.P.H.U. Kowalski;661584558;;
GARDEN PRINCESS FARM Gospodarstwo Rolne;721312768;;
Gospodarstwo Rolne Adam Gajtkowski;(58)6838725;;
Gospodarstwo Rolne AMA Przemysław Mazurek;(22)7528057;;
Gospodarstwo Rolne AMA Przemysław Mazurek;668272090;;
GOSPODARSTWO ROLNE Andrzej Kalinowski;698635312;;
GOSPODARSTWO ROLNE Andrzej Kalinowski;(58)3014109;;
Gospodarstwo Rolne Bogdan Śliwiński;889108270;;
Gospodarstwo Rolne Dominikowscy;609373030;;
Gospodarstwo Rolne ECOherbs;793033001;;
Gospodarstwo Rolne Ecosnails;(44)6322662;;
Gospodarstwo Rolne Ecosnails;660224246;;
Gospodarstwo Rolne EKO-OGRÓD;602311340;;
Gospodarstwo Rolne EKO-OGRÓD;(41)3728003;;
Gospodarstwo Rolne Elżbieta i Zbigniew Gabscy;(61)2851015;;
Gospodarstwo Rolne Elżbieta i Zbigniew Gabscy;605723705;;
Gospodarstwo Rolne FAŁKOPOL Waldemar Cieplik;(77)4698023;;
Gospodarstwo Rolne FAŁKOPOL Waldemar Cieplik;(77)4698154;;
Gospodarstwo Rolne FARMA Rosko Janusz Białoskórski;604202549;;
Gospodarstwo Rolne H.K.Siwkowie;(12)3852846;;
Gospodarstwo Rolne H.K.Siwkowie;602592230;;
Gospodarstwo Rolne i Sadownicze KLIMKIEWICZ;(52)3828375;;
Gospodarstwo Rolne i Sadownicze KLIMKIEWICZ;502055602;;
Gospodarstwo Rolne i Wylęgarnia Drobiu Wiesława Wąsikowska-Lewandowska;598332110;;
Gospodarstwo Rolne IGROPOL;(87)6154803;;
Gospodarstwo Rolne IGROPOL;(87)6155860;;
Gospodarstwo Rolne Janiny i Stefana Reska;603292346;;
Gospodarstwo Rolne Jarosław Barański;609532428;;
Gospodarstwo Rolne Karolew Sp. z o.o.;(65)5716880;;
Gospodarstwo Rolne Karolew Sp. z o.o.;(65)5716182;;
Gospodarstwo Rolne Katarzyna Marzec;(91)3266522;;
Gospodarstwo Rolne Katarzyna Marzec;(91)3266361;;
Gospodarstwo Rolne Leszek Gliszczyński;660860178;;
Gospodarstwo Rolne Ludwik Majlert;601353711;;
Gospodarstwo Rolne Ludwik Majlert;605541823;;
Gospodarstwo Rolne Marcin Śmierzchalski;601061194;;
Gospodarstwo Rolne Marek Pyrka;(48)6148083;;
Gospodarstwo Rolne Marek Pyrka;604590859;;
Gospodarstwo Rolne Michał Imbiorowicz;724098490;;
Gospodarstwo Rolne Michał Sznajder;501300602;;
Gospodarstwo Rolne Michał Sznajder;609630221;;
Gospodarstwo Rolne Mirosław Maruniewicz;607344231;;
Gospodarstwo Rolne Mirosław Maruniewicz;609928413;;
Gospodarstwo Rolne MISKANT;696411580;;
Gospodarstwo Rolne NAD AREM;(89)5141067;;
Gospodarstwo Rolne NAD AREM;691784917;;
Gospodarstwo Rolne Paweł Pierzchała;(48)6146458;;
Gospodarstwo Rolne Paweł Pierzchała;609093780;;
Gospodarstwo Rolne Robert Długołęcki;669658800;;
Gospodarstwo Rolne RÓŻNOWO;509562042;;
Gospodarstwo Rolne SZKÓŁKA TRUSKAWKA;603687384;;
Gospodarstwo Rolne Turf Team S.c.;514746888;;
Gospodarstwo Rolne Turf Team S.c.;(95)7821127;;
Gospodarstwo Rolne w Górze Ropczyckiej Sp. z o.o.;(17)2226264;;
Gospodarstwo Rolne w Górze Ropczyckiej Sp. z o.o.;(17)2220208;;
Gospodarstwo Rolne w Reklinie;(68)3848570;;
Gospodarstwo Rolne w Reklinie;697246051;;
Gospodarstwo Rolne Walkowiak Ojciec i Syn;(71)3988780;;
Gospodarstwo Rolne Walkowiak Ojciec i Syn;(71)3991021;;
Gospodarstwo Rolne WENECJA;(89)7570316;;
Gospodarstwo Rolne WENECJA;(89)7570317;;
Gospodarstwo Rolne Wiesław Kopytowski, Mateusz Kopytowski;512426143;;
Gospodarstwo Rolne Wiesław Kopytowski, Mateusz Kopytowski;512374773;;
Gospodarstwo Rolne Wytomyśl;(61)4473053;;
Gospodarstwo Rolne Wytomyśl;(61)6227575;;
Gospodarstwo Rolne ZAJĄCZKI;(89)5271932;;
Gospodarstwo Rolne ZAJĄCZKI;(89)5270624;;
Gospodarstwo Rolne Zdzisław Lasocki;(61)8134449;;
Gospodarstwo Rolne Zdzisław Lasocki;604259814;;
Gospodarstwo Rolne-Sprzedaż Płodów Rolnych Gola Piotr;(58)7712032;;
Gospodarstwo Rolne-Sprzedaż Płodów Rolnych Gola Piotr;696891199;;
Gospodarstwo Rolno-Hodowlane Żydowo Sp. z o.o.;(61)4274166;;
Gospodarstwo Rolno-Hodowlane Żydowo Sp. z o.o.;(61)4274189;;
Gospodarstwo Sadowniczo-Szkółkarskie Zienkiewicz Piotr;606372871;;
GREEN FARM Gospodarstwo Rolne Ilona Orłowska-Sadoch;693437238;;
Hydroflora Specjalistyczne Gospodarstwo Rolne;507551312;;
Hydroflora Specjalistyczne Gospodarstwo Rolne;507720405;;
JAMIR S.A.;511238966;;
KAGO-rol Gospodarstwo Rolne;(89)7572129;;
KAGO-rol Gospodarstwo Rolne;(89)7574314;;
KAMIONKA-AGRO;510092820;;
KAMIONKA-AGRO;509893556;;
Kombinat Rolny Kietrz Sp. z o.o.;(77)4854301-02;;
Kombinat Rolny Kietrz Sp. z o.o.;(77)4855171;;
Kombinat Rolny SZESTNO Sp. z o.o.;(89)7413231;;
Kowalski Mariusz Gospodarstwo Rolne;(62)7649207;;
Kowalski Mariusz Gospodarstwo Rolne;602384839;;
ŁAGROM-AGRO Sp. z o.o.;(65)5732263;;
NAD BARYCZĄ Sp. z o.o.;(65)5439181;;
NAD BARYCZĄ Sp. z o.o.;(65)5442608;;
P.H.U. AGRIKO Tomasz Krzysztof Kostuch;501565893;;
POD JESIONEM Gospodarstwo Rolne-Wynajem Pokoi Maria i Mirosław Trojka;(58)6742281;;
POD JESIONEM Gospodarstwo Rolne-Wynajem Pokoi Maria i Mirosław Trojka;512439101;;
PPHU AGROL Sp. z o.o.;(74)8151470;;
PPHU FACH S.c.;(65)5727637;;
PPHU FACH S.c.;504024671;;
PPUH AD-AL;(54)2862080;;
PPUH AD-AL;(54)2864505;;
Produkcja Okryw Stanisław Oryniak;(67)2663290;;
Produkcja Okryw Stanisław Oryniak;(67)2662514;;
Prywatne Gospodarstwo Rolne Krzysztof Wicenciak;(61)8798270;;
Prywatne Gospodarstwo Rolne Pilch;506091521;;
Przedsiębiorstwo Produkcji Handlu i Usług ARENDA Sp. z o.o.;(77)4391468;;
Przedsiębiorstwo Produkcji Handlu i Usług ARENDA Sp. z o.o.;(77)4392151;;
PWH RAPEX Sp. z o.o.;(77)4609144;;
PWH RAPEX Sp. z o.o.;(77)4609191;;
Rolnicza Spółdzielnia Produkcyjna;(12)3881689;;
Rolnicza Spółdzielnia Produkcyjna;(12)3880560;;
Rolnicza Spółdzielnia Produkcyjna w Sulmierzycach;(44)6846025;;
Rolnicza Spółdzielnia Produkcyjna w Wilamowej;(77)4315719;;
Rolnicza Spółdzielnia Produkcyjna w Wilamowej;(77)4315738;;
Rolnicza Spółdzielnia Produkcyjna ZWYCIĘSTWO w Jasienicy;(33)8152301-02;;
Rolnicza Spółdzielnia Produkcyjna ZWYCIĘSTWO w Jasienicy;(33)8153361;;
Rolniczy Kombinat Spółdzielczy AGROKOMPLEKS;(61)2822501;;
Rolniczy Kombinat Spółdzielczy AGROKOMPLEKS;(61)2822517;;
SIRIOPOL Sp. z o.o.;(13)4673026;;
SOFTY;512022622;;
SOFTY;535022622;;
Specjalistyczne Gospodarstwo Rolne AUGUSTYNIAK;(61)8135043;;
Specjalistyczne Gospodarstwo Rolne AUGUSTYNIAK;602251402;;
Spółdzielnia Kółek Rolniczych w Błoniu;(22)7254221;;
Spółdzielnia Kółek Rolniczych w Rokicinach;(44)7195026;;
Spółdzielnia Kółek Rolniczych w Rokicinach;606375073;;
Spółdzielnia Usług Rolniczych Raniżów;(17)2285337;;
Spółdzielnia Usług Rolniczych Raniżów;(17)2285579;;
STRAUTMANN POLSKA Sp. z o.o. Grupa AGRO 7;(22)7460014;;
Usługi Maszynami Rolniczymi;(77)4372669;;
USŁUGI ROLNICZE Konrad Nikodem;601175940;;
Usługi Rolnicze Wiesiołek Roman;516226712;;
Vikar Experten;612786209;;
Vikar Experten;669137713;;
Zakład Usług Rolniczych i Naprawczych Andrzej Derkowski;793032073;;
AgroTechnika;502543726;;
Agroturystyczne Gospodarstwo Rolne STARY MŁYN;(94)3167862;;
Agroturystyczne Gospodarstwo Rolne STARY MŁYN;(94)3167861;;
Gospodarstwo GIPROL;692559756;;
Gospodarstwo Rolne Ferma Drobiu Chinalski;501684091;;
Gospodarstwo Rolne Ferma Drobiu Chinalski;508114192;;
Gospodarstwo Rolne FERMA GĘSI;501154735;;
Gospodarstwo Rolne Kwalifikowana Szkółka Roślin Jagodowych Agnieszka i Tomasz Kąccy;697812580;;
