Amfiteatr S.c. Jaskinia Solna SELEN;(94)3545287;;
Amfiteatr S.c. Jaskinia Solna SELEN;515150340;;
Centrum Zdrowia i Terapii Naturalnej GROTA SOLNA GALOS;(34)3220690;;
Grota Solna;(61)8551213;;
Grota Solna;(61)8490097;;
Grota Solna;787219922;;
Grota Solna Klimatyczno-Inhalacyjna;665545352;;
Grota Solny Raj;(22)6158147;;
Grota Solny Raj;502631807;;
Jaskinia Solna Almonis;(22)4977884;;
Jaskinia Solna Almonis;692452331;;
La Rosa - Grota Solna i Zabiegi Kosmetologii Profesjonalnej;(18)4412176;;
La Rosa - Grota Solna i Zabiegi Kosmetologii Profesjonalnej;666737138;;
SPELEON Jaskinia Solna;(22)2436629;;
SPELEON Jaskinia Solna;791530039;;
FARMA ZDROWIA;(76)7276655;;
Golden Saunas;511385088;;
Golden Saunas;668919905;;
Ośrodek Sportu i Rekreacji OSiR Stargard Sp. z o.o.;(91)5732570;;
Ośrodek Sportu i Rekreacji OSiR Stargard Sp. z o.o.;(91)5732334;;
Centrum Relaksu Grota Solna;(71)7351909;;
EVERET-Jaskinie Solno-Jodowe GALOS;(74)6661656;;
EVERET-Jaskinie Solno-Jodowe GALOS;(74)6661657;;
Grota Solna;537758188;;
GROTA SOLNA;607551699;;
Grota Solna GALOS;(32)3021720;;
Grota Solna GALOS;(61)8353336;;
Grota Solna GOGOL`S;539624714;;
Grota Solna KINGA;(81)5328353;;
Grota Solna KOMNATA ZDROWIA;(71)7253894;;
Grota Solna KOMNATA ZDROWIA;696473539;;
Grota Solna MAGIA;(87)6430113;;
Grota Solna MAGIA;601640649;;
Grota Solna OLIMP;(22)6434310;;
GROTA SOLNA Ośrodek Mikroklimatu Morskiego;697376161;;
Grota Solna Relax;(42)6554000;;
Grota Solna Relax;603779448;;
Grota Solna Relax;603793527;;
Grota Solna SELEN;(94)3523831;;
Grota Solna SELEN;502059115;;
Grota Solna Świat Solny;(32)2170555;;
Grota Solna U Szczepana;(95)7325363;;
Grota Solna U Szczepana;721724386;;
Grota Solna ŻUPA;(75)7173001-09w.119;;
Grota Solno-Jodowa GALOS;(12)2653830;;
Grota Solno-Jodowa GALOS;513074377;;
Grupa ZENDAR Sp. z o.o.;(81)7599100;;
Grupa ZENDAR Sp. z o.o.;(81)7599104;;
JASKINIA SOLNA;509286715;;
Jaskinia Solna ALATI;(56)6527010;;
Jaskinia Solna ALATI;533187610;;
Jaskinia Solna EDEN;663154114;;
Jaskinia Solna GALOS-GOCŁAW;(22)4062765;;
Jaskinia Solna HALIT;(91)4629090;;
Jaskinia Solna HALIT;504097883;;
Jaskinia Solna SOLANIA;(81)7412411;;
Jaskinia Solna w Rudzie Śląskiej;(32)2432838;;
Jaskinia Solna w Rudzie Śląskiej;(32)2439430;;
Jaskinia Solna z Leczniczym Mikroklimatem;511226336;;
Jaskinia Solna z Leczniczym Mikroklimatem;501264811;;
Jaskinia Solno-Jodowa GALOS Centrum Mikroklimatu Morskiego;(33)8545498;;
Klub Zdrowych Inspiracji HALIT;(12)3574967;;
Klub Zdrowych Inspiracji HALIT;889133125;;
Komnata Solna;504233678;;
Krakowska Jaskinia Solna & Weelness;(12)6237190;;
Kujawsko-Pomorski Ośrodek Terapii Solnej w Ciechocinku;(54)4161100;;
Mikroklimatyczna Grota Solna;(83)3425330;;
Mikroklimatyczna Grota Solno-Jodowa;(33)4963984;;
Mikroklimatyczna Grota Solno-Jodowa;536580966;;
Mikroklimatyczna Jaskinia Solna;(15)8230196;;
Mineral Care Terapie Naturalne;(54)4210066;;
Mineral Care Terapie Naturalne;608361502;;
Polska Jaskinia Solna SKARBEK;(85)6514312;;
Polska Jaskinia Solna SKARBEK;504568474;;
SOLBUD Polskie Jaskinie Solne Robert Goch;665033100;;
SOOL-SALT;607555581;;
Strefa Zdrowia REMEDIUM;(77)4532332;;
ZOLINA Grota Solna;(22)2431366;;
Miejskie Centrum Sportu i Wypoczynku Oceanik;(42)6144462;;
Ośrodek Sportowo-Rekreacyjny Kurdwanów Nowy;(12)6545355;;
Ośrodek Sportowo-Rekreacyjny Kurdwanów Nowy;(12)6595357;;
PIZZERIA Grota Solna-Cafe;510411411;;
TARITA Salt Spa & Wellness;(12)4225063;;
TARITA Salt Spa & Wellness;666666518;;
