Grupa Producentów Grzybów PRIME CHAMP Sp. z o.o.;(67)2662132;;
Grupa Producentów Grzybów PRIME CHAMP Sp. z o.o.;509899702;;
PHU SPECPOL Dariusz Białek;(43)8412090;;
PHU SPECPOL Dariusz Białek;600974630;;
P.P.H.U. BRUSPOL Grzyby, mrożone, suszone, marynowane;(52)3982372;;
P.P.H.U. BRUSPOL Grzyby, mrożone, suszone, marynowane;602339189;;
CAJDEX - Grzyby i Owoce Mrożone i Suszone;(42)6467888;;
CAJDEX - Grzyby i Owoce Mrożone i Suszone;(42)6469444;;
Firma POLGRZYB Urszula Jedynak;(12)2763844;;
Firma POLGRZYB Urszula Jedynak;(12)2768440;;
Firma RUNOPOL Stanisław Szwarc;(41)3535087;;
Fungopol Sp.j. Cis-Bankiewicz, Skórczewski;(52)3983355;;
Fungopol Sp.j. Cis-Bankiewicz, Skórczewski;(52)3983354;;
Gortan Sp. z o.o.;(83)3525186;;
Gortan Sp. z o.o.;(83)3525186w.24;;
JANTEX Sp. z o.o.;(68)3848263;;
JANTEX Sp. z o.o.;(68)3464515;;
FIMINSKY Sp. z o.o. Sp.komandytowa;(68)3860895;;
FIMINSKY Sp. z o.o. Sp.komandytowa;(68)3868747;;
Gospodarstwo Rolne Uprawa Grzybów i Grzybni M.P.RUSIECCY;(43)6753515;;
Gospodarstwo Rolne Uprawa Grzybów i Grzybni M.P.RUSIECCY;507152803;;
FOLKOWIE Uprawa Pieczarek;782105648;;
Galletto;(29)6442045;;
Galletto;(29)6442046;;
NIKO Sławomir Mikołaj Nitychoruk;(83)3420253;;
NIKO Sławomir Mikołaj Nitychoruk;504196233;;
P.P.H.U. Nasza Chata;(52)3982210-11;;
P.P.H.U. Nasza Chata;(52)3983474;;
ROBSON Robert Jóźwiak;663775521;;
ROBSON Robert Jóźwiak;(65)5180267;;
Z.P.U.H. TADEX;(58)5883448;;
Z.P.U.H. TADEX;664735210;;
BAJ&KIELAK Pieczarkarnia Mordy;(25)6312747;;
BAJ&KIELAK Pieczarkarnia Mordy;602318049;;
Boczniaki Jan Mikuła;(63)2481129;;
CONSTANS;(85)6832251;;
CONSTANS;(85)6832588;;
F.H. ASTIA Grzyby Suszone;602369417;;
F.H. ASTIA Grzyby Suszone;(12)6549699;;
F.H. Polinat;(85)6561221;;
F.H.U. SEWERYN Marek Seweryn;(12)4517876;;
F.H.U. SEWERYN Marek Seweryn;504294112;;
F.H.U. WOGA Sp.j.;(68)3471731;;
F.H.U. WOGA Sp.j.;(68)3474207;;
