ITPMar;(42)2093439;;
ITPMar;790279400;;
BUDREM Group Sp. z o.o.;(22)2928550;;
BUDREM Group Sp. z o.o.;(22)2928560;;
OCMER Sp. z o.o. hale stalowe;(42)6348790;;
OCMER Sp. z o.o. hale stalowe;(42)6306343;;
UNIHUT S.A.;(12)6450900;;
UNIHUT S.A.;(12)6450519;;
BORGA Sp. z o.o.;(58)6299444;;
BORGA Sp. z o.o.;(58)6299303;;
Dachsystem;(33)8735230;;
Dachsystem;604799864;;
HALTECH;607106332;;
MCM Project Sp. z o.o.;(42)6372034;;
MCM Project Sp. z o.o.;(42)6372039;;
Zeman HDF Sp. z o.o.;(32)7727300;;
Zeman HDF Sp. z o.o.;(32)7727301;;
ANMAR Zakład Produkcyjno-Usługowy Marek Czapek;(32)2329622;;
ANMAR Zakład Produkcyjno-Usługowy Marek Czapek;502097497;;
EURO HALE Producent Hal Stalowych;(58)6753361;;
EURO HALE Producent Hal Stalowych;660498980;;
FRISOMAT Sp. z o.o.;(22)7362903;;
FRISOMAT Sp. z o.o.;(22)7362900;;
HALMET Firma Konstrukcyjno-Montażowa;502332192;;
HALMET Firma Konstrukcyjno-Montażowa;501151497;;
LENAP HALE - hale stalowe, magazynowe;(58)6776004;;
LENAP HALE - hale stalowe, magazynowe;501095320;;
M&J Sp. z o.o.;512549519;;
M&J Sp. z o.o.;(68)3638825;;
MASTA II Sp. z o.o.;(91)4894649;;
MASTA II Sp. z o.o.;(91)4357667;;
MTS Poland Piotr Strzelczyk;513019756;;
MTS Poland Piotr Strzelczyk;883111831;;
Probis Sp. z o.o.;(22)7381112;;
Zakład Usługowo-Ślusarski Henryk Majda;(18)5424209;;
Zakład Usługowo-Ślusarski Henryk Majda;(18)5406351;;
Rus-stal;539823076;;
Rus-stal;724632074;;
FPHU Blaszak Ludwik Gocal;(18)3331187;;
FPHU Blaszak Ludwik Gocal;608648356;;
Przedsiębiorstwo Prywatne EW-RO;(62)7819013;;
Przedsiębiorstwo Prywatne EW-RO;(62)7819537w.22;;
RAPMET Sp. z o.o.;(74)8674065;;
RAPMET Sp. z o.o.;(74)8658537;;
Ama-mont Sp. z o.o.;(32)2411720;;
Ama-mont Sp. z o.o.;602370113;;
ASG Konstrukcje Budowlane;605313015;;
ASG Konstrukcje Budowlane;693077288;;
BAGO Sp. z o.o. Sp.komandytowa;(61)2920591;;
BAGO Sp. z o.o. Sp.komandytowa;501720951;;
Biuro Projektowe INWESTSYSTEM Sp. z o.o.;(71)3579001;;
Biuro Projektowe INWESTSYSTEM Sp. z o.o.;(71)3578428;;
DEKAR S.c. - Dachy przemysłowe;600807463;;
DEKAR S.c. - Dachy przemysłowe;600010463;;
ESKATE Polska Sp. z o.o.;(52)3558380;;
ESKATE Polska Sp. z o.o.;(52)3510361;;
INVEST COMPLEX-2 Sp. z o.o.;503439178;;
INVEST COMPLEX-2 Sp. z o.o.;509440703;;
IZOMET PISKORZ Sp.j.;(68)3842518;;
IZOMET PISKORZ Sp.j.;(68)3840773(Hurtowniabudowlana);;
LUBSTA Sp. z o.o.;(81)7487556;;
PIRO Sp. z o.o.;604466590;;
Przedsiębiorstwo Wielobranżowe IZOTERM S.c.;(59)8439866;;
Przedsiębiorstwo Wielobranżowe IZOTERM S.c.;606667720;;
Przedsiębiorstwo Wielobranżowe PRODUS Sp. z o.o.;(68)4701922;;
Przedsiębiorstwo Wielobranżowe PRODUS Sp. z o.o.;(68)4701923;;
RAMAL Rafał Malak;601099995;;
RAMAL Rafał Malak;(61)2965045;;
REDCOM LTD;609289170;;
REDCOM LTD;663060050;;
Z.P.H.U. STALKON Mieczysław Brylant, Leszek Sieńskowski;602261219;;
Z.P.H.U. STALKON Mieczysław Brylant, Leszek Sieńskowski;602728921;;
AGMET Łukasz Kołek;511336779;;
Agro Konsulting Sp. z o.o.;668558532;;
Alfred Kampa - Banery, Namioty, Plandeki;(77)4275630;;
Alfred Kampa - Banery, Namioty, Plandeki;(77)4275631;;
Chemadin Export Sp. z o.o.;(41)3680391;;
Chemadin Export Sp. z o.o.;(41)3446513;;
Cynkownia Ogniowa GILLMET Sp. z o.o.;(58)5614945;;
Cynkownia Ogniowa GILLMET Sp. z o.o.;(58)5611095;;
DAMEX Sp. z o.o.;695656501;;
DAMEX Sp. z o.o.;695656582;;
F.P.H.U. KOMPLEX Grzegorz Czepiel;(18)3340378;;
F.P.H.U. KOMPLEX Grzegorz Czepiel;(18)5330503;;
IZOPANEL Sp. z o.o.;(58)3401717;;
IZOPANEL Sp. z o.o.;(58)3401718;;
MIRS Sp. z o.o.;(71)3981217;;
MIRS Sp. z o.o.;(71)3147042;;
PROMOSTAL Sp. z o.o. Sp.komandytowa;(85)8768601;;
Przedsiębiorstwo Usług Specjalistycznych TERMATEX Sp. z o.o.;(41)2543900;;
Przedsiębiorstwo Usług Specjalistycznych TERMATEX Sp. z o.o.;(41)2543494;;
Przedsiębiorstwo Wielobranżowe DELTA Sp. z o.o.;(68)4517616;;
Przedsiębiorstwo Wielobranżowe DELTA Sp. z o.o.;(68)4517617;;
Stalmax Sp.j.;(22)7574597;;
Stalmax Sp.j.;(22)7575464;;
Weldon Sp. z o.o.;(14)6466700;;
Weldon Sp. z o.o.;(14)6466771;;
ALEXBUD-SYSTEM Sp. z o.o.;(42)7180690;;
ALEXBUD-SYSTEM Sp. z o.o.;500200916;;
DARMET Przedsiębiorstwo Produkcyjno-Handlowe Dariusz Szaraniec;(48)6110260;;
DARMET Przedsiębiorstwo Produkcyjno-Handlowe Dariusz Szaraniec;(48)6143564;;
F.W. WOŹNIAK;(61)2961966;;
F.W. WOŹNIAK;602340371;;
HALTEC Hale Sp. z o.o.;(61)8219097;;
HALTEC Hale Sp. z o.o.;(61)8219099;;
HUTMET P.P.H.U. Małgorzata Kokot;(77)4573779;;
LAPROMECH Zakład Produkcyjno-Handlowy Sp. z o.o.;(58)5369392;;
LIMAR;603274474;;
MARPLAN Hale Namiotowe i Stalowe;(94)3417038;;
MARPLAN Hale Namiotowe i Stalowe;509250620(sprzedaż);;
MICHAEL;(32)4558234;;
P.U.P.H. OLA;(81)8663029;;
P.U.P.H. OLA;609609682;;
PPHU STELMET;(85)6511354;;
PPHU STELMET;603607294;;
Przedsiębiorstwo Produkcyjno Usługowe Mostostal-Res Sp. z o.o.;(17)7713108;;
Przedsiębiorstwo Produkcyjno Usługowe Mostostal-Res Sp. z o.o.;(17)7713109;;
Przedsiębiorstwo Wielobranżowe POM Sztum Sp. z o.o.;(55)2773192;;
Przedsiębiorstwo Wielobranżowe POM Sztum Sp. z o.o.;(55)2773194;;
W&M Sp. z o.o.;(95)7429625;;
W&M Sp. z o.o.;(95)7429626;;
K&J Perfect Kozyra Czesław;788439822;;
Nik-Bud Domy Murowane;600660454;;
Nik-Bud Domy Murowane;799091909;;
KORMAN HALE Sp. z o.o. Sp.komandytowa;696054084;;
ALFA PANEL Sp. z o.o.;(61)6247282;;
ALKUN Zakład Ślusarsko-Budowlany;536579566;;
Almaran Sp. z o.o.;(58)3202469;;
Almaran Sp. z o.o.;(58)3075158;;
Amwin Sp. z o.o. Sp.komandytowa;(61)4367313;;
Amwin Sp. z o.o. Sp.komandytowa;(61)4377916;;
Arctica BB;501072092;;
ASTA Sp. z o.o.;(62)7301802;;
ASTA Sp. z o.o.;602531762;;
Atlanta Grzegorz Grzelak;(61)8225481;;
Atlanta Grzegorz Grzelak;609251534;;
AtlantiSystem;500585230;;
AtlantiSystem;501338854;;
ATLAS WARD Polska Sp. z o.o.;(71)3605350;;
BAMIX;(22)6653232;;
BAMIX;(22)6378580;;
BOMSTAL;(18)3340310;;
BOMSTAL;507432727;;
BPAM;509761795;;
BUDOHAL;(22)4273405;;
BUDOHAL;604547125;;
Bujakowski Sp. z o.o.;(12)6557321;;
Bujakowski Sp. z o.o.;512484648;;
BWEKO S.c.;(65)5452225;;
BWEKO S.c.;660790978;;
CB Panel System Sp. z o.o.;(12)2609000;;
CB Panel System Sp. z o.o.;(12)2620211;;
CoBouw Polska Sp. z o.o.;(42)6327042;;
Constraco Sp. z o.o.;(58)3444488;;
Constraco Sp. z o.o.;(58)3444489;;
DEKAR;502366225;;
Ditta-Seria;(48)6744172;;
Ditta-Seria;(48)6744171;;
EGARAZE.pl;664383968;;
EGARAZE.pl;660122113;;
Eko Harpoon Inwestycje Sp. z o.o.;(89)5370420;;
EKOSTAR PBM Sp. z o.o.;(41)2749388;;
EKOSTAR PBM Sp. z o.o.;605059428;;
EMS Sp. z o.o.;(22)2402763;;
F.H.U. Agro-Płyt;(48)6198178;;
F.H.U. Agro-Płyt;609107871;;
F.P.U.H. Didex-Stal;(12)4446253;;
F.P.U.H. Didex-Stal;666891100;;
F.U.H. BUDREM Wiesław Kozieł;(34)3633233;;
F.U.H. BUDREM Wiesław Kozieł;501283609;;
F.U.H.P. DOMIN Krzysztof Grela;(13)4304351;;
F.U.H.P. DOMIN Krzysztof Grela;512286960;;
FHU MULTI Spółka z ograniczoną odpowiedzialnością Sp.k.;(91)4831100;;
FHU MULTI Spółka z ograniczoną odpowiedzialnością Sp.k.;(91)4835779;;
Firma BARTECKI;(61)2965219;;
Firma BARTECKI;(61)2965228;;
Firma Usługowo Handlowa NA-PO Sp. z o.o.;(61)2874067;;
Firma Usługowo Handlowa NA-PO Sp. z o.o.;(61)2874595;;
GDF Hale Przemysłowe;(71)3332152;;
GDF Hale Przemysłowe;(71)3332153;;
GLOB-STAL;660786578;;
GLOBAL SYSTEM Przedsiębiorstwo Inżynierii Przemysłowej Sp. z o.o.;509406402;;
GLOBAL SYSTEM Przedsiębiorstwo Inżynierii Przemysłowej Sp. z o.o.;509039015;;
GMK Polska Sp. z o.o.;(25)6314409;;
GMK Polska Sp. z o.o.;503177525;;
GOLFMAR;668050670;;
GOLFMAR;731985731;;
Hale Stalowe POLONEX;(12)4130533;;
Hall-System;(71)3196988;;
Hall-System;601536103;;
HALLSYSTEM Sp.j.;602444444;;
HALLSYSTEM Sp.j.;608513292;;
HALSTAL Sp. z o.o.;(68)3203914;;
INSPICON Magdalena Sztachelska;509372613;;
IZOHALE Sp. z o.o.;(58)3401711;;
IZOHALE Sp. z o.o.;(58)3401712;;
JAWORSKI Sp. z o.o.;600202336;;
K3 AGRO;(56)6438666;;
Konsprojekt S.c.;(58)7109857;;
Konsprojekt S.c.;(58)7322531;;
KONSTAL konstrukcje stalowe;793387402;;
KONSTAL POLSKA Sp. z o.o. Spółka komandytowa;(29)7614210;;
KONSTAL POLSKA Sp. z o.o. Spółka komandytowa;697446310;;
Konstrukcje Stalowe JANO Sp. z o.o.;(62)7477887-88;;
KONSTRUKCJE ŻYWIEC;(33)8640268;;
KONSTRUKCJE ŻYWIEC;502136374;;
KONSTRUKTOR;508240471;;
LARGO HALE Sp. z o.o.;(58)5507019;;
LARGO HALE Sp. z o.o.;605601781;;
M.P. BUD Sp. z o.o.;(33)8106768;;
M.P. BUD Sp. z o.o.;784026480;;
MAKO System;601318849;;
MAXI-STAR Sp. z o.o.;(61)2970195;;
MAXI-STAR Sp. z o.o.;(61)2973010;;
MAXIPC;695633102;;
N&M Bau Sp. z o.o.;(22)8350022;;
N&M Bau Sp. z o.o.;(22)8350128;;
P.H.U. Grzymała;663201781;;
P.H.U. ZAW-BUD Wojciech Zawłocki;(89)6441253;;
P.H.U. ZAW-BUD Wojciech Zawłocki;502513974;;
P.P.U.H. Kolex;(55)2369196;;
P.W. Warbud;(61)6464748;;
P.W. Warbud;(61)2960367;;
PBU Rosmont Rost Krzysztof;(58)5723518;;
PBU Rosmont Rost Krzysztof;601690196;;
Pol-Met Piotr Polkowski;(25)6314409;;
Pol-Met Piotr Polkowski;508316730;;
PPH TECHNOSTAL;(56)6449125;;
