HIPPICA Zbigniew Kostrzewski;(32)6471670;;
HIPPICA Zbigniew Kostrzewski;(32)6426288;;
Stacja Hodowli i Unasieniania Zwierząt Sp. z o.o.;(52)3280301;;
Stacja Hodowli i Unasieniania Zwierząt Sp. z o.o.;(52)3280309;;
FIRMA MADEJ Skup i Sprzedaż Zwierząt Rzeźnych i Hodowlanych;(14)6762407;;
FIRMA MADEJ Skup i Sprzedaż Zwierząt Rzeźnych i Hodowlanych;602730297;;
Hodowla Owczarków Niemieckich ASARKO LORDANA;(62)7667787;;
Hodowla Owczarków Niemieckich ASARKO LORDANA;506115756;;
INSEFARM Sp. z o.o.;(67)2814370-71;;
INSEFARM Sp. z o.o.;(67)2814372;;
CZEREDA;(61)8925175;;
CZEREDA;504870657;;
Domowa Hodowla Psów Rasowych GRYFONIKOWY ŚWIAT;508393683;;
Ferma Jeleni Rudzie;694865183;;
GORDIUS Poland FCI;(22)6510823;;
GORDIUS Poland FCI;510243352;;
Hodowla Hovawartów Pałacowe Piękności Alicja Eidtner;(89)6268027;;
Hodowla Hovawartów Pałacowe Piękności Alicja Eidtner;698671897;;
Hodowla Koni Sportowych Małgorzata i Tomasz Siergiej;604101122;;
Hodowla Kotów PRASKI*PL;504225712;;
Hodowla Labrador Retriever Z Białobłockich Lasów;(52)3814155;;
Hodowla Labrador Retriever Z Białobłockich Lasów;602118361;;
Hodowla Owczarków Niemieckich Pajęcze Sieci;(12)4193415;;
Hodowla Owczarków Niemieckich Pajęcze Sieci;668173044;;
Hodowla Owczarków Niemieckich Z FARMY;506995530;;
Hodowla Psów Rasowych AMEBA;695742411;;
Hodowla TOP SILVER;(25)6825982;;
Hodowla TOP SILVER;502981960;;
KOZIO-LEK Gospodarstwo Hodowlane w Krajobrazowym Parku Doliny Bystrzycy;(71)3492696;;
KOZIO-LEK Gospodarstwo Hodowlane w Krajobrazowym Parku Doliny Bystrzycy;502159500;;
Ośrodek Hodowli Zarodowej PRZERZECZYN ZDRÓJ Sp. z o.o.;(74)8375061;;
Ośrodek Hodowli Zarodowej PRZERZECZYN ZDRÓJ Sp. z o.o.;(74)8375281;;
Przedsiębiorstwo Rolniczo-Hodowlane GAŁOPOL Sp. z o.o.;(61)2920954;;
Randia Polonia FCI Hodowla Nowofundlandów Angelika Wilk-Długaj;513715311;;
SNAILS GARDEN - Hodowla i Przetwórstwo Ślimaków;698388531;;
Wojewódzki Związek Hodowców Koni w Białymstoku;(85)7421484;;
Hodowla Gryfoników Bargest Lidia Rokicka;501779916;;
Schronisko dla Małych Zwierząt w Jeleniej Górze;(75)6420156;;
Bassbanda - Hodowla Psów Rasy Basset Hound;504343471;;
AgroSoft Poland Sp. z o.o.;(52)3860702;;
AgroSoft Poland Sp. z o.o.;601657869;;
BENTLEY Polska Sp. z o.o.;(22)8639042;;
BENTLEY Polska Sp. z o.o.;(22)8639013;;
Ośrodek Sportowo-Rekreacyjno-Hodowlany PONDEROSA;668869291;;
Femis Sp. z o.o.;508245426;;
Femis Sp. z o.o.;(32)7615377;;
BENTLEY FARM;(22)8639013;;
BENTLEY FARM;(22)8639042;;
DOM PACHNĄCY CHLEBEM;(75)7447424;;
DOM PACHNĄCY CHLEBEM;691476410;;
Polski Związek Felinologiczny PZF;(22)8152366;;
Stadnina Koni IWNO Sp. z o.o. - PENSJONAT KARINO;(61)8178011;;
Stadnina Koni IWNO Sp. z o.o. - PENSJONAT KARINO;(61)8178059;;
Uniwersytet CZTERECH ŁAP Sp. z o.o.;608460806;;
Uniwersytet CZTERECH ŁAP Sp. z o.o.;692480402;;
Hodowla Owczarków Niemieckich;507343058;;
Hodowla Psów Rasowych - Cane Corso, Leonberger, Shiba;793337707;;
A&R KOCZYNASZ Sp.j.;(17)8716090;;
A&R KOCZYNASZ Sp.j.;(17)8716018;;
AD ACTE Hodowla Shih-Tzu;691676793;;
AD ACTE Hodowla Shih-Tzu;(56)6789406;;
ADEA Hodowla Psów Rasowych;602853127;;
AENI BENGAL Koty Bengalskie Maria i Jarosław Stamblewscy;509158598;;
Agri Plus Sp. z o.o.;(61)6657960;;
AGRO-POL;669300200;;
AGRO-POL;697720161;;
Agro-Transhandel Sp. z o.o.;(61)8947222;;
Agro-Transhandel Sp. z o.o.;(61)8947654;;
AJABER Hodowla Psów Rasowych;698505208;;
AKICIAKI.pl Hodowla Psów Rasy AKITA INU;500188308;;
AKITA INU;(91)3221477;;
AKITA INU;501435293;;
Akita Inu Wojciech Dębczyński;660314608;;
Akita Inu Wojciech Dębczyński;664704186;;
Al-grom - Hodowla Psów Rasowych Labrador Retriever i Owczarek Niemiecki;(48)6614590;;
Al-grom - Hodowla Psów Rasowych Labrador Retriever i Owczarek Niemiecki;602299292;;
ALEX Ferma Zwierząt Miniaturowych;(58)6876700;;
Alpakarnia P&M;(63)2705327;;
Alpakarnia P&M;693067586;;
Alpen Schatz FCI;698173016;;
Alta Escuela;601613480;;
Alta Escuela;669473112;;
Alta Polska Sp. z o.o.;(46)8373903;;
Alta Polska Sp. z o.o.;502653560;;
Amatorska Hodowla Bokserów INWAZJA MOCY;606240558;;
Amatorska Hodowla Psów Rasowych PORĘBIANKA;513165611;;
Amatorska Hodowla Psów Rasy CHOW-CHOW SEIN-SIN;(91)4874667;;
Amatorska Hodowla Psów Rasy CHOW-CHOW SEIN-SIN;606810601;;
Amatorska Hodowla Psów Rasy Dogo Canario BARBARIAN;(32)4198557;;
Amatorska Hodowla Psów Rasy Dogo Canario BARBARIAN;692878415;;
Amatorska Hodowla Ptaków Egzotycznych NIMFA;693892275;;
Amatorska Hodowla Ptaków Ozdobnych;(41)3797706;;
Amatorska Hodowla Ptaków Ozdobnych;692473469;;
AMERSS Hodowola Charta Polskiego;533534324;;
Andreas Hradetzky;(94)3615335;;
Andreas Hradetzky;(94)3615336;;
ANIMAGUS;694493482;;
ANTRAKT Hodowla Psów Rasowych;509264356;;
APOCALIPTO American Akita;(62)5023223;;
APOCALIPTO American Akita;508219255;;
ARGO-TEST;(86)2191314;;
ARKADIA Team Hodowla Owczarków Niemieckich Długowłosych;666154807;;
ARYSKOTRACJA*PL;(95)7478175;;
ARYSKOTRACJA*PL;509859859;;
AshabellePl;604282490;;
ASTAKIRA FCI;664272894;;
Athemi hodowla labrador retriever;668183159;;
ATLETICO Hodowla Psów Rasowych;516188997;;
ATLETICO Hodowla Psów Rasowych;501590806;;
AZAWAKH Chart Afrykański BLUE SKY Hodowla;607089996;;
AZGARD FCI;509304417;;
BALAO;(48)6219153;;
BALAO;609754455;;
BARASIŃSKI & SYN;(12)3965818;;
BARASIŃSKI & SYN;669491178;;
BASTION GWIAZD;606329954;;
BASTION GWIAZD;(14)6747095;;
BELAHUNDO;(77)4666599;;
BELAHUNDO;501418908;;
BERKELEJKA Domowa Hodowla Beagle;(63)2416259;;
BERKELEJKA Domowa Hodowla Beagle;784018266;;
BERNCOR - Hodowla Psów Rasowych;606619117;;
BERNCOR - Hodowla Psów Rasowych;662435673;;
Bienemaja Hodowla Mopsów;728204936;;
Bieszczadzkie Leszcze Hodowla Jack Russell Terrier;510123659;;
BISZKOPTOWY RAJ Hodowla Psów Rasowych;(68)3873356;;
BISZKOPTOWY RAJ Hodowla Psów Rasowych;604786481;;
BLACK & WHITE STORY Hodowla Border Collie;668849789;;
BRACCO MB;519718504;;
Brodnickie Schronisko dla Zwierząt Reksio;(56)4982629;;
Brodnickie Schronisko dla Zwierząt Reksio;606881470;;
BUKOWA OSTOJA Hodowla Psów Myśliwskich;693977383;;
BUSZÓWKA Domowa Hodowla Psów Rasowych;(22)7819778;;
BUSZÓWKA Domowa Hodowla Psów Rasowych;504920707;;
Ca de Bou;601697373;;
Ca de Bou;(95)7620491;;
CALETTO Hodowla Psów Rasowych;513016913;;
CasidiTeam FCI;604554736;;
CentrumHodowlane.pl Łukasz Styrylski;506444080;;
CHI-KA Anna i Grzegorz Karp Sp.j.;(15)8141516;;
CHI-KA Anna i Grzegorz Karp Sp.j.;606613241;;
CHIŃSKI MIŚ FCI;(32)2252308;;
CHIŃSKI MIŚ FCI;691928043;;
COTYNATO Hodowla Psów Rasowych;695920958;;
CREDO-Hodowla Psów Rasowych;604330644;;
CREDO-Hodowla Psów Rasowych;503645750;;
CZARCIA FARMA;514042470;;
CZARCIA FARMA;511057956;;
DAMPOL Sp. z o.o.;(43)8293603;;
DAMPOL Sp. z o.o.;500272112;;
Danish Farming Consultants Sp. z o.o.;(32)2701579;;
Danish Farming Consultants Sp. z o.o.;(32)2701597;;
DAR ŚWIĘTEGO BERNARDA;501699358;;
DdB-PureLife;609644072;;
DOM POD OSIKĄ;791397390;;
Domowa Hodowla Berneńskich Psów Pasterskich MOCNY AKOR;(32)2168579;;
Domowa Hodowla Berneńskich Psów Pasterskich MOCNY AKOR;600951994;;
Domowa Hodowla Hovawartów Barwy Szczęścia Dorota Smolarz;603047277;;
Domowa Hodowla Owczarków Niemieckich MIASTO SMOKA FCI;502226514;;
Domowa Hodowla Psów Rasowych AZMEG;601553066;;
Domowa Hodowla Psów Rasowych AZMEG;668138955;;
Domowa Hodowla Psów Rasowych BECZKA ŚMIECHU;(54)2650502;;
Domowa Hodowla Psów Rasowych BECZKA ŚMIECHU;664477906;;
Domowa Hodowla Psów Rasowych BON VOYAGE;538346864;;
Domowa Hodowla Psów Rasowych Długie Cudo;602482914;;
Domowa Hodowla Psów Rasowych POLOKOKTA;501406045;;
Domowa Hodowla Psów Rasowych POLOKOKTA;501120625;;
Domowa Hodowla Wyżłów Weimarskich A-Awa;602656234;;
DOR GLADIATOR Hodowla Psów Rasowych;(22)7898157;;
DOR GLADIATOR Hodowla Psów Rasowych;502231627;;
DORMENTA Hodowla Psów Rasowych;(22)7617784;;
DORMENTA Hodowla Psów Rasowych;608406959;;
DOTYK ANIOŁA;(32)4484401;;
DOTYK ANIOŁA;501402903;;
DZIKIE STADO Hodowla Owczarków Niemieckich Długowłosych;601477363;;
DZIKIE STADO Hodowla Owczarków Niemieckich Długowłosych;723923938;;
Ecoterra;(87)5237131;;
Ecoterra;(87)5237128;;
EKLAND Rottweilers Jolanta i Dariusz Ekiert;605351300;;
EKLAND Rottweilers Jolanta i Dariusz Ekiert;605351301;;
Eko-Natura Sp. z o.o.;(18)4460522;;
Eko-Natura Sp. z o.o.;660428153;;
Ekologiczna Hodowla Danieli;(33)8529562;;
Ekologiczna Hodowla Danieli;600811591;;
Ekologiczna Zarodowa Hodowla Danieli;601710750;;
Ekologiczna Zarodowa Hodowla Danieli;609504260;;
ELFARA Poland FCI;665307205;;
ELFARA Poland FCI;693450373;;
ELMEJOR;515258832;;
ELSANTA Danuta Juchniewicz;(58)5510353;;
ELSANTA Danuta Juchniewicz;606962976;;
ESKIMOSKI DOMEK;601398722;;
ESKIMOSKI DOMEK;697150770;;
Ferma Hodowlana Szynszyli R-020 Podkarpacie;(17)2226830;;
Ferma Hodowlana Szynszyli R-020 Podkarpacie;600193653;;
Ferma Królików Rasowych Marian Dziasek;608083763;;
Ferma Reprodukcyjna Królików;602314491;;
Ferma Reprodukcyjna Królików Rasowych;792864186;;
Ferma Szynszyli DOJLIDY A005;(85)7419664;;
Ferma Szynszyli DOJLIDY A005;600100044;;
Ferma Szynszyli K-32 La Plata;(32)6456273;;
Ferma Szynszyli Kotecki Mirosław;696441148;;
Ferma Szynszyli KUJAWY B-032;(52)5246354;;
Ferma Szynszyli KUJAWY B-032;502104622;;
Ferma Szynszyli MOCA;608598099;;
FILOS Hodowla Psów Obronno-Stróżujących;(58)6830905;;
FILOS Hodowla Psów Obronno-Stróżujących;513079324;;
Firma Hodowlana SZYNSZYLI B-001;(52)3833383;;
Firma Hodowlana SZYNSZYLI B-001;695305741;;
FOKSTROT hodowla foksterierów szorstkowłosych;(89)6789854;;
FOKSTROT hodowla foksterierów szorstkowłosych;663672386;;
Footshow;(52)3348502;;
Footshow;691510545;;
FRAMBOS Hodowla Owczarków Belgijskich Malinois;504295204;;
Fundacja AGRO-WSPARCIE;(52)3516725;;
GOLDEN TEDDYS*PL Hodowla Kotów Brytyjskich Krótkowłosych;606389778;;
GONIEC MAŁOPOLSKI Hodowla Psów Rasy Gończy Polski;606778028;;
Gospodarstwo Ekologiczno-Hodowlane;(62)7396558;;
Gospodarstwo Hodowlane Trzody Chlewnej Jadwiga i Zdzisław Żółkiewscy;(76)8664076;;
Gospodarstwo Hodowlane Trzody Chlewnej Jadwiga i Zdzisław Żółkiewscy;504202489;;
Gospodarstwo Rolno-Hodowlane ARIZONA;693351234;;
Gospodarstwo Rolno-Hodowlane ARIZONA;603985457;;
Gospodarstwo Rolno-Hodowlane Gąsiorek Sp.j.;(61)4273214;;
Gratia Superis FCI Dorota Wrońska;(22)6426896;;
Gratia Superis FCI Dorota Wrońska;606644566;;
Grupa Producentów Rolnych Sp. z o.o.;(62)7216076;;
Grupa Producentów Rolnych Sp. z o.o.;500168257;;
HARPOL układanie i hodowla psów myśliwskich, hodowla bażantów;507367161;;
HARPOL układanie i hodowla psów myśliwskich, hodowla bażantów;503672270;;
Hodowla ADI;501419336;;
Hodowla AGITA;(14)6849207;;
Hodowla AGITA;504179570;;
Hodowla AMBER ROUTE;(62)7300268;;
Hodowla AMBER ROUTE;603653521;;
Hodowla AMFITRION FCI;(85)7434691;;
Hodowla AMFITRION FCI;603449413;;
Hodowla Ater Ornamentum;609509098;;
Hodowla Bażantów oraz Innych Ptaków Ozdobnych;691397630;;
Hodowla Bażantów w Klonie;(62)7311477;;
Hodowla Bażantów w Klonie;605140540;;
Hodowla Bernardynów i Mastifów Hiszpańskich z Karolewka;(65)5271288;;
Hodowla Bernardynów i Mastifów Hiszpańskich z Karolewka;501645184;;
Hodowla Bernardynów MAŃKOWA ZAGRODA;606873896;;
Hodowla Berneńskich Psów Pasterskich ALPEJSKI SEN;(12)2823775;;
Hodowla Berneńskich Psów Pasterskich ALPEJSKI SEN;501703303;;
Hodowla Berneńskich Psów Pasterskich SZUMIEJĄCA KNIEJA Halina i Ryszard Jarzębscy;609723772;;
Hodowla Berneńskich Psów Pasterskich Z WIŚNIOWEGO KĄTA FCI;(32)3221359;;
Hodowla Berneńskich Psów Pasterskich Z WIŚNIOWEGO KĄTA FCI;668378067;;
Hodowla BICHON-FRISE;508164727;;
Hodowla BICHON-FRISE;505052208;;
Hodowla Bokserów OD LEONA;(42)6581121;;
Hodowla Bokserów OD LEONA;662208876;;
Hodowla BRAWOS BIS (FCI);(22)7341128;;
Hodowla BRAWOS BIS (FCI);602470893;;
Hodowla Brie Bannire Amour;603700187;;
Hodowla Buldoga Angielskiego MRĄGOWIA TYM;785604509;;
Hodowla Buldoga Francuskiego Spokojny Zakątek (FCI);693439314;;
Hodowla Buldogów Angielskich i Ragdolli;730307517;;
Hodowla Cairn Terrier Edeus (FCI);509622207;;
Hodowla Cane Corso Z Gildii Nieustraszonych;669687800;;
Hodowla Cane Corso Z Gildii Nieustraszonych;666027333;;
Hodowla Chińskich Grzywaczy LAVANDULA;(75)7137527;;
Hodowla Chińskich Grzywaczy LAVANDULA;792465055;;
Hodowla collie rough od Mohtarów;602175899;;
Hodowla CZANDORIA;691701635;;
Hodowla CZANDORIA;663419185;;
Hodowla Czarna Perła;503157204;;
Hodowla Czarnych Terierów Borysowa Zgraja;(34)3284949;;
Hodowla Czarnych Terierów Borysowa Zgraja;602439977;;
Hodowla Danieli oraz Ptaków Ozdobnych;(23)6640065;;
Hodowla Danieli oraz Ptaków Ozdobnych;(23)6622142;;
Hodowla Danieli w Krzepicach;608747614;;
