Hotel dla Psów BURSZTYNEK;501246413;;
ANIMALS Hotel dla Twojego Zwierzaka;(61)8705197;;
ANIMALS Hotel dla Twojego Zwierzaka;784427566;;
Hotel PSIA CHATKA;792521212;;
Ośrodek Rekreacyjno-Szkoleniowy Dla Psów PSIA KRAINA;609154416;;
Ośrodek Rekreacyjno-Szkoleniowy Dla Psów PSIA KRAINA;889111201;;
Bryllandia Ośrodek;(62)7401496;;
Bryllandia Ośrodek;606899944;;
Sportowy Klub Jeździecki BAJARDO;604756657;;
Sportowy Klub Jeździecki BAJARDO;(22)7851058;;
Agroturystyczne Gospodarstwo Stajnia Mandra;604535261;;
Agroturystyczne Gospodarstwo Stajnia Mandra;602501628;;
Klub Jeździecki i Pensjonat dla Koni KORYS;509105606;;
Klub Jeździecki i Pensjonat dla Koni KORYS;(77)4196171;;
Lubelskie Centrum Małych Zwierząt;(81)7407575;;
Lubelskie Centrum Małych Zwierząt;(81)7404277;;
Ośrodek Jeździecki DELTA Biedrusko;605413348jazdakonna;;
Ośrodek Jeździecki LEŚNY DWÓR;(65)5457439;;
Ośrodek Jeździecki LEŚNY DWÓR;667679267;;
Ośrodek Szkolenia Psów HauHau;793193743;;
Ośrodek Szkolenia Psów HauHau;602639478;;
Uniwersytet CZTERECH ŁAP Sp. z o.o.;608460806;;
Uniwersytet CZTERECH ŁAP Sp. z o.o.;692480402;;
Domowy Hotelik dla Zwierząt SZAMAN;530720157;;
Hotel dla Psów PsiejskoCzarodziejsko;512551771;;
Affectus hotel dla psów, szkolenie;505057545;;
ARARAT Hotel dla Kotów;(12)2763738;;
ARARAT Hotel dla Kotów;507374613;;
BORDERGOLD elegancki hotel dla psów, psie przedszkole, dogoterapia;792050505;;
BUREX;(85)7186700;;
BUREX;504619225;;
Całodobowy Hotel Dla Psów PSI RAJ i Salon Pielęgnacji Psiej Urody;793670733;;
Całoroczny Hotel dla Psów BADI;601053885;;
Całoroczny Pensjonat Dla Zwierząt SYRIUSZ;(22)7585986;;
Centrum Hotelowo-Szkoleniowe ZWIERZAK;601721101;;
Centrum Hotelowo-Szkoleniowe ZWIERZAK;505818077;;
CZTERY ŁAPY;793308002;;
DAISY Hotel dla Psów;511002468;;
Dalmat;(61)4386931;;
Dalmat;(61)4386932;;
DOG CLUB Hotel dla Zwierząt;698466060;;
DOG INN Hotel dla Psów;508310296;;
DOGGY RESORT;501488023;;
DOGOTEL hotel dla psów;(71)3736853;;
