DWOREK *** Hotel i Restauracja;(46)8325883;;
Holiday Inn Warszawa Józefów;(22)7783004(działsprzedaży);;
Holiday Inn Warszawa Józefów;(22)7783000(recepcja);;
Hotel GEWERT;(61)4282375;;
Hotel HELIOS w Zakopanem;(18)2013808;;
Hotel HELIOS w Zakopanem;(18)2013636;;
Hotel i Restauracja POLONEZ Ośrodek Rekreacyjno-Wypoczynkowy;(94)3583278;;
Hotel i Restauracja POLONEZ Ośrodek Rekreacyjno-Wypoczynkowy;(94)3583437;;
Hotel Studencki PIAST **;(12)6223100;;
Hotel Studencki PIAST **;(12)6223300;;
Hotel U Pietrzaków ***;(22)7818847;;
RANCHO U ZAPOTOCZNEGO;607661323;;
RANCHO U ZAPOTOCZNEGO;796164314;;
Aktiv Sp. z o.o. Hotel Activa***;(18)4718020;;
Aktiv Sp. z o.o. Hotel Activa***;(18)4718018;;
Alexandra Restauracja i Hotel;(34)3505210;;
Alexandra Restauracja i Hotel;(34)3505212;;
Amber Hotel;(58)7187187;;
Amber Hotel;(58)7107224;;
AsPik Kompleks Wypoczynkowy;(91)3863375;;
AsPik Kompleks Wypoczynkowy;(91)3863212;;
Brama Hostel;(12)4119943;;
Brama Hostel;600088340;;
Camping Malta **** Hotel Malta *** Poznańskie Ośrodki Sportu i Rekreacji;(61)8766203;;
Camping Malta **** Hotel Malta *** Poznańskie Ośrodki Sportu i Rekreacji;(61)8766283;;
Centrum Aktywnego Wypoczynku Gwarek;(87)4285816;;
Centrum Aktywnego Wypoczynku Gwarek;(87)7353048;;
Centrum Konferencyjno-Apartamentowe MRÓWKA;(22)8946415;;
Centrum Konferencyjno-Apartamentowe MRÓWKA;(22)8946414;;
Centrum Promocji Zdrowia SANVIT Sp. z o.o.;(13)4655088;;
Centrum Promocji Zdrowia SANVIT Sp. z o.o.;(13)4655085;;
CEZAMET Sp. z o.o.;(61)8321861ul.Łozowa78;;
CEZAMET Sp. z o.o.;(61)8324044;;
COLOSEUM Hotel & Restauracja;(16)6215930;;
Dworek Wiktorowo;884868449;;
Dwór Jur-Gast ** Restauracja i Hotel;(33)8552762;;
Dwór Jur-Gast ** Restauracja i Hotel;(33)4867102;;
Freedom Hostel;(12)6342200;;
Fundacja CONTIGO Zakład Aktywności Zawodowej;(17)2472050;;
Fundacja Polish Prestige Hotels;(22)4089929;;
Hanza Pałac ****;(52)3209094;;
Hanza Pałac ****;(52)3815234;;
Haston City Hotel;(71)3225500;;
Haston City Hotel;(71)3209701-02;;
Hilton Warsaw Hotel & Convention Centre;(22)3565555;;
Hilton Warsaw Hotel & Convention Centre;(22)3565556;;
Ho­tel Restaur­acja Vega ***;(59)8634176­;;
Ho­tel Restaur­acja Vega ***;(59)8634177­;;
Hostel Royal / Hotel Polkowice;(71)7887373;;
Hostel Royal / Hotel Polkowice;504743332;;
Hotel *** MODRZEWIÓWKA;(33)8702424;;
Hotel *** MODRZEWIÓWKA;665544432;;
Hotel & Centrum Kongresowe IOR;(61)8649200;;
Hotel & Centrum Kongresowe IOR;(61)8671175;;
HOTEL 500;(22)7746666;;
HOTEL 500;(22)7741244;;
Hotel ADAM & SPA;(74)8664246;;
Hotel ADAM & SPA;(74)8664233;;
Hotel AGAT *** Sp. z o.o.;(44)6462849;;
Hotel AGAT *** Sp. z o.o.;(44)6462850;;
Hotel ALPIN;(33)8271900;;
Hotel ALPIN;(33)8271935;;
Hotel Amelia;(52)3728594;;
Hotel ANTONIO;(71)3812121;;
Hotel ANTONIO;(71)3812123;;
Hotel ARENA EXPO;(58)7621717;;
Hotel ARENA EXPO;(58)7621270;;
Hotel ASTRAL;(22)7163270;;
Hotel ASTRAL;(22)4658618;;
Hotel BESKID;(33)8143120;;
Hotel BESKID;(33)8217160;;
Hotel Borowianka;(62)7353666;;
Hotel Borowianka;(62)7353655;;
Hotel DAL **;(58)5112300;;
Hotel DAL **;(58)5112322;;
Hotel DAL ***;(41)3361000;;
Hotel DAL ***;(41)3361010;;
Hotel DORRIAN;(61)6626666;;
Hotel DORRIAN;(61)8674522;;
Hotel FENIX;(91)5788862;;
Hotel FENIX;660797763;;
Hotel GALA;(12)3724030;;
Hotel GALA;(12)2710392;;
Hotel GOTYK***;(56)6584000;;
Hotel GOTYK***;(56)6584001;;
Hotel GROMAN;(22)7202555;;
Hotel GROMAN;(22)7974300;;
Hotel i Restauracja LIVIA;(22)7763001;;
Hotel i Restauracja MAXIM;(62)7528787;;
Hotel i Restauracja MAXIM;600070602;;
Hotel i Restauracja Pod Złotą Różą;(41)3415002;;
Hotel i Restauracja Pod Złotą Różą;(41)3437881;;
Hotel i Restauracja Podzamcze***;(22)7260066;;
Hotel i Restauracja Podzamcze***;516868709;;
Hotel JAN;(75)7693021;;
Hotel JAN;(75)7693031;;
Hotel Kamena **;(82)5656401-03;;
Hotel Kamena **;(82)5656400;;
Hotel KOSSAK;(12)3795900;;
Hotel Kozak;(82)5648891;;
Hotel Kozak;(82)5648892;;
Hotel KOZIOŁ;(86)2782317;;
Hotel KOZIOŁ;(86)2784858;;
Hotel LAMBERTON ***;(22)7212100;;
Hotel LAMBERTON ***;(22)7316298;;
Hotel LAZUR;(91)3212620;;
Hotel LAZUR;(91)3213516;;
Hotel Malibu;(43)8414178;;
Hotel Malibu;691751366;;
Hotel Mercure Jelenia Góra;(75)7549148;;
Hotel Mercure Jelenia Góra;(75)7526266;;
Hotel MERKURY;(94)3740402;;
Hotel MERKURY;(94)3743526;;
HOTEL MŁAWA Sp.z o.o.;(23)6543942;;
