MIRSTAL F.W. Mirosław Laskowski;(32)2685470;;
MIRSTAL F.W. Mirosław Laskowski;(32)2685491;;
INPOL-KRAK TSC Sp. z o.o.;(12)2900800;;
INPOL-KRAK TSC Sp. z o.o.;(12)2900810;;
RMIG Sp. z o.o.;(61)8863270;;
RMIG Sp. z o.o.;(61)8863279;;
BHH MIKROHUTA Sp. z o.o.;(32)2625843;;
BHH MIKROHUTA Sp. z o.o.;(32)2625051;;
Biuro handlowe VICOR Grupa PSB - DYSTRYBUCJA STALI;(12)6811230;;
Biuro handlowe VICOR Grupa PSB - DYSTRYBUCJA STALI;(12)6459022;;
CENTROSTAL S.A. Kielce;(41)3490500;;
CENTROSTAL-WROCŁAW S.A.;(71)3247100;;
CENTROSTAL-WROCŁAW S.A.;(71)3247300;;
CHROMET Sprzedaż Metali Kolorowych i Wyrobów Stalowych;(91)4634487;;
CHROMET Sprzedaż Metali Kolorowych i Wyrobów Stalowych;509501627;;
DROZAPOL-PROFIL S.A.;(52)3260900;;
DROZAPOL-PROFIL S.A.;(52)3260999;;
ELEKTRO-STAL Sp. z o.o.;(32)2585758;;
ELEKTRO-STAL Sp. z o.o.;(32)2599837;;
EUROMIXSTAL;(22)6344800;;
EUROMIXSTAL;500525661;;
FPG Sp. z o.o.;(22)4782189;;
FPG Sp. z o.o.;(22)4783692;;
HEBA Sp. z o.o.;(32)4752355;;
HEBA Sp. z o.o.;(32)4745148;;
Huta Bankowa Sp. z o.o.;(32)2957400;;
Huta Bankowa Sp. z o.o.;(32)2623788;;
HUTA MAŁAPANEW Sp. z o.o.;(77)4018500;;
HUTA MAŁAPANEW Sp. z o.o.;(77)4018515;;
KRAŚNIK Sp. z o.o. Przedsiębiorstwo Produkcyjno-Handlowe;(81)8843005;;
KRAŚNIK Sp. z o.o. Przedsiębiorstwo Produkcyjno-Handlowe;(81)8845856;;
MACIEJUK;(83)3573256;;
MACIEJUK;(83)3573259;;
METAL-ZAP Sp. z o.o.;(62)5951607;;
METAL-ZAP Sp. z o.o.;(62)7372506;;
ODMET S.A.;(25)6339661;;
ODMET S.A.;(25)6325620;;
P.H.U. Eurostal-Metale S.A.;(17)8542537;;
P.H.U. Eurostal-Metale S.A.;(17)8542545;;
P.O.W.H. CENTROSTAL Sp. z o.o.;(33)8104156Sekretariat;;
P.O.W.H. CENTROSTAL Sp. z o.o.;(33)8124021DziałHandlowy;;
PAK STEEL Sp. z o.o.;666666114;;
PAK STEEL Sp. z o.o.;508168668;;
PRIMO STAL;(22)4782164;;
PRIMO STAL;(22)4783282;;
PRO-MAR S.A.;(61)8730835;;
PRO-MAR S.A.;(61)8730841;;
