Usługi Informatyczne Eugeniusz Bazan;(77)4184046;;
Usługi Informatyczne Eugeniusz Bazan;668849107;;
Adrian Brandeburski EURONET;(22)6190460;;
Adrian Brandeburski EURONET;501252584;;
Akademickie Centrum Komputerowe CYFRONET AGH;(12)6323355;;
Akademickie Centrum Komputerowe CYFRONET AGH;(12)6333426;;
AMBIT Systemy Informatyczne;(81)8543763;;
AMBIT Systemy Informatyczne;609-808-952;;
AMIZA Urszula Wacławiak;600190304;;
DCS.PL Sp. z o.o.;(22)5486000;;
DCS.PL Sp. z o.o.;(22)5486001;;
ELPRO Zakład Usług Informatycznych mgr inż. Janusz Brzeski;668807985;;
ELPRO Zakład Usług Informatycznych mgr inż. Janusz Brzeski;(91)8314011;;
EMAG Instytut Technik Innowacyjnych;(32)2007700;;
EMAG Instytut Technik Innowacyjnych;(32)2007701;;
ENIGMA Systemy Ochrony Informacji Sp. z o.o.;(22)5705710;;
ENIGMA Systemy Ochrony Informacji Sp. z o.o.;(22)5705715;;
EXERIT Usługi Informatyczne;(58)3334578;;
EXERIT Usługi Informatyczne;690050403;;
F.H.U. Giga-Net;601850439;;
INFOMLECZ Sp. z o.o.;(22)6288596;;
INFOMLECZ Sp. z o.o.;(22)6287672;;
Inter-KLIM Krzysztof Klimczyk;501584253;;
Kalbar;(22)3929330;;
Kalbar;(22)3539991;;
Man and Machine Software Sp. z o.o.;(42)2913333;;
Man and Machine Software Sp. z o.o.;(42)2913339;;
MERCURY COMPUTER Sp.j. Maciej Bednarski;(22)8796672;;
MERCURY COMPUTER Sp.j. Maciej Bednarski;(22)8796674;;
MERINOSOFT Sp. z o.o.;(85)6644777;;
MERINOSOFT Sp. z o.o.;(85)6644778;;
mozinet.pl sp. z o.o;(22)1167799;;
mozinet.pl sp. z o.o;(22)1167798;;
NODUS Sp. z o.o.;(22)2010985;;
NODUS Sp. z o.o.;(22)2035715;;
ORG-SERVICE Sp. z o.o.;(58)5202711;;
PC Com-Soft Przedsiębiorstwo Informatyczne;501866047;;
PC Com-Soft Przedsiębiorstwo Informatyczne;(42)6325055;;
PolSource Sp. z o.o.;(12)6333888;;
Pro-Holding Sp. z o.o.;(12)4304839;;
Pro-Holding Sp. z o.o.;(12)6362245;;
PROFPROJEKT;(22)8332778;;
PROFPROJEKT;(22)8332783;;
PSI Polska Sp. z o.o.;(61)6556550;;
PSI Polska Sp. z o.o.;(61)6556555;;
S.O.S. P.M.Wesołowscy;(52)3717636;;
S.O.S. P.M.Wesołowscy;(52)3453484;;
Usługi Informatyczne HEL KOM Jacek Helwing;(22)7388350;;
Usługi Informatyczne HEL KOM Jacek Helwing;(22)7388351;;
Zakład Elektronicznej Techniki Obliczeniowej ZETO Sp. z o.o.;(81)7184201;;
Zakład Elektronicznej Techniki Obliczeniowej ZETO Sp. z o.o.;(81)5255052;;
ADDSOFT Sp. z o.o.;(56)6234711;;
ADDSOFT Sp. z o.o.;502295259;;
Aldec-ADT Sp. z o.o. Polska;(32)2010881;;
Aldec-ADT Sp. z o.o. Polska;(32)2010882-83;;
AMISTAD Sp. z o.o.;(12)4229922;;
CADWORK Poland Sp. z o.o.;(12)6309973;;
CADWORK Poland Sp. z o.o.;(12)6336252;;
COMP S.A.;(22)5703800;;
COMP S.A.;(22)6626371;;
Computer Plus Kraków S.A.;(12)2542800;;
Computer Plus Kraków S.A.;(12)2542808;;
ECLSOFT Sp. z o.o.;(34)3436084;;
ECLSOFT Sp. z o.o.;(34)3905383;;
EKSPERT Systemy Informatyczne Sp. z o.o. Sp.komandytowa;(91)4322000;;
EKSPERT Systemy Informatyczne Sp. z o.o. Sp.komandytowa;(91)4322009;;
Firma Handlowo-Usługowa KOMPUTER-BIT;(24)3620082;;
Firma Handlowo-Usługowa KOMPUTER-BIT;502233844;;
ICOMP Sp. z o.o.;(68)3280000;;
ICOMP Sp. z o.o.;697315300;;
KiD Krzysztof Fiedorczuk;(22)6521524;;
