Diners Club Polska Sp. z o.o.;(22)8260766;;
Diners Club Polska Sp. z o.o.;(22)8260768;;
Polskie Karty Sp. z o.o.;(12)4151145;;
Polskie Karty Sp. z o.o.;(12)4151166;;
UTA Polska Sp. z o.o.;(22)5309205;;
UTA Polska Sp. z o.o.;(22)5309295;;
CardCo Sp. z o.o.;(42)6562115;;
CardCo Sp. z o.o.;(42)6172828;;
CartPoland;606773276;;
CartPoland;(25)7587643;;
Centrum Elektronicznych Usług Płatniczych eService Sp. z o.o.;(22)5332222;;
Centrum Elektronicznych Usług Płatniczych eService Sp. z o.o.;(22)5332201;;
CompuTech Systems Sp. z o.o.;(22)3987232;;
CompuTech Systems Sp. z o.o.;601377926;;
LAMINARS;(22)6322558;;
LABELLAND;(22)2581134;;
LABELLAND;690939182;;
MacMar;501026951;;
MacMar;(58)6787262;;
PROFI-LAM;(22)6593111;;
PROFI-LAM;(22)8835111;;
SCALAR Identyfikacja Oznakowanie Karty Plastikowe;(58)6206438;;
SCALAR Identyfikacja Oznakowanie Karty Plastikowe;(58)7420583;;
4M Sp. z o.o.;(22)8139212;;
4M Sp. z o.o.;(22)8139226;;
ARGO CARD Sp. z o.o.;(58)5543623;;
Basic-Soft;501108671-Ostrów;;
Basic-Soft;798652219-Bydgoszcz;;
Benefit Systems S.A.;(22)3499500;;
Benefit Systems S.A.;(22)8317920;;
BonCard Polska Sp. z o.o.;(61)2785391;;
BonCard Polska Sp. z o.o.;(61)2785367;;
BZA S.A. Bezgotówkowe Systemy Rozliczeniowe;(22)6158330;;
BZA S.A. Bezgotówkowe Systemy Rozliczeniowe;(22)6158338;;
CARDMAN grupa MAR-POL;(12)6530634;;
CARDMAN grupa MAR-POL;608552233;;
Cardon;(12)3592143;;
Cardon;505448882;;
Cart Sp. z o.o.;606773274;;
ChipCard Dorota Gutkowska;510353622;;
ChipCard Dorota Gutkowska;510353604;;
CLS Digital;(61)2224903;;
CLS Digital;(61)2224904;;
Control System FMN Sp. z o.o.;(22)8550017-19;;
Control System FMN Sp. z o.o.;(22)8552433-34;;
Drukarnia Kart - ŚWIAT KART;(61)6247742;;
Drukarnia Kart - ŚWIAT KART;(61)6242744;;
E100 Sp. z o.o.;(22)4419800;;
E100 Sp. z o.o.;(22)5361094;;
EDENRED Polska;(22)6272126;;
EDENRED Polska;(22)6272127;;
ELKART Systemy Kart Elektronicznych Sp. z o.o.;(22)6357289;;
ELKART Systemy Kart Elektronicznych Sp. z o.o.;(22)6357301;;
Fabryka Kart Plastikowych;506860953;;
Fabryka Kart Plastikowych;(22)3506187;;
First Data Polska S.A. POLCARD;(22)5153005;;
KidZone Group Sp. z o.o.;609777437;;
KidZone Group Sp. z o.o.;500564545;;
LiderKarty Fabryka Kart Plastikowych;(12)4225898;;
MCARD;(32)7263040;;
MCARD;(32)7257487;;
NOWE BENEFITY Sp. z o.o.;(22)4627060;;
NOWE BENEFITY Sp. z o.o.;(22)4627064;;
O`Mega York;(58)5544122;;
O`Mega York;601675502;;
PayTel S.A.;(22)5819600;;
PayTel S.A.;(22)5819601;;
PayUp;0801980011;;
PayUp;(61)6432000;;
PROCARD Sp. z o.o.;(12)6518600;;
PROCARD Sp. z o.o.;(12)6518620;;
Przedsiębiorstwo Usługowo-Handlowe PROSERW;(22)7824064;;
Przedsiębiorstwo Usługowo-Handlowe PROSERW;604423517;;
QARTIS Sp. z o.o.;(52)5820710;;
QARTIS Sp. z o.o.;(52)5820801;;
TELEVEND Paweł Ożga;602607098;;
Terminale Płatnicze;691837600;;
TopCard Sp. z o.o.;(61)4151808;;
TopCard Sp. z o.o.;(61)4151868;;
Transit Card International Sp. z o.o.;(22)6261794;;
Transit Card International Sp. z o.o.;(22)6213464;;
UNICARD S.A.;(12)3989900;;
UNICARD S.A.;(12)3989901;;
VanityStyle Sp. z o.o.;(22)7463097;;
VanityStyle Sp. z o.o.;(22)7463098;;
Wasza Żywieniowa Polska Sp. z o.o.;(22)8232606;;
Wasza Żywieniowa Polska Sp. z o.o.;(22)8232677;;
ACSS ID Systems Sp. z o.o.;(22)8324744;;
ACSS ID Systems Sp. z o.o.;(22)8324644;;
Bank BPH S.A. Partner;(82)5922103;;
Bank BPH S.A. Partner;(82)5922104;;
Bank Spółdzielczy w Bielsku Podlaskim;(85)7318300;;
Bank Spółdzielczy w Bielsku Podlaskim;(85)7318315;;
DC Perfect Card;(61)8268830;;
DC Perfect Card;(61)8269518;;
ID TECH;696934092;;
ID TECH;(22)2035082;;
J&J Serwis Komputerowy;(22)8382238;;
J&J Serwis Komputerowy;(22)8382214;;
Kolporter Sp. z o.o. Sp.komandytowa;(41)3678888;;
MIKOLAJ-SHOP Sp. z o.o. Mikołaj Bernard Kurowicki - Sklep Internetowy TRENDHOUSE;602804136;;
Payleven Polska Sp. z o.o.;(22)1228833;;
Polskie Stowarzyszenie Projektów Młodzieżowych;(58)3018811;;
Polskie Stowarzyszenie Projektów Młodzieżowych;(58)3018912;;
Rozwiązania Biznesowe Andrzej Smętek;535773531;;
Rozwiązania Biznesowe Andrzej Smętek;602718354;;
TRANSCOM SYSTEM Sp. z o.o.;(12)6339878;;
TRANSCOM SYSTEM Sp. z o.o.;(12)3768345;;
