Centrum Rozrywki HULA KULA;607341289Kręgielnia;;
Centrum Rozrywki HULA KULA;785900770DziecięcyRaj;;
KLUB KLIMAT Atmo.sfera Sp. z o.o.;784660175;;
Bowling Rodło;(67)3516555;;
Bowling Rodło;(67)3517963;;
Kręgielnia DYSPENSA;(41)3444737;;
Kręgielnia DYSPENSA;695550148;;
Klub KULA HULA bilard, kręgle;(85)6545050;;
Klub KULA HULA bilard, kręgle;724894549;;
Centrum Rozrywki AMNEZJA;(62)7640633;;
Hurtownia Tkanin VIKOM Export-Import, Pub-Kręgielnia KLIF;(62)7301422;;
Hurtownia Tkanin VIKOM Export-Import, Pub-Kręgielnia KLIF;602301478;;
SOLPARK Kleszczów Sp. z o.o.;(44)7316517;;
SOLPARK Kleszczów Sp. z o.o.;(44)7316501;;
ARTURO BOWLING CLUB & ARTURO RISTORANTE ITALIANO;(24)3633600;;
ARTURO BOWLING CLUB & ARTURO RISTORANTE ITALIANO;(24)3633601;;
BILA Kręgle Bilard;(23)6976003;;
BILA Kręgle Bilard;533995622;;
BOWL CLUB;660408888;;
Bowl-Pub;515555515;;
Bowling & Bilard Club;(33)8232785;;
BOWLING CENTRUM;786253513;;
Bowling Club;(32)7539967;;
Bowling Club i Pub Żywiecki;(32)4340404;;
Bowling Club i Pub Żywiecki;504975618;;
Bowling Club MEDUZA;883882094;;
Bowling Club Zielona Góra;575658844;;
Bowling DZIKI ZACHÓD;(58)7366353;;
Bowling DZIKI ZACHÓD;504288440;;
Bowling Gniewino;(58)67063­50;;
BOWLING ORION;508707300;;
Bowling Plan;602450811;;
Bowling Pub;(87)6181309;;
BOWLING Pub, Pizza & Restaurant;(43)8243355;;
BOWLING Pub, Pizza & Restaurant;666356007;;
BOWLING SŁOWIANKA;(95)7338544;;
BOWLING SŁOWIANKA;(95)7338543;;
BowlingClub;(13)4640076;;
BowlingClub;783924002;;
Centrum Bowling Club;(58)5622394;;
Centrum Bowling Club;691729022;;
Centrum Rekreacji MISTRAL;(52)3971999;;
Centrum Rozrywki ARKABOS;721648855;;
Centrum Rozrywki MK BOWLING;(58)7677137;;
Centrum Rozrywki MK BOWLING;884848489;;
Centrum Rozrywki Słoneczny Park;(77)4165219;;
Centrum Rozrywki Słoneczny Park;515201000;;
CK BOWLING;(58)3004010;;
CK BOWLING;508634465;;
Creator Klub;(71)3522575;;
Creator Klub;(71)3519724;;
F.H.U. MAH;501208296;;
Factory 157;735922922;;
FAMILY BOWLING CENTER;(89)5271600;;
FART Centrum Rekreacji;(63)2111991;;
