Księgarnia i Hurtownia Taniej Książki;(63)2407777;;
Księgarnia i Hurtownia Taniej Książki;(63)2204467;;
Księgarnia Internetowa booknet.net.pl;(43)8431991(Wieluń);;
Księgarnia Internetowa booknet.net.pl;(62)7831852(Wieruszów);;
DOM KSIĄŻKI Sp. z o.o.;533300971;;
DOM KSIĄŻKI Sp. z o.o.;(22)6711285;;
Księgarnia Francuska EDUKATOR;(12)4215317;;
Księgarnia Francuska EDUKATOR;502614626;;
Księgarnia Warszawska;(22)6201288;;
Podręczniki Mirosław Najbar;(32)2192393;;
Animos Katarzyna Muriasz;535089188;;
E-skapada.pl Księgarnia Podróżnicza;602839396;;
EDYP Hurtownia Książek Tomasz Pudełko;(29)7451849;;
EDYP Hurtownia Książek Tomasz Pudełko;519141914;;
Księgarnia ATENA;(75)7442248;;
Księgarnia ATENA;(75)7444668;;
Księgarnia im. K.K.Baczyńskiego;(22)8640864;;
Księgarnia im. K.K.Baczyńskiego;882155590;;
Księgarnia Sztuki CSW;(56)6109725;;
Księgarnia Sztuki CSW;(56)6210724;;
Księgarnia Św. Jacka Sp. z o.o.;519546075;;
Księgarnia Św. Jacka Sp. z o.o.;519546071;;
KSIĘGARNIE NOVA DUO Sp. z o.o.;(17)8605351;;
LIBER Księgarnia Uniwersytecka;(22)8263091-KsięgarniaLiber;;
LIBER Księgarnia Uniwersytecka;(22)8491265-KsięgarniaNike;;
PARK EDUKACJA Sp. z o.o.;0801000642;;
PARK EDUKACJA Sp. z o.o.;(22)3499085;;
Tak Czytam;(22)7823134;;
Tak Czytam;(22)7935291;;
Agencja Wydawnicza EGROS S.c.;(22)8234878;;
BOOKER Aleksandr Owramko - Księgarnia Rosyjska;(22)8261736;;
BOOKER Aleksandr Owramko - Księgarnia Rosyjska;504015457;;
Erato F.H.;509364660;;
GANDALF Sp. z o.o.;(42)2523923;;
HexBin Piotr Krystek Sklep Internetowy Teksto.pl;781456441;;
Krakowska Księgarnia Kultury Fizycznej - Sklep Internetowy SPORTY.pl;(12)6813622;;
Księgarnia Budowlana FERT;(12)2947399;;
Księgarnia CONRAD;(81)4457500;;
Księgarnia CONRAD;(81)4457499;;
Księgarnia Friendly Books-Antykwariat;(58)7750899;;
Księgarnia Friendly Books-Antykwariat;(58)7753115;;
Księgarnia KSIĄŻKOWY RAJ;534018444;;
Księgarnia Medyczna MedLibri;(22)5021960;;
Księgarnia Medyczna MedLibri;608320632;;
Księgarnia MERKURY;(32)2352161;;
Księgarnia MONOGRAM Jolanta Mączka;(81)8866866;;
Księgarnia MONOGRAM Jolanta Mączka;602871700;;
KSIĘGARNIA NA KOLEJOWEJ;(65)5720163;;
Księgarnia Odkrywcy Historyczno-Militarna;(42)6307141;;
Księgarnia Odkrywcy Historyczno-Militarna;(42)6311097;;
Księgarnia OSIEDLOWA S.c. Maciej i Bohdan Wieczorkiewicz, Księgarnia Internetowa osiedlowa.osdw.pl;(68)3746650;;
Księgarnia OSIEDLOWA S.c. Maciej i Bohdan Wieczorkiewicz, Księgarnia Internetowa osiedlowa.osdw.pl;(68)3710585;;
Księgarnia PAN TADEUSZ;(42)7161944;;
Księgarnia POCIĄG DO BAJECZKI Warsztaty Młodego Artysty;(71)3198080;;
Księgarnia POCIĄG DO BAJECZKI Warsztaty Młodego Artysty;603999858;;
Księgarnia Prawnicza;(32)2068996;;
Księgarnia PSYCHE;(22)5179630;;
Księgarnia Sentencja;(81)5347753;;
Księgarnia Sentencja;607816708;;
Księgarnia Uniwersytetu Ekonomicznego w Poznaniu Sp. z o.o.;(61)8543148;;
Księgarnia Uniwersytetu Ekonomicznego w Poznaniu Sp. z o.o.;(61)8543147;;
LITERADO;500520238;;
LITERADO;(32)3004360;;
Przedsiębiorstwo Handlowe KSIĘGARNIA OBJAZDOWA;(33)8110035;;
Przedsiębiorstwo Handlowe KSIĘGARNIA OBJAZDOWA;605437032;;
Warmińska Księgarnia Diecezjalna HOSIANUM Sp. z o.o.;(89)5273528;;
Wydawnictwo Znaki Czasu-Księgarnia Internetowa;(22)3319800;;
Wydawnictwo Znaki Czasu-Księgarnia Internetowa;(22)3319801;;
Księgarnia Turystyczna MAPY;(85)7451561;;
Księgarnia Turystyczna MAPY;601850446;;
JEDNOŚĆ Wydawnictwo;(41)3681110;;
JEDNOŚĆ Wydawnictwo;(41)3682144;;
Norbertinum Wydawnictwo-Drukarnia-Księgarnia Sp. z o.o.;(81)7441158;;
Norbertinum Wydawnictwo-Drukarnia-Księgarnia Sp. z o.o.;(81)7441148;;
AMBULANS - literatura i sprzęt medyczny;(81)5342400;;
AMBULANS - literatura i sprzęt medyczny;607860185;;
Moje Bambino Sp. z o.o. Sp.komandytowa;0801577544;;
Moje Bambino Sp. z o.o. Sp.komandytowa;(42)6300130;;
Ośrodek Konsultacyjno-Edukacyjny i Wsparcia Rodziny;(89)5195760;;
Ośrodek Konsultacyjno-Edukacyjny i Wsparcia Rodziny;509344562;;
Wydawnictwo Marpress Sp. z o.o.;(58)3014700;;
Wydawnictwo SKRZAT;(12)4142851;;
Wydawnictwo SKRZAT;(12)4143154;;
Bielski Antykwariat Naukowy Małgorzata Malczewska;(33)8228494;;
Cafe Tej i Księgarnia Przy Rynku;(61)2830614;;
Cafe Tej i Księgarnia Przy Rynku;(61)6706135;;
GRUPA INCO S.A. Instytut Wydawniczy PAX;(22)5865100;;
GRUPA INCO S.A. Instytut Wydawniczy PAX;(22)5865187;;
ORVITA Sp. z o.o.;502515180;;
paganini S.c. Małgorzata Kotarba, Weronika Stuczyńska;(12)4234277;;
paganini S.c. Małgorzata Kotarba, Weronika Stuczyńska;(12)6237181;;
Podkarpacki Instytut Książki i Marketingu;(17)8578662;;
Podkarpacki Instytut Książki i Marketingu;519637062;;
VIP S.D.Pikul Sp.j.;(56)6634213;;
VIP S.D.Pikul Sp.j.;602460273;;
Wydawnictwo eMPi2 Mariana Pietraszewskiego S.c.;(61)8517661;;
Wydawnictwo eMPi2 Mariana Pietraszewskiego S.c.;(61)8560098;;
Wydawnictwo Koinonia;(33)8541814;;
Wydawnictwo Koinonia;(33)8544522w.20;;
Brytania School of English;(14)6703811;;
TD MAPY Wydawnictwo Turystyczne;601850446;;
TD MAPY Wydawnictwo Turystyczne;609606692;;
LOBIS Magdalena Kwasucka Sklep Internetowy Edurion.pl Edukacja;607787748;;
3kropek Audio Publishing S.c. Piotr Klimek, Celina Muza-Visser;(91)5788210;;
ABC Księgarnia;(22)6767244;;
ABE-IPS Sp. z o.o.;(22)6540675;;
ABE-IPS Sp. z o.o.;(22)6520767;;
ADALA Sp. z o.o.;504624431;;
AdventureBook Sp. z o.o.;797491001;;
AGADE BIS;(22)7018395;;
AGAMAG;510099200;;
Agencja Handlowo-Usługowa Katarzyna Abramek - Księgarnia Internetowa UKRYTE w SŁOWACH;787518062;;
Agencja Nolpress S.c.;(85)6535511;;
Agencja SGK Internetowa Księgarnia Savoir-vivre.com.pl;(22)6518817;;
Agencja SGK Internetowa Księgarnia Savoir-vivre.com.pl;601519847;;
AGROŚWIAT Internetowa Księgarnia Rolnicza;(22)2266776;;
AGROŚWIAT Internetowa Księgarnia Rolnicza;(22)4346068;;
AJAKS;(22)6196051;;
Akademicka Księgarnia KODEKS;(54)2324866;;
Akademicka Księgarnia KODEKS;792431886;;
Akrybia Sp. z o.o;(14)6300669;;
AKWARELA S.c. Księgarnia Internetowa 3TELNIA.pl;(61)8537570;;
ALLIANCE PRESS;888649638;;
AMBELUCJA Księgarnia Internetowa;662243663;;
AMBELUCJA Księgarnia Internetowa;606620161;;
Antykwariat EP.Publishing S.c.;(81)8592147;;
Antykwariat EP.Publishing S.c.;505166533;;
ANTYKWARNIA-Księgarnia Niezależna;(34)3249467;;
Apricot FOTOSZOP.PL;604124466;;
Arystoteles.pl - BACZYŃSKI BOOKS Księgarnia Internetowa;(12)3454720;;
ASPA Księgarnia Artystyczna;(51)6572503;;
ATENEUM Sp. z o.o. S.K.;(12)2637373;;
ATENEUM Sp. z o.o. S.K.;(12)2637070;;
ATRA;696610827;;
ATTESA;(42)7179208;;
ATTESA;509022567;;
Audea;(12)4441351;;
Audea;504303970;;
Audio books Zdzisław Sawa;694352394;;
Avalon Dariusz Filar;(12)2905345;;
Avalon Dariusz Filar;602429286;;
B.Marczyński Księgarnia Marek Andrzej;(33)8752858;;
BACO Sp. z o.o.;(33)8752620;;
BACO Sp. z o.o.;602647130;;
BASTION-IWONA;508084674;;
Bellona S.A.;(22)6202044;;
Bellona S.A.;(22)6522695;;
Bestsellery.pl;(22)4284218;;
BETAFENGA.pl Beata Strąk;883978178;;
Bibliopunkt.pl;(61)2212763;;
Bibliopunkt.pl;609143470;;
BIBLIOS Wydawnictwo;(81)7502756;;
BIBLIOS Wydawnictwo;(81)7502767;;
Biuro Doradczo Usługowe MEDIATOR2;(071)7242875;;
Biuro Rachunkowe - Księgarnia ANALFABETA;(12)2733711;;
BOHUN Tania I Dobra Książka;694477781;;
Bona Media Sp. z o.o.;(12)4305222;;
Bona Media Sp. z o.o.;(12)4305223;;
Bonusmedia Księgarnia Internetowa;(022)8145308;;
Book Shop Grzegorz Bzdak;609720476;;
Bookador.pl - Przyjazna Księgarnia Internetowa;507611972;;
BOOKAREST;(61)8596125;;
Bookland.net Sp. z o.o.;(22)6322343;;
Bookland.net Sp. z o.o.;(22)6322352;;
Booklist.pl;600898686;;
BookMaster.pl Księgarnia Internetowa;(22)4282564;;
BookMaster.pl Księgarnia Internetowa;(22)4904171;;
Booksnet Belmir Alispahić;792661571;;
Booksnet Belmir Alispahić;502998296;;
BOOKTRAIL;516912713;;
BORGIS Sp. z o.o.;(22)8369669;;
BTC Korporacja Księgarnia Internetowa MARGINES.pl;(22)7673620;;
BTC Korporacja Księgarnia Internetowa MARGINES.pl;(22)7673633;;
Cafe Bajarka;(56)6402896;;
CAPITAL S.c.;533496436;;
Catholicus.pl;505702902;;
Cenraj;792684177;;
Centrum Chrześcijańskie Woda Życia;(94)3450805;;
Centrum Chrześcijańskie Woda Życia;(94)3413995;;
Centrum Książki Psychologicznej PSYCHE;(22)8138868;;
