ECCE HOMO XXI;(81)5337514;;
ECCE HOMO XXI;500368411;;
Agencja Żeglarska zeglujznami.pl;603129363;;
Jacht Klub Morski GRYF;(58)6202361;;
Stanica Żeglarska Korektywa;(87)4231122;;
Stanica Żeglarska Korektywa;502503245;;
SZKOŁA ŻEGLARSTWA MAGELLAN Michał Dąbrowski;721721169;;
Harcerski Ośrodek Morski Puck Związku Harcerstwa Polskiego;(58)6732150;;
Harcerski Ośrodek Morski Puck Związku Harcerstwa Polskiego;502674698;;
SHARKS Sp. z o.o.;691659086;;
SHARKS Sp. z o.o.;666049489;;
Stowarzyszenie Rozwoju Żeglarstwa STANICA w Międzyrzecu Podlaskim;660943338;;
Stowarzyszenie Rozwoju Żeglarstwa STANICA w Międzyrzecu Podlaskim;602414242;;
Szkoła Żeglarstwa PUNTOVITA;501177487;;
Szkoła Żeglarstwa PUNTOVITA;509111257;;
Akademia Morska w Gdyni;(58)6217041;;
Akademia Morska w Gdyni;(58)5586292;;
Alliance Francaise Lubelskie Stowarzyszenie;(81)5324731;;
Alliance Francaise Lubelskie Stowarzyszenie;509144607;;
SAIL & TRAVEL Dariusz i Rafał Ignaszak Sp.j.;(61)8504500;;
SAIL & TRAVEL Dariusz i Rafał Ignaszak Sp.j.;601052623;;
Szkoła Morska w Gdyni Sp. z o.o.;(58)6217541;;
Szkoła Morska w Gdyni Sp. z o.o.;(58)6612655;;
Szkoła Pływania NEMO;502559085;;
Żeglarski Ośrodek PASSAT;(68)3566219;;
Żeglarski Ośrodek PASSAT;609796961;;
MAYTUR Obozy żeglaskie i narciarskie;(32)7578898;;
MAYTUR Obozy żeglaskie i narciarskie;(32)7578867;;
PPH Józefina2 Józefa Gawrońska;(94)3527572;;
PPH Józefina2 Józefa Gawrońska;502586432;;
Rejsy Stażowe i Szkolenia Żeglarskie STERMIL;501174617;;
Rejsy Stażowe i Szkolenia Żeglarskie STERMIL;604905829;;
Szkoła Zdrowia dr Lech Powolny;602178208;;
Szkoła Zdrowia dr Lech Powolny;(32)2547239;;
4WINDS Szkoła Żeglarstwa;(58)7650249;;
4WINDS Szkoła Żeglarstwa;501693470;;
Academia Nautica Sp. z o.o.;(22)6519035;;
Academia Nautica Sp. z o.o.;(22)6425120;;
Agencja Żeglarska SAIL THE WORLD;661610461;;
Agencja Żeglarska SKIFF Michał Palczyński;601274705;;
Agencja Żeglarska SKIFF Michał Palczyński;(22)8681657;;
Agencja Żeglarska SKIPPER;(42)6122508;;
Agencja Żeglarska SKIPPER;(42)6122516;;
Agencja Żeglarska WAYPOINT Łukasz Krasoń;607090441;;
Akademia Jachtingu Maciej Biechowski;507455798;;
Akademia Marina - Bank Modułów Kształceniowych;(22)4904249;;
Akademia Marina - Bank Modułów Kształceniowych;602271412;;
Akademia Żeglarska Strefa Wiatru;512046539;;
