Okręgowa Stacja Chemiczno-Rolnicza;(61)8689751;;
Okręgowa Stacja Chemiczno-Rolnicza;(61)8685860;;
Testchem Sp. z o.o.;(32)4558890Biuro;;
Testchem Sp. z o.o.;(32)4558209Produkcja;;
ANDY Sp. z o.o.;(22)7511645;;
ANDY Sp. z o.o.;(22)7511670;;
BENTLEY Polska Sp. z o.o.;(22)8639042;;
BENTLEY Polska Sp. z o.o.;(22)8639013;;
BLIRT S.A.;(58)7396150;;
BLIRT S.A.;(58)7396151;;
DCD Habitat Sp. z o.o.;(61)8135526-27;;
DCD Habitat Sp. z o.o.;(56)6511214Toruń;;
DURCON Company of Poland Sp. z o.o.;(56)6599805-06;;
DURCON Company of Poland Sp. z o.o.;(56)6599807;;
Laboratorium Analiz Śladowych;(12)6282713;;
Laboratorium Analiz Śladowych;(12)6282112;;
Laboratorium Mikrobiologiczne Bio-Chic;(22)6546476;;
MEDITECH Sp. z o.o.;(61)8617046;;
MEDITECH Sp. z o.o.;(61)8617047;;
PROFILAB S.c.;(22)8224842;;
PROFILAB S.c.;(22)8224843;;
SGS Polska Sp. z o.o. Environment, Health&Safety;(32)4492500;;
SGS Polska Sp. z o.o. Environment, Health&Safety;(32)4472072;;
ALAB Sp. z o.o.;(22)3496010;;
ALAB Sp. z o.o.;(22)3496033;;
APC Analizy Medyczne;(42)6409552;;
APC Analizy Medyczne;(42)6409551;;
CHEMAGRA Sp. z o.o.;(81)7187436;;
CHEMAGRA Sp. z o.o.;(81)7187437;;
ELKABE Sp. z o.o.;(22)6516333;;
ELKABE Sp. z o.o.;(22)6517557;;
LAB-TRADE;(22)4987974;;
LAB-TRADE;(22)4997225;;
Laboratorium ELLA;(22)7238120;;
Laboratorium ELLA;608252621;;
LABSOFT Krzysztof Herman;(22)8532793;;
LABSOFT Krzysztof Herman;601307456;;
MERANCO Aparatura Kontrolno Pomiarowa i Laboratoryjna Sp. z o.o.;(61)8499951-54;;
MERANCO Aparatura Kontrolno Pomiarowa i Laboratoryjna Sp. z o.o.;(61)8499955;;
NZOZ Biomol-Med Sp. z o.o. - Laboratorium Pierwiastków Śladowych;(42)6304911;;
NZOZ Biomol-Med Sp. z o.o. - Laboratorium Pierwiastków Śladowych;606747507;;
P.H.P.U. ALLMED;(12)2621866;;
P.H.P.U. ALLMED;(12)2622260;;
P.P.H.U. LIMARCO;(89)7417000;;
P.P.H.U. LIMARCO;(89)7416915;;
RHL-Service;(61)8689136;;
RHL-Service;(61)8630122;;
Sartorius Poland Sp. z o.o.;(61)6473830;;
Sartorius Poland Sp. z o.o.;(61)6473839;;
Tusnovics Instruments Sp. z o.o.;(12)3530994;;
Tusnovics Instruments Sp. z o.o.;(12)6337646;;
UNIMARKET;(61)8220450;;
UNIMARKET;(61)8220440;;
Zakład Naprawy Aparatury Medycznej i Laboratoryjnej Sp.j.;(74)8568288;;
Zakład Naprawy Aparatury Medycznej i Laboratoryjnej Sp.j.;(74)8520778;;
BENTLEY FARM;(22)8639013;;
BENTLEY FARM;(22)8639042;;
BIOGENET;(22)4638040;;
BIOGENET;501261722;;
Centrum Badań Weterynaryjnych VetComplex Sp. z o.o.;798456090;;
Firma POL-CHEM;(34)3221026;;
GF MICROSYSTEMS Grzegorz Filipiak;502464902;;
HACH LANGE Sp. z o.o.;801022442;;
HACH LANGE Sp. z o.o.;(71)7177777;;
Instytut Biologii Doświadczalnej im. Marcelego Nenckiego;(22)5892207Sekretariat;;
Instytut Biologii Doświadczalnej im. Marcelego Nenckiego;(22)8225342;;
Laboratorium Budowlane GRUNT;(32)2830241;;
Laboratorium Budowlane GRUNT;513072403;;
LABORATORIUM NOVUM;(32)4753400;;
LABORATORIUM NOVUM;(32)4733045;;
LPP Equipment Sp. z o.o. (dawne DONAU LAB Sp. z o.o.);(22)7230096;;
LPP Equipment Sp. z o.o. (dawne DONAU LAB Sp. z o.o.);(22)7236441;;
NOACK Polen Sp. z o.o.;(22)8534576;;
NOACK Polen Sp. z o.o.;(22)8534580;;
Opol-Med S.c. Laboratorium Analiz Lekarskich;(61)8322901;;
Opol-Med S.c. Laboratorium Analiz Lekarskich;607616062;;
P.H.U. Ośrodek Badań i Oceny Środowiska Pracy TOX-LUX;693044655;;
P.H.U. Ośrodek Badań i Oceny Środowiska Pracy TOX-LUX;605242039;;
POLYGEN Sp. z o.o.;(32)2388195;;
POLYGEN Sp. z o.o.;(32)2388160;;
Przedsiębiorstwo Techniczno-Handlowe CHEMLAND Zbigniew Bartczak;(91)5733640;;
Przedsiębiorstwo Techniczno-Handlowe CHEMLAND Zbigniew Bartczak;(91)5733641;;
Przedsiębiorstwo Usługowo-Produkcyjne DEGEST Sp. z o.o.;(55)2798877;;
Przedsiębiorstwo Usługowo-Produkcyjne DEGEST Sp. z o.o.;(55)2798851;;
WAMED Wytwórnia Aparatury Medycznej SSP;(22)8110260;;
WAMED Wytwórnia Aparatury Medycznej SSP;(22)8110455;;
SEMIC Bioelektronika;(12)6333340;;
SEMIC Bioelektronika;603669932;;
APEK Marek Grzybowski;(22)6447970;;
APEK Marek Grzybowski;601812055;;
ELANA PET Sp. z o.o.;(56)6561517;;
ELANA PET Sp. z o.o.;(56)6562965;;
ELPOM Sp. z o.o.;(68)3260352;;
ELPOM Sp. z o.o.;(68)4533465;;
EMAG Instytut Technik Innowacyjnych;(32)2007700;;
EMAG Instytut Technik Innowacyjnych;(32)2007701;;
FROST Urządzenia Chłodnicze;(22)6316310;;
FROST Urządzenia Chłodnicze;(22)6323923;;
GROS Sprzęt Gastronomiczny;(32)2114999;;
GROS Sprzęt Gastronomiczny;691465888;;
L-dental Laboratory;(48)3314500;;
L-dental Laboratory;(48)3699900-02;;
LEMITOR Ochrona Środowiska Sp. z o.o.;(71)3252590;;
