Sunward Polska;(41)3450462;;
Sunward Polska;792020697;;
MERDIK SERWIS;790049446;;
MERDIK SERWIS;501740982;;
Z.M.M.H.S. HYDROWAL;(95)7604127;;
Z.M.M.H.S. HYDROWAL;(95)7603900;;
ASCO EQUIPMENT Sp. z o.o.;(32)2500591;;
ASCO EQUIPMENT Sp. z o.o.;(32)2500592;;
ASPO-KORNER Elektronarzędzia i Zagęszczarki;(76)8353017;;
ASPO-KORNER Elektronarzędzia i Zagęszczarki;602617170;;
ASTRO Urządzenia Budowlane Wanda Dąbrowska;797403762;;
ASTRO Urządzenia Budowlane Wanda Dąbrowska;(22)6155853;;
BKT;(71)3152105;;
BKT;(71)3153054;;
Dieci;508091997;;
Dieci;782355100;;
ELEKTRO-HYD Zdzisław Bisewski Zakład Usługowo-Handlowy Elektromechaniki i Hydrauliki Siłowej;(58)6943494;;
ELEKTRO-HYD Zdzisław Bisewski Zakład Usługowo-Handlowy Elektromechaniki i Hydrauliki Siłowej;601841157;;
FH-U PLR Przemysław Rzepecki;600793093;;
FH-U PLR Przemysław Rzepecki;516072749;;
INSTEL;(48)6182066;;
INSTEL;691407324;;
INTERHANDLER Sp. z o.o.;(56)6102820;;
INTERHANDLER Sp. z o.o.;(56)6480400;;
KLON;731994806;;
PHU PROBUD;693221733;;
PHU PROBUD;605444999;;
PPUH WOBIS;(32)2753226;;
PPUH WOBIS;(32)3737822;;
Przedsiębiorstwo Remontowo-Handlowe RENOX Sp.j. Mirosław Wielechowski;(89)5239152-53;;
Przedsiębiorstwo Remontowo-Handlowe RENOX Sp.j. Mirosław Wielechowski;(89)5239082;;
Przedsiębiorstwo Usługowo Handlowe KOMPLEX Sp. z o.o.;(32)2124058;;
Przedsiębiorstwo Usługowo Handlowe KOMPLEX Sp. z o.o.;601458675;;
RENTBUD Wypożyczalnia Sprzętu Budowlanego i Elektronarzędzi;(22)6152905;;
RENTBUD Wypożyczalnia Sprzętu Budowlanego i Elektronarzędzi;(22)6152904;;
SIM Maszyny Budowlane Mariusz Świerkosz;(33)4880778;;
SIM Maszyny Budowlane Mariusz Świerkosz;(33)4446145;;
SS Polska Sp. z o.o.;501540525;;
TECHBUD Sp. z o.o.;(68)4707250;;
TECHBUD Sp. z o.o.;(68)4707251;;
TECHNALL;(34)3726201;;
TECHNALL;(34)3665966;;
TERBUD Piotr Jendyczek;608379676;;
Zakład Produkcji Urządzeń Budowlanych KALETA;602639600;;
Zakład Produkcji Urządzeń Budowlanych KALETA;(12)4152134;;
ZPU PROMASZ;(74)8365206;;
ZPU PROMASZ;(74)8367202;;
ANWA Sp. z o.o. - PPHU Maszyny budowlane, maszyny górnicze;(76)8580262;;
ANWA Sp. z o.o. - PPHU Maszyny budowlane, maszyny górnicze;(76)8580660;;
ARMAX Sp. z o.o. Sp.komandytowa;(33)8173333;;
ARMAX Sp. z o.o. Sp.komandytowa;(33)8113335;;
AUTO HANDEL Krzysztof Fedorowicz;606780804;;
AUTO HANDEL Krzysztof Fedorowicz;(76)8188008;;
GLOBAL Sp. z o.o.;(76)8335104;;
GLOBAL Sp. z o.o.;(76)8358578;;
INTRAMEX Valuepart Polska;(32)2300983;;
INTRAMEX Valuepart Polska;(32)2315111;;
KDM Dariusz Mazur;(22)4994680;;
KDM Dariusz Mazur;(22)4994681;;
KRAK-SERWIS;(12)2846674;;
KRAK-SERWIS;781810816;;
MAJSTER Wypożyczalnia Maszyn i Sprzętu Budowlanego;(42)6171444ul.Zgierska69;;
MAJSTER Wypożyczalnia Maszyn i Sprzętu Budowlanego;(42)6743398ul.Piłsudskiego41;;
MARPOL Serwis;604318523;;
MARPOL Serwis;535345645;;
MASZYNY MARPIEK;504111199;;
MASZYNY MARPIEK;508310377;;
