Zakład Urządzeń Technicznych UNIMASZ Sp. z o.o.;(89)5335827;;
Zakład Urządzeń Technicznych UNIMASZ Sp. z o.o.;(89)5335866;;
Alfa Laval Polska Sp. z o.o.;(22)3366464;;
Alfa Laval Polska Sp. z o.o.;(22)3366460;;
Ekomex-Pilśniak Sp. z o.o.;(34)3179480;;
Ekomex-Pilśniak Sp. z o.o.;(34)3179481;;
ELCAL Makowscy;(46)8159369;;
ELCAL Makowscy;(46)8159372;;
ELTI;(42)6899464;;
ELTI;(42)6899465;;
Fabryka Maszyn Spożywczych SPOMASZ PLESZEW S.A.;(62)7422313;;
Fabryka Maszyn Spożywczych SPOMASZ PLESZEW S.A.;(62)7421748;;
GAL Przedsiębiorstwo Przedstawicielskie;(22)8497843;;
GAL Przedsiębiorstwo Przedstawicielskie;(22)8565500;;
GBE Sp. z o.o.;(43)8297984;;
GBE Sp. z o.o.;509862650;;
Guz Technika Piekarnicza Sp. z o.o.;(32)2294927;;
Guz Technika Piekarnicza Sp. z o.o.;(32)2295503;;
Konsorcjum ANDZIAK Sp.j.;(94)3588298;;
Konsorcjum ANDZIAK Sp.j.;(94)3518180;;
MEGA Sp. z o.o.;(81)5162003-04;;
MEGA Sp. z o.o.;(81)5172263;;
MYSAK Group Sp. z o.o. Sp.komandytowa;(61)8429634;;
MYSAK Group Sp. z o.o. Sp.komandytowa;(61)8101627;;
P.P.H.U. TRACZ;(71)3462220;;
P.P.H.U. TRACZ;(71)3462075;;
PROGAMET Sp. z o.o.;(32)2752094;;
TEWES-BIS Sp. z o.o.;(89)5375100;;
TEWES-BIS Sp. z o.o.;(89)5149819;;
Winkler Wachtel Polska Sp. z o.o.;(71)3261078;;
Winkler Wachtel Polska Sp. z o.o.;(71)3260164;;
Zakład Mechanika Maszyn i Urządzeń Ryszard Dębski;601803165;;
Zakład Mechanika Maszyn i Urządzeń Ryszard Dębski;(46)8144172;;
BEMA Budowa Maszyn Brzoskowski Andrzej;(58)3015903;;
BEMA Budowa Maszyn Brzoskowski Andrzej;(58)3011223;;
F.H.U.P. SAORA Piotr Niedopad;(32)2844789;;
F.H.U.P. SAORA Piotr Niedopad;606927295;;
INSTYTUT MASZYN SPOŻYWCZYCH Sp. z o.o.;(22)6192098;;
INSTYTUT MASZYN SPOŻYWCZYCH Sp. z o.o.;(22)6191402;;
Metalowiec-Białystok Sp. z o.o.;(85)6512354;;
Metalowiec-Białystok Sp. z o.o.;(85)6512430;;
PROMAR Przedsiębiorstwo Produkcyjno Handlowe Sp. z o.o.;(22)7686400-09Centrala;;
PROMAR Przedsiębiorstwo Produkcyjno Handlowe Sp. z o.o.;(22)7686481BiuroObsługiKlienta;;
SPOMASZ Wrocław S.A.;(71)3422593;;
SPOMASZ Wrocław S.A.;(71)3414664;;
Spomasz-Wronki Grupa SFPI Sp. z o.o.;(67)2545160;;
Spomasz-Wronki Grupa SFPI Sp. z o.o.;(67)2545125;;
TECHMASZ;(22)2165577;;
TECHMASZ;(22)7841734;;
Toruńskie Zakłady Urządzeń Młyńskich SPOMASZ S.A.;(56)6231474;;
Toruńskie Zakłady Urządzeń Młyńskich SPOMASZ S.A.;(56)6231091-94;;
Walowsky International Maschinenhandel Sp. z o.o.;(12)6267340;;
Walowsky International Maschinenhandel Sp. z o.o.;(12)6267350;;
Wielobranżowe Przedsiębiorstwo Produkcji Handlu i Usług REM-PIEK;(52)3422476;;
Wielobranżowe Przedsiębiorstwo Produkcji Handlu i Usług REM-PIEK;501352484;;
Zakład Remontu i Modernizacji Maszyn i Urządzeń Przemysłu Spożywczego JAREM;(22)7807726;;
Zakład Remontu i Modernizacji Maszyn i Urządzeń Przemysłu Spożywczego JAREM;516124939;;
Zakład Ślusarski GREŃ Sp.j. Bolesław i Grażyna Greń;(32)2101626;;
Zakład Ślusarski GREŃ Sp.j. Bolesław i Grażyna Greń;(32)3263472;;
ALBA Przedsiębiorstwo Wielobranżowe;(77)4855577;;
ALBA Przedsiębiorstwo Wielobranżowe;602654298;;
Cream Sp. z o.o.;(32)6040700;;
Cream Sp. z o.o.;(32)6040777;;
F.P.H.U. APUS Roman Sikorski;(56)6836199;;
F.P.H.U. APUS Roman Sikorski;508090812;;
Firma BIELICKI;(89)6257920;;
Firma BIELICKI;510278929;;
FPUH WOPI;(44)7250774;;
FPUH WOPI;(44)7252997;;
HASBORG Rafał Mucha;(17)2261116;;
HASBORG Rafał Mucha;(17)2249352;;
INTER-WIBA Sp.j.;(33)8125860;;
INTER-WIBA Sp.j.;(33)8125849;;
Korporacja Producentów Maszyn Spożywczych EUROMASZ FOOD Sp. z o.o.;(22)6198235;;
Korporacja Producentów Maszyn Spożywczych EUROMASZ FOOD Sp. z o.o.;(22)6198049;;
Liropol S.c. R.A.M. Mackiewicz;(89)7674598;;
Liropol S.c. R.A.M. Mackiewicz;(89)7670290;;
LODMIX;697303350;;
MAGA;(61)8335065;;
MAGA;503401305;;
Maszyny Spożywcze Stanisław Hausner;608355631;;
MECH-MASZ;(52)3034811;;
MECH-MASZ;(52)3020073;;
Metal Process Sp. z o.o.;(17)8543726;;
Metal Process Sp. z o.o.;(17)8543832;;
P.P.H.U. SKORPION;(43)8419395;;
P.P.H.U. SKORPION;504184395;;
PHU JATECH;601925535;;
PHU JATECH;(74)8320129;;
Przedsiębiorstwo Produkcyjne Młynpol Marek Ciesielski;(58)5528163;;
Przedsiębiorstwo Produkcyjno-Handlowo Usługowe SEBAX;(33)8193242;;
Przedsiębiorstwo Produkcyjno-Handlowo Usługowe SEBAX;601492630;;
Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe HEV;(22)7735346;;
Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe HEV;(22)2923085;;
WENGLORZ Agata Wenglorz-Dorosz;(89)7672241;;
WENGLORZ Agata Wenglorz-Dorosz;(89)7670300;;
YOD Przedsiębiorstwo Usługowo-Produkcyjno-Handlowe;(22)7735346;;
YOD Przedsiębiorstwo Usługowo-Produkcyjno-Handlowe;502078108;;
Zakład Produkcji Metalowej Krzysztof Janik;(34)3170405;;
ZRH KOKO Izabela Bartoszuk;(71)3116281;;
OFAMA Sp. z o.o.;(77)4742592;;
OFAMA Sp. z o.o.;(77)4745004;;
B&W Sp. z o.o.;(74)8584009;;
B&W Sp. z o.o.;(74)8508188;;
Dawsonrentals Polska Sp. z o.o.;(22)8774115;;
Dawsonrentals Polska Sp. z o.o.;(22)8774113;;
Dozo-Pak Sp. z o.o.;(52)3215063;;
Dozo-Pak Sp. z o.o.;(52)3219170;;
F.P.H.U Zenter S. Motak - urządzenia pakujące;795708005;;
F.P.H.U Zenter S. Motak - urządzenia pakujące;665647217;;
Firma Handlowo-Produkcyjna PAK Sp. z o.o.;(56)6571110;;
Firma Handlowo-Produkcyjna PAK Sp. z o.o.;(56)6571100;;
Global Engineering Dariusz Szachowicz;(23)6613358;;
Global Engineering Dariusz Szachowicz;602375820;;
GROS Sprzęt Gastronomiczny;(32)2114999;;
GROS Sprzęt Gastronomiczny;691465888;;
H.E.I.U. MASA Marcin Śliżewski;509234604;;
H.E.I.U. MASA Marcin Śliżewski;(85)6670575;;
KÖHLER+BOVENKAMP Polska Sp. z o.o.;(52)3031361;;
KÖHLER+BOVENKAMP Polska Sp. z o.o.;(52)3031364;;
P.P.U.H. INOX INSTAL Sp.j. Rataj Kaleta Wójciuk Róg;(14)6861330;;
P.P.U.H. INOX INSTAL Sp.j. Rataj Kaleta Wójciuk Róg;(14)6861655;;
P.U.H. Krzysztof Bieńkowski;(94)3737754;;
P.U.H. Krzysztof Bieńkowski;600908965;;
PROMETR Sp. z o.o.;(42)6311544;;
PROMETR Sp. z o.o.;(42)6328195;;
Przedsiębiorstwo Projektowo-Przemysłowe MAGORA Sławomir Krzyżanowski;(22)6714058;;
Przedsiębiorstwo Projektowo-Przemysłowe MAGORA Sławomir Krzyżanowski;602701759;;
REFEL;603208502;;
REFEL;502279279;;
REMAT Sp. z o.o.;(22)6621133;;
REMAT Sp. z o.o.;(22)6621166;;
SIS Thermodynamic S.c.;508091660;;
TELDREAM;(58)3485695;;
Z.H.U.P. Zdramet;(58)6738281;;
Z.H.U.P. Zdramet;(58)6738209;;
AGJAT PPHU Sp.j.;(34)3557284;;
AGJAT PPHU Sp.j.;(34)3557118;;
AUTOJET;(61)8473548;;
AUTOJET;(61)8473960;;
BOKAMA;(52)3458601;;
BOKAMA;508224419;;
Elektronix Sp.j.;604517526;;
Elektronix Sp.j.;(18)4413305;;
F.H.U. URZĄDZENIA CHŁODNICZE;(18)3339343;;
F.H.U. URZĄDZENIA CHŁODNICZE;606306706;;
KATES POLSKA Sp. z o.o.;(89)5333924;;
KATES POLSKA Sp. z o.o.;(89)5335303;;
MIFLEX-MASZ Sp. z o.o.;(24)3551296;;
MIFLEX-MASZ Sp. z o.o.;(24)3551295;;
MONTER INSTALL GROUP Piotr Bujak;(74)8505076;;
MONTER INSTALL GROUP Piotr Bujak;(74)8508008;;
Spółdzielnia Pracy MLECZ-MASZ;(52)3255500;;
Spółdzielnia Pracy MLECZ-MASZ;(52)3255517;;
SPX Flow Technology Poland Sp. z o.o.;(52)5259900;;
SPX Flow Technology Poland Sp. z o.o.;(52)5259909;;
SUMA SERVICE Rafał Smelkowski;(94)3435226;;
SUMA SERVICE Rafał Smelkowski;(94)3415332;;
TRANSLOG SYSTEMS Sp. z o.o.;(22)8153387;;
TRANSLOG SYSTEMS Sp. z o.o.;(22)8127728;;
Zakład Mechaniczny KOPTECH Marek Kopala;664528560;;
ZERKOPOL Sp. z o.o.;(22)6143889;;
ZERKOPOL Sp. z o.o.;(22)8115354;;
Arimex PWC Sp. z o.o.;(77)4610494;;
Arimex PWC Sp. z o.o.;(77)5432686;;
EUROAS SYSTEMY PAKOWANIA;(15)8324028;;
EUROAS SYSTEMY PAKOWANIA;(15)8142506;;
Firma Handlowa WARMIA;(89)5320240;;
Firma Handlowa WARMIA;663840997;;
Firma Handlowo-Usługowa A2 Piotr Zegar;(81)7443670;;
Firma Handlowo-Usługowa A2 Piotr Zegar;(81)4735599;;
Gastro Gal;(17)8602590;;
Gastro Gal;(17)8632341;;
Gastro System Marcin Pawłowski;(52)3489155;;
Gastro System Marcin Pawłowski;(52)3422616;;
GREYFIN Adam Szarafiński;660420773;;
IT MAX;600151560;;
J&J STALCO Sp. z o.o.;(17)8539989;;
J&J STALCO Sp. z o.o.;(17)8539984;;
L&L Sp. z o.o.;(32)2881255;;
MADPOL Sp.j.;(81)7102800;;
MADPOL Sp.j.;(81)7102809;;
MAGNETIX Sp. z o.o.;(56)6591777;;
MAGNETIX Sp. z o.o.;(56)6539440;;
MIGRO Marek Pilip;793550315;;
MIGRO Marek Pilip;730111109Kierownikprodukcji;;
POLMATEX WOLMA Fabryka Maszyn i Urządzeń Technologicznych S.A.;(43)8232465;;
POLMATEX WOLMA Fabryka Maszyn i Urządzeń Technologicznych S.A.;(43)8234422;;
Przedsiębiorstwo Handlowo-Usługowe TEGRA S.c.;(56)6236166;;
Przedsiębiorstwo Handlowo-Usługowe TEGRA S.c.;(56)6528512;;
Stalum - Jacek Rybarczyk;(61)2922996;;
Stalum - Jacek Rybarczyk;(61)2926216;;
TM Ink-Jet Tomasz Mrowiec;(77)5430582;;
TM Ink-Jet Tomasz Mrowiec;(77)5453027;;
Zakład Techniki Próżniowej TEPRO S.A.;(94)3432481;;
Zakład Techniki Próżniowej TEPRO S.A.;(94)3432466;;
Lody Tajskie S.c.;501426532;;
PPHU ALF Wujkowski Patryk;724527927;;
Agencja Handlowo-Usługowa INTERPAST;(22)6158160;;
Agencja Handlowo-Usługowa INTERPAST;(22)6158159;;
Agencja Inwestycyjna FB-MONT Sp.j.;(62)7665223-24;;
Agro-Star;(81)4440173;;
Agro-Star;(81)4420175;;
AKORD MEAT Sp. z o.o.;(12)2950818-19;;
AKORD MEAT Sp. z o.o.;(12)2666568;;
ALASKA Biuro Handlowe;(12)2851726;;
ALIMP Joanna i Paweł Psiuch Sp.j.;(32)2229161;;
ALIMP Joanna i Paweł Psiuch Sp.j.;608331177;;
ANBOX;602247303;;
ANBOX;692345660;;
ANPA;(22)6131862;;
ANPA;(22)8121418;;
ARGO Sp. z o.o.;(85)6645500;;
ARGO Sp. z o.o.;(85)6645509;;
ART-MAS Sp. z o.o.;(91)8854096;;
ART-MAS Sp. z o.o.;(91)8854097;;
AS-MONT;601268474;;
AS-MONT;(22)7530225;;
ASTOR;(91)8345418;;
ASTOR;(91)8345419;;
Automaty do lodów com.pl;732885000;;
Automaty do lodów com.pl;600881985;;
AWE Poland Sp. z o.o.;(52)3452444;;
AWE Poland Sp. z o.o.;(52)3452445;;
AZET PRODUCTS Sp. z o.o.;(62)7511124;;
BASAT;602650350;;
BASAT;602590591;;
Belex;601242042;;
Belex;(22)6730367;;
BHZ PROFIL Sp.j.;(22)7513323;;
BHZ PROFIL Sp.j.;(22)7513973;;
BIOSTAL Sp. z o.o.;(89)5332204;;
BIOSTAL Sp. z o.o.;(89)5320109;;
Biuro Handlowe ZELIN Zenon Linstaedt;(58)6714141;;
Biuro Handlowe ZELIN Zenon Linstaedt;(58)6713333;;
Biuro Przedstawicielskie Firm Zagranicznych INSLAB;(22)6438965;;
Biuro Technologiczno-Marketingowe TTM;(46)8742813;;
Biuro Technologiczno-Marketingowe TTM;601314947;;
BONES;(17)8560044;;
BORATO Investment Sp. z o.o.;(32)7682700;;
BORATO Investment Sp. z o.o.;(32)7682709;;
Brokelmann Budowa Maszyn i Urządzeń Sp. z o.o.;(71)3842584;;
Brokelmann Budowa Maszyn i Urządzeń Sp. z o.o.;(71)7336396;;
BUJALSKI Sp. z o.o.;(89)5220601;;
BUJALSKI Sp. z o.o.;(89)5220606;;
CHEMAPOL Sp. z o.o.;(33)8545373;;
