Bydgoskie Zakłady Elektromechaniczne BELMA S.A.;(52)3636201;;
Bydgoskie Zakłady Elektromechaniczne BELMA S.A.;(52)3636203;;
FUGOR Sp. z o.o.;(62)7252735;;
FUGOR Sp. z o.o.;(62)7253226;;
Górnicza Fabryka Narzędzi Sp. z o.o.;(83)3528701-03;;
Górnicza Fabryka Narzędzi Sp. z o.o.;(83)3528708;;
Grupa Martech, Energo-Mechanik Sp. z o.o.;(77)4613251;;
Grupa Martech, Energo-Mechanik Sp. z o.o.;(77)4612063;;
KGHM ZANAM S.A.;(76)8470905;;
KGHM ZANAM S.A.;(76)8471100;;
MIFAMA OPA CARBO Sp. z o.o.;(32)7386050;;
MIFAMA OPA CARBO Sp. z o.o.;(32)7386053;;
APATOR Mining Sp. z o.o.;(32)7842350;;
APATOR Mining Sp. z o.o.;(32)2596862;;
Bema S.c.;(32)2112066;;
Bema S.c.;602687572;;
DAK-Firma;(32)3762085;;
DAK-Firma;(32)3762086;;
EUROTECH Sp. z o.o.;(17)7887760;;
EUROTECH Sp. z o.o.;(17)7880273;;
Fabryka Maszyn i Urządzeń TAGOR S.A.;(32)7689136-38;;
Fabryka Maszyn i Urządzeń TAGOR S.A.;(32)7689140;;
FADROMA Development Sp. z o.o.;(71)3346033;;
FADROMA Development Sp. z o.o.;(71)3346034;;
FAMUR S.A.;(32)3596300;;
FAMUR S.A.;(32)3596677;;
Mine Master Sp. z o.o.;(76)8783511;;
Mine Master Sp. z o.o.;(76)8784101;;
P.U.P.H. Wampol Sp. z o.o.;(32)2237111;;
P.U.P.H. Wampol Sp. z o.o.;(32)2251021;;
PPHU ROMAT Halina Matwijów;(32)3450034;;
PPHU ROMAT Halina Matwijów;501455219;;
PROREM Sp. z o.o.;(32)4751409;;
PROREM Sp. z o.o.;(32)4751410;;
Przedsiębiorstwo Elektrotechniki Górniczej PEG S.A.;(32)2652430;;
Przedsiębiorstwo Elektrotechniki Górniczej PEG S.A.;(32)2652360;;
KROLPOL Katarzyna Król;(68)3566002;;
MINOVA ARNALL Sp. z o.o.;(34)3176650;;
MINOVA ARNALL Sp. z o.o.;(34)3176644;;
Pomiar-GIG Przedstawiciel Głównego Instytutu Górnictwa Sp. z o.o.;(81)7421068;;
Pomiar-GIG Przedstawiciel Głównego Instytutu Górnictwa Sp. z o.o.;(81)7412280;;
Przedsiębiorstwo Remontowe Urządzeń Energetycznych PIECHA-SOLAK Sp. z o.o.;(32)2264118;;
Przedsiębiorstwo Remontowe Urządzeń Energetycznych PIECHA-SOLAK Sp. z o.o.;(32)2264657;;
Zakład Wyrobów Metalowych CARBONEX;(32)4718992;;
Zakład Wyrobów Metalowych CARBONEX;(32)4710967;;
Jastrzębskie Zakłady Remontowe Sp. z o.o. (JZR);(32)7215100;;
Jastrzębskie Zakłady Remontowe Sp. z o.o. (JZR);(32)7215104;;
PROMECH S.A.;(76)8703134;;
KOFAMA Koźle S.A.;(77)4461140;;
KOFAMA Koźle S.A.;(77)4461145;;
OFAMA Sp. z o.o.;(77)4742592;;
OFAMA Sp. z o.o.;(77)4745004;;
OVIBRA Sp. z o.o.;(77)4024015-17;;
OVIBRA Sp. z o.o.;(77)4745075;;
ZAMER Sp.komandytowa;(89)7661615sekretariat;;
ZAMER Sp.komandytowa;(89)7661675sekretariat;;
KRET i S-ka Tadeusz Kret;(76)8191230;;
KRET i S-ka Tadeusz Kret;(76)8186911;;
NTP Global-Tech;666200324;;
P.P.H.U. Legal Sp. z o.o.;(32)2118101;;
P.P.H.U. Legal Sp. z o.o.;(32)2118117;;
TECHBUD Sp. z o.o.;(68)4707250;;
TECHBUD Sp. z o.o.;(68)4707251;;
ANWA Sp. z o.o. - PPHU Maszyny budowlane, maszyny górnicze;(76)8580262;;
ANWA Sp. z o.o. - PPHU Maszyny budowlane, maszyny górnicze;(76)8580660;;
ELTECH Sp. z o.o.;(32)2220982;;
ELTECH Sp. z o.o.;601575404;;
P.U.H.Maszyny i Urządzenia Budowlane Szalunki Do Wykopów;(61)2921168;;
P.U.H.Maszyny i Urządzenia Budowlane Szalunki Do Wykopów;606400722;;
Przedsiębiorstwo WEKO Wernicki Wojciech, Kołtun Marek;(23)6733100;;
Przedsiębiorstwo WEKO Wernicki Wojciech, Kołtun Marek;(23)6126328;;
ZERKOPOL Sp. z o.o.;(22)6143889;;
ZERKOPOL Sp. z o.o.;(22)8115354;;
BAMAR POL;603077545;;
BAMAR POL;(60)3077545;;
BOLSPED Sp. z o.o.;(32)2955613;;
BOLSPED Sp. z o.o.;(32)2955642;;
COMPRESSOR-KRUSZYWA - Kopalnia Kruszyw Naturalnych Tomasz Curyło;602360571;;
COMPRESSOR-KRUSZYWA - Kopalnia Kruszyw Naturalnych Tomasz Curyło;(56)6842001;;
CONTIX INVEST Sp. z o.o. SPÓŁKA KOMANDYTOWA;695429795;;
CONTIX INVEST Sp. z o.o. SPÓŁKA KOMANDYTOWA;506645659;;
Części Zamienne do Maszyn Budowlanych FADROMA;(71)3197774;;
Części Zamienne do Maszyn Budowlanych FADROMA;602452462;;
GREYFIN Adam Szarafiński;660420773;;
MAKRUM Project Management Sp. z o.o.;(52)5612330;;
MAKRUM Project Management Sp. z o.o.;(52)3210078;;
MARCOR Zakład Usług Techniczno-Handlowych Maszyn Górniczych i Budowlanych;(12)2924018;;
MARCOR Zakład Usług Techniczno-Handlowych Maszyn Górniczych i Budowlanych;601470978;;
MM MARKUS S.c.;602477866;;
Progress ECO Sp. z o.o. Sp.komandytowa;(15)8646270;;
Progress ECO Sp. z o.o. Sp.komandytowa;(15)8646278;;
Przedsiębiorstwo Prywatne BiS;(32)2866277;;
Przedsiębiorstwo Wielobranżowe KOPAŃCZYK;502677358;;
Przedsiębiorstwo Wielobranżowe KOPAŃCZYK;503163652;;
TRANSTOOLS Sp. z o.o.;(81)4443108;;
TRANSTOOLS Sp. z o.o.;(81)7465031;;
Kooperacja POLKO Sp. z o.o.;(32)2260975;;
Kooperacja POLKO Sp. z o.o.;(32)2263285-86;;
Comex Polska Sp. z o.o.;(12)2551424;;
Comex Polska Sp. z o.o.;(12)2551423;;
Agencja Handlowa ONYX;(74)8668019;;
Agencja Handlowa ONYX;698625080;;
Altrex International Ltd.;(22)7435640-41;;
Altrex International Ltd.;(22)7435021;;
ARTECH Piotr Chwołka;(32)4248566;;
ARTECH Piotr Chwołka;(32)4248118;;
AZIS MINING SERVICE Sp. z o.o.;(32)4752477;;
AZIS MINING SERVICE Sp. z o.o.;(32)4732054;;
B&B TRONIK S.c.;(32)4224259;;
B&B TRONIK S.c.;515123641;;
Becker-Warkop Sp. z o.o.;(32)4329900;;
Becker-Warkop Sp. z o.o.;(32)4329901;;
Boart Longyear Poland Sp. z o.o.;(71)3630200;;
Boart Longyear Poland Sp. z o.o.;(71)3630201;;
Budkop Sp. z o.o.;(32)2238751;;
Budkop Sp. z o.o.;(32)2239667-68;;
Bytomski Zakład Usług Górniczych Sp. z o.o.;(32)2719219;;
CARBOMECH Sp. z o.o.;(32)3401026;;
CARBOMECH Sp. z o.o.;(32)3401035;;
CompRot N. Sp. z o.o.;(71)7985900;;
CompRot N. Sp. z o.o.;(71)7985909;;
DARKOP CORPORATION Sp. z o.o.;(32)7115323;;
DARKOP CORPORATION Sp. z o.o.;609699382;;
Dąbrowska Fabryka Maszyn Elektrycznych DAMEL S.A.;(32)2623231;;
Dąbrowska Fabryka Maszyn Elektrycznych DAMEL S.A.;(32)2641012;;
EICKHOFF POLONIA Ltd. Sp. z o.o.;(32)2066010-11;;
EICKHOFF POLONIA Ltd. Sp. z o.o.;(32)2028744;;
ELGOR Elektronika Przemysłowa;(71)3559988;;
ELGOR Elektronika Przemysłowa;602501234;;
Elgór + Hansen Spółka Akcyjna;(32)2499480;;
Elgór + Hansen Spółka Akcyjna;(32)2413457;;
Elgór+Zamet Sp. z o.o.;(32)2872031;;
Elgór+Zamet Sp. z o.o.;(32)2872139;;
Fabryka Maszyn GLINIK S.A.;(18)3539701;;
Fabryka Maszyn GLINIK S.A.;(18)3539702;;
Fabryka Maszyn Górniczych Niwka S.A.;(32)2994661;;
Fabryka Maszyn i Urządzeń OMAG Sp. z o.o.;(33)8430081;;
Fabryka Maszyn i Urządzeń OMAG Sp. z o.o.;(33)8430067;;
Fabryki Sprzętu i Narzędzi Górniczych Grupa Kapitałowa FASING S.A.;(32)7350000;;
Fabryki Sprzętu i Narzędzi Górniczych Grupa Kapitałowa FASING S.A.;(32)7302260;;
FILAMOS, s.r.o.;+420728642646;;
Firma Innowacyjno-Wdrożeniowa ELEKTRON S.c.;(32)7878024;;
FUGO Sp. z o.o.;(63)2405266;;
FUGO Sp. z o.o.;(63)2405466;;
GEOD;(12)2922075;;
GEOD;516792494;;
Gliwicki Zakład Usług Górniczych Sp. z o.o.;(32)2394516;;
Gliwicki Zakład Usług Górniczych Sp. z o.o.;(32)3398080;;
Górnicze Przedsiębiorstwo Inwestycyjne Sp. z o.o.;(32)4223562;;
Hamacher Elektrotechnika Sp. z o.o.;(32)2173712;;
Hamacher Elektrotechnika Sp. z o.o.;(32)2173261;;
HYDROTECH S.A.;(32)4220157;;
HYDROTECH S.A.;(32)4331133;;
HYMAR Sp. z o.o.;(32)7292603;;
IRB Sp. z o.o.;783446761;;
IRB Sp. z o.o.;731573112;;
JOY Maszyny Górnicze Ltd;(32)7762800;;
JOY Maszyny Górnicze Ltd;(32)7762900;;
KOPEX Machinery S.A.;(32)2713231;;
KOPEX Machinery S.A.;(32)2718750;;
KOPEX S.A.;(32)6047000;;
KOPEX S.A.;(32)6047100;;
KOPEX-FAMAGO Sp. z o.o.;(75)7710200;;
KOPEX-FAMAGO Sp. z o.o.;(75)7710215;;
Korporacja Gwarecka S.A.;(81)4625398;;
