AGRO WOJCIECH;723605901;;
AGRO WOJCIECH;(85)7336183;;
ELTOM;691485781;;
OLIMET Dariusz Bieganek;604407206;;
OLIMET Dariusz Bieganek;604425149;;
PHU ROLPLON;(32)4723673;;
Produkcja Maszyn Rolniczych i Części Zamiennych KOWALSCY Sp.j.;(61)4360566;;
Produkcja Maszyn Rolniczych i Części Zamiennych KOWALSCY Sp.j.;(61)6222586;;
STOMIL Agro;(77)4635564;;
Złoty Kłos Adam Tęsny;(81)8211585;;
Złoty Kłos Adam Tęsny;(81)8211016;;
ABC ROL Sp. z o.o.;(91)5793128;;
ABC ROL Sp. z o.o.;(91)8872164;;
Agro-Las Maszyny Rolnicze i Leśne;(67)2168158;;
Agro-Las Maszyny Rolnicze i Leśne;782958961;;
AGROMASZ Zakład Metalowy Gruszczewski Janusz;(89)7412192;;
ARON PHU;(43)6758631;;
ARON PHU;(43)6759806;;
BALTIPOL Sp. z o.o.;(22)7804312;;
BALTIPOL Sp. z o.o.;(22)2128007;;
BARTNIK Techniczne Wyposażenie Rolnictwa;(24)2617022;;
BARTNIK Techniczne Wyposażenie Rolnictwa;(24)2612587;;
FHU PIOMAR AGRO-TECH Piotr Morawski;(48)6703027;;
FHU PIOMAR AGRO-TECH Piotr Morawski;(48)6703721;;
GMN Techmet Sp. z o.o.;(24)2750505-06;;
GMN Techmet Sp. z o.o.;(24)2757771;;
HANROL CZEMPIŃ Przedsiębiorstwo Produkcyjno-Handlowe Sp. z o.o.;(61)2826278;;
KAROL Sp. z o.o.;(54)2823584;;
KAROL Sp. z o.o.;509203059;;
OMEGA Motławscy;(62)7215288;;
P.P.H. AGRO-FACTORY;(24)7217571;;
P.P.H. AGRO-FACTORY;(24)7212695;;
POLTECH Michał Piotrowski;(22)7737111;;
POLTECH Michał Piotrowski;602746024;;
PPHU EKIW Sp. z o.o.;(14)6830870;;
PPHU EKIW Sp. z o.o.;604585583;;
PRONAR Sp. z o.o.;(85)6827100;;
PRONAR Sp. z o.o.;(85)6816383;;
Przedsiębiorstwo Handlowo-Usługowo-Produkcyjne AMAROL;(44)6326266;;
Przedsiębiorstwo Handlowo-Usługowo-Produkcyjne AMAROL;600048441;;
Przedsiębiorstwo Produkcyjno-Handlowe MET-POL Sp. z o.o.;(43)8232915;;
Przedsiębiorstwo ROLMECH Sp. z o.o.;(23)6627291;;
Przedsiębiorstwo ROLMECH Sp. z o.o.;(23)6627290;;
ROL-MECH Sp. z o.o.;(16)6282266;;
ROL-MECH Sp. z o.o.;(16)6281032;;
Rolmet S.c.;(62)7305393;;
Rolmet S.c.;(62)7303507;;
SANROL Sp. z o.o.;(15)8413887;;
SANROL Sp. z o.o.;(15)8413886;;
URSON;(33)8755129;;
URSON;(33)8701661;;
Zakład Wytwórczo Usługowy ROLMET;(54)2825636;;
Zakład Wytwórczo Usługowy ROLMET;(54)2828567;;
AGJAT PPHU Sp.j.;(34)3557284;;
AGJAT PPHU Sp.j.;(34)3557118;;
Agro-Masz Anna Smyk i Janusz Smyk Sp.j.;(77)4331167;;
AGRO-URSUS;(52)3975442;;
AGRO-URSUS;(52)5543130;;
AGROJANEX;(46)8157650;;
AGROJANEX;695610544;;
