Activ-Trading;(32)4720466;;
Activ-Trading;(32)4720678;;
FPUH REXEL Maszyny Szwalnicze, Urządzenia Krojcze;697530240;;
FPUH REXEL Maszyny Szwalnicze, Urządzenia Krojcze;(61)8768946;;
OVERLOCK Henryk Włodarczyk;(42)6467065;;
OVERLOCK Henryk Włodarczyk;(42)6467066;;
P.W. PROGRAM-B Janusz Seheń;(22)4253183;;
P.W. PROGRAM-B Janusz Seheń;601216157;;
PROMETR Sp. z o.o.;(42)6311544;;
PROMETR Sp. z o.o.;(42)6328195;;
Woźniak M-Szwalnicze;(12)4235130;;
Woźniak M-Szwalnicze;501464103;;
BANASZCZYK Maszyny Szwalnicze;(42)2121450;;
BANASZCZYK Maszyny Szwalnicze;(42)2121452;;
BSIE Maszyny Szwalnicze;(22)6220002;;
BSIE Maszyny Szwalnicze;(22)6281193;;
HOFFMAN MASZYNY I URZĄDZENIA Sp. z o.o.;(42)6844372;;
HOFFMAN MASZYNY I URZĄDZENIA Sp. z o.o.;(42)6845397;;
NO 25 Tomasz Nowakowski Producent stołów krojczych i Wyposażenia szwalni;(42)2275008;;
NO 25 Tomasz Nowakowski Producent stołów krojczych i Wyposażenia szwalni;(42)2275009;;
TEX-PRIM;602224543;;
TEX-PRIM;(42)6845221;;
ARGUS Krystyna Śmigielska;(22)6428129;;
Centrum Handlowo-Serwisowe Przemysłu Odzieżowego HERMASZ Ryszard Hermanowicz;(81)4415190;;
Centrum Handlowo-Serwisowe Przemysłu Odzieżowego HERMASZ Ryszard Hermanowicz;501018426;;
Mechanika Maszyn BAJM Jarosław Liberski;601788797;;
Pfaff Industry Service Sp. z o.o.;(42)6493080;;
Pfaff Industry Service Sp. z o.o.;(42)6493020;;
Strima Sp. z o.o.;(61)8950950;;
Strima Sp. z o.o.;(61)8950951;;
F.P.H.U Zenter S. Motak - urządzenia pakujące;795708005;;
F.P.H.U Zenter S. Motak - urządzenia pakujące;665647217;;
JUREX Maszyny Szwalnicze;(55)2321961;;
LANT Systemy Pralnicze;(25)6824298;;
LANT Systemy Pralnicze;(25)6824299;;
LINIA SZYCIA Mirosław Piłat;(61)8640268;;
LINIA SZYCIA Mirosław Piłat;508059435;;
PPH Linex S.c.;(52)3213024;;
PPH Linex S.c.;(52)3457317;;
SUMA SERVICE Rafał Smelkowski;(94)3435226;;
SUMA SERVICE Rafał Smelkowski;(94)3415332;;
TORMET Spółka z o.o. Spółka komandytowa;(56)6571200;;
TORMET Spółka z o.o. Spółka komandytowa;(56)6571225-26;;
Altex Consulting Sp. z o.o.;(42)6493080;;
Altex Consulting Sp. z o.o.;(42)6493020;;
Bizera Spółka z o.o. (Eden Skład Handlowy);(22)6791035;;
Bizera Spółka z o.o. (Eden Skład Handlowy);(22)6778236;;
F.H. Pasmanda - Hurtownia pasmanterii i dodatków krawieckich;(15)6426424;;
F.H. Pasmanda - Hurtownia pasmanterii i dodatków krawieckich;509764018;;
Firma TwOgu K.Kłaput, A.Kłaput, R.Malik;(33)8722117;;
Firma TwOgu K.Kłaput, A.Kłaput, R.Malik;(33)8722368;;
Zakład Produkcyjny ELISABETH;(32)4341964;;
Zakład Produkcyjny ELISABETH;(32)4351322;;
SUTURA Naprawa Maszyn do Szycia;506092364;;
ALLCOMP POLSKA Sp. z o.o.;(32)3538400;;
ALLCOMP POLSKA Sp. z o.o.;(32)3538401;;
ALUX - Producent urządzeń specjalistycznych;(33)8189366;;
ALUX - Producent urządzeń specjalistycznych;(33)8163002;;
AM TECHNIC;(32)2947576;;
AM TECHNIC;(32)2947577;;
Amatec Polska Sp. z o.o.;(71)3117770;;
Amatec Polska Sp. z o.o.;(71)3117404;;
