FPUH WABAMA Marian Wójcicki;(65)5404373;;
FPUH WABAMA Marian Wójcicki;509870532;;
KMK AGRO Sp.j.;(61)2850179;;
KMK AGRO Sp.j.;(61)2871146;;
Agro-Partner Zakład Techniki Komunalnej i Rolniczej;692053139;;
EKOCEL Sp. z o.o.;(58)7748950;;
EKOCEL Sp. z o.o.;(58)7748910;;
KanRo Ltd Sp. z o.o.;(85)7495155;;
KanRo Ltd Sp. z o.o.;(85)6537794;;
KOMUNAL PARTNER GROUP;(61)8178321;;
KOMUNAL PARTNER GROUP;(61)8189360;;
JUKON Konrad Jutrzenka;604068053;;
Produkcja Maszyn Rolniczych i Części Zamiennych KOWALSCY Sp.j.;(61)4360566;;
Produkcja Maszyn Rolniczych i Części Zamiennych KOWALSCY Sp.j.;(61)6222586;;
POLSAD Jacek Korczak;(24)2547958;;
POLSAD Jacek Korczak;(24)2541416;;
PRONAR Sp. z o.o.;(85)6827100;;
PRONAR Sp. z o.o.;(85)6816383;;
Przedsiębiorstwo ROLMECH Sp. z o.o.;(23)6627291;;
Przedsiębiorstwo ROLMECH Sp. z o.o.;(23)6627290;;
Agroland Sp. z o.o.;(22)1885077;;
Agroland Sp. z o.o.;(22)2050498;;
AGROMEX Krystochowicz Sp.j.;(56)4743727;;
AGROMEX Krystochowicz Sp.j.;(56)4724409;;
ARMAX Sp. z o.o. Sp.komandytowa;(33)8173333;;
ARMAX Sp. z o.o. Sp.komandytowa;(33)8113335;;
FRICKE Maszyny Rolnicze Sp. z o.o.;(89)7412974;;
FRICKE Maszyny Rolnicze Sp. z o.o.;(89)7415345;;
GPK-SITA Głogów Sp. z o.o.;(76)7265656;;
GPK-SITA Głogów Sp. z o.o.;(76)7265666;;
ŁUKAPATR - Prasa, Schredder, Rozdrabniarki do Recyclingu;602300646;;
MADRO KRAKÓW Sp. z o.o.;(12)4116066;;
MADRO KRAKÓW Sp. z o.o.;(12)4114145;;
SAD-SERWIS;(22)8127878;;
SAD-SERWIS;(22)6101144;;
As-service;(81)7489116;;
As-service;693688117;;
Beskidzkie Centrum Czystości APEKS Sp.j. Szlachtowski i Wspólnicy;(33)8163840;;
Beskidzkie Centrum Czystości APEKS Sp.j. Szlachtowski i Wspólnicy;(33)8140132;;
EKO-BUD;508117325;;
Firma Handlowa MG;(62)7573054w.54;;
Firma Handlowa MG;(62)7573053;;
Firma KOŁASZEWSKI;(59)8223488-89;;
Firma KOŁASZEWSKI;(59)8222475;;
HEWEA Sp. z o.o.;(71)3456000;;
HEWEA Sp. z o.o.;(71)3458213;;
JD HYDRO Janusz Dąbrowski;609909117;;
LASEL Sp. z o.o.;(32)4228306;;
LASEL Sp. z o.o.;(32)4237712;;
MAGNETIX Sp. z o.o.;(56)6591777;;
MAGNETIX Sp. z o.o.;(56)6539440;;
P.P.H.U.Agma-Tech;(12)3461396;;
P.P.H.U.Agma-Tech;(12)4161753;;
Pracownie Zieleni BANACH;(12)4122064;;
Pracownie Zieleni BANACH;(12)4222615Serwis;;
PUH MADROCAR Ryszard Maślanka;(12)2751085;;
PUH MADROCAR Ryszard Maślanka;(12)2751480;;
ROLTOP Sp. z o.o.;(58)6836115;;
Stalco Industries Sp. z o.o.;(12)6442360;;
Stalco Industries Sp. z o.o.;(12)6446714;;
Zachodniopomorskie Centrum Sprzętu Komunalnego;(59)8103660;;
Zachodniopomorskie Centrum Sprzętu Komunalnego;(59)8103670;;
MCMS Warka Sp. z o.o.;(48)6674358;;
MCMS Warka Sp. z o.o.;(48)6672166;;
OGROLMET Przedsiębiorstwo Produkcyjno Handlowe Jerzy Mroczek;(61)8677773;;
OGROLMET Przedsiębiorstwo Produkcyjno Handlowe Jerzy Mroczek;(61)8677772;;
Przedsiębiorstwo ROLMECH Sp. z o.o. Oddział Błonie;(22)7963340;;
Przedsiębiorstwo ROLMECH Sp. z o.o. Oddział Błonie;(22)7254630;;
Przedsiębiorstwo ROLMECH Sp. z o.o. Oddział Węgrów;(25)7925927;;
Przedsiębiorstwo ROLMECH Sp. z o.o. Oddział Węgrów;(23)6613989;;
Przedsiębiorstwo ROLMECH Sp. z o.o. Oddział Winnica;(23)6914444;;
Przedsiębiorstwo ROLMECH Sp. z o.o. Oddział Winnica;(23)6914445;;
Przedsiębiorstwo ROLMECH Sp. z o.o. Oddział Żakowola;(83)3722114;;
Przedsiębiorstwo ROLMECH Sp. z o.o. Oddział Żakowola;600836256;;
SaMASZ Sp. z o.o.;(85)6544582;;
SaMASZ Sp. z o.o.;(85)6544584;;
Agrex-Eco Sp. z o.o.;(22)6440305;;
Agrex-Eco Sp. z o.o.;(22)6490851;;
BERGMANN POLSKA;(33)8126935;;
BERGMANN POLSKA;721943736;;
CK Polska;(33)8126935;;
EPD Henryk Muszałowski;(68)3823382;;
EPD Henryk Muszałowski;(68)3828893;;
GREEN-POL Autoryzowany Dealer oraz Serwis Urządzeń Honda;535202220;;
HEIN Sp. z o.o.;(58)6851994;;
HEIN Sp. z o.o.;(58)6849830;;
Holland SADCC Trading Company;(95)7260302;;
Holland SADCC Trading Company;(95)7257703;;
HYDROG Zakład Budowy Maszyn Eksport Import;(42)6457742;;
HYDROG Zakład Budowy Maszyn Eksport Import;(42)6458996;;
Integra Kamiński Sp. z o.o.;(58)6993900;;
Jards S.c. Anna Kuchna, Marcin Weiss;512282535;;
Jards S.c. Anna Kuchna, Marcin Weiss;601565077;;
Knychtech Sp. z o.o.;(77)4643181;;
KOMUNAL TRUCK;(32)2298254;;
KOMUNAL TRUCK;(32)2291053;;
Komunalny.pl S.c.;730596598;;
Komunalny.pl S.c.;507120691;;
LIWEX Łasek Włodzimierz;(71)3527355;;
LIWEX Łasek Włodzimierz;(71)3527729;;
NTM Polska Sp. z o.o.;721862510;;
NTM Polska Sp. z o.o.;691049600;;
OZAMET Sp. z o.o.;(89)5262010;;
OZAMET Sp. z o.o.;(89)5262015;;
PHU Agrocomaster Sp. z o.o.;(32)4196277;;
PHU Agrocomaster Sp. z o.o.;887024240;;
Podlaskie Ogrody Maszyny i Urządzenia S.c.;(25)7877959;;
ROLMEX-MISIUDA Sp.j.;(41)3614551;;
ROLMEX-MISIUDA Sp.j.;(41)3616410;;
SIAL;(91)4500556;;
SIAL;(91)4211650;;
Technika 2011;(61)6585537;;
WYNAJEM ZAMIATAREK;791967357;;
WYNAJEM ZAMIATAREK;794972316;;
Wytwórnia Urządzeń Komunalnych WUKO S.A.;(42)6575110;;
Wytwórnia Urządzeń Komunalnych WUKO S.A.;(42)6574489;;
ZEUS Sp. z o.o.;(44)7323850;;
ZEUS Sp. z o.o.;(44)7323851;;
PHU GÓRAL;668318294;;
PHU GÓRAL;600372998;;
Agro Centrum Ogrodnicze;(75)6451193;;
Agro Centrum Ogrodnicze;(75)6451195;;
AGRO-STANEK;(12)3869637;;
AGROBARD Sp.j.;(48)6180910;;
AGROBARD Sp.j.;(48)6180638;;
Agrohandel Sp.j.;768506112;;
Agrohandel Sp.j.;(76)8506449;;
Agroma Polsad Sp. z o.o.;(24)3553202;;
Agroma Polsad Sp. z o.o.;(24)3553206;;
Agromet-Motoimport Sp. z o.o.;(22)6420242;;
Agromet-Motoimport Sp. z o.o.;(22)6517501;;
AGROPEKS;697555561;;
AGROPLUS;(46)8374785;;
AGROSERWIS;(41)3623996;;
AGROSERWIS;(41)3435054;;
AGROTIMH;(74)8937170;;
antykorozja DOMIKOR;(58)6828654;;
antykorozja DOMIKOR;697626551;;
ATMP Producent Maszyn Rolniczych i Pługów Śnieżnych;669224202;;
ATMP Producent Maszyn Rolniczych i Pługów Śnieżnych;669269279;;
Autopolmozbyt;(48)6643551;;
Autopolmozbyt;(48)6641778;;
BUDROMET Sp. z o.o.;(77)4886686;;
BUDROMET Sp. z o.o.;(77)4886513;;
CIĄGNIKI KIOTI - RE-MONT Rafał Rękas;(22)7572328;;
CIĄGNIKI KIOTI - RE-MONT Rafał Rękas;(22)2072429;;
CYPRYS Maszyny i Urządzenia;(95)7282066;;
CYPRYS Maszyny i Urządzenia;601757776;;
DARMAR;(58)5523718;;
DARMAR;(58)5541019;;
ENTRACK-POL Sp. z o.o.;665790305;;
ENTRACK-POL Sp. z o.o.;609799400;;
EWPA Maszyny Budowlane Sp. z o.o.;(61)8107513;;
EWPA Maszyny Budowlane Sp. z o.o.;(61)8108280;;
EXTECH Sp. z o.o. Sp.komandytowa;(12)6366066;;
F.H.U. Centrum Maszyn S.c.;(17)8612919;;
F.H.U. Centrum Maszyn S.c.;(17)8611999;;
FHU ELROL;603315367;;
FHU ELROL;505331961;;
Firma HALLER S.A.;(32)3512200;;
Firma HALLER S.A.;(32)3512201;;
Firma Małolepszy;(44)6822944;;
Firma Małolepszy;(44)6821494;;
FOREX POLSKA Sp. z o.o.;(61)6630555;;
FOREX POLSKA Sp. z o.o.;(61)6630550;;
GOTEX;(61)8750456;;
GOTEX;531555181;;
GRUNT-MAR;(91)3920010;;
GRUNT-MAR;(91)3926061;;
HAKO Polska Sp. z o.o.;(12)6221700;;
HAKO Polska Sp. z o.o.;(12)6221622;;
Hurt-Detal AGRO-METAL Jacek Dmochowski;(29)7641050;;
JACHOWICZ Sp. z o.o.;(12)6531929;;
JACHOWICZ Sp. z o.o.;(12)6531727;;
JAN-TRANS;(61)2923478;;
JAN-TRANS;602742256;;
Jedlickie Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej Sp. z o.o.;(13)4352151-52;;
Jedlickie Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej Sp. z o.o.;(13)4380060;;
John Deere Polska Sp. z o.o.;(61)8115196;;
John Deere Polska Sp. z o.o.;(61)8115197;;
KM PROJEKT;604578866;;
Korbanek Sp. z o.o.;(61)8950300;;
Korbanek Sp. z o.o.;(61)8950309;;
KUBUS Wypożyczalnia i Sprzedaż Maszyn Budowlanych;739240680;;
KUBUS Wypożyczalnia i Sprzedaż Maszyn Budowlanych;505240680;;
MARKAB Ogród;(58)3505546;;
MARKAB Ogród;(58)6795195;;
MARPOL;(77)4580942;;
MARPOL;601475695;;
MIDOR Marcin Skuza, Paweł Wójcik Sp.j.;(22)8112086;;
MIDOR Marcin Skuza, Paweł Wójcik Sp.j.;(22)6145874;;
Nilpol;(91)4614264;;
Nilpol;(91)4691031;;
NILPOL;(91)4614264;;
NILPOL;601143876;;
P.H.P. ROLSERWIS S.A.;(24)2625063;;
P.P.H.U. A.R. Chmielewski Sp.j.;(15)8366038DziałHandlowy;;
P.P.H.U. A.R. Chmielewski Sp.j.;(15)8366409;;
P.P.H.U. FARMASZ;(46)8743706;;
P.P.U.H. AKPIL;(14)6722551;;
P.P.U.H. POMAROL S.A.;(89)7152071;;
P.P.U.H. POMAROL S.A.;(89)7152073;;
P.P.U.H. TRANSTON;(52)3856466;;
P.P.U.H. TRANSTON;606818000;;
PAK-ROL;(22)7980350;;
PAK-ROL;(22)7985043;;
Pilar-Tech;(12)4101880;;
Pilar-Tech;(12)4101881;;
Pol-Agra J.Korneluk, T.Rzeszowski Sp.j.;(23)6622842;;
Pol-Agra J.Korneluk, T.Rzeszowski Sp.j.;(23)6622015;;
POLCHIMET;(13)4366452;;
POM FARMASZ;(66)4559922;;
POM FARMASZ;(46)8743228;;
PPHU HAND Sp. z o.o.;(33)8175477;;
PPHU HAND Sp. z o.o.;(33)8174229;;
PPUH DEXWAL;(41)3787011w.20;;
PPUH DEXWAL;(41)3787011w.31;;
Premium Trade Sp. z o.o.;603300800;;
Przedsiębiorstwo Gospodarki Komunalnej SANIKO Sp. z o.o.;(54)4121800;;
