AUSTROTHERM Sp. z o.o.;(33)8447033-36;;
AUSTROTHERM Sp. z o.o.;(33)8447043;;
FUH ROLMASZ Sp. z o.o. Sp.komandytowa;(17)2216181;;
FUH ROLMASZ Sp. z o.o. Sp.komandytowa;(17)2233053;;
LELO-EXPRES;502565700;;
MAT-BUD;(95)7590699;;
MAT-BUD;(95)7590698;;
STALBUD II Sp. z o.o.;(22)7833121;;
STALBUD II Sp. z o.o.;(22)7833011w.14;;
ACO Elementy Budowlane Sp. z o.o.;(22)7670500;;
ACO Elementy Budowlane Sp. z o.o.;(22)7670513;;
Amaro Firma Handlowo-Usługowa;(85)6525305;;
APA-2 Sp.j. Andrzej Szmuksta Małgorzata Szmuksta;(91)4280110;;
APA-2 Sp.j. Andrzej Szmuksta Małgorzata Szmuksta;(91)4280112;;
ARBET Fabryka Styropianu Sp.j.;(94)3422076-79;;
ARBET Fabryka Styropianu Sp.j.;(94)3422390;;
ARSANIT Sp. z o.o.;(32)2017510;;
ARSANIT Sp. z o.o.;(32)2017520;;
AXIOM Sp. z o.o. Przedsiębiorstwo Produkcyjne Handlowe i Usługowe;(33)8149798;;
AXIOM Sp. z o.o. Przedsiębiorstwo Produkcyjne Handlowe i Usługowe;(33)8142959;;
BONA S.c.;(48)3847866;;
BONA S.c.;(48)3600744;;
BUDMEX PLUS Sp. z o.o. Sp.komandytowa;(22)8461193;;
CDN-Artykuły Budowlane i Wyposażenia Wnętrz;(71)3132860;;
Centrum Budownictwa i Ogrodnictwa EREM;(16)6786002;;
Centrum Budownictwa i Ogrodnictwa EREM;(16)6760750;;
Centrum Handlowe WZM BUD-SERWIS;(22)7270051;;
Centrum Handlowe WZM BUD-SERWIS;(22)7270894;;
Centrum Materiałów Budowlanych;(32)2715554;;
Centrum Materiałów Budowlanych;(32)2785554;;
CERAMOT Sp.j.;(32)4517471;;
CERAMOT Sp.j.;(32)4517444;;
Complex Sp.j. J.Michalkiewicz, M.Krzemień;(32)3326333;;
Complex Sp.j. J.Michalkiewicz, M.Krzemień;601448892;;
DARJAN Sp. z o.o. Materiały Budowlane, Betoniarnia;(13)4694277Sprzedaż;;
DARJAN Sp. z o.o. Materiały Budowlane, Betoniarnia;(13)4694440Sekretariat;;
DOLINA NIDY;(41)3578125-29;;
DOLINA NIDY;(41)3578124;;
DON BUD;(62)5033115;;
EKODACH;(22)6765612;;
EKODACH;602708356;;
ELMAS Sowa, Pawlak Sp.j.;(22)7890789;;
ELMAS Sowa, Pawlak Sp.j.;(22)7733443;;
F.H.U. OKO;(34)3551608;;
F.H.U. OKO;(34)3540300;;
F.H.U. Tadeusz Żogała;(32)2025920;;
F.H.U. Tadeusz Żogała;664487703;;
F.P.U.H. MAR-BRUK;(17)2217920;;
F.P.U.H. MAR-BRUK;696438147;;
Firma EKOSYSTEM Sp. z o.o.;(12)2864450;;
Firma EKOSYSTEM Sp. z o.o.;(12)4184040;;
Firma PUBiI EKOL;(91)3811315;;
Firma PUBiI EKOL;603072953;;
FOX Dariusz Nizio;(84)6867334;;
FOX Dariusz Nizio;(84)6865444;;
HARP Materiały Budowlane Sp.j.;(12)2859189;;
HARP Materiały Budowlane Sp.j.;502666622;;
HDMB Maszewski;(61)6531322;;
HDMB Maszewski;(61)8771902;;
Hurtownia KOBA;(33)8216480;;
Hurtownia KOBA;501183259;;
KE-MA Sp. z o.o.;(75)6480084;;
KE-MA Sp. z o.o.;606735824;;
KINGSPAN Sp. z o.o.;(48)3783100-01;;
KINGSPAN Sp. z o.o.;(48)3781330;;
KM Tani Dom;(71)3990103;;
KM Tani Dom;607167029;;
KURPAS;(32)7389233;;
LIDER Market Budowlany;(84)6861545;;
LIDER Market Budowlany;(84)6880468;;
LODE-POLSKA Sp. z o.o.;(22)6687784;;
MALIEROSE;508249901;;
MALIEROSE;533050003;;
Mat-Bud;(56)6780330;;
Mat-Bud;(56)6743620-21;;
MATBET Producent Elementów Betonowych i Żelbetowych;(61)8146146;;
MATBET Producent Elementów Betonowych i Żelbetowych;(61)8147167;;
MBM;(24)2620990;;
MBM;(24)3656326;;
MIRA POLSKA Sp. z o.o.;(32)7560031;;
MIRA POLSKA Sp. z o.o.;(32)7560032;;
MP-Alamentti Sp. z o.o.;(34)3621832;;
MP-Alamentti Sp. z o.o.;(34)3621765;;
NEOPROFIL Sp.j. Rafał Herzyk, Adam Prokop;(74)8166670;;
NEOPROFIL Sp.j. Rafał Herzyk, Adam Prokop;(74)8166656;;
P.P.U.H. BRAM-STALL;(32)7229053-54;;
P.P.U.H. BRAM-STALL;601-642-600;;
P.W. REN-WIT;(67)2860751;;
P.W. REN-WIT;(67)2861118;;
PANEL-METAL Sp. z o.o.;(56)6835593;;
PANEL-METAL Sp. z o.o.;(56)6822380;;
PARDOM S.c.;(12)2692700;;
PARDOM S.c.;(12)2669976;;
Perspektywa Adam Boguszewski;(22)7816104;;
Perspektywa Adam Boguszewski;(22)7816100;;
PPHU CHWALIBÓG S.c.;792216567;;
PPHU CHWALIBÓG S.c.;693702011;;
Przedsiębiorstwo Handlowe SABO Sp. z o.o. Sp.komandytowa;(87)5630336Suwałki;;
Przedsiębiorstwo Handlowe SABO Sp. z o.o. Sp.komandytowa;(85)7455688Białystok;;
Przedsiębiorstwo Transportowo-Handlowe MARGO;(67)2835136;;
Przedsiębiorstwo Transportowo-Handlowe MARGO;(67)2835137;;
PSB Warszawa;(22)6788686;;
PSB Warszawa;(22)6784546;;
PUH LARES Artur Niedźwiecki;509123842;;
PUH LARES Artur Niedźwiecki;501662245;;
REN-BUD Sprzedaż Materiałów Budowlanych;798714166;;
REN-BUD Sprzedaż Materiałów Budowlanych;501249518;;
Saint-Gobain Polska Sp. z o.o.;(22)5788540;;
Saint-Gobain Polska Sp. z o.o.;(22)5788542;;
SEVVENNA Materiały Budowlane;(41)3480008;;
SEVVENNA Materiały Budowlane;(41)3482000;;
SIGMA;(25)7925545;;
SIGMA;602505435;;
Skład Materiałów Budowlanych BUDMET Jerzy Czubaj;(12)2691743;;
Skład Materiałów Budowlanych BUDMET Jerzy Czubaj;(12)2606700;;
Spoiwex Sp. z o.o. - producent i dostawca spoiw;(32)7340315;;
Spoiwex Sp. z o.o. - producent i dostawca spoiw;504158461;;
STE MB STE Group Sp. z o.o. Sp.komandytowa;(95)7298249;;
STE MB STE Group Sp. z o.o. Sp.komandytowa;601975100;;
STEMAR Sp. z o.o.;(15)8440294;;
STEMAR Sp. z o.o.;(15)8432599;;
STM;(17)8548055;;
STOLBRAT Sp. z o.o.;(75)7814221;;
STOLBRAT Sp. z o.o.;(75)7812018;;
STYRBET - producent styropianu;(41)3073509;;
STYRBET - producent styropianu;(41)3073538;;
TERMAT Sp. z o.o.;(71)3175121-23;;
TERMAT Sp. z o.o.;(71)3172320;;
TERMICO Sp. z o.o.;(17)2506030;;
TERMO-DEK Sp.j. Roman Bartczak, Andrzej Markowski;(61)8489898;;
TERMO-DEK Sp.j. Roman Bartczak, Andrzej Markowski;(61)8489995;;
TRANSCEM;602332039;;
TRANSCEM;602238445;;
TROPS S.A.;(56)6588371;;
TrueTrade & Technology Sp. z o.o.;(32)6037030;;
TrueTrade & Technology Sp. z o.o.;(32)6037031;;
war-REMEDIUM Sp. z o.o.;(22)7890143;;
war-REMEDIUM Sp. z o.o.;(22)7804070;;
ZPH TERBUD;(71)3892612;;
ZPH TERBUD;(71)3891309;;
ARGO Sp.j. Artur Wocial, Grzegorz Niedźwiedziuk;(25)7587400Mińsk;;
ARGO Sp.j. Artur Wocial, Grzegorz Niedźwiedziuk;(25)7587458Mińsk;;
AS PPH Producent Odwodnień Liniowych;(22)7370522;;
AS PPH Producent Odwodnień Liniowych;(22)7370523;;
BASMAC Sp. z o.o.;(17)8520047-48;;
BAT Materiały Budowlane;(58)3495846;;
BAT Materiały Budowlane;(58)3495560;;
BD eljot S.c.;(71)3984745;;
BD eljot S.c.;504031952;;
Benmar Sp. z o.o. Hurtownia Budowlana i Markety Budowlane;(85)6637910;;
Benmar Sp. z o.o. Hurtownia Budowlana i Markety Budowlane;(85)6637929;;
BUDEX;(91)3843868;;
BUDEX;(91)3845240;;
BUDMAX Materiały i Usługi Budowlane;(17)2271991;;
BUDMAX Materiały i Usługi Budowlane;(17)7852533;;
CEBIKO CBI Robert Gumienny;(61)8705808;;
CEBIKO CBI Robert Gumienny;(61)8719030;;
Cegielnia Chwałowice Z.Kozłowski, H.Kozłowski, M.Ziobrowski;602242262;;
Cegielnia Chwałowice Z.Kozłowski, H.Kozłowski, M.Ziobrowski;(15)8453361;;
Cementownia Warta S.A.;(43)8413003;;
Cementownia Warta S.A.;(43)8403131;;
Centrum Budowlane FRAMBUD;(91)5610652;;
Centrum Budowlane FRAMBUD;(91)5610762;;
Ceramika Budowlana LEWKOWO Sp. z o.o.;(85)6856299;;
Ceramika Budowlana LEWKOWO Sp. z o.o.;(85)6856213;;
CORPINEX Sp. z o.o. Przedsiębiorstwo Zaopatrzenia Budownictwa;(52)3575339handel;;
CORPINEX Sp. z o.o. Przedsiębiorstwo Zaopatrzenia Budownictwa;(52)3572874handel;;
DOMIX Hurtownia Materiałów Budowlanych;(22)7222666;;
DOMIX Hurtownia Materiałów Budowlanych;(22)7221474;;
ELBAR Autoryzowany Dystrybutor Materiałów Budowlanych i Wykończeniowych;(62)7680700;;
ELBAR Autoryzowany Dystrybutor Materiałów Budowlanych i Wykończeniowych;(62)7680273;;
Essve Poland Sp. z o.o.;(91)4324580;;
Essve Poland Sp. z o.o.;(91)4324589;;
F.H.U.P. SOCHA Dariusz Socha;(16)6244400;;
F.H.U.P. SOCHA Dariusz Socha;(16)6242800;;
Firma DÖRING;(58)5885288;;
Firma DÖRING;502059242;;
Firma Handlowa GRZESIK;(55)2722327;;
Firma Handlowa MIKULEC;(18)4452931;;
Firma Handlowa MIKULEC;(18)4452156;;
GIPS BUD Piotr Borowiec;(42)6812738;;
GIPS BUD Piotr Borowiec;(42)6812737;;
GIPSOL Sp.j. - Grupa PSB;604456617;;
GIPSOL Sp.j. - Grupa PSB;602231578;;
Grupa STOREX Sp. z o.o.;(89)5334635;;
Grupa STOREX Sp. z o.o.;(89)5334623;;
HARDY Skład Budowlany;(94)3673170;;
HARDY Skład Budowlany;692446350;;
Hurtownia Artykułów Przemysłowych i Budowlanych Marek Michalak;(61)8705360;;
Hurtownia Artykułów Przemysłowych i Budowlanych Marek Michalak;(61)8726315;;
Hurtownia Budowlana Manex Sp. z o.o.;(71)3521111;;
Hurtownia Budowlana Manex Sp. z o.o.;(71)3521008;;
IMPULS PSB - Materiały Budowlane;(18)3374127;;
IMPULS PSB - Materiały Budowlane;(18)3375332;;
IZOPANEL Sp. z o.o.;(58)3401717;;
IZOPANEL Sp. z o.o.;(58)3401718;;
IZOTECHNIKA Sp. z o.o.;(77)4662591;;
IZOTECHNIKA Sp. z o.o.;(77)4078180;;
JASAM Sp. z o.o.;(89)5333010;;
JOKO;(74)8677050;;
KAMBET Przedsiębiorstwo Prefabrykacji;(85)7193266;;
KAMBET Przedsiębiorstwo Prefabrykacji;608525578;;
Knauf Insulation Sp. z o.o.;(22)3695900;;
Knauf Insulation Sp. z o.o.;(22)3695910;;
KRATWEN Przedsiębiorstwo Produkcyjne S.c.;(34)3622371;;
KRATWEN Przedsiębiorstwo Produkcyjne S.c.;601461522;;
Leszek Zielonka Skład Fabryczny;(22)7732623;;
Leszek Zielonka Skład Fabryczny;(22)7732624;;
MANI Materiały Budowlane - Usługi Transportowe;(22)7250567;;
MANI Materiały Budowlane - Usługi Transportowe;604405506;;
MAT-CHEM-BUD Centrum Chemii Budowlanej Sp.j.;(33)8156361;;
MAT-CHEM-BUD Centrum Chemii Budowlanej Sp.j.;(33)8155175;;
Modern Bud Int. Group - ekombig.pl (MBIG);(85)6518528;;
Modern Bud Int. Group - ekombig.pl (MBIG);(85)6518579;;
Nordkam Sp. z o.o.;(58)6274864;;
Nordkam Sp. z o.o.;(58)6274866;;
Normet Maria Słabik;(77)4695533;;
Normet Maria Słabik;(77)4696739;;
Nowoczesne Materiały Budowlane OMEGA Sp. z o.o.;(81)7518000;;
P.P.H. DOCARD;(52)3020485;;
P.P.H. DOCARD;501655977;;
PaNELTECH Sp. z o.o.;(32)2459141-46;;
PaNELTECH Sp. z o.o.;(32)2459139;;
PEAMCO Materiały Budowlane Tomczak Sp.j.;(65)5255200-01;;
PEAMCO Materiały Budowlane Tomczak Sp.j.;(65)5255209;;
POL-MET Dystrybucja Materiałów Budowlanych;(22)6101440;;
POL-MET Dystrybucja Materiałów Budowlanych;530741601;;
PPHU STABUD Stanisław Idzikowski;(62)7304530;;
PPHU STABUD Stanisław Idzikowski;(62)7304536;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe REKORD S.c.;(82)5761723;;
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe REKORD S.c.;600375352;;
Przedsiębiorstwo REMAT Sp. z o.o.;(12)4215401;;
ROMOS Sp. z o.o.;(65)5729600;;
ROMOS Sp. z o.o.;(65)5729623;;
Royal Hurt Łódź;(42)6492998;;
Royal Hurt Łódź;(42)6492182;;
SAI-POL Materiały Budowlane;(42)2142572;;
SAI-POL Materiały Budowlane;501339213;;
SINUS Sp. z o.o.;(33)8116696;;
SINUS Sp. z o.o.;(33)8116683;;
TeknoAmerBlok Sp. z o.o.;(22)6149663-64;;
TeknoAmerBlok Sp. z o.o.;(22)6149665;;
TERMBUD Sp.j.;(56)6547666;;
TERMBUD Sp.j.;(56)6548276;;
TREGOR Sp. z o.o.;669477777;;
TREGOR Sp. z o.o.;(22)7020408;;
VILPOL Wilamowscy Sp.j.;(85)7162572;;
WIZMET;(32)2969209;;
WIZMET;501511291;;
Zakład Ceramiczny Józef Pilżys i Jerzy Wojciechowski S.c.;(68)3601652;;
Zakład Ceramiczny Józef Pilżys i Jerzy Wojciechowski S.c.;(68)3601210;;
Zakład Ceramiki Budowlanej OWCZARY R.E.R. Stępień Sp.j.;(44)7561074;;
Zakład Ceramiki Budowlanej OWCZARY R.E.R. Stępień Sp.j.;(44)7561174;;
Zakład Produkcyjno-Handlowy ARTMET;(44)7552476;;
Zakład Produkcyjno-Handlowy ARTMET;(44)7553178;;
ZELBUD Materiały Budowlane;(15)8322225;;
ZELBUD Materiały Budowlane;508177991;;
Ziegel-Fertigteil-Elemente Sp. z o.o.;(94)3757692;;
Ziegel-Fertigteil-Elemente Sp. z o.o.;(94)3756444;;
Agrobud Sp. z o.o. Przedsiębiorstwo Techniczno-Handlowe;(77)4270520;;
ALIPLAST Sp. z o.o.;(81)7455030;;
ALIPLAST Sp. z o.o.;(81)7455031;;
ARKA-SK Strefa Zamieszkania;(14)6105916;;
Art-DETA Tomasz Brożek;(32)6236489;;
Art-DETA Tomasz Brożek;604484079;;
AS KLINKIER Andrzej Sołtysek;(58)6810383;;
AS KLINKIER Andrzej Sołtysek;(58)6811261;;
BAAS-PANEL Przedsiębiorstwo Wielobranżowe;(15)8701103;;
BAAS-PANEL Przedsiębiorstwo Wielobranżowe;(15)8701104;;
Biuro Handlowe TESTPOL;(74)8401956;;
Biuro Handlowe TESTPOL;(74)8418406;;
BLACHBUD;(43)6712208-Dobroń;;
BLACHBUD;(42)2153401-Pabianice;;
BODENPROFI;502500780;;
Bronisław Jurek PPHU TRANS-KOP;(48)6127046;;
BRUK-BET Sp. z o.o.;(14)6444444;;
BRUK-BET Sp. z o.o.;(14)6444471;;
BRUK-BET Sp. z o.o. Oddział Fugasówka;(32)6727400;;
BRUK-BET Sp. z o.o. Oddział Fugasówka;500009881;;
BRUK-BET Sp. z o.o. Oddział Skierniewice;(46)8325777;;
BRUK-BET Sp. z o.o. Oddział Skierniewice;500009049;;
BUDOHURT Materiały Budowlane;(32)7303333;;
BUDOHURT Materiały Budowlane;(32)2090457;;
Budomat Blachy na Ściany i Dachy;(56)6623702;;
CB S.A.;(77)4005040;;
CB S.A.;(77)4005045;;
CEGBUD Sp.j.;(34)3271884;;
CEGBUD Sp.j.;(34)3270975;;
CEGIELNIA HOFFMANOWSKA Ewaryst Jerzy Osiniak, Mariusz Osiniak Sp.j.;(81)8252419;;
CEGIELNIA HOFFMANOWSKA Ewaryst Jerzy Osiniak, Mariusz Osiniak Sp.j.;(81)8252871;;
Centrala Materiałów Budowlanych w Wągrowcu;(67)2627155;;
