AŻUR MAŁGORZATA I MIROSŁAW MIŚ SPÓŁKA JAWNA;(32)2102877;;
AŻUR MAŁGORZATA I MIROSŁAW MIŚ SPÓŁKA JAWNA;(32)2117185;;
OLKO-1 Sp.j.;(33)8176471;;
OLKO-1 Sp.j.;(33)8113623;;
P.P.H. UNIKAL;(67)3519490;;
P.P.H. UNIKAL;(67)2123157;;
Przedsiębiorstwo Produkcyjno-Usługowe KIEL-TECH Sp. z o.o.;(41)3620065;;
Przedsiębiorstwo Produkcyjno-Usługowe KIEL-TECH Sp. z o.o.;(41)3612375;;
Utrata Bis Sp. z o.o.;(22)7397590;;
Utrata Bis Sp. z o.o.;(22)7397242;;
A&A Andrzej Olszewski, Anna Olszewska;(22)8644545;;
A&A Andrzej Olszewski, Anna Olszewska;504268166;;
Firma Handlowa ELMETAL Sp.j. Zofia Brzeska;(58)3430231;;
Firma Handlowa ELMETAL Sp.j. Zofia Brzeska;(58)3422206;;
KRZEMEX G.W.Gustyńscy Sp.j.;(33)8610671;;
KRZEMEX G.W.Gustyńscy Sp.j.;(33)8610775;;
P.P.H.U. PROFIL W. MOMOT, E. MOMOT Sp.j.;(71)3164957;;
POLER Sp.j.;(18)3310656;;
POLER Sp.j.;(18)3310657;;
REDO Systemy Przemysłowe;(91)8348828;;
REDO Systemy Przemysłowe;(91)8348829;;
Zakład Produkcyjno-Handlowy METAL-SZCZOT S.c.;(67)2547032;;
Zakład Produkcyjno-Handlowy METAL-SZCZOT S.c.;507860451;;
ZAPAN S.c. K.Panasiuk, P.Zapała;(41)3725183;;
ZAPAN S.c. K.Panasiuk, P.Zapała;(41)3756155;;
Hurtownia ALFA Sp. z o.o.;(17)8642361;;
KEK METAL Sp.j.;(71)3363114;;
KEK METAL Sp.j.;602757840;;
Klingspor Sp. z o.o.;(33)8282100;;
Klingspor Sp. z o.o.;(33)8184225;;
Kos-Korund;(63)2610166;;
Kos-Korund;(63)2720219;;
MAT-CORUND Sp.j.;(12)2690306;;
MAT-CORUND Sp.j.;(12)2692453;;
MK PLASTIMEX Sp. z o.o.;(83)3443249;;
P.P.H. REWA Tomasz Reszka;(44)7143703;;
P.P.H. REWA Tomasz Reszka;(44)7104809;;
POLMINERAL Sp. z o.o. Producent Elektrokorundu Zwykłego;(42)7124150;;
POLMINERAL Sp. z o.o. Producent Elektrokorundu Zwykłego;(42)7124200;;
Techniflex Sp. z o.o.;(18)3312620;;
Techniflex Sp. z o.o.;(18)3311015;;
TEDIAM;(22)8367370;;
TEDIAM;607305858;;
Zakład Elektromechaniczny TORAL Maciej Tippe;(32)6470100;;
Zakład Elektromechaniczny TORAL Maciej Tippe;509190717;;
COLOR TECHNIC Mirosław Szafirowski;(76)8506228;;
COLOR TECHNIC Mirosław Szafirowski;(76)8507295;;
Hurtownia Narzędzi SEGER;(14)6803950;;
Hurtownia Narzędzi SEGER;(14)6803953;;
PROMOTEC Paweł Podstawka;605825196;;
PROMOTEC Paweł Podstawka;(81)4439599;;
BP Techem S.A.;(22)4896500;;
BP Techem S.A.;(22)4896555;;
CENTROSTAL S.A. Kielce;(41)3490500;;
DIAMOS Liliana Lewandowska i Wspólnicy Sp.j.;(32)4416990;;
DIAMOS Liliana Lewandowska i Wspólnicy Sp.j.;(32)7202696;;
ELKAR;(44)6330971;;
ELKAR;(44)7890630;;
Firma Handlowa Szafara i Syn;(85)7191145;;
Firma Handlowa Szafara i Syn;(85)7193002;;
Firma Handlowo-Usługowa WIRTECH Bogumiła Kopecka;601740582;;
Firma Handlowo-Usługowa WIRTECH Bogumiła Kopecka;605876748;;
GLOBEX Hurtownia Artykułów Złącznych;(95)7277234;;
GRUPA LUKSOR Sp. z o.o.;(56)6590693;;
GRUPA LUKSOR Sp. z o.o.;(56)6390368;;
MARBAD Sp. z o.o. Zakład Techniki Obróbki Powierzchni;(22)6442945;;
MARBAD Sp. z o.o. Zakład Techniki Obróbki Powierzchni;(22)6410811;;
NELKOR Sp. z o.o.;(22)7744999;;
NELKOR Sp. z o.o.;(22)7843071;;
Ośrodek Usług Technicznych MEZAR Sp. z o.o.;(95)7202161;;
Ośrodek Usług Technicznych MEZAR Sp. z o.o.;(95)7223043;;
Północna Grupa Narzędziowa Sp. z o.o.;(89)6429700Centrala;;
Północna Grupa Narzędziowa Sp. z o.o.;(89)6429701;;
PRODLEW Sp. z o.o.;(22)8700430;;
PRODLEW Sp. z o.o.;(22)8102767;;
Przedsiębiorstwo Handlowo-Usługowe Grzegorz Lodowski;(22)7893515;;
Przedsiębiorstwo Handlowo-Usługowe Grzegorz Lodowski;(22)7896653;;
REDIX T.Kościesza i Wspólnicy Sp.komandytowa;(22)8120586;;
