Biuro Matrymonialne SEKRET;606746555;;
Biuro Matrymonialne SEKRET;606746555;;
Biuro Matrymonialne SERENADA Elżbieta Studzińska;(59)8145239;;
Biuro Matrymonialne SERENADA Elżbieta Studzińska;510580466;;
UBiR BIO-SERWIS i Międzynarodowe Biuro Matrymonialne KOCHAJ!;(32)7265609;;
UBiR BIO-SERWIS i Międzynarodowe Biuro Matrymonialne KOCHAJ!;501326857;;
AMELIA Biuro Matrymonialne;605136234;;
ANONS Biuro Matrymonialne;505702906;;
B-PARTNER;(76)8624550;;
B-PARTNER;604262186;;
Biuro Matrymonialne 100%;501120919;;
Biuro Matrymonialne 100%;(68)3718196;;
Biuro Matrymonialne AGA-Centrum Leczenia Samotności;(032)6177542;;
Biuro Matrymonialne AGA-Centrum Leczenia Samotności;513671953;;
Biuro Matrymonialne Agentur-2life MBM;(77)5513590;;
Biuro Matrymonialne AMOR;502449086;;
Biuro Matrymonialne BEATUS;694399285;;
Biuro Matrymonialne BEATUS;(12)6565748;;
Biuro Matrymonialne Eko-Eureka;(56)6599165;;
Biuro Matrymonialne Eko-Eureka;692971972;;
Biuro Matrymonialne ELZA;(71)7843182;;
Biuro Matrymonialne ELZA;693698270;;
Biuro Matrymonialne MAGNES;600434700;;
Biuro Matrymonialne Połączeni;695880488;;
Biuro Matrymonialne RUSAŁKA;662400165;;
Biuro Matrymonialne WOLNE SERCA;(61)8228869;;
Biuro Matrymonialne WOLNE SERCA;603139936;;
Biuro Matrymonialne ZAUFANIE;(61)8681300;;
Biuro Matrymonialne ZAUFANIE;501632235;;
Biuro Matrymonialno-Towarzyskie STOKROTKA;(89)6777003;;
Biuro Matrymonialno-Zapoznawcze DOLCE VITA;(48)3624414;;
Biuro Partnersko-Matrymonialne Anita;(84)6380228;;
Biuro Partnersko-Matrymonialne Anita;605729750;;
Bm Polonia Biuro Matrymonialne;(52)3662045;;
CON TE Studio Biuro Matrymonialne;601410014;;
DUET CENTRUM;(22)8280622;;
DUET CENTRUM;(22)8285275;;
DUO mgr Psycholog Joanna Choińska;784109991;;
GODIVA Biuro Matrymonialne;(34)3173408;;
HAPPY END Biuro Dobrych Znajomości Renata Chmielewska;(81)5342552;;
HAPPY END Biuro Dobrych Znajomości Renata Chmielewska;667946818;;
Małopolskie Centrum Matrymonialne M.C.M.;(12)6580532;;
Małopolskie Centrum Matrymonialne M.C.M.;664450020;;
NAD STRUMIENIEM Bogusław i Agnieszka Zarembowie;(81)7512193;;
NAD STRUMIENIEM Bogusław i Agnieszka Zarembowie;507031912;;
NOBILITAS Biuro Matrymonialne S.c. M.Mijal-Malska, M.Dworska;(71)7959006;;
NOBILITAS Biuro Matrymonialne S.c. M.Mijal-Malska, M.Dworska;508008681;;
OSTOYA Centrum Matrymonialno-Poznawcze;(22)2736173;;
OSTOYA Centrum Matrymonialno-Poznawcze;666518111;;
Profesjonalne Biuro Matrymonialne EGO;(71)7947771;;
Profesjonalne Biuro Matrymonialne EGO;600231753;;
RYTMIKA UCZUĆ;881781888;;
SYNERGYS Sp.j.;(71)3418780;;
Szczęśliwe Biuro Matrymonialne;(12)2919939;;
Szczęśliwe Biuro Matrymonialne;791991951;;
ŚWIAT SINGLA;(22)3926605;;
ŚWIAT SINGLA;(22)4970775;;
FANATIC-PARTNERZY;607104159;;
