ATENA Centrum Zdrowia i Urody;(77)4337971;;
ATENA Centrum Zdrowia i Urody;602625108;;
Centrum Dermatologii i Laseroterapii URODA Dr Monika Lelonkiewicz;(71)3154581;;
Centrum Dermatologii i Laseroterapii URODA Dr Monika Lelonkiewicz;609602212;;
Centrum Medyczne BIEŃKOWSKI - Klinika Chirurgii Plastycznej;(52)3616910;;
Centrum Medyczne BIEŃKOWSKI - Klinika Chirurgii Plastycznej;(52)3452999;;
Centrum Medyczne GAJOWA;(61)8417173;;
DREAM-MED;502067281;;
EPI CENTRUM Laser Clinic Sp. z o.o.;(22)8445351;;
EPI CENTRUM Laser Clinic Sp. z o.o.;(22)8449294;;
GABINET CHIRURGII KOSMETYCZNEJ dr n. med. Jakub Kratochwil;(71)3681995;;
GABINET CHIRURGII KOSMETYCZNEJ dr n. med. Jakub Kratochwil;601581517;;
Klinika Medycyny Estetycznej & Centrum Ginekologii;(74)8315220;;
Klinika Medycyny Estetycznej & Centrum Ginekologii;(74)8313125;;
Ośrodek Medycyny Estetycznej DWÓR KUŹNICZKI;(58)5204751;;
Ośrodek Medycyny Estetycznej DWÓR KUŹNICZKI;501236957;;
Prywatny Instytut Zdrowia i Urody;(22)6516686-87;;
Prywatny Instytut Zdrowia i Urody;(22)8424330;;
AESTHETIC Specjalistyczne Gabinety Medycyny Estetycznej i Przeciwstarzeniowej;(42)6618560;;
AESTHETIC Specjalistyczne Gabinety Medycyny Estetycznej i Przeciwstarzeniowej;515692660;;
Artplastica - Klinika Chirurgii Plastycznej;(91)4540442;;
Bellisana;(22)4010665;;
Bellisana;665665078;;
CAMI Estetyczna Chirurgia Plastyczna i Laseroterapia;(12)4206070;;
Centrum Medycyny NOWA EUROPA;(42)2568787;;
Centrum Medycyny NOWA EUROPA;(42)6899440;;
Chirurgia Plastyczna Andrzej Michalak;601791344;;
Chirurgia Plastyczna Andrzej Michalak;(71)3211126;;
Gabinet Kosmetyki Lekarskiej BELLA;(22)6253300;;
Instytut Zdrowia i Urody FENIKS;(22)4126465;;
Klinika Kosmetyczna;(42)2796663;;
Klinika Kosmetyczna;608061706;;
Klinika Wiatroszak ESTmedica;(71)7905050;;
Klinika Wiatroszak ESTmedica;600100183;;
Prywatna Praktyka Lekarska Magdalena Bacz-Malinowska;(22)8615663;;
Prywatna Praktyka Lekarska Magdalena Bacz-Malinowska;604189020;;
SkinClinic Med & Beauty;(22)4244646;;
SkinClinic Med & Beauty;(22)6354353;;
WellDerm Centrum Medycyny Estetycznej i Dermatologii;(22)2434144;;
WellDerm Centrum Medycyny Estetycznej i Dermatologii;509370071;;
Chirurgia Plastyczna Piotr Knast;603682409;;
Chirurgia Plastyczna Piotr Knast;(71)3726781;;
CME MediGold;(32)7713071;;
CME MediGold;530795708;;
ELIX Studio Medycyny Estetycznej;604900618;;
EPI CENTRUM Laser Clinic;(89)5349148;;
ESTETICAN;515438064;;
ESTETICAN;517932450;;
HIALURON Instytut Medycyny Estetycznej i Kosmetologii;(85)8311261;;
Instytut Estetyki Karolina Majchrowicz;507339701;;
Instytut Piękna Bielenda Gabinet Medycyny Estetycznej;(12)6330575;;
Instytut Piękna Bielenda Gabinet Medycyny Estetycznej;505681969;;
Instytut Zdrowia i Urody FENIKS;(89)6428818;;
Instytut Zdrowia i Urody SENTIDO;(71)3468064;;
Instytut Zdrowia i Urody SENTIDO;(71)3466971;;
KAMAX ESTETYKA Sp. z o.o.;608666040;;
KAMAX ESTETYKA Sp. z o.o.;795364133;;
Klinika Bieniek - Centrum Chirurgii Plastycznej, Dermatologicznej i Laserowej Renaty i Andrzeja Bieńka;(71)7279258;;
Klinika Bieniek - Centrum Chirurgii Plastycznej, Dermatologicznej i Laserowej Renaty i Andrzeja Bieńka;602274576;;
Klinika Medycyny Estetycznej Med Estetica Izabela Lenartowicz;605198555;;
Princess Academy;(22)6220007;;
Princess Academy;534455555;;
PT Dental S.c. Centrum Medyczne Piasek & Terpiłowska;(48)3633360;;
RE VITAE Centrum Medycyny Estetycznej i Chirurgii Plastycznej;(41)2428228;;
RE VITAE Centrum Medycyny Estetycznej i Chirurgii Plastycznej;664029922;;
WellDerm Centrum Medycyny Estetycznej i Dermatologii;(71)7806626;;
WellDerm Centrum Medycyny Estetycznej i Dermatologii;601781481;;
Centrum Medyczne MEDICERS Przychodnia Zacisze NZOZ;(22)7443150;;
Centrum Medyczne MEDICERS Przychodnia Zacisze NZOZ;(22)7443151;;
Centrum Flebologii Klinika Zdrowych Nóg;(22)6136256;;
