Centrum Kosmoenergetyki ANAHATA;516167150;;
IMMUNE-HERBA rok założenia 1989 r.;602376511-od7.00do22.00;;
IMMUNE-HERBA rok założenia 1989 r.;505576912;;
Biogeneza Sp. z o.o.;(32)2856046;;
Biogeneza Sp. z o.o.;793820438;;
Centrum Naturoterapii LILIANNA;609275791;;
FARMAPIA Sp. z o.o.;(12)4226687;;
IZIS Centrum Radiestezji i Bioterapii Adam Myśliwiec;(17)8657667;;
IZIS Centrum Radiestezji i Bioterapii Adam Myśliwiec;602494733;;
MULLIGAN POLSKA- Zdrowie dla Wszystkich;509584001;;
MULLIGAN POLSKA- Zdrowie dla Wszystkich;(12)3581578;;
OPEN-ART;(32)2636940;;
OPEN-ART;606178659;;
Prywatny Gabinet Lekarski Grażyna Duszkiewicz;(22)6440472;;
ACU-MEDICA;664451524;;
Anna Sulkowska - Ośrodek Terapii Naturalnych BIOAURA;694348417;;
Anna Sulkowska - Ośrodek Terapii Naturalnych BIOAURA;(24)3656886;;
Centrum MANDAGAZ;(22)7576507;;
Centrum MANDAGAZ;504228606;;
Centrum Medycyny Chińskiej;(32)3273977;;
Centrum Medycyny Chińskiej;609110000;;
DEESIS Sklep Nepalsko-Tybetański;(22)6200304;;
DEESIS Sklep Nepalsko-Tybetański;602133466;;
Gabinet Medycyny Naturalnej BONATURA.pl;509479922;;
Gabinet Medycyny Naturalnej BONATURA.pl;(68)3846401;;
IBG Witaminy, Naturalne Suplementy Diety Jacek Głębocki;(42)6764730;;
IBG Witaminy, Naturalne Suplementy Diety Jacek Głębocki;(42)6767683;;
Indywidualna Praktyka Lekarska Ewa Łączkowska;883318185;;
Instytut Medycyny Holistycznej VEGA MEDICA;(22)4353000;;
Instytut Medycyny Holistycznej VEGA MEDICA;(22)6321514;;
Natura Leszek Hertman;501212279;;
NOMA MEDICA VOLLA Oddział Wadowice Ewa Giza;505581841;;
NOMA MEDICA VOLLA Oddział Wadowice Ewa Giza;505581711;;
Terapie Naturalne Mieczysława Sikorska-Klimczak;509494371;;
