ARTEK Sp. z o.o. Sp.komandytowa Centrum Dystrybucji Mięsa, Wędlin i Drobiu;(68)3530000;;
ARTEK Sp. z o.o. Sp.komandytowa Centrum Dystrybucji Mięsa, Wędlin i Drobiu;(68)3530030;;
BALCERZAK i Spółka Sp. z o.o. Sławski Zakład Przetwórstwa Mięsa i Drobiu;(68)3566682;;
BALCERZAK i Spółka Sp. z o.o. Sławski Zakład Przetwórstwa Mięsa i Drobiu;(68)3567229;;
Dolnośląskie Hurtownie Wędlin STEFAN Sp.j.;(71)3173902;;
DROBIMAX;(52)3223525;;
Firma Handlowo-Usługowa BANASIK Sp.j.;(32)2983887-88;;
Firma Handlowo-Usługowa BANASIK Sp.j.;(32)2981104;;
Hurtownia Drobiu OLDROB;(89)5263615;;
Hurtownia Drobiu OLDROB;(89)5260195;;
P.P.H.U. Kazimierowicz Artur;(71)7882062;;
P.P.H.U. Kazimierowicz Artur;600918822;;
P.W. ARAD Wołczyk, Szpak Sp.j.;(32)6086284;;
P.W. ARAD Wołczyk, Szpak Sp.j.;(32)6086283;;
Przedsiębiorstwo Handlowo-Usługowe Anna Korzeniowska;(24)2542021;;
Przedsiębiorstwo Handlowo-Usługowe Anna Korzeniowska;(24)2538735;;
BT Sp. z o.o. Bruno Tassi Północ Sp.komandytowa;(58)7824766;;
BT Sp. z o.o. Bruno Tassi Północ Sp.komandytowa;(58)7622100;;
e-wedlina.pl;600246560;;
EJKO Sp. z o.o. Sp.komandytowa;(22)7253037;;
EJKO Sp. z o.o. Sp.komandytowa;(22)7318335;;
GORTEX Import Export Adam Górski;(18)4438478;;
GORTEX Import Export Adam Górski;(18)4438470;;
MADAR Dariusz Watral;(91)4358782;;
MADAR Dariusz Watral;601899283;;
PPHU MAMBA sp.j.;(48)6103142;;
PPHU MAMBA sp.j.;(48)6102805;;
SŁAWIT;(22)7807243;;
WŁODARCZYK Centra Spożywczo-Mięsne;(44)7104669;;
WŁODARCZYK Centra Spożywczo-Mięsne;603400538;;
Aleksander Anapolski - ALEKS;+48(34)3594950;;
Aleksander Anapolski - ALEKS;+48604293565;;
CORRIDA Bartłomiej Olek;(81)4441539;;
CORRIDA Bartłomiej Olek;505815379;;
F.H. JOANNA Hurtownia Mięsa, Wędlin i Drobiu;(91)4691467;;
F.H. JOANNA Hurtownia Mięsa, Wędlin i Drobiu;(91)4691980;;
P.P.H. DROB-POL;(12)4171724;;
P.P.H. DROB-POL;(12)4133557;;
PUBLIMAR Centrum Dystrybucji Mięsa i Wędlin Sp.j.;(81)7471284;;
PUBLIMAR Centrum Dystrybucji Mięsa i Wędlin Sp.j.;(81)7421943;;
SZWAJCÓWKA;606243142;;
WĘDLINA z Lublina;(81)4482004;;
WĘDLINA z Lublina;(81)7458349;;
ZYGA;505135370;;
ZYGA;502566944;;
Zakład Handlowo Produkcyjno Usługowy WARTEX Tomasz Lipka;889167459;;
Zakład Handlowo Produkcyjno Usługowy WARTEX Tomasz Lipka;606824340;;
Carrefour Express - najmniejszy Carrefour świata;(22)8285058;;
INTESMAK ZPHU;(42)7190177;;
ABM Drób Artur i Beata Makoś S.c.;(29)7603626;;
ABM Drób Artur i Beata Makoś S.c.;694889938;;
Drobgen - POLSKIE GĘSI;(58)6819377;;
Drobgen - POLSKIE GĘSI;600901709;;
Europejskie Centrum Gospodarcze Sp. z o.o.;(42)2011724;;
Europejskie Centrum Gospodarcze Sp. z o.o.;(42)7106013;;
JBB Zakład Przetwórstwa Mięsnego Import-Eksport Józef Bałdyga;(29)7641500;;
JBB Zakład Przetwórstwa Mięsnego Import-Eksport Józef Bałdyga;(29)7641510;;
Masarnia TOMEX;(68)3886864;;
PAMAS Piotr Matyszok;(77)4048770;;
