Europejskie Centrum Gospodarcze Sp. z o.o.;(42)2011724;;
Europejskie Centrum Gospodarcze Sp. z o.o.;(42)7106013;;
Profesjonal Sp. z o.o.;(84)6187740;;
Profesjonal Sp. z o.o.;(84)6187742;;
Vidan - Zamrażalnia Vidansonder;(22)7257074;;
Vidan - Zamrażalnia Vidansonder;(22)7257284;;
AGROFREEZE S.A.;(94)3754326;;
AGROFREEZE S.A.;(94)3755380;;
FRIGO LOGISTICS Sp. z o.o.;(52)3033600;;
FRIGO LOGISTICS Sp. z o.o.;(52)3034702;;
IceQB Spółka z ograniczoną odpowiedzialnością;(68)4227490;;
IceQB Spółka z ograniczoną odpowiedzialnością;531407837;;
Przedsiębiorstwo Wielobranżowe ALASKA;(87)5662059;;
Przedsiębiorstwo Wielobranżowe ALASKA;(87)5666209;;
WEST Produkcyjno-Handlowa Sp. z o.o.;(22)6695147;;
WEST Produkcyjno-Handlowa Sp. z o.o.;(22)6690474;;
Zakład Wielobranżowy MARTA Sp. z o.o.;(32)6232486;;
Zakład Wielobranżowy MARTA Sp. z o.o.;(32)6240700;;
FROSTICO Chłodnia Warka S.A.;(48)6672909;;
FROSTICO Chłodnia Warka S.A.;(48)6672111;;
LST Polska;(81)5173763;;
LST Polska;(81)5172615;;
MATERNE-POLSKA Sp. z o.o.;(81)8826311;;
MATERNE-POLSKA Sp. z o.o.;(81)8826310;;
PPH HERRING Brygida Stachniuk;(56)6781209;;
PPH HERRING Brygida Stachniuk;(56)6787320;;
SCANDIC FOOD Sp. z o.o.;(22)8255444;;
SCANDIC FOOD Sp. z o.o.;(22)8254192;;
AVES Sp. z o.o.;(43)8233774;;
AVES Sp. z o.o.;(43)8248910;;
Firma Dystrybucyjna IGLOLAND;(32)7371620;;
Firma Dystrybucyjna IGLOLAND;(32)7371470;;
HORTINO Zakład Przetwórstwa Owocowo-Warzywnego Leżajsk Sp. z o.o.;(17)2404200;;
HORTINO Zakład Przetwórstwa Owocowo-Warzywnego Leżajsk Sp. z o.o.;(17)2428237;;
POLGRAIN;(22)6788703;;
POLGRAIN;(22)6789519;;
Przedsiębiorstwo Savpol Spółka z ograniczoną odpowiedzialnością Sp. k.;(32)4000400;;
Przedsiębiorstwo Savpol Spółka z ograniczoną odpowiedzialnością Sp. k.;(32)4000425;;
AKWEN Hurtownia Ryb Krystyna Grochulska;(85)6641041;;
AKWEN Hurtownia Ryb Krystyna Grochulska;(85)6641061;;
CAJDEX - Grzyby i Owoce Mrożone i Suszone;(42)6467888;;
CAJDEX - Grzyby i Owoce Mrożone i Suszone;(42)6469444;;
Gomar Pińczów Sp. z o.o. S.K.A.;(41)3785800;;
Gomar Pińczów Sp. z o.o. S.K.A.;(41)3785801;;
PHU MATEO;(14)6812222;;
PHU MATEO;(14)6815301;;
Przedsiębiorstwo Savpol Sp. z o.o. Sp.komandytowa;(17)8700300;;
Przedsiębiorstwo Savpol Sp. z o.o. Sp.komandytowa;(17)8700303;;
Przedsiębiorstwo Savpol Spółka z ograniczoną odpowiedzialnością Sp. k.;(74)6609200;;
Przedsiębiorstwo Savpol Spółka z ograniczoną odpowiedzialnością Sp. k.;(74)6609222;;
Przedsiębiorstwo Savpol Spółka z ograniczoną odpowiedzialnością Sp. k.;(12)2661165;;
Przedsiębiorstwo Savpol Spółka z ograniczoną odpowiedzialnością Sp. k.;(12)2697860;;
PUBLIMAR Centrum Dystrybucji Mięsa i Wędlin Sp.j.;(81)7471284;;
PUBLIMAR Centrum Dystrybucji Mięsa i Wędlin Sp.j.;(81)7421943;;
Zakład Garmażeryjny Zbigniew Naszydłowski;(94)3166375;;
Zakład Garmażeryjny Zbigniew Naszydłowski;(94)3455051;;
Harvest Trade Polska;536267226;;
AB FROST;(61)8429207;;
AB FROST;(61)8429696;;
ABEL Sp.j. J.Wysota;(43)8211794;;
ABEL Sp.j. J.Wysota;(43)8211553;;
ADMAT Przedsiębiorstwo Produkcyjno Handlowe;(62)7622147-48;;
ADMAT Przedsiębiorstwo Produkcyjno Handlowe;(62)7620882;;
ALLFOOD;(94)3424134;;
ALLFOOD;535223870;;
ASTOR G.P.Z Sp. z o.o. Sp.komandytowa;(56)6601132;;
ASTOR G.P.Z Sp. z o.o. Sp.komandytowa;601660182;;
BHZ BIMIZ;(22)8703022;;
BHZ BIMIZ;(22)8704133;;
Blue Ice Sp. z o.o. Producent Mrożonek;(14)6740152;;
Blue Ice Sp. z o.o. Producent Mrożonek;510090062;;
Calfrost Sp. z o.o.;(62)7646421;;
Calfrost Sp. z o.o.;(62)7646422;;
Cassie Polska Sp. z o.o.;(71)7950999;;
Cassie Polska Sp. z o.o.;(71)3687805;;
Chłodnie Europejskie Sp. z o.o.;531867934;;
Chłodnie Gomar Sp. z o.o.;(48)3652794;;
Chłodnie Gomar Sp. z o.o.;(48)3650240;;
COOL Hurtownia Lodów i Mrożonek;(58)6827001;;
COOL Hurtownia Lodów i Mrożonek;(58)6827000;;
CTM Galicja Sp. z o.o.;(12)2952101;;
CTM Galicja Sp. z o.o.;(12)2952120;;
D.M. PATRZAŁKOWIE;(55)2723991;;
Dania Fast Food Sp. z o.o.;(22)7310202;;
Dania Fast Food Sp. z o.o.;(22)7310240;;
DRIMPOL;(17)8505193;;
DRIMPOL;(17)8505195;;
ETQA Sp. z o.o.;(34)3636801;;
ETQA Sp. z o.o.;609648104;;
F.H. Export-Import Sebastian Onka;(54)2316920;;
F.H. Export-Import Sebastian Onka;(54)2530409;;
F.H.P.U. INEX;(14)6863040;;
F.H.P.U. INEX;(14)6864801;;
F.P.H. BELL GUSTO S.c.;(43)8211552;;
FHU SYLMARK;(91)3177554;;
FHU SYLMARK;(91)3122150;;
FIORI FOODS S.c.;734417111;;
Firma Handlowo-Usługowa DELFIN Sp.j.;(84)6642434;;
Firma Handlowo-Usługowa DELFIN Sp.j.;(84)6647541;;
Firma Handlowo-Usługowo-Gastronomiczno-Produkcyjna ALMA;(18)3518948;;
Firma Handlowo-Usługowo-Gastronomiczno-Produkcyjna ALMA;505104280;;
FRoSTA Sp. z o.o.;(52)3606701;;
FRoSTA Sp. z o.o.;(52)3606798;;
FROZCO Sp. z o.o.;(58)6673663;;
FROZCO Sp. z o.o.;(58)6222367;;
FROZENFOOD Trade & Logistics;784551110;;
FROZENFOOD Trade & Logistics;(32)2676022;;
G.P.H. NIDGOR;(89)6268333;;
G.P.H. NIDGOR;(89)6268399;;
GoodFood - Hurtownia Gastronomiczna;(94)7220433;;
GoodFood - Hurtownia Gastronomiczna;784309509;;
HAS KASOR Sp. z o.o.;604996246;;
HIPSZ Sp. z o.o.;(65)5388555;;
HIPSZ Sp. z o.o.;(65)5388602;;
HORTEX HOLDING S.A.;(22)5721000;;
HORTEX HOLDING S.A.;(22)5721110;;
Hurtownia CAPRI;(32)2635882;;
Ice Garden;535107799;;
IGLOMEN Sp. z o.o.;(32)4231316;;
IGLOMEN Sp. z o.o.;(32)4332657;;
Igloo Mark Sp.j.;(54)4137054;;
IGLOTEX;(032)4552626;;
IGLOTEX;(032)4530029;;
Iglotex Piła;(67)3516002;;
Iglotex Piła;(67)3516005;;
IGLOTEX S.A.;(58)5824259;;
IGLOTEX S.A.;(58)5824381;;
Interblok Polska Dariusz Polit, Beata Dutkowska;(22)6145318;;
Interblok Polska Dariusz Polit, Beata Dutkowska;(22)5901078;;
IRA Zakład Produkcji Mrożonek;(48)3817388;;
IRA Zakład Produkcji Mrożonek;(48)3847299;;
JAWO Sp. z o.o.;(34)3631428;;
JAWO Sp. z o.o.;(34)3632373;;
Jumar Sp. z o.o.;(89)5144451;;
Jumar Sp. z o.o.;(89)5144454;;
KAREX FOOD Sp. z o.o.;(94)3127815;;
KAREX FOOD Sp. z o.o.;(94)3120457;;
KERRY POLSKA Sp. z o.o.;(41)3323223;;
KERRY POLSKA Sp. z o.o.;(41)3685131;;
