Tercet Wydawnictwo Fonograficzne;601458320;;
Tercet Wydawnictwo Fonograficzne;509511222;;
ARRANGER Zespół Muzyczny Piotr Otowski;(67)2157466;;
ARRANGER Zespół Muzyczny Piotr Otowski;606250766;;
Claudia Bejm Duet Skrzypcowy SPACE VIOLIN;605427900;;
DA`X Działalność Artystyczna Leszek Wawrzynowicz;604408816;;
FABRYKA MUZYKI Piotr Pająk;501071869;;
FRAZA Ostróda;(89)6422421;;
FRAZA Ostróda;503745673;;
LIGHT-MUSIC-SOUND Łukasz Eckert Zespół Muzyczny SAVOY;606798244;;
MUSIC LAND Usługi Muzyczne;502092444;;
Saksofonista Poznań;722052760;;
Zespół Muzyczny OŁAWA FOR YOU;604421959;;
Zespół Muzyczny OŁAWA FOR YOU;(71)3130839;;
Zespół Muzyczny RYTM;530574876;;
Zespół Muzyczny STANDARD;605369658;;
Zespół Muzyczny STANDARD;695369658;;
Zespół Muzyczny STYL;(25)7815546;;
Zespół Muzyczny STYL;602803810;;
Zespół Muzyczny THESAURUS;(91)3925122;;
Zespół Muzyczny THESAURUS;799020418;;
ECCE HOMO XXI;(81)5337514;;
ECCE HOMO XXI;500368411;;
P.P.H.U. VIOLMAR;606364669;;
P.P.H.U. VIOLMAR;787121112;;
Restauracja AKCENT;783781009;;
Agencja Artystyczna Dobra Muzyka Aleksandra Kudełka;505188035;;
Agencja Artystyczna Jazz Event;601887298;;
Agencja Artystyczno Koncertowa CORAL;(32)7501288;;
Agencja Artystyczno Koncertowa CORAL;698843986;;
Agencja Max Bonard Promotion;(61)8122257;;
Agencja Max Bonard Promotion;509952334;;
ANSEBA Music Agency;(22)8282088;;
ANSEBA Music Agency;(22)6796157;;
AUDIOFAN PRO Sp. z o.o.;(22)6677888;;
AUDIOFAN PRO Sp. z o.o.;(22)6677333;;
Krakow Event;508326257;;
Krakow Event;508326259;;
AkMusic;504214807;;
AkMusic;515047129;;
Disco Impresariat;(25)6445556;;
Disco Impresariat;509368968;;
DJ SMALL profesjonalna obsługa imprez okolicznościowych;790613862;;
Esus 5 Zespół Weselny;601437463;;
RAFAEL;601357549;;
Wedding-Action;693825580;;
Zespół Muzyczny FRESCO;530574876;;
Zespół Muzyczny FRESCO;669945048;;
Zespół na Wesele KRAKUS BAND;600933845;;
3 DJ Daro Dariusz Reder;503734529;;
ABRAKADABRA Andrzej Sokołowski;(89)7541453;;
ABRAKADABRA Andrzej Sokołowski;510912979;;
ADIO BAND;509606247;;
ADIO BAND;509277920;;
After Hours;604197016;;
Agencja ART NORD;(59)7219049;;
Agencja ART NORD;601692837;;
Agencja Artystyczna ARIAN;501367047;;
Agencja Artystyczna Krzysztof Krzesicki;(87)5676763;;
Agencja Artystyczna Krzysztof Krzesicki;509384959;;
Agencja Artystyczna Marcin Dąbski;697359585;;
Agencja Artystyczna Marcin Dąbski;601696412;;
Agencja Artystyczna ZORBA;601473897;;
Agencja Muzyczna GIN Piotr Kaczor;606225854;;
Agencja Muzyczna GIN Piotr Kaczor;602355121;;
Agencja Muzyczna MAGNUS;504572206;;
Agencja Muzyczna MAGNUS;723334515;;
Agencja Muzyczna PRESTIGE;661070955;;
Agencja Muzyczna SaxTime;504911701;;
Agencja Muzycznych Usług Artystycznych KRAMER;(75)7757528;;
Agencja PEWENA;604633350;;
Agencja Ślubna AVIS oraz Zespół Muzyczny AVIS i IVIS Artur Danieluk;(81)7428120;;
Agencja Ślubna AVIS oraz Zespół Muzyczny AVIS i IVIS Artur Danieluk;605601399;;
AgencjaMuzyczna EGZATEQ;(54)2301249;;
AgencjaMuzyczna EGZATEQ;512571911;;
AKCES Zespół Muzyczny;(068)3242164;;
AKCES Zespół Muzyczny;661624032;;
Alians Consulting;(71)3361204;;
Alians Consulting;601303554;;
AMR BARTOSZ Kluba Bartosz;505277914;;
ARAMIS Zespół Muzyczny;606911883;;
ARAMIS Zespół Muzyczny;698610804;;
AVANTGARDE MUSIC;(12)3953328;;
AVANTGARDE MUSIC;604979133;;
Bongo Jerusalem;609060369;;
Bongo Jerusalem;792733868;;
BRAVO Bogusław Gadziński;509121212;;
BRAWO Zespół Muzyczny;(68)3813138;;
BRAWO Zespół Muzyczny;722171137;;
CANCERS;798930626;;
CANTO-ART;792923105;;
Cappella Gedanensis;(58)3022658;;
Cappella Gedanensis;603386703;;
Centrum Rozrywki SPACE;691870931;;
Chór Pueri et Puellae Cantores Plocenses;(24)3676512;;
Chór Pueri et Puellae Cantores Plocenses;(24)3676514;;
COOLIK;502288361;;
Cordiale Coro;500177919;;
CREDO BAND;609186810;;
CREDO BAND;512194615;;
CUDA WIANKI Grzegorz Wianek;796516683;;
D.P.T. Artystów Muzyków Leśniczówka;(32)2410725;;
D.P.T. Artystów Muzyków Leśniczówka;691755933;;
DIREX Zespół Muzyczny Krzysztof Kompała;(34)3512028;;
Disco Band Imprezy Artystyczne Łukasz Ulenberg;668354597;;
Dj Błażej B&S;509039970;;
DJ Damian Nowaczyk;503836965;;
DJ Dariusz Mosquito Orłowski-Tryzno;602302301;;
Dj Doman Dariusz Domański;512450168;;
DJ Flash Group-DJ Malutki;691836982;;
DJ Głośny Maciej Głos;725942280;;
Dj Mario;513314471;;
DJ MARO Marek Walawicz;502451579;;
DJ MARO Marek Walawicz;505030046;;
DJ na Wesele Arkadiusz Paszenda;503019140;;
Dj Ravi - dj na wesele i inne imprezy;518391029;;
DJ RETRO - DJ i Wodzirej;509743953;;
DJ Santi Wodzirej;501160757;;
Dj SAW Sławomir Brudziński;695692100;;
DJ TWINS Paweł Turowski;504155074;;
DJ V&S BROTHERS ENTERTAINMENT;511357632;;
DJ V&S BROTHERS ENTERTAINMENT;(33)8774654;;
DJ WODZIREJ MARCO;697934922;;
Dj Wodzirej na Wesele;609403737;;
DOUBLE WINGS Sylwester Laskowski;608431748;;
Drabek Impresariat;603199491;;
DUO VOCAL & SAX;604950597;;
DUO VOCAL & SAX;(32)4698501;;
DUO Zespół Muzyczny na Wesele;512449794;;
EVENT MEN Mariusz Sieraj;880321204;;
F.U.H.P. ANTONIO, Antoni Gadzina;721121120;;
F.W. Partyband;503138630;;
Fenix;515246689;;
FHU Marcin Chołuj - DJ, PREZENTER, LEKTOR;500804040;;
Floripari Aleksander Tomczyk;600704304;;
Floripari Aleksander Tomczyk;501452412;;
Forte Band;508274131;;
Forte Band;508274133;;
ForteSOUND Tomek Jakuszewicz;609997486;;
FUNKY TOWN;792428619;;
FUNKY TOWN;513376094;;
Funny Sunny Company;604233138;;
Góralska Kapela ROZTOKA S.c.;(33)4868627;;
Góralska Kapela ROZTOKA S.c.;601813263;;
Grupa D-Tonacja;516130600;;
Grupa DOMBEK SHOW;604884533;;
Grupa Muzyczna AKONTO;511659916;;
Grupa Muzyczno-Wokalna VENUS;(65)5268424;;
Grupa Muzyczno-Wokalna VENUS;601747619;;
Grupa Zawojka;606444213;;
Happy Band Zespół Muzyczny;501458141;;
Happy Band Zespół Muzyczny;691023115;;
Horpyna Włodek Kuper;501037314;;
Igor Cecocho;601716426;;
Impresariat Muzyczny Duo;(61)8193056;;
Impresariat Muzyczny Duo;(61)8133410;;
INTER-ART;(14)6557168;;
INTER-ART;(14)6557169;;
JANEX Organizacja Imprez Muzycznych;518985936;;
JAROMI Jarosław Jaromi Drażewski;691575274;;
Joanna Zarzecka GEMINI MUSIC;501800206;;
Jurek Band - Artystyczna Obsługa Imprez;501097117;;
KANKAN Marcin Obara;501671705;;
KAPELA JONTKI;(33)8612025;;
KAPELA JONTKI;608580741;;
Konin Gospel Choir;600099203;;
Konin Gospel Choir;600099201;;
Krakowska Grupa Folklorystyczna LAJKONIK;(12)2965010;;
Krakowska Grupa Folklorystyczna LAJKONIK;(12)2676377;;
KrisMatis-Zespól Muzyczny;516077201;;
LOS AMIGOS;693170288;;
Lukas Band Agencja Artystyczna;507524047;;
Łódzkie Zespoły Muzyczne na Wesela;(42)6311143;;
Łódzkie Zespoły Muzyczne na Wesela;535525400;;
M&M Acoustics;698106964;;
M&M Acoustics;(52)3844953;;
Maciejka Zespół Muzyczny Katarzyna i Sławomir Maciejewscy;(52)3856677;;
Maciejka Zespół Muzyczny Katarzyna i Sławomir Maciejewscy;692971136;;
MAESTRI Grzegorz Wituła;793983183;;
MALI-BOO;604318153;;
MAREK WOLIŃSKI-Muzyczna Obsługa Imprez-DJ Marco;602283116;;
Mariusz Śniegulski MUSIC;509366977;;
MASTERS Cover Band;888436673;;
MASTERS Cover Band;607270780;;
MATRIX - Zespół Muzyczny - Professional Music Group;696986384;;
MATRIX - Zespół Muzyczny - Professional Music Group;661184443;;
MAXTON;508299052;;
MC - Artyści Wyjątkowi;508084082;;
Mechanicy Shanty Henryk Czekała;602623602;;
Metropolis Group;531702738;;
Metropolis Group;607399305;;
MIDNIGHT BLUES;605189000;;
MIDNIGHT BLUES;601583939;;
MINI-MAX Zespół Muzyczny;604942202;;
MIRABELLA Zespół Muzyczny - Wodzirej Adam Tyranowski;514132264;;
MIXed.pl Kompleksowa Obsługa Firm;(32)3900984;;
MIXed.pl Kompleksowa Obsługa Firm;501208811;;
MOCart Events Profesjonalna Organizacja Imprez;661435785;;
Music Please Krzysztof Parczewski;(22)7507722;;
Music Please Krzysztof Parczewski;604605903;;
MUSIC SOUND Szymon Lewandowski;664978235;;
Music World And Art-Zespół Muzyczny;669115864;;
MUSIC ZONE Katarzyna Litwin;605107058;;
Muzykanaslub.pl Ada Bujak;501452412;;
My We Dwoje Eugeniusz Opyd;(71)3899726;;
My We Dwoje Eugeniusz Opyd;604789247;;
NASTODWA Agnieszka Chmielecka;500864433;;
