KOPEX FOUNDRY Sp. z o.o.;(15)8136396;;
KOPEX FOUNDRY Sp. z o.o.;(15)8135968;;
Zakład Produkcji Odlewniczej DOLMET S.c.;(77)4600091;;
BRASS Polska Sp. z o.o.;(81)8205881;;
GARSTKASTUDIO S.c. Piotr Garstka, Andrzej Garstka;691390327;;
GARSTKASTUDIO S.c. Piotr Garstka, Andrzej Garstka;691390326;;
INNOWACJA Sp. z o.o.;(15)8462609;;
INNOWACJA Sp. z o.o.;(15)8463781;;
Jan Felczyński Pracownia Ludwisarska;790531500;;
Jan Felczyński Pracownia Ludwisarska;166787326;;
JB Zakład Złotniczo-Odlewniczy Jarosław Biedermann;(61)8103322;;
JB Zakład Złotniczo-Odlewniczy Jarosław Biedermann;602792509;;
LAWA S.c. A.A.Słota;(32)2675334;;
LAWA S.c. A.A.Słota;502306364;;
MET-CHEM Zakłady Metalowo-Chemiczne Świerczek Halina;(14)6721063;;
MET-CHEM Zakłady Metalowo-Chemiczne Świerczek Halina;(14)6722406;;
NICROMET Sp. z o.o. Sp.komandytowa;(33)8449400;;
NICROMET Sp. z o.o. Sp.komandytowa;(33)8449430;;
Odlewnia RAFAMET Sp. z o.o.;(32)7213351;;
Odlewnia RAFAMET Sp. z o.o.;(32)4192789;;
Odlewnia Żeliwa Lublin Sp. z o.o.;(81)7492711;;
Odlewnia Żeliwa Lublin Sp. z o.o.;(81)7492799;;
PRODLEW Sp. z o.o.;(22)8700430;;
PRODLEW Sp. z o.o.;(22)8102767;;
Przedsiębiorstwo Produkcyjno-Usługowe UNIMAT Sp. z o.o.;(52)3816114;;
Przedsiębiorstwo Produkcyjno-Usługowe UNIMAT Sp. z o.o.;(52)3816115;;
Przegląd Odlewnictwa;(12)2618574;;
Przegląd Odlewnictwa;(12)2618576;;
Zakład Odlewniczy-Teresa Piotrowska Sp.j.;(41)3735267;;
Zakład Odlewniczy-Teresa Piotrowska Sp.j.;(41)3735065;;
Albro Odlewnia Aluminium;(42)6450100;;
Albro Odlewnia Aluminium;505173110;;
ALMET S.c.;(34)3253862;;
ARMATURA Spółdzielnia Pracy - Odlewnia Precyzyjna Staliwa i Metali Nieżelaznych;(42)2536701-03;;
ARMATURA Spółdzielnia Pracy - Odlewnia Precyzyjna Staliwa i Metali Nieżelaznych;(42)2536713-14;;
EKO-ŚWIAT;(34)3281333;;
EKO-ŚWIAT;(34)3281318;;
HARDTOP Centrum Odlewnictwa Sp. z o.o.;(41)3836950;;
HARDTOP Centrum Odlewnictwa Sp. z o.o.;(41)3836854;;
Odlewnia Staliwa ŁABĘDY Sp. z o.o.;(32)7346600;;
Odlewnia Staliwa ŁABĘDY Sp. z o.o.;(32)7346603;;
Odlewnia Żeliwa Bydgoszcz Sp. z o.o.;(52)3259011;;
Odlewnia Żeliwa Bydgoszcz Sp. z o.o.;(52)3259020;;
Pracownia Złotniczo-Odlewnicza Leszek Malicki;(61)8531301;;
Zakład Odlewniczo-Mechaniczno-Handlowy WÓJCIK;(41)3613377;;
Zakład Odlewniczo-Mechaniczno-Handlowy WÓJCIK;(41)3619731;;
CEMAD S.c.;(17)8504746;;
CEMAD S.c.;(17)8504747;;
Cementownia WEJHEROWO Sp. z o.o.;(58)6721327;;
Fabryka Maszyn i Urządzeń do Przemysłu i Górnictwa Odlewnia Żeliwa NOTEĆ;(52)3518018;;
Fabryka Maszyn i Urządzeń do Przemysłu i Górnictwa Odlewnia Żeliwa NOTEĆ;(52)3518019;;
LUX-ODLEW Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe;(23)6926694;;
LUX-ODLEW Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe;502069283;;
Moneva Polska Sp. z o.o.;(74)6650600;;
Moneva Polska Sp. z o.o.;(74)6650601;;
Odlewnia Metali Kolorowych Ryszard Mierzwa & Leopold Faruga Sp.j.;693856114;;
Odlewnia Metali Kolorowych Ryszard Mierzwa & Leopold Faruga Sp.j.;693856113;;
Odlewnia Żeliwa i Metali Nieżelaznych Spółdzielnia Pracy SPOMEL;(59)8633360;;
Odlewnia Żeliwa i Metali Nieżelaznych Spółdzielnia Pracy SPOMEL;(59)8633041;;
P.H.U. Fana Metal;(58)6838834;;
P.H.U. Fana Metal;608200681;;
P.P.H. ALKOR Sp.j.;(16)6759950;;
P.P.H. ALKOR Sp.j.;(16)6780037;;
PEDMO S.A.;(32)2175570;;
PEDMO S.A.;(32)2175091-94;;
Pracownia Brązownicza STOP-MET II;(62)7418311;;
Pracownia Brązownicza STOP-MET II;782152034;;
WU-Tech Engineering Sp. z o.o.;604330271;;
Zakład Metalurgiczny WSK RZESZÓW Sp. z o.o.;(17)7172800;;
Zakład Metalurgiczny WSK RZESZÓW Sp. z o.o.;(17)7172802;;
Odlewnia Dzwonów Braci Kruszewskich;(25)7922341;;
Odlewnia Dzwonów Braci Kruszewskich;600507913;;
Odlewnia Metali Szopienice Sp. z o.o.;(32)6068913;;
Odlewnia Metali Szopienice Sp. z o.o.;(32)6068939;;
PPUH Jopp-pol;(67)2837590;;
PPUH Jopp-pol;(67)2837977;;
HUTA MAŁAPANEW Sp. z o.o.;(77)4018500;;
HUTA MAŁAPANEW Sp. z o.o.;(77)4018515;;
KGHM ZANAM S.A.;(76)8470905;;
KGHM ZANAM S.A.;(76)8471100;;
LAWA Sp. z o.o.;(34)3613328;;
Zakład Wyrobów Galanteryjnych Sp. z o.o.;(16)6329570;;
Atena Sp. z o.o.;(42)6841359;;
Atena Sp. z o.o.;600398199;;
B.S.K. RETURN S.A.;(32)6709670;;
B.S.K. RETURN S.A.;(32)6709689;;
BMC Sp. z o.o.;(22)2434037;;
BMC Sp. z o.o.;(22)2442509;;
Brzeska Fabryka Pomp i Armatury MEPROZET Sp. z o.o.;(77)4164031Centrala;;
Brzeska Fabryka Pomp i Armatury MEPROZET Sp. z o.o.;(77)4162348;;
MULTI-elektro;602174340;;
PLASTMET Sp. z o.o.;(77)4052220-21;;
PLASTMET Sp. z o.o.;(77)4052223;;
Przedsiębiorstwo Innowacyjno-Wdrożeniowe Wifama-Prexer Sp. z o.o.;(42)6764793;;
ArtSakr;(24)2771322;;
ArtSakr;(24)2775494;;
CONTIX INVEST Sp. z o.o. SPÓŁKA KOMANDYTOWA;695429795;;
CONTIX INVEST Sp. z o.o. SPÓŁKA KOMANDYTOWA;506645659;;
DMC Sp. z o.o.;(32)3250920;;
DMC Sp. z o.o.;(32)7801248;;
Hakopar Export-Import;(77)4436771;;
Hakopar Export-Import;(77)4436772;;
L&L Sp. z o.o.;(32)2881255;;
Metaloplastyka Artystyczna JAAR Arkadiusz Pindral;605966281;;
