Centrum Pomocy Poszkodowanym Premium;(34)3448872;;
Centrum Pomocy Poszkodowanym Premium;501036045;;
Kancelaria Radcy Prawnego Artur Klimkiewicz;503138356;;
Kancelaria Radcy Prawnego Artur Klimkiewicz;509970455;;
MERITUM Sp.j.;(33)8229019;;
MERITUM Sp.j.;(33)8229990;;
Versus - Odszkodowania i Doradztwo Prawne Michał Pietrykowski;(24)3669339;;
Versus - Odszkodowania i Doradztwo Prawne Michał Pietrykowski;506187080;;
ABE Sp. z o.o. Kancelaria Odszkodowawcza;(18)5473913;;
ABE Sp. z o.o. Kancelaria Odszkodowawcza;728993089;;
Biuro RONIN Windykacja Należności i Odszkodowań Zbigniew Zawada;(75)7321905;;
Biuro RONIN Windykacja Należności i Odszkodowań Zbigniew Zawada;502378958;;
Centrum Obsługi Powypadkowej Codex Sp. z o.o. Sp.komandytowa;(17)8522000;;
Centrum Roszczeń Ubezpieczeniowych Anna Murdza-Lalak, Norbert Murdza;507019130;;
Centrum Roszczeń Ubezpieczeniowych Anna Murdza-Lalak, Norbert Murdza;507019129;;
Dochodzenie Odszkodowań KONTRAKTO;(85)6514447;;
Dochodzenie Odszkodowań KONTRAKTO;531038848;;
ECO Centrum Odszkodowań Marzanna Surowiec;(95)7201151;;
ECO Centrum Odszkodowań Marzanna Surowiec;501353402;;
Europejska Kancelaria Brokerska Tomasz Szczepuła;(71)3417938;;
Europejska Kancelaria Brokerska Tomasz Szczepuła;601340443;;
NOWIUM - Odszkodowania & Pomoc Prawna;694160366;;
NOWIUM - Odszkodowania & Pomoc Prawna;(43)6591311;;
Odszkodowania IRIDUM;504490477;;
Odszkodowania IRIDUM;508369122;;
Polska Kancelaria Odszkodowawcza;798997798;;
Polskie Centrum Odszkodowań;(22)6593343;;
Polskie Centrum Odszkodowań;796409309;;
RECOVER Sp. z o.o.;(58)5557494;;
RECOVER Sp. z o.o.;(58)7651818;;
Regionalne Centrum Odszkodowań;512858758;;
VERSUS Podkarpackie Centrum Odszkodowań;(17)8521403;;
Kancelaria Radcy Prawnego Waldemar Podel;(24)3640180-81;;
Kancelaria Radcy Prawnego Waldemar Podel;(24)3640182;;
ALFA STRATEGY Sp. z o.o.;(22)8551588-89;;
ALFA STRATEGY Sp. z o.o.;(22)8470176;;
Kancelaria Adwokacka Robert Ofiara;(22)1149411;;
Kancelaria Adwokacka Robert Ofiara;(22)4045468;;
LIDER S.c. Agencja Pracy, Auto Serwis;603413131;;
LIDER S.c. Agencja Pracy, Auto Serwis;(32)2374704;;
MERITUM Kancelaria Radcy Prawnego Paweł Urbańczyk Sp.komandytowa;(32)6097128;;
MERITUM Kancelaria Radcy Prawnego Paweł Urbańczyk Sp.komandytowa;(32)2062555;;
BALIAN Górniak Urbański Sp.j.;(61)2951044;;
BALIAN Górniak Urbański Sp.j.;606111883;;
Kancelaria Prawnicza Contra Andrzej Nowicki;(33)8116489;;
Kancelaria Prawnicza Contra Andrzej Nowicki;(33)8122519;;
Kancelaria Ubezpieczeniowa PLUS Sp. z o.o.;(22)6203146;;
Kancelaria Ubezpieczeniowa PLUS Sp. z o.o.;501175705;;
Multi Financial Agencja Ubezpieczeniowa;(32)7331802;;
ADVISOR Kancelaria Brokerów Ubezpieczeniowych Sp. z o.o.;(75)7533232;;
ADVISOR Kancelaria Brokerów Ubezpieczeniowych Sp. z o.o.;(75)6472127;;
AGRA Centrum Dochodzenia Roszczeń Powypadkowych;601186277;;
AVIVA Commercial Union - FINANSE i UBEZPIECZENIA;601839228;;
AVIVA Commercial Union - FINANSE i UBEZPIECZENIA;(74)8672626;;
Lex Consensus;692412343;;
Lex Consensus;504408060;;
Paweł Dalaszyński Ubezpieczenia i Finanse;(65)5299648;;
Paweł Dalaszyński Ubezpieczenia i Finanse;604050493;;
Ubezpieczenia i Kredyty Katarzyna Korycka-Walasiak;608478297;;
Zachodni Dom Brokerski Sp. z o.o.;(71)7982285;;
Zachodni Dom Brokerski Sp. z o.o.;502654684;;
Altis Odszkodowania;536127431;;
ERNIX SOLUTIONS;509243202;;
Europejskie Centrum Odszkodowań (EUCO);600001756;;
INVICTE Dochodzenie Odszkodowań;534816057;;
Krajowy Rejestr Osób Poszkodowanych;722080080;;
Krajowy Rejestr Osób Poszkodowanych;(22)4124111;;
Odszkodowania A.F.;798201032;;
Odszkodowania A.F.;573280897;;
Odzyskiwanie Odszkodowań od Ubezpieczycieli - EuCO;608555803;;
PrawoPasazera.pl;(22)1004759;;
PrawoPasazera.pl;660290240;;
TUTELA Europejskie Biuro Odszkodowań;691260124;;
ABM Sp. z o.o.;(71)3391000;;
ABM Sp. z o.o.;601711111;;
Actum;(63)2113453;;
AD VOCEM;(22)6591102;;
AD VOCEM;606309221;;
AD VOCEM ALTER EGO Przedsiębiorstwo Handlowo-Usługowe;504023554;;
ADVERSUM Sp. z o.o. Kancelaria Prawniczo-Brokerska;801011490;;
ADVERSUM Sp. z o.o. Kancelaria Prawniczo-Brokerska;(22)6164077;;
Advoco;(22)2905315;;
Agencja Obsługi Odszkodowań HORTON;(71)3329068;;
Agencja Obsługi Odszkodowań HORTON;692453354;;
AJ LEX Odszkodowania;669999119;;
AJ LEX Odszkodowania;(95)7351007;;
AKA Dochodzenie Odszkodowań;(91)4347337;;
AKA Dochodzenie Odszkodowań;(91)4347338;;
AKA Kancelaria Odszkodowawcza;(91)8122036;;
AKA Kancelaria Odszkodowawcza;(91)8122037;;
Akcidento Kompenso;535808909;;
Amesto Kancelaria Odszkodowań;(32)4221033;;
Anima Legis Sp. z o.o.;(42)2362942;;
Anima Legis Sp. z o.o.;(42)2362940;;
ARBITER S.A. Kancelaria Dochodzenia Odszkodowań;(71)7807100;;
ARBITER S.A. Kancelaria Dochodzenia Odszkodowań;(71)7807101;;
ARIS Biuro Obsługi Roszczeń;883944899;;
ARIS Biuro Obsługi Roszczeń;666859859;;
ARTMAR;533707333;;
ASECURA Likwidacja Szkód;(32)2353098;;
ASECURA Likwidacja Szkód;(32)3326095;;
ATUT;608101022;;
AURA Centrum Likwidacji Szkód;(84)5381343;;
AURA Centrum Likwidacji Szkód;662881902;;
AURUM ODSZKODOWANIA;603571051;;
AURUM ODSZKODOWANIA;(89)5453778;;
AUTOLACH-EKSPERT Biuro Ekspertyz Pojazdów i Likwidacji Szkód;(54)4268007;;
AUTOLACH-EKSPERT Biuro Ekspertyz Pojazdów i Likwidacji Szkód;668070757;;
Automobilis Sp. z o.o.;(81)4400004;;
Automobilis Sp. z o.o.;533331521;;
AUXILIA S.A.;(71)7999760-64;;
AUXILIA S.A.;(71)7999765;;
B-Partner;(22)8240762;;
B-Partner;(22)8243161;;
BEATUR;(32)2010180;;
BEATUR;512486176;;
Benefactor Dochodzenie Odszkodowań;(44)6471348;;
BiCO Centrum Pomocy Poszkodowanym;514054517;;
Biuro Dochodzenia Odszkodowań;513312324;;
Biuro Dochodzenia Odszkodowań;797604000;;
Biuro Dochodzenia Odszkodowań;(71)3198018;;
Biuro Dochodzenia Odszkodowań Kancelaria Prawna J&P;(61)8132181;;
Biuro Dochodzenia Odszkodowań Kancelaria Prawna J&P;609208606;;
Biuro Dochodzenia Odszkodowań MANUS;(32)7811660;;
Biuro Dochodzenia Odszkodowań MANUS;(32)7811661;;
Biuro Dochodzenia Odszkodowań Odszkodowaniazoc.pl;797604000;;
Biuro Dochodzenia Odszkodowań Odszkodowaniazoc.pl;601771916;;
Biuro Dochodzenia Odszkodwań ALTERA PARS;505957279;;
Biuro Likwidacji Szkód Arkadiusz Kotarski;503088086;;
Biuro Likwidacji Szkód Arkadiusz Kotarski;(42)2397822;;
Biuro Likwidacji Szkód PROTECTOR Sp. z o.o.;602102102;;
Biuro Likwidacji Szkód PROTECTOR Sp. z o.o.;(91)8876887;;
Biuro Obsługi Odszkodowań i Szkoleń PRO-SUM;(56)4919562;;
Biuro Obsługi Odszkodowań i Szkoleń PRO-SUM;666889763;;
Biuro Obsługi Szkód Komunikacyjnych ŚWIT;(75)7446185;;
Biuro Obsługi Szkód Komunikacyjnych ŚWIT;600374804;;
Biuro Obsługi Technicznej Krzysztof Kłosiński;697218936;;
Biuro Odszkodowań Pireus Sp. z o.o.;0801100101;;
Biuro Pomocy Ofiarom Wypadków Drogowych;(89)5279911;;
Biuro Pomocy Ofiarom Wypadków Drogowych;506152839;;
Biuro Pomocy Poszkodowanym Krzysztof Kołodziejczak;(58)7631050;;
Biuro Pomocy Poszkodowanym Krzysztof Kołodziejczak;503988333;;
Biuro Prawne CONSILIUM BONUM Sp. z o.o.;(81)5322701;;
Biuro Prawne CONSILIUM BONUM Sp. z o.o.;517257596;;
Biuro Prawne Eksperci Emilia Kostulska;513135014;;
Biuro Prawne GLOBAL;791005903;;
Biuro Rogulski - Europejskie Centrum Odszkodowań;(68)4588500NowaSól;;
Biuro Rogulski - Europejskie Centrum Odszkodowań;(68)4588505;;
CAMPTER Odszkodowania;(34)3448630;;
CAMPTER Odszkodowania;(34)3895091;;
Carstens i Schues Poland Sp. z o.o.;(22)8279693;;
CASTELLUM Kancelaria Odszkodowawcza;(42)6300097;;
Causidicus Centrum;664051053;;
Causidicus Centrum;(71)3458883;;
CBS Centrum Obsługi Szkód Komunikacyjnych Sp. z o.o.;(32)2539700;;
CBS Centrum Obsługi Szkód Komunikacyjnych Sp. z o.o.;509805862;;
CELEM Dochodzenie Odszkodowań;513052406;;
Centrum Dochodzenia Odszkodowań CeDOs;(61)8223567;;
Centrum Dochodzenia Odszkodowań CeDOs;(61)8253434;;
Centrum Dochodzenia Odszkodowań NEGOCJATOR S.c.;503901217;;
Centrum Dochodzenia Odszkodowań NEGOCJATOR S.c.;601339822;;
Centrum Dochodzenia Odszkodowań NIKE;570999111;;
Centrum Dochodzenia Odszkodowań NIKE;517520657;;
Centrum Likwidacji Szkód DAXA Sp. z o.o.;(55)2613351;;
Centrum Likwidacji Szkód DAXA Sp. z o.o.;512442777;;
Centrum Obsługi i Likwidacji Szkód na Pojazdach cls-24.pl;(71)3509558;;
Centrum Obsługi i Likwidacji Szkód na Pojazdach cls-24.pl;0887889888;;
Centrum Odszkodowań;791993040;;
Centrum Odszkodowań;603630497;;
Centrum Odszkodowań AMO Group, Marcin Olechnowicz;502256584;;
Centrum Odszkodowań AMO Group, Marcin Olechnowicz;725770200;;
Centrum Odszkodowań ARKA Sp. z o.o.;793717127;;
Centrum Odszkodowań ARKA Sp. z o.o.;797993874;;
Centrum Odszkodowań CONSILIUM;(71)7808797;;
Centrum Odszkodowań CONSILIUM;(71)7808798;;
Centrum Odszkodowań i Windykacji - Korporacja Prawno-Finansowa FENIKS S.K.A.;531999111;;
Centrum Odszkodowań KLAIMS;730121212;;
Centrum Odszkodowań Servitutes Sp. z o.o.;(33)8430214;;
Centrum Odszkodowań Servitutes Sp. z o.o.;790269585;;
Centrum Odszkodowań VIRIDIS;505955387;;
Centrum Odszkodowań VIRIDIS;798834998;;
Centrum Odszkodowań WALDEMAR KRAKOWIECKI;603603628;;
Centrum Odszkodowawcze TYR Sp. z o.o.;502137777;;
Centrum Odszkodowawcze TYR Sp. z o.o.;502247777;;
Centrum Pomocy Poszkodowanym;692289991;;
Centrum Wspierania Biznesu EurOpeA Sp. z o.o.;(71)7999973-74;;
Centrum Wspierania Biznesu EurOpeA Sp. z o.o.;(71)7999972;;
CFT ODSZKODOWANIA;(85)6743036;;
CFT ODSZKODOWANIA;515094997;;
CITO KRAKÓW;506778741;;
Cito Plus Sp. z o.o.;(75)7646127;;
Cito Plus Sp. z o.o.;507414121;;
CITO Różański, Strzeboński S.c.;(91)4837014;;
CITO Różański, Strzeboński S.c.;508589589;;
Claim Service Sp. z o.o.;(71)7891212;;
Claim Service Sp. z o.o.;(71)7950884;;
CODICUM Sp. z o.o.;510089481;;
Compens Sp. z o.o. AirCashBack;(71)7866232;;
COMPENSATA Kancelaria Odszkodowawcza;(61)2230901;;
COMPENSATA Kancelaria Odszkodowawcza;603224459;;
COMPLEX CONSULTING Likwidacja Szkód Ubezpieczeniowych;(58)7141419;;
Consensus Baltica;608006003;;
Consensus Baltica;796820838;;
CONSENSUS Kancelaria Odszkodowawczo-Finansowa;535112113;;
Cotorra Group Sp. z o.o.;505700524;;
D-K-M Biuro Obsługi Szkód Komunikacyjnych;(76)7231599;;
D-K-M Biuro Obsługi Szkód Komunikacyjnych;(76)8541625;;
Damian Kruglak;514728405;;
DEPTUŁA-ODSZKODOWANIA Marek Deptuła;507924274;;
DEPTUŁA-ODSZKODOWANIA Marek Deptuła;(89)6244422;;
Detrimentum S.c.;666225362;;
Detrimentum S.c.;502451454;;
DKU Sp. z o.o.;791007758;;
DKU Sp. z o.o.;535871653;;
Dofu;733666222;;
Dolnośląskie Centrum Odszkodowań i Windykacji;(76)7233930;;
Dolnośląskie Centrum Odszkodowań i Windykacji;(76)7233931;;
Dotyk Motyla Sp. z o.o. FLY & I;(32)7327014;;
DRB Centrum Odszkodowań Sp. z o.o.;(76)8503450;;
DRB Centrum Odszkodowań Sp. z o.o.;(76)7233653;;
DROMAX;(22)2702107;;
EFECTIV Odszkodowania Sp. z o.o.;512935904;;
EFG Europejska Grupa Finansowa;(76)8545189;;
EFG Europejska Grupa Finansowa;(76)8546028;;
Eksperci NEMU Sp. z o.o.;(22)8516107;;
Eksperci NEMU Sp. z o.o.;(22)8516108;;
EKSPERT Odszkodowania;731749755;;
eMediator.pl;(32)4202700;;
EOF Expert Odszkodowania Finanse;(43)6762266;;
Equilibre;(22)6221734;;
Equilibre;605120012;;
Ergo Centrum Odszkodowania;609439779;;
Ergo Centrum Odszkodowania;509997755;;
EuCO Odszkodowania;504067989;;
EuCO Odszkodowania;503784586;;
EuCO odszkodowania;505833952;;
EUCO Odszkodowania Krzysztof Rozlał;663937173;;
EuCO S.A.;693855107;;
Euro-Plan Sp. z o.o. Europejskie Centrum Prawne;(12)4184004;;
EuroCargo Inspection;(22)7676621;;
EuroCargo Inspection;(22)8843742;;
EUROLEX Centrum Dochodzenia Odszkodowań i Windykacji;(85)7442121;;
Europejskie Centrum Dochodzenia Odszkodowań;(85)7414433;;
Europejskie Centrum Dochodzenia Roszczeń;(61)8833805;;
Europejskie Centrum Odszkodowań Paweł Krzyżniewski;791049659;;
Europejskie Centrum Odszkodowań S.A.;(76)7239800;;
Europejskie Centrum Odszkodowań S.A.;(76)7239850;;
Europejskie Centrum Odszkodowań S.A.;(22)2923700;;
Europejskie Centrum Odszkodowań S.A.;500147530;;
Europejskie Centrum Odszkodowań S.A. EuCO Łódź;516215848;;
Europejskie Centrum Pomocy Poszkodowanym Sp. z o.o.;(41)2651217;;
Europejskie Centrum Pomocy Poszkodowanym Sp. z o.o.;(41)2651175;;
Eventus Marcin Sypniewski, Paweł Zajchowski S.c.;(52)5513887;;
Eventus Marcin Sypniewski, Paweł Zajchowski S.c.;(52)5524444;;
ExpertCar;(61)2218042;;
ExpertCar;509650606;;
EXPRIMO ODSZKODOWANIA Sp. z o.o. Koszalińskie Centrum Odszkodowań;739204343;;
Fabryka Odszkodowań;501704433;;
Fabryka Odszkodowań;531031031;;
Fabryka Odszkodowań;531140380;;
FAIRPLAY;664188007;;
Fiducja.pl;(61)8305000;;
Fiducja.pl;501366643;;
Firma Usługowa AGA;(32)4712777;;
Firma Usługowa AGA;602236138;;
FORSETI;(58)6784888;;
FORSETI;696111870;;
GCO Odszkodowania;733100650;;
GDPM Grupa Doradcza Prawno-Medyczna;(58)3034638;;
GDPM Grupa Doradcza Prawno-Medyczna;(58)3207549;;
GIERUS Kancelaria Odszkodowawcza;(75)6440122;;
GIERUS Kancelaria Odszkodowawcza;500183198;;
Gorzowskie Centrum Odszkodowań;784010498;;
GTI LOSS odszkodowania24.info;503138883;;
GTS Kancelaria Odszkodowawcza;509997755;;
GW INVESTMENT;518252571;;
HAPPY END 24 Kancelaria Odszkodowawcza;(12)3124126;;
HAPPY END 24 Kancelaria Odszkodowawcza;(12)3124127;;
HELPER Centrum Pomocy Prawnej Sp. z o.o.;(22)3974193;;
HELPER Centrum Pomocy Prawnej Sp. z o.o.;(22)3974194;;
Hexa Dochodzenie Odszkodowań Sp. z o.o.;(22)4604949;;
Hexa Dochodzenie Odszkodowań Sp. z o.o.;(22)4600064;;
IFgroup Sp. z o.o.;(71)3033487;;
IFgroup Sp. z o.o.;530747231;;
InfoDoradcy.com.pl;790044102;;
InfoDoradcy.com.pl;(52)3357876;;
INGENIO Doradztwo w Zakresie Obsługi Odszkodowań i Polis Posagowych;(42)6336283;;
INS.CENTER Biuro Odszkodowań;(42)6357400;;
INS.CENTER Biuro Odszkodowań;(42)6357453;;
INTENSO Kancelaria Odszkodowań-Biuro Pomocy Poszkodowanym w Wypadkach;(15)8141247;;
InterLex Sp. z o.o.;(76)7228171;;
Intrata Consulting;605669300;;
Intrata Consulting;697121300;;
JDJ Edbor;(22)2519112;;
JDJ Edbor;607312312;;
JMKONSULTING;514275085;;
JMKONSULTING;535565950;;
JURYSTA Kancelaria Radcy Prawnego Rafał Kozakiewicz;797129059;;
JW GROUP Centrum Odszkodowań;518788763;;
JW GROUP Centrum Odszkodowań;604233771;;
Kancelaria Adwokacka adwokat Piotr Wojtaszak;(12)4469189;;
Kancelaria Adwokacka adwokat Piotr Wojtaszak;535202292;;
Kancelaria Adwokacka Ewa Draga-Buchta;(32)2068444;;
Kancelaria Adwokacka Ewa Draga-Buchta;501530186;;
Kancelaria Adwokacka Marzena Korzeniewska-Gajewska;692938422;;
Kancelaria Dochodzenia Odszkodowań;504292716;;
Kancelaria Doradców LIGOTERO;(91)4711578;;
Kancelaria Doradcza IUSTUM Sp. z o.o.;(22)6212036;;
Kancelaria Doradcza IUSTUM Sp. z o.o.;(22)2428671;;
Kancelaria DRAGON;(77)4487780;;
Kancelaria DRAGON;(77)4487781;;
Kancelaria Effect S.c. Odszkodowania Komunikacyjne i Powypadkowe;(12)6311451;;
Kancelaria LESTA;(77)5449201;;
Kancelaria LESTA;(77)5432715;;
Kancelaria Lex Premium;(61)6562266;;
Kancelaria Lex Premium;(61)6247103;;
Kancelaria Majątkowa mgr inż. Zygmunt Zdrojewski;605417498;;
Kancelaria Majątkowa mgr inż. Zygmunt Zdrojewski;601206403;;
Kancelaria Odszkodowań;(22)4975421;;
Kancelaria Odszkodowań;(22)4995755;;
Kancelaria Odszkodowań GRAFF;518597272;;
Kancelaria Odszkodowań GRAFF;697515529;;
Kancelaria Odszkodowawcza CEN Sp. z o.o.;696306060;;
Kancelaria Odszkodowawcza CEN Sp. z o.o.;501017773;;
Kancelaria Odszkodowawcza Competo Sp. z o.o.;(81)4797910;;
Kancelaria Odszkodowawcza Competo Sp. z o.o.;519540933;;
Kancelaria Odszkodowawcza DĄB Sp. z o.o.;(87)6100404;;
Kancelaria Odszkodowawcza DĄB Sp. z o.o.;(87)6103604;;
Kancelaria Odszkodowawcza Domino;728500060;;
Kancelaria Odszkodowawcza FICINUS;(32)3490428;;
Kancelaria Odszkodowawcza FICINUS;503047254;;
Kancelaria Odszkodowawcza Helios Sp. z o.o.;(58)6692058;;
Kancelaria Odszkodowawcza In Plus;504113011;;
Kancelaria Odszkodowawcza OFN;(71)7867077;;
Kancelaria Odszkodowawcza OFN;(71)7867078;;
Kancelaria Odszkodowawcza Radosław Romański;503061852;;
Kancelaria Odszkodowawcza Resident Sp. z o.o.;(68)3248339;;
Kancelaria Odszkodowawcza Resident Sp. z o.o.;(68)3240417;;
Kancelaria Odszkodowawcza Śląsk;782367785;;
Kancelaria Odszkodowawcza VESTRA;(59)3070701;;
Kancelaria Odszkodowawcza VESTRA;(59)7222165;;
Kancelaria Odszkodowawczo-Windykacyjna Sp. z o.o.;(22)8441060;;
Kancelaria PIO;667180297;;
Kancelaria Pomocy Poszkodowanym w Wypadkach doctrina Marta Kulesza;(17)8751201;;
Kancelaria Pomocy Poszkodowanym w Wypadkach doctrina Marta Kulesza;500584514;;
Kancelaria Prawa Ubezpieczeniowego Veritas S.c.;(71)3411130;;
Kancelaria Prawa Ubezpieczeniowego Veritas S.c.;666340199;;
Kancelaria Prawna Claim & Insurance Consulting Sp. z o.o.;(22)2478274;;
Kancelaria Prawna Claim & Insurance Consulting Sp. z o.o.;531962231;;
Kancelaria Prawna COMPAS;535232335;;
Kancelaria Prawna COMPAS;(42)2960258;;
